GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRDAI,G20USSDBUL,G20HALRROS,G20HALDWIL,G20GOVRGIA,G20GOVDCOO,G20GOVLBIS,G20ATGRKNU,G20ATGDGRA,G20SOSRJAC,G20SOSDBEN,G20AUDRDOW,G20AUDDMOR,G20AUDLROO,G20SPIRARN,G20SPIDROM,G20SPILLEA
30021000005,30,021,000005,271.1,41,7.2,270.1,50.3,267,44.4,269.7,42.4,4.3,276.1,38.2,266.2,43.1,260.8,35.2,8.3,258.5,48.5,3.3
30021000006,30,021,000006,802.2,123.6,15.5,788.3,154.1,779.8,153.8,755.8,161.9,22.7,800.2,137,798.9,135.2,768.6,135.9,26.7,730.2,174,25.4
30021000007,30,021,000007,1031.9,217.5,16.2,991.2,279.1,997.2,265.9,977.6,237.4,51.4,1021.3,229.9,1005.2,231.4,957.2,218.7,57.5,928.9,275.8,40
30023001-78,30,023,001-78,45,45,1.7,39,54.5,42.4,51.1,38.1,51.9,1.7,45.9,47.6,45,48.5,45.9,44.1,2.6,39,51.1,3.5
30023002-78,30,023,002-78,33,49,5,24,65,28,59,23,59,4,38,50,35,53,23,55,7,28,56,2
30023003-78,30,023,003-78,62.1,71.4,1.2,45.5,88.4,50.3,83.6,53.3,75.5,4.1,51.2,81.8,53.1,79.7,45.4,80.6,7.8,38.2,88.2,6.6
30023004-77,30,023,004-77,78.2,38.6,4,73.1,46.7,78,43.6,76,42.6,3.1,80.1,38.6,83,35.7,75,38.6,4.1,73.1,41.6,5
3002301-77E,30,023,01-77E,212,332,19,187,374,201,355,170,353,33,188,361,203,344,177,327,38,155,368,29
3002301-77W,30,023,01-77W,217,361,13,185,409,210,384,191,380,14,206,374,207,368,200,352,20,171,388,21
3002302-77E,30,023,02-77E,122,200,14,107,228,114,215,110,205,17,128,203,125,202,109,194,24,103,205,23
3002302-77W,30,023,02-77W,147,208,15,123,240,135,231,119,219,29,139,225,138,222,119,210,33,115,225,24
3002303-77E,30,023,03-77E,156,192,14,135,222,141,219,129,203,29,149,211,154,201,128,201,26,120,214,25
3002303-77W,30,023,03-77W,152.8,170.5,13.7,123.4,214.6,141.1,195.9,114.6,194,27.4,140.1,195,147.9,182.2,120.5,181.2,30.4,116.6,201.8,16.7
3002304-78E,30,023,04-78E,157.3,142,9.6,142,166.9,140.1,164.1,134.3,154.5,23,150.6,155.4,152.5,149.7,133.3,142,31.7,122.8,166,16.3
3002304-78W,30,023,04-78W,244,132.1,8.4,224.2,159.5,232.2,149.4,218,144.6,23.7,242.9,138.6,242.9,138.6,228.2,134,19.2,200.3,159.9,22.3
3002305-77N,30,023,05-77N,311.3,349.4,11.1,279.1,394.6,285.2,385.5,280.2,373.4,21.1,289.4,377.3,307.3,352.3,283.1,353.3,21.2,268.1,387.5,13.2
3002305-77S,30,023,05-77S,245,267,13,231,293,235,290,222,287,14,245,276,252,266,233,262,23,226,280,15
30025000001,30,025,000001,1372.4,171.5,27.9,1338.5,234.3,1309.7,250.2,1285.7,217.3,48.8,1340.6,165.4,1328.6,163.5,1270.7,163.5,56.8,1231.8,223.4,41.9
30027000002,30,027,000002,749.7,212.9,24.8,737.4,259.1,743.6,243.5,736.5,231.3,23.5,758.4,220.4,749.7,219.1,729.4,204.6,30.9,702.6,255.7,19.2
30027000003,30,027,000003,378.6,78.3,3.6,377.5,85.3,371.9,90.7,383.2,76.5,2.9,383.1,79.2,384.9,74.2,366.4,72.1,12.4,351.6,102.5,6
30027000004,30,027,000004,310.2,58.8,7.2,306.2,74,296,81,299.2,66.8,13.1,298.4,73.6,303.2,66.6,287.9,67.5,13.3,273.4,92.3,7.3
30027000005,30,027,000005,325.7,42.8,3.5,319.4,51.6,315.1,53.7,316.1,42.1,10.7,319.8,48.8,312.7,48,314.7,34.6,16.2,302.9,52.8,10
30027000006,30,027,000006,303.2,149.1,8.3,286.4,176,286.1,172.8,293.3,156.8,11.1,293,158.3,296.1,158.1,284.7,144.5,22,273.8,166.8,15
30027000007,30,027,000007,239.9,102.3,11.8,222.2,132.7,229.1,121.9,230.1,113.1,10.8,238.9,109.1,241.9,109.1,225.2,99.3,21.6,218.3,124.9,7.9
30027000008,30,027,000008,269.5,77.8,12.8,251.9,106.2,249.4,103.6,251.3,84.6,20.3,258.6,89.3,259.7,86.4,255.4,70.8,19.9,245.8,84.8,19.3
30027000009,30,027,000009,241.6,113.4,6.9,233.8,132.4,241.6,122.9,236.4,116.9,10.4,244.2,116,248.5,110.8,245.9,99.6,14.7,229.4,118.6,8.7
30027000010,30,027,000010,238.3,125.2,14.9,228.4,149,233.3,143.1,225.4,131.1,21.8,244.2,125.2,236.3,133.1,229.3,113.3,26.8,222.3,133.2,15.9
30027000011,30,027,000011,323.2,138.1,15,299.2,176.1,303.2,161.1,305.2,141.1,24,325.2,143.1,312.2,151.1,315.2,122.1,28,295.2,151.1,23
30027000012,30,027,000012,85.9,17.2,3,87.9,18.2,84.9,21.2,87.9,16.2,1,87.9,14.2,86.9,17.2,85.8,12.2,4,83.8,21.3,0
30027000013,30,027,000013,445.9,170.2,12.3,437.2,194.1,427.8,191.1,426.3,176.9,22,446.9,174.3,440,175,433.2,157.6,24,397.5,201.8,16.1
30027000014,30,027,000014,261.7,64.6,5.8,260.7,74.4,259.6,74.4,257.8,63.6,8.8,270.4,61.7,268.5,60.7,243.2,67.4,16.6,245.9,77.4,7.8
30027000016,30,027,000016,232.9,33.5,5,238.6,30.9,227.7,36.8,230.8,35.5,3.2,236.8,28.7,233.7,27.8,224.9,25.6,6.2,224.5,36,7
30027000017,30,027,000017,315.2,101.7,6.6,314.1,113.8,304.2,120.1,312.3,103.6,9.4,320.7,101.7,317.9,100,303.2,94.2,15.8,285.9,119.1,12.9
30027000018,30,027,000018,185.8,16.3,1.4,182.8,21.7,178.9,22.5,182.9,17.3,3.3,186,17.3,183.1,19.2,183.4,13.2,4.5,178.1,23.6,1.5
30029000001,30,029,000001,390.8,278,20.2,375.7,313.3,395.8,285.2,369.7,278.9,37.4,406.9,269,398.9,272.9,377.7,257.8,37.4,353.5,284,35.4
30029000002,30,029,000002,588.1,421.2,35.6,576.6,466.3,579,460.9,543.6,434,67.3,595.3,431.1,596.4,425,526.7,411.5,75.3,526.8,428.3,61.4
30029000003,30,029,000003,553.6,433,27.3,536,476,548.7,458.4,534.8,420.5,54.7,564.3,425.3,566.2,422.4,539.8,401,55.6,500.9,434,58.5
30029000004,30,029,000004,625.7,474.5,40.8,625.7,515.3,652.5,488.4,598.8,478.5,63.7,646.6,468.5,644.6,469.5,606.8,451.6,57.7,553.1,505.3,57.7
30029000005,30,029,000005,958,412,26,935,464,950,437,932,419,47,985,395,991,389,940,373,56,895,432,49
30029000006,30,029,000006,2130.9,1043,68,2140.9,1119,2162.9,1074,2127.9,1018,96,2231.9,980,2237.9,965,2081,979,132,1994,1121,97
30029000007,30,029,000007,934.5,373.9,34.1,921.4,425.1,938.5,401,898.3,391,60.2,967.5,365,961.5,372.9,896.3,369.9,59.2,885.2,387.1,51.2
30029000008,30,029,000008,959.9,291.2,18.2,959.6,309.1,959.4,301.4,948.3,293.3,26.8,979.6,269.1,952.4,292.1,926.6,266.9,44.3,901.5,307.7,35.2
30029000011,30,029,000011,878.1,279.3,19.2,879.9,308.3,893.2,287.6,877.8,277.6,29.3,901.8,264.4,902.8,263.4,854.9,262.6,49.4,826.5,301.2,33.1
30029000013,30,029,000013,1199.5,583.3,37,1219.5,605.2,1211.5,613.2,1195.5,567.3,48.9,1243.4,549.3,1254.4,541.3,1196.5,516.4,68.9,1159.6,555.3,66.9
