GEOID,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREIFUE,G16PREOLAR,G16PREOSAN,G16PREOWRI,G16USSDLEA,G16USSRMIL,G16USSOERI,G16USSITRU,G16USSODIA,G16USSOWRI,G16HALOWEL,G16HALOCLA,G16HALOWRI,G16GOVDMIN,G16GOVRSCO,G16GOVOLEE,G16GOVOWRI,G16LTGDZUC,G16LTGRBRO,G16LTGOWAR,G16LTGOWRI,G16TREOPEA,G16TREPSCH,G16TREONGO,G16TREOWRI,G16SOSOCON,G16SOSOHER,G16SOSOWRI,G16AUDDHOF,G16AUDRFEL,G16AUDOBRO,G16AUDOWRI,G16ATGDDON,G16ATGRBUC,G16ATGOJAC,G16ATGOWRI
500019610001066,0.7,0.4,0,0,0,0,0.1,0,0.7,0.5,0,0,0,0,1,0.1,0,0.4,0.8,0,0,0.6,0.6,0,0,0.9,0.2,0,0,1,0.1,0,0.6,0.5,0.1,0,0.8,0.4,0,0
500019610001026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019610001083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019610001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019609003055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019605002009,19.2,10,1.1,0.7,0.2,0,3,0.2,20.3,11.9,1,0.7,0.3,0,28.7,3.7,0.1,15.3,18.2,0.9,0,17.6,15.5,0.8,0,25.6,4.8,1.4,0.1,28.3,3.6,0.1,18.1,12.6,1.7,0,22.6,9.4,1.4,0
500019605001002,20.6,10.7,1.2,0.8,0.2,0,3.2,0.3,21.9,12.8,1.1,0.7,0.3,0,30.8,4,0.1,16.4,19.6,0.9,0,18.9,16.7,0.9,0,27.5,5.2,1.5,0.1,30.4,3.9,0.1,19.4,13.5,1.9,0,24.3,10.1,1.5,0
500019605001065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500019605001006,9.6,5,0.5,0.4,0.1,0,1.5,0.1,10.2,5.9,0.5,0.3,0.2,0,14.3,1.8,0.1,7.7,9.1,0.4,0,8.8,7.8,0.4,0,12.8,2.4,0.7,0.1,14.1,1.8,0,9,6.3,0.9,0,11.3,4.7,0.7,0
500019605001022,2.5,1.3,0.1,0.1,0,0,0.4,0,2.6,1.5,0.1,0.1,0,0,3.7,0.5,0,2,2.4,0.1,0,2.3,2,0.1,0,3.3,0.6,0.2,0,3.7,0.5,0,2.3,1.6,0.2,0,2.9,1.2,0.2,0
500019605001025,14.2,7.4,0.8,0.5,0.1,0,2.2,0.2,15.1,8.8,0.7,0.5,0.2,0,21.3,2.7,0.1,11.3,13.5,0.6,0,13,11.5,0.6,0,19,3.6,1,0.1,20.9,2.7,0.1,13.4,9.3,1.3,0,16.7,6.9,1,0
500019605002016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
