GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16USSRISA,G16USSDBAR,G16USSLBUC,G16PSCRECH,G16PSCLHOS
1300900CTY1,13,009,00CTY1,138.4,528.9,24.3,168.4,460.1,18.4,244.2,248.7
1300900CTY2,13,009,00CTY2,179.1,307.7,21.2,192.3,247,24.2,225.8,169.1
1300900CTY3,13,009,00CTY3,122.9,529.3,27.8,146.7,453,23.8,206.2,240.9
1300900CTY4,13,009,00CTY4,127.5,169.2,20,146.5,136.9,17,161.7,98
1300900CTY5,13,009,00CTY5,227.7,643.6,39,255.7,551.5,32,348.8,312.3
1300900CTY6,13,009,00CTY6,846,698.7,35.6,857.5,591.5,53.8,955.3,370.8
1300900MERI,13,009,00MERI,1046.4,594.6,49.2,1049.3,499.1,54.1,1152.7,343.6
1300900MONT,13,009,00MONT,1319.6,1018.2,65.1,1315.4,877.4,64.4,1412.4,580.7
13011000001,13,011,000001,759.7,87.4,17.6,731.1,70.4,31,743.1,97.3
13011000002,13,011,000002,433,67,8,417,59,20,419,70
13011000003,13,011,000003,188,17,1,177,12,5,180,17
13011000004,13,011,000004,375.9,29.6,11.1,346.8,35.5,19.1,361.9,40.4
13011000005,13,011,000005,226.3,23.7,4.3,204,21.2,15.7,219.9,22.5
13011000006,13,011,000006,821,103,27,759,109,44,793,121
13011000007,13,011,000007,387.1,54,7.7,346.1,57.6,26.2,374.9,54.8
