GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRPER,G20USSDOSS,G20USSLHAZ,G20PSCRSHA,G20PSCDBRY,G20PSCLMEL,G20PSCRMCD,G20PSCDBLA,G20PSCLWIL
13011000002,13,011,000002,528,103,6,504,111,13,501,95,22,488,98,22
13011000003,13,011,000003,266,29,0,263,27,4,259,19,8,260,16,6
13011000004,13,011,000004,471.7,42.9,3.1,454.7,41.9,14.1,445.6,39.8,20.2,439.6,36.8,24.2
13011000005,13,011,000005,261.9,24,0.3,261.8,20.8,4.2,257.5,22.3,3.6,258.2,20.4,3.5
13011000006,13,011,000006,1107,166,11,1089,153,32,1067,147,39,1072,142,30
13011000007,13,011,000007,507.3,75.8,6.5,507,74.8,5.9,477.4,66.3,21.6,475.5,69.1,16.9
13011000008,13,011,000008,612.7,71.9,6.4,601.6,74.1,13.4,596.2,65.5,16.3,590.5,65.1,15.4
13011000009,13,011,000009,433,53.1,3,419,50.1,14,414,52.1,6,406,52.1,10
13011000010,13,011,000010,957,108,6,937,101,22,920,95,27,921,89,28
13011000011,13,011,000011,1082.5,109.7,14.4,1062.2,103.9,28.1,1048.8,103.8,23.3,1020.9,104.7,32
13011000012,13,011,000012,454.1,54.2,4,448.1,55.1,8.2,440.8,48.2,11.2,429.9,52.1,11.2
13011000013,13,011,000013,394,32,3,383,27,10,380,29,6,372,34,6
13013000001,13,013,000001,1728,560,40,1692,538,81,1676,480,111,1651,500,98
13013000002,13,013,000002,3325.6,797.2,59.4,3291.9,751,99.1,3240.5,685.7,149.2,3198.3,681,153.8
13013000003,13,013,000003,754.6,229.7,18,734.1,216.3,39.7,725.6,202.4,50.7,720.2,206.3,43.1
13013000004,13,013,000004,1011.7,331.6,28.7,1000.5,318.8,35.6,979.3,284.8,62.2,972.4,283.2,55.8
13013000005,13,013,000005,1996.7,829,33.3,1971.5,794.3,74.2,1959.6,712,119.9,1937.8,736.8,105.6
13013000006,13,013,000006,860.8,478.3,25.4,840.8,469.4,44.2,829.3,432,65.3,830.5,435.1,52.4
13013000007,13,013,000007,2243,923.8,37.5,2214.9,885.1,82.9,2201.3,793.8,133.4,2177.2,820.8,117.8
13013000008,13,013,000008,2009.7,576.1,44,1966.2,547.5,91.5,1949.3,493.4,119.2,1929.8,510.3,105.5
13013000009,13,013,000009,2192.3,645.4,49.8,2138.5,614.1,106.6,2119.9,552.7,137.9,2095.6,575.3,119.9
13013000010,13,013,000010,1699.3,944.3,50.1,1659.9,926.7,87.2,1637.2,852.9,128.9,1639.5,859,103.4
13013000011,13,013,000011,2144.5,1203.8,78.1,2108.4,1172,114.2,2075.7,1081.8,187.9,2060.1,1100.3,155.2
13013000012,13,013,000012,2343.4,713.3,56,2279.9,671.7,123.3,2253.4,628.6,157.3,2236.8,640.7,133.9
13013000013,13,013,000013,938.2,521.3,27.6,916.4,511.6,48.1,903.9,470.9,71.2,905.2,474.2,57.1
13013000014,13,013,000014,892.3,292.4,25.3,882.5,281.2,31.4,863.7,251.2,54.8,857.6,249.8,49.2
13013000015,13,013,000015,815.5,247.7,16.5,805.1,237,27.8,792.7,217.1,41.7,784.6,216.7,40.2
13013000016,13,013,000016,2151.4,1207.6,78.3,2115.2,1175.8,114.6,2082.4,1085.2,188.5,2066.7,1103.8,155.7
13015000001,13,015,000001,3813.3,906.8,72.9,3728.4,878.8,138.8,3663.5,804.9,189.7,3646.5,818.9,174.7
13015000002,13,015,000002,1990.6,693.7,30.9,1919.8,669.8,98.7,1884.9,622,138.6,1848,636.9,126.6
13015000003,13,015,000003,2854.9,1523,65.9,2810.3,1481.3,116.3,2807.7,1367.4,183.2,2754.4,1403.1,157.5
13015000004,13,015,000004,4209.5,1835,63.5,4214.6,1697.7,151.7,4218.2,1530.9,234.9,4157.3,1557.8,218.1
13015000005,13,015,000005,5392.1,1908.7,96.4,5284.9,1854.6,196.7,5257.5,1721.8,272.4,5188.6,1761.2,243.9
13015000006,13,015,000006,2312.5,571,48,2282.5,558.9,80.1,2252.6,495.8,121.2,2230.5,518.8,107.1
13015000007,13,015,000007,1568.7,411.5,28.8,1554.8,393.6,49.6,1532,361.9,83.3,1505.2,377.7,73.4
13015000008,13,015,000008,2858.6,849.9,68.8,2796.6,829,115.7,2772.6,772,141.7,2740.6,791.9,132.8
13015000009,13,015,000009,897,113,8,877,107,22,865,99,30,857,104,28
13015000010,13,015,000010,1550,305,27,1543,267,49,1516,257,66,1494,265,54
13015000011,13,015,000011,1892.1,650.3,23.7,1851.5,644.6,59.7,1813.6,597.2,93.1,1791.6,616.6,75.7
13015000012,13,015,000012,1369,189,25,1334,188,49,1313,157,72,1297,166,63
13015000014,13,015,000014,1861.4,209.1,25.2,1830.4,212,40.3,1809.4,174,60.3,1787.4,174.1,61.2
13015000015,13,015,000015,1631.4,279.8,31.3,1608.7,275.4,42.8,1596.4,236.8,65.7,1579,242,69
13015000016,13,015,000016,2481.1,1335.7,65.1,2396.1,1300.1,117.7,2370.3,1226.7,170,2346,1247.4,121.2
13015000018,13,015,000018,977.1,306.2,20.2,962,302.1,32.3,940.1,284.8,53.1,929.8,288.8,51.1
13017000001,13,017,000001,1250.2,1182.3,20,1250.2,1135.3,37,1222.1,1106.3,71,1195.1,1101.3,55
13017000002,13,017,000002,2861,1210,38,2828,1149,79,2804,1115,100,2749,1103,109
13019000518,13,019,000518,619.2,205.1,5,611.3,196.1,11.9,614.3,173.2,16.9,596.3,185.2,10.9
13019001144,13,019,001144,809.6,164.7,9.2,783.7,160.8,33.5,807.3,136.5,25.9,769.2,147.1,33.5
13019001148,13,019,001148,380.3,77.8,2.8,374.9,71.3,8.6,377.2,63.9,9.9,365.8,67.6,8.2
13019001157,13,019,001157,2576.8,527,19,2540.3,483,58.5,2556.2,432.9,66.8,2478.8,457.9,55.4
13019001329,13,019,001329,256.7,54.8,3,248.7,53.3,10.7,255.9,45.7,8.4,243.9,49,10.7
13019001427,13,019,001427,486.8,46.2,4.8,470.2,50.3,12.4,465.4,46.2,12.4,457.1,44.8,11
13019001642,13,019,001642,638.8,86.9,6,619.7,87.9,9.1,614.7,76.8,16.1,603.7,78.8,14.1
13019001767,13,019,001767,436,89.2,3.2,429.8,81.7,9.9,432.5,73.2,11.3,419.4,77.5,9.4
13019001819,13,019,001819,219.2,20.8,2.2,211.8,22.7,5.6,209.6,20.8,5.6,205.9,20.2,5
13021000EM1,13,021,000EM1,52.3,956.1,11.3,52.3,917.2,28.7,39.1,921.9,25.9,43.1,916.7,24.7
13021000EM2,13,021,000EM2,157,2169,27,173,2101,45,143,2103,57,155,2095,33
13021000EM3,13,021,000EM3,567.8,1557,22.9,567.8,1487.3,54.8,567.8,1436.5,78.7,553.9,1451.4,63.8
13021000EM4,13,021,000EM4,95,1309,9,99,1264,17,93,1264,26,89,1271,12
13021000EM5,13,021,000EM5,375.5,1253.2,15.9,364.6,1221.4,37.7,358.7,1216.5,37.7,350.8,1210.5,30.7
13021000GF1,13,021,000GF1,333.1,2993.2,29.2,356.9,2874.1,73.3,334,2820.6,107.6,339.8,2806.7,85.5
13021000GF2,13,021,000GF2,98,795,8,95,756,32,85,758,28,82,762,23
13021000GF3,13,021,000GF3,164.2,1444,7.6,166,1385.3,37.3,159.4,1373,44.9,157.6,1368.3,35.5
13021000GF4,13,021,000GF4,155.8,837.7,7.2,157.4,792.5,21.4,145.4,795.1,29.5,148.1,789.1,19.5
13021000GF5,13,021,000GF5,326.8,2434.9,30.7,341.5,2352,64,332.1,2352.6,63.7,314.8,2342.5,67.9
13021000HA1,13,021,000HA1,230.4,1667.8,20.8,228.5,1626.7,32.9,214.6,1600,47.8,214.6,1597,38.8
13021000HA2,13,021,000HA2,1215,1606,34,1191,1580,58,1197,1507,93,1184,1520,77
13021000HA3,13,021,000HA3,1196.3,3276.4,31,1174.4,3209.5,73.8,1170.3,3128.8,122.6,1123.5,3146.7,108.7
13021000HA4,13,021,000HA4,2111.7,1617.8,37,2095.7,1576.8,65,2117.7,1481.8,107,2100.7,1496.8,90
13021000HO1,13,021,000HO1,1729.1,994.3,21.1,1778.9,913.5,31.1,1784,818.5,78.2,1768.1,826.4,63.1
13021000HO2,13,021,000HO2,1696.5,912,34.3,1702.4,882.5,32.4,1708.2,811.1,70.5,1706.2,814,53.9
13021000HO3,13,021,000HO3,2562.5,2278.5,57,2596,2175.1,81.1,2629.5,2022.3,140.8,2597.9,2038.9,131.7
13021000HO4,13,021,000HO4,577,625,22,584,608,32,578,567,61,569,585,45
13021000HO5,13,021,000HO5,528.2,905.4,13.8,525.3,857,41.5,517.4,829.4,64.2,515.4,829.4,55.3
13021000HO6,13,021,000HO6,860.1,721,17.6,866,691.6,24.5,877.8,645.6,56.8,878.7,641.7,49
13021000HO7,13,021,000HO7,1440.6,873.3,31.4,1453.6,847.3,41.9,1473.7,751.2,83.7,1465.7,752.2,71.4
13021000RU1,13,021,000RU1,2504.3,1745.9,27.4,2457.3,1722.4,56.8,2446.6,1660.7,81.2,2410.3,1663.7,74.4
13021000RU2,13,021,000RU2,1600.1,874.9,26,1556.2,865.5,59.9,1545.3,846.8,53.5,1514.2,846,53.3
13021000VV1,13,021,000VV1,668.4,1506.5,36.9,682.3,1436.6,64.8,673.4,1356.9,113.7,679.3,1352,92.7
13021000VV2,13,021,000VV2,291,939,21,306,899,27,319,857,43,310,870,26
13021000VV3,13,021,000VV3,153,1601,19,159,1534,42,140,1531,54,137,1546,27
13021000VV4,13,021,000VV4,283.3,2040.7,23,307.3,1954.8,60.9,287.3,1951.7,52,281.3,1939.8,49
13021000VV5,13,021,000VV5,913,818,30,927,783,40,942,710,69,937,713,58
13021000VV6,13,021,000VV6,937,1180,39,969,1088,73,1000,993,93,991,996,76
13021000WA1,13,021,000WA1,1305.9,679.6,16.1,1300.8,662.3,23.2,1291.8,627.2,36.3,1257.7,633.2,36.3
13021000WA2,13,021,000WA2,1558.5,866.7,22.8,1513,871.6,43.6,1518.9,819.3,65.3,1495.1,836.1,48.5
13023000001,13,023,000001,4329,1311.5,67,4282,1249.5,114,4223,1200.4,129.1,4195,1205.4,113
13025000001,13,025,000001,2198.6,163.2,16.9,2146.9,162.2,26.9,2080.2,140.3,48.8,2054.3,146.2,39.8
13025000002,13,025,000002,2480.9,263.7,16.7,2422.8,245,42.3,2274.4,245.9,68.9,2252.7,243,72.8
13025000003,13,025,000003,2274.7,269.6,22.1,2206.4,278.4,46.3,2139.6,253.4,78.4,2097.5,256.4,70.5
13027000659,13,027,000659,338.7,69.2,1.6,328.3,68.4,4.8,321,57.9,12.9,304.9,65.2,11.3
13027000660,13,027,000660,947.5,401.8,10.3,944,373.9,23.7,948.2,354.1,31.6,902.1,373,32.5
13027001199,13,027,001199,919,1401.6,17.1,957.4,1280.4,41.1,923.6,1276,47.3,887.4,1287.1,37.2
13027001230,13,027,001230,181,67,0,177,65,3,168,64,2,168,65,1
13027001402,13,027,001402,363,395,4,367,374,12,347,368,18,337,377,11
13027001650,13,027,001650,1100.7,306.1,14.4,1075.1,304.8,25,1072.5,274.7,39.5,1043.6,287.3,30.9
13027001712,13,027,001712,314,122,2,308,114,8,304,111,9,296,112,8
13029000001,13,029,000001,1111,566.6,31.9,1089.1,546.6,47.9,1044.2,517.6,54.9,1050.1,500.8,43
13029000002,13,029,000002,1300,302,17,1268,299,36,1262,271,38,1250,267,40
13029000003,13,029,000003,1411.4,384.5,20.8,1380.1,386.7,40.2,1342.3,358.6,58.9,1334.3,344.5,54.8
13029000004,13,029,000004,691.4,516.8,20.2,669.2,507.2,38.6,670.1,469.6,55.9,669.2,463.8,48.2
13029000005,13,029,000005,1137,888,47,1118,858,69,1125,802,97,1113,804,84
13029000006,13,029,000006,1668.7,584,35.4,1672.3,544.8,55.8,1646.3,475,97.2,1659.3,466.9,79
13029000007,13,029,000007,2205.3,1017.2,43,2226.3,948.2,82,2222.3,849.1,147,2208.3,874.1,121
13029000008,13,029,000008,2543.3,1398.5,71.4,2516.1,1352.2,105.8,2532.9,1218.7,157.2,2519,1213.8,148.9
13029000009,13,029,000009,936.7,634.8,41,909.7,634.8,57,916.7,581.8,82,901.7,597.8,68
13029000010,13,029,000010,1203.4,431.9,28.7,1183.5,405.2,65.3,1173.5,368.5,89.1,1174.4,376.4,71.3
13029FTSTEW,13,029,FTSTEW,80.9,30.7,1.1,79.8,29.6,2.1,77.7,28,3.2,76.8,27.7,2.9
13031000001,13,031,000001,388.6,151.1,3,379.6,151,10.1,375.6,140.9,13.1,365.5,145,8
13031000002,13,031,000002,1127.5,397.5,12,1126.5,388.5,19,1121.5,342.5,41.9,1105.5,352.5,36
13031000003,13,031,000003,1065.2,570.6,13.8,1040.6,545.9,36.5,1045.5,522,51.3,1034.5,527,41.5
13031000004,13,031,000004,1880,565,35,1851,563,52,1860,489,81,1845,496,69
13031000005,13,031,000005,1202.1,237.8,11.1,1174.8,240.8,26.3,1174.7,210.6,32.4,1159.6,215.6,24.3
13031000006,13,031,000006,987,203,12,968,202,24,955,187,35,932,187,39
13031000007,13,031,000007,721.7,164.8,11.7,711,158,17.6,714.9,130.7,26.3,708,137.5,16.6
13031000008,13,031,000008,306.6,62,2.1,302.5,58.9,5.2,307.6,51.6,5.3,306.5,53.6,4.2
13031000009,13,031,000009,411,217,10,406,210,13,403,198,24,400,206,17
13031000010,13,031,000010,1620,757,49,1608,715,75,1619,657,96,1589,679,90
13031000011,13,031,000011,1907,2074,59,1922,1977,89,1911,1836,169,1898,1851,117
13031000012,13,031,000012,839,309,10,822,304,22,821,282,27,806,295,18
13031000013,13,031,000013,2559,1705,75,2552,1652,99,2605,1484,162,2601,1496,129
13031000014,13,031,000014,1737,1988,63,1759,1896,97,1760,1789,138,1751,1797,116
13031000015,13,031,000015,992,1725,75,982,1669,106,1037,1518,170,1023,1550,142
13031000016,13,031,000016,651.4,116.7,13.2,635.9,115.5,23.5,628.9,94.9,33.7,621.4,100,27.6
13033000001,13,033,000001,158,113,1,159,104,6,152,107,2,151,107,4
13033000002,13,033,000002,1070.6,497.5,9.8,1064.6,475.8,24.6,1035.2,454.9,51.1,1022.4,471.6,38.4
13033000003,13,033,000003,240.2,247.2,3.1,237.2,231.9,9.1,223.8,230.1,10.2,215.6,232.1,8.2
13033000004,13,033,000004,116,189,2,113,189,7,114,182,3,114,181,3
13033000005,13,033,000005,412,271,4,402,261,14,394,254,17,392,253,17
13033000006,13,033,000006,93.1,110.3,2.3,86.9,110.3,5.5,88.4,104,7,86.1,104,4.7
13033000007,13,033,000007,120.2,178.3,2,127,165.5,4.9,118.2,165.5,5.9,116.2,161.5,7.9
13033000008,13,033,000008,116,81,2,112,80,4,107,77,2,103,78,3
13033000009,13,033,000009,383.8,251.8,3.9,382.8,239.1,5.9,364.2,246.9,9.8,357.4,243.9,8.8
13033000010,13,033,000010,63,128,0,67,121,1,61,113,5,60,113,2
13033000011,13,033,000011,378,315,6,372,306,11,360,304,17,357,302,16
13033000012,13,033,000012,215.1,180.2,0.9,211.3,176.8,5.9,214.1,165.9,6.9,209.3,164.2,6.9
13033000013,13,033,000013,105,105,2,103,103,4,104,95,6,101,93,5
13033000014,13,033,000014,482,1296,9,500,1239,24,472,1230,33,471,1207,28
13033000015,13,033,000015,1281,1007,26,1303,955,35,1248,944,46,1250,935,49
13033000016,13,033,000016,165,237,1,165,230,2,160,229,2,159,222,5
1303500BCCC,13,035,00BCCC,8467.9,3294.3,91.7,8390,3148.6,216.7,8238.6,3004.4,320.2,8117.9,3023.3,299.2
13037000001,13,037,000001,227,291,5,234,275,9,228,262,5,216,271,8
13037000002,13,037,000002,350,144,2,348,138,7,335,140,3,339,136,3
13037000003,13,037,000003,64,243,1,69,230,4,61,223,6,60,221,3
13037000004,13,037,000004,161,234,1,164,225,2,160,221,2,161,221,1
13037000005,13,037,000005,121,348,2,118,343,6,122,332,4,116,334,3
13039000001,13,039,000001,486.2,190.5,7,476.3,179.6,13.9,467.4,178.6,14.9,457.5,173.7,20.8
13039000002,13,039,000002,881.7,345.3,9,871.8,328.4,20.9,862.8,319.4,28.9,842.9,319.4,31.9
13039000003,13,039,000003,860.9,545.6,14.4,843.6,525.2,33.8,818.3,512,45.1,818.1,498.9,40
13039000004,13,039,000004,386.1,74.8,14,374,67.8,21.1,363,66.8,32.1,363,71.7,24.1
13039000005,13,039,000005,1058.9,294.6,24.6,1037.2,276.9,47.3,1018.5,263.1,63,1013.6,254.2,59.1
13039000006,13,039,000006,1355,497,39,1325,460,71,1299,435,92,1304,430,70
13039000007,13,039,000007,747,804,38,727,758,76,715,729,89,717,717,72
13039000008,13,039,000008,763,485,29,744,458,59,729,440,70,726,442,58
13039000009,13,039,000009,2825,1604,100,2783,1491,184,2728,1436,251,2707,1440,215
13039000010,13,039,000010,554.5,386.7,36,523.5,375.7,61,515.5,356.7,72.9,514.5,359.7,61
13039000011,13,039,000011,1222,845,61,1206,793,101,1164,754,143,1147,780,121
13039000012,13,039,000012,1013.4,546.2,21,1003.3,516.2,38,967.3,492.2,75,955.3,500.2,65
13039000013,13,039,000013,1308,639,44,1275,596,103,1281,569,108,1249,563,115
13039000014,13,039,000014,1786,708,33,1794,640,65,1776,602,91,1746,609,75
13043001685,13,043,001685,1495.1,605.6,13.8,1468.4,588.4,28.6,1452.2,550.2,47.7,1442.6,549.8,37.2
13043001736,13,043,001736,1569.7,635.8,14.5,1541.6,617.8,30.1,1524.6,577.7,50.1,1514.6,577.2,39.1
13045000501,13,045,000501,1556.6,1047.2,49.1,1521.2,1024.6,81.5,1508.5,964.6,120.8,1489.8,972.5,99.2
13045000640,13,045,000640,1340.6,375.6,17.1,1318.9,357.7,36,1310,339.6,54,1291,339.7,54
13045000641,13,045,000641,2359.3,1031.4,51,2278.2,1003.3,123.1,2295.2,950.3,147.1,2257.2,967.3,133.1
13045000642,13,045,000642,2100.9,2147.8,84.4,2041.3,2105.4,135.8,2043.1,2013,176.3,2007.6,2032,162.3
13045000649,13,045,000649,2268.3,538.2,39.4,2205.5,519.6,79,2202.7,492.1,94.6,2161.1,510,88.6
13045000650,13,045,000650,1527,774,32,1496,761,64,1479,711,89,1468,719,78
13045000682,13,045,000682,1201,197.8,17.4,1173.9,205.5,33,1157.4,191,40.7,1137.1,197.8,39.7
13045000713,13,045,000713,1867,334.5,29,1863,302.5,50.1,1824.9,283.5,75.1,1800.9,294.5,70.1
13045000715,13,045,000715,847,254,19,840,237,32,837,223,33,823,231,33
13045001006,13,045,001006,787,68,6,775,68,19,764,60,22,758,63,21
13045001111,13,045,001111,1483,493,19,1453,470,51,1443,439,55,1401,442,70
13045001122,13,045,001122,2053,765,33,2006,746,77,2017,672,111,1994,679,102
13045001152,13,045,001152,1188,163,10,1188,146,18,1174,124,32,1162,138,24
13045001240,13,045,001240,1440.7,290.7,14.9,1429.8,266.9,35.7,1400.1,248.1,62.5,1378.2,253,60.5
13045001371,13,045,001371,897.3,190.3,11.1,885.2,185.1,21.3,874.9,178.9,30.5,862.8,186,30.5
13045001483,13,045,001483,2096,617.6,33,2064.1,594.6,68,2056,536.5,96.1,2045,542.5,89.1
13045001496,13,045,001496,738,227,6,720,218,26,714,195,33,706,200,29
13045001533,13,045,001533,1168,188,9,1163,179,13,1149,166,25,1143,170,17
13045001540,13,045,001540,2172.2,786.7,26.4,2145,744.5,65.7,2140.7,688.1,93.1,2124.4,689.2,92
13045001542,13,045,001542,1379.8,304.3,29.6,1368,289.6,44.3,1346.3,264.9,69.9,1326.6,271.8,64
130450714A1,13,045,0714A1,794.9,1409.9,45.4,790,1339.8,90.8,789.9,1285.4,115.5,759.3,1307.3,93.8
130450714A2,13,045,0714A2,617.2,456.4,15.8,599.8,442,32.3,609.2,409.3,43.1,593,420.4,41.5
130450714A3,13,045,0714A3,1327,1035,36,1353,979,53,1346,905,97,1315,927,94
130450714A4,13,045,0714A4,665.7,594.8,25,702.6,547.9,24,702.6,490,61.9,688.6,509,54.9
130450714A5,13,045,0714A5,1001.9,744.9,42.2,1001.7,698.7,62.4,999.8,658.3,89.6,982.6,676.4,69.5
130450714A6,13,045,0714A6,707,406.4,25,716,388.4,27,710,351.5,50.9,695,356.5,39.9
130450714BN,13,045,0714BN,639.8,353.7,9.6,634.8,326.1,23.1,623,315.4,36.2,607.7,332.4,26.1
130450714BW,13,045,0714BW,1216,437,24,1229,397,40,1228,346,68,1216,354,59
1304700BLCK,13,047,00BLCK,1088,208,19,1055,205,43,1039,191,49,1022,197,49
1304700BOYN,13,047,00BOYN,3501,996,70,3441,937,145,3429,840,167,3366,876,159
1304700CAKT,13,047,00CAKT,1532,329,39,1476,326,64,1472,284,79,1445,284,76
1304700CHAM,13,047,00CHAM,1641,351,34,1624,338,46,1603,311,62,1576,311,66
1304700FT-O,13,047,00FT-O,1973.5,695.5,32.7,1907,663.8,92.3,1917,621.1,98.2,1868.3,634,99.2
1304700GRAY,13,047,00GRAY,2439,658,51,2398,616,91,2377,557,107,2334,585,94
1304700LAKE,13,047,00LAKE,1654,485,36,1584,467,93,1558,416,123,1538,426,105
1304700POPS,13,047,00POPS,2432.6,581.9,43,2374.6,561.9,85,2336.6,505.9,119,2309.6,515.9,112
1304700RING,13,047,00RING,4080.4,1327.1,82,4009.4,1247.1,162,4008.4,1137.1,202,3951.4,1144.1,191
1304700WEST,13,047,00WEST,2973.5,907.5,57.3,2892,865.2,111.7,2841,787.9,165.8,2791.7,819,131.8
1304700WOOD,13,047,00WOOD,1852,393,30,1810,372,71,1809,318,80,1762,345,83
13049000002,13,049,000002,702.1,833.5,21.7,714,759.4,48.4,679.4,725.8,53.3,671.5,731.8,37.5
1304900003B,13,049,00003B,332,21,2,318,25,4,316,18,5,305,22,5
1304900003S,13,049,00003S,418,22,1,401,22,6,382,24,11,368,22,9
1304900004A,13,049,00004A,535,54,6,527,49,10,510,54,9,502,44,15
1304900004H,13,049,00004H,546.9,74.5,3.3,531,72.6,10.6,511.6,77.2,13.7,500.5,80.2,8.5
1304900005F,13,049,00005F,486,60,8,478,50,20,461,55,19,453,56,18
1304900005R,13,049,00005R,194,20,1,187,22,1,181,19,5,180,16,4
1304900005W,13,049,00005W,206.7,18.7,1,202.7,16.6,4,195.6,18.6,5,192.6,14.6,5.1
1305101-01C,13,051,01-01C,952,1597,32,973,1543,47,1026,1389,105,1021,1388,94
1305101-05C,13,051,01-05C,595,949,32,593,925,37,620,824,78,603,835,70
1305101-06C,13,051,01-06C,854,704,29,865,670,36,847,608,68,849,600,60
1305101-08C,13,051,01-08C,628,587,10,634,553,20,636,503,39,652,501,24
1305101-09C,13,051,01-09C,181.4,266.9,5,182.3,251.8,9.1,171.3,245.8,19.1,175.3,246.8,9.1
1305101-10C,13,051,01-10C,642.3,325.1,17.1,655.5,306.6,17.9,664.6,261.6,45.4,662,264,34.2
1305101-12C,13,051,01-12C,1628.1,854,27.6,1678.6,771.3,32.1,1726.1,655.6,72.9,1693.8,669.9,63.3
1305101-13C,13,051,01-13C,554.4,389.7,13.2,545,380.3,20.7,548.7,350.1,39.5,537.4,353.9,34.8
1305101-14C,13,051,01-14C,699,429.5,17,695,422.4,17.1,699.7,378.4,41.5,694.6,382.8,29.9
1305101-16C,13,051,01-16C,1469.2,578.1,23.6,1463.4,557.5,29.4,1477.1,491.7,65.8,1454.5,504.5,54
1305101-17C,13,051,01-17C,1158.2,596.4,23.6,1171.9,547.4,30.5,1202.6,472.4,64.4,1180.8,486.9,58.1
1305102-02C,13,051,02-02C,161,713,21,171,685,20,166,652,38,170,646,32
1305102-03C,13,051,02-03C,115,707,25,126,686,26,127,636,51,129,639,41
1305102-04C,13,051,02-04C,129,1647,23,132,1597,45,144,1541,71,134,1547,46
1305102-05C,13,051,02-05C,135,1123,22,132,1098,37,134,1048,66,130,1056,41
