GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRPER,G20USSDOSS,G20USSLHAZ,G20PSCRSHA,G20PSCDBRY,G20PSCLMEL,G20PSCRMCD,G20PSCDBLA,G20PSCLWIL
13001000002,13,001,000002,521.2,882.5,8.8,504.5,839.8,31.1,491.7,801.8,38.9,478.1,795,34.1
1300100001B,13,001,00001B,869.9,115.9,7,827.9,133.9,16,813.9,109,24,792.9,114.9,21
1300100001C,13,001,00001C,595.9,55.9,2.1,580.8,55.3,6.4,564.8,51.8,7.5,561.6,45.8,7.4
1300100003C,13,001,00003C,851,301.6,4.1,826.7,293.9,22.5,803.5,274.4,29.6,786.3,277.2,32.5
1300100004B,13,001,00004B,648.3,23.2,2,640.3,25.2,2,623.2,19.1,9,606.2,21.1,7
1300100004D,13,001,00004D,1044.7,129.6,1,1017.8,128.6,14.9,991.9,109.7,14.9,980.9,99.7,18.9
1300100005A,13,001,00005A,697,118,5,660,115,17,642,120,14,633,105,20
1300100005B,13,001,00005B,709,132,2,676,136,13,667,127,14,661,120,14
130010003A1,13,001,0003A1,534.5,20.1,3.7,519.2,24.4,4.7,513.5,18,7.4,502,22.4,5.7
13003000001,13,003,000001,1026,160,11,1008,164,13,984,131,17,943,139,17
13003000002,13,003,000002,485.5,45.3,3,467.4,46.3,10,460.3,40.3,5,438.1,40.3,5
13003000003,13,003,000003,566,291,10,565,270,17,551,246,27,512,258,25
13003000004,13,003,000004,229,329,6,238,293,12,243,246,15,210,262,14
130050DOUGL,13,005,0DOUGL,4020,625.2,25,3930.9,591.2,70,3822.9,541.2,81,3737.9,537.2,78
1300700000A,13,007,00000A,79.2,26.4,0,80,23.8,0,70.7,24.7,2.5,69.8,24.7,1.7
1300700000E,13,007,00000E,154.8,152.6,0,150,151.2,4,143.3,147.3,2.5,139.2,147.3,4.3
1300700000H,13,007,00000H,120.2,112,3,114.3,115.9,1,110.2,107.9,3,111.2,106.9,3
1300700000M,13,007,00000M,137,69,0,135,65,0,125,60,4,123,61,3
1300700000N,13,007,00000N,414.7,301,3.2,402.6,300.8,8.3,400.5,271.7,11.4,390.4,286.8,12.3
13009000318,13,009,000318,1787.8,771.2,22.8,1779.4,741.7,45.6,1777.4,675.3,75.9,1766.1,687.5,62.6
13009000319,13,009,000319,731.6,605.9,19,735.6,580.9,24,716.6,567.8,36.1,719.6,562.8,28.1
13009000322,13,009,000322,784,320,10,768,307,27,746,297,29,732,295,31
13009001714,13,009,001714,424.3,273.9,8,405.4,269.9,20.9,396.4,265.9,19.9,378.5,271.9,18.9
1300900321E,13,009,00321E,139.4,517.9,11.9,138.4,494,18.9,127.5,488,25.9,124.5,488,22.9
1300900321W,13,009,00321W,399.2,1418.2,22,410.2,1354.3,50.9,391.2,1345.3,46.9,384.2,1323.4,38.9
1300900CTY1,13,009,00CTY1,188.3,589.4,9.2,191.3,577,13.4,186.2,554.8,29.5,182.2,562.8,19.4
1300900CTY2,13,009,00CTY2,154.2,335.8,6,154.2,316.6,18.1,152.1,301.5,26.2,155.2,308.5,11.2
1300900CTY3,13,009,00CTY3,132.8,542.2,6,140.8,522.4,13.9,125.9,511.5,21.8,129.8,505.5,20.8
1300900CTY4,13,009,00CTY4,113.6,171.1,6,113.6,168,8.1,105.5,159,16.1,103.5,157,15.1
1300900CTY5,13,009,00CTY5,212.7,711.8,10,218.7,681.7,25,206.7,665.7,36.1,201.7,667.7,32
1300900CTY6,13,009,00CTY6,897.7,898.3,23.2,907,858.9,42.5,900,804.2,67.1,901.2,807,54.4
1300900MERI,13,009,00MERI,1344.7,818,25.6,1337.8,776.7,55.1,1332.8,735.3,70.9,1324,742.2,55.1
1300900MONT,13,009,00MONT,1590.6,1168.6,28.1,1570.4,1136.1,62.4,1560.1,1079.1,84.4,1540.9,1089,57.4
13011000001,13,011,000001,940.3,109.5,12.7,920.7,107,27.2,897.3,99.4,32.8,900.1,101.1,30.8
