GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREIBLA,G20PREONON
32003001602,32,003,001602,527,338,8,0,14
32003001603,32,003,001603,542,300,5,0,11
32003001604,32,003,001604,550,412,7,0,6
32003001605,32,003,001605,602,381,8,1,8
32003001606,32,003,001606,240,281,5,1,10
32003001607,32,003,001607,174,140,4,1,1
32003001608,32,003,001608,726,854,9,5,16
32003001609,32,003,001609,901,693,23,2,17
32003001611,32,003,001611,775,431,9,0,9
32003001612,32,003,001612,892,833,15,2,13
32003001613,32,003,001613,476,340,8,4,4
32003001614,32,003,001614,459,414,7,0,5
32003001615,32,003,001615,521,420,12,1,5
32003001616,32,003,001616,381,356,5,2,4
32003001617,32,003,001617,705,457,6,3,15
32003001618,32,003,001618,756,485,3,1,10
32003001619,32,003,001619,891,775,16,5,16
32003001621,32,003,001621,502,351,6,1,13
32003001623,32,003,001623,261,201,2,1,9
32003001624,32,003,001624,300,245,4,2,5
32003001625,32,003,001625,449,370,5,4,7
32003001631,32,003,001631,658,460,11,0,14
32003001632,32,003,001632,388,258,6,0,7
32003001633,32,003,001633,826,405,7,3,13
32003001634,32,003,001634,609.2,235.1,8.7,4.9,6.8
32003001635,32,003,001635,483,196,8,2,5
32003001641,32,003,001641,480,349,5,3,5
32003001642,32,003,001642,347.9,179,7,4,5
32003001643,32,003,001643,513,509.6,5.4,1.4,9.3
32003001644,32,003,001644,8.3,7.1,0.2,0,0.1
32003001645,32,003,001645,133,84,3,0,2
32003001651,32,003,001651,171,400,4,1,1
32003001652,32,003,001652,1091,610,11,3,18
32003001653,32,003,001653,812,411,18,2,12
32003001655,32,003,001655,841,360,10,0,6
32003001661,32,003,001661,819,462,19,2,8
32003001662,32,003,001662,606,432,11,2,10
32003001664,32,003,001664,427,485,4,1,4
32003001665,32,003,001665,0,0,0,0,0
32003001668,32,003,001668,1165.4,1500,20,4,25
32003001669,32,003,001669,278.5,328.2,3,1,1
32003001670,32,003,001670,657,576,16,5,6
32003001671,32,003,001671,12.3,27.3,1.1,0,0.1
32003001672,32,003,001672,620,509,5,1,11
32003001673,32,003,001673,21.5,13.8,0.5,0,0.3
32003001674,32,003,001674,575.1,774.2,3,2,14
32003001675,32,003,001675,529.8,689.7,12,0,10
32003001676,32,003,001676,251,317,4,1,6
32003001677,32,003,001677,461,507,11,0,9
32003001678,32,003,001678,380,541,7,5,13
32003001679,32,003,001679,503,563,13,2,9
32003001680,32,003,001680,845,729,17,2,10
32003001681,32,003,001681,16.1,38.1,0,0,0
32003001682,32,003,001682,654,464,20,5,12
32003001683,32,003,001683,747.5,520.4,17.8,1,10.9
32003001684,32,003,001684,170,215,4,2,4
32003001685,32,003,001685,3.8,0.8,0,0,0
32003001686,32,003,001686,380.5,544,9.9,2,5
32003001687,32,003,001687,623,548,13,1,15
32003001688,32,003,001688,537,468,14,2,9
32003001689,32,003,001689,514,442,6,1,5
32003001691,32,003,001691,2.1,2.5,0,0,0
32003001692,32,003,001692,52.2,128.2,0,0,3
32003001693,32,003,001693,202,388,6,2,3
32003001694,32,003,001694,0,0,0,0,0
32003001695,32,003,001695,700,498,9,3,11
32003001702,32,003,001702,690,575,11,0,12
32003001703,32,003,001703,907,508,5,4,12
32003001704,32,003,001704,527.8,463.5,9.1,1,3.1
32003001711,32,003,001711,98.6,62.1,2.7,0,0
32003001712,32,003,001712,1111,1137,20,5,18
32003001713,32,003,001713,699.1,658.4,17,1,10.1
32003001715,32,003,001715,366.6,548.5,3,0,9.9
32003001717,32,003,001717,549.3,639.1,4.1,0,8.5
32003001718,32,003,001718,537,652,1.7,0,8.3
32003001719,32,003,001719,551.6,626.8,3.3,1,8.1
32003001720,32,003,001720,428.2,488.2,2.3,5.8,5.2
32003001721,32,003,001721,471.4,665.5,2,2,12.1
32003001722,32,003,001722,315.7,390.7,0,2,8.8
32003001727,32,003,001727,1087.6,1332.1,12.8,4.1,23.3
32003001732,32,003,001732,52,50,2,0,1
32003001750,32,003,001750,479,745,15,3,7
32003001751,32,003,001751,347.1,850.2,9.1,2,8.1
32003001753,32,003,001753,71,143,0,0,2
32003001903,32,003,001903,0,0,0,0,0
32003001905,32,003,001905,0,0,0,0,0
32003001906,32,003,001906,12.4,7.8,0.3,0,0
32003001907,32,003,001907,0.8,0.8,0,0,0
32003001908,32,003,001908,0,0,0,0,0
32003001909,32,003,001909,0.1,0.1,0,0,0
32003001912,32,003,001912,0,0,0,0,0
32003001915,32,003,001915,0,0,0,0,0
32003001917,32,003,001917,0,1,0,0,0
32003001918,32,003,001918,0,0,0,0,0
32003001919,32,003,001919,0,0,0,0,0
32003001920,32,003,001920,168.2,177.9,3.4,0.6,3.1
32003001921,32,003,001921,0,0,0,0,0
32003001922,32,003,001922,0,0,0,0,0
32003001923,32,003,001923,0,0,0,0,0
32003001924,32,003,001924,0,0,0,0,0
32003001925,32,003,001925,2,2.1,0,0,0
32003001926,32,003,001926,2,2.1,0,0,0
32003001928,32,003,001928,0,0,0,0,0
32003001929,32,003,001929,0,0,0,0,0
32003001930,32,003,001930,8.3,19.1,0.3,0,0.2
32003001935,32,003,001935,2.5,3.8,0.1,0,0.1
32003001940,32,003,001940,0,0,0,0,0
32003001943,32,003,001943,2.4,2.6,0,0,0
32003001946,32,003,001946,0,0,0,0,0
32003001959,32,003,001959,8.9,9.4,0.2,0,0.2
32003001960,32,003,001960,8.2,8.7,0.2,0,0.1
32003001964,32,003,001964,0,0,0,0,0
32003002008,32,003,002008,537,627,17,0,12
32003002037,32,003,002037,572,594,11,3,9
32003002044,32,003,002044,685,848,11,2,18
32003002078,32,003,002078,1.3,7,0.1,0,0.1
32003002126,32,003,002126,228,198,3,1,5
32003002352,32,003,002352,407,504,7,0,3
32003002353,32,003,002353,426.7,594.3,4.9,3.9,8.9
32003002354,32,003,002354,378.3,387.7,8.1,2.1,5.1
32003002356,32,003,002356,0,0,0,0,0
32003002360,32,003,002360,1133,468,15,3,15
32003002366,32,003,002366,681,516,9,4,10
32003002371,32,003,002371,515,469,6,2,6
32003002372,32,003,002372,612,430,13,2,14
32003002373,32,003,002373,424,362,7,0,8
32003002380,32,003,002380,681,419,13,3,15
32003002381,32,003,002381,860,385,12,1,14
32003002382,32,003,002382,922,551,11,4,19
32003002383,32,003,002383,868,564,18,8,15
32003002384,32,003,002384,920,753,30,0,25
32003002385,32,003,002385,601,451,16,3,13
32003002386,32,003,002386,825,607,12,5,8
32003002387,32,003,002387,1317,778,24,4,18
32003002390,32,003,002390,725,515,9,2,13
32003002391,32,003,002391,391,370,6,0,4
32003002392,32,003,002392,568,377,16,5,9
32003002393,32,003,002393,852,580,12,0,15
32003002394,32,003,002394,1154,616,18,7,15
32003002399,32,003,002399,1595.2,1007.5,37.6,3.1,28.2
32003002400,32,003,002400,1470.9,614.5,19.8,6.9,11.9
32003002401,32,003,002401,4,2,0,0,0
32003002405,32,003,002405,6.8,3.1,0.1,0,0.1
32003002406,32,003,002406,1,0,0,0,0
32003002407,32,003,002407,3,6,1,0,0
32003002408,32,003,002408,2,0,0,0,0
32003002409,32,003,002409,1034,603,25,5,17
32003002417,32,003,002417,119.2,69.4,5.9,1,2.9
