GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREICAS,G16PRENROC,G16PREONON,G16USSDCOR,G16USSRHEC,G16USSIJON,G16USSNSAW,G16USSNGUM,G16USSNWIL,G16USSONON
32001000001,32,001,000001,164.7,529.2,35.5,2.8,2.5,24.8,172.8,510.4,19.6,11.1,13.8,2.2,27.5
32001000002,32,001,000002,203.5,417.1,40.1,4.3,1.6,24.6,176.3,432.9,17.3,13.8,10.7,6.4,26.1
32001000003,32,001,000003,86.9,230.4,15.1,6,1.5,12.8,83.8,237.9,5.3,3.8,6,0.8,15.1
32001000004,32,001,000004,129.1,334.7,34.2,1.1,0.1,16.5,133.8,311.3,10.1,16.6,7.7,3.9,25.6
32001000005,32,001,000005,92.5,222.1,15.3,1.6,3.2,12.9,95,205.2,12.1,7.2,4,2.4,18.5
32001000006,32,001,000006,102.4,325.6,30.3,1,1,11.4,115.6,322.6,8.2,7.1,4,2,9.2
32001000007,32,001,000007,122.4,516.5,16.4,2.2,2,23.4,113.3,514.7,11.2,11.1,10.2,2,20.4
32001000008,32,001,000008,60.1,186.5,15.1,3,1.6,6.3,60.2,177.2,9.2,6.8,1.6,2.3,13.8
32001000009,32,001,000009,93.8,295.7,11.6,10.1,0,16.9,83.7,312.4,6.6,8.4,1.4,0.3,14.9
32001000010,32,001,000010,103.8,446.8,24.1,3,0.8,18,102.3,455.9,6.8,9.8,0,1.5,19.6
32001000011,32,001,000011,140.4,607.9,37.1,9,1,23.1,141.4,607.9,16,10,4,4,28.1
32001000012,32,001,000012,47.1,195.7,11.8,3.6,0.9,7.2,46.2,193.9,9.1,6.3,0.9,0.9,9.1
32001000013,32,001,000013,52,355,15,3,2,4,60,349,5,5,3,1,7
32001000014,32,001,000014,86.5,407,17.7,6.9,1,14.8,89.5,393.2,19.7,6.9,3,1,17.7
32001000015,32,001,000015,79.7,419.4,18.4,2.6,0.9,22.8,86.7,422.1,9.6,7.9,2.6,2.6,13.1
32001000016,32,001,000016,132.3,261.6,17.1,6.4,1.1,22.6,141.1,254.5,10.9,6.6,1.1,6,17.9
32001000017,32,001,000017,182.1,835.7,44.9,12,1.2,31.9,204.6,797.7,25.2,27.2,12,5.5,32.4
32001000018,32,001,000018,208.1,737.5,31,1,2,23,204.1,719.4,27,14,5,10,21
32001000019,32,001,000019,96.1,408.9,12.9,11,0,10.2,102.4,399.2,13.3,9.3,3.1,2.1,9.6
32001007-01,32,001,007-01,0,0,0,0,0,0,0,0,0,0,0,0,0
32001008-01,32,001,008-01,17.6,55.2,4.5,0.9,0.4,1.8,17.7,52.5,2.7,2,0.5,0.7,4.1
32001008-02,32,001,008-02,0.9,2.4,0.2,0,0,0.1,1,2.2,0.1,0.1,0.1,0,0.2
32001008-03,32,001,008-03,0,0,0,0,0,0,0,0,0,0,0,0,0
32001012-01,32,001,012-01,0,0,0,0,0,0,0,0,0,0,0,0,0
32001012-02,32,001,012-02,0,0,0,0,0,0,0,0,0,0,0,0,0
