GEOID,G18USSDHIR,G18USSRCUR,G18GOVDIGE,G18GOVRTUP,G18GOVGBRE,G18GOVITER
150010210112032,0,0,0,0,0,0
150010210112014,45.9,16.1,39.2,20.8,1.9,0.6
150010210103056,9.1,3,7.9,3.8,0.5,0.1
150010215071144,40.8,19.2,36.7,20.8,2.2,0.6
150010216013001,4.6,2.6,4.4,2.6,0.2,0
150010215021044,70.8,43.7,65.8,45.8,3.1,0.7
150010215041005,36.2,17.5,31.2,20.1,1.6,0.6
150010215022032,0,0,0,0,0,0
150010216044031,0,0,0,0,0,0
150010216044017,28.8,18.1,27.7,17.2,1.6,0.3
150010215022018,46.8,14.8,43.2,15.6,2.2,0.8
150010215092012,14.9,9.4,14.3,8.9,0.8,0.2
150010216044021,12.5,7.9,12.1,7.5,0.7,0.2
150010216045003,11.5,7.2,11.1,6.9,0.7,0.1
150010211011064,0.7,0.2,0.6,0.3,0.1,0
150010211061034,2.5,0.6,2,0.9,0.2,0
150010211061018,4.5,1.1,3.7,1.6,0.3,0
150010211061005,2.2,0.6,1.8,0.8,0.2,0
150010211064138,2.9,0.7,2.5,0.9,0.2,0
150010211064008,8.5,2.1,7.4,2.7,0.6,0.1
150010211061040,8.4,2.7,7.4,3.4,0.4,0.1
150010211061060,0,0,0,0,0,0
150010211011023,13.4,3.3,11.6,4.2,1,0.2
150010211012045,0,0,0,0,0,0
150010211011065,0,0,0,0,0,0
150010211012001,11,2.7,9.5,3.4,0.8,0.1
150010211064052,0.2,0.1,0.2,0.1,0,0
150010211012020,3.7,0.9,3.2,1.1,0.3,0
150010211061036,0,0,0,0,0,0
150010211063051,5.3,1.7,4.7,2.2,0.3,0.1
150010211062007,2.5,0.8,2.2,1,0.1,0
150010211063018,0,0,0,0,0,0
150010213002047,1.7,0.5,1.5,0.5,0.1,0
150010213001070,4.3,1.5,3.9,1.5,0.3,0
150010213001081,1.8,0.6,1.6,0.6,0.1,0
150010213001157,0,0,0,0,0,0
150010214021073,0,0,0,0,0,0
150010214021021,0,0,0,0,0,0
150010214021026,2.2,0.6,2,0.7,0.1,0
