GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOHED,G16PREOFUE
28035000101,28,035,000101,588,174,17,6,3,0,0
28035000102,28,035,000102,203.35,613.59,32,12.63,9.46,1,0
28035000103,28,035,000103,412.02,482.22,48.56,13.07,3.74,0,0.94
28035000104,28,035,000104,312.22,414.96,27.93,6.98,2,0,1
28035000107,28,035,000107,1044.55,112.41,16.91,5.97,4.97,0,0.99
28035000108,28,035,000108,122.53,160.69,16.14,3.56,0.27,0.44,0.07
28035000109,28,035,000109,420.45,22.59,7.09,2.03,3.03,0,0.01
28035000110,28,035,000110,309.18,131.54,8.07,2.01,2.01,0,0
28035000201,28,035,000201,425,404,9,3,3,0,0
28035000202,28,035,000202,523,149,9,2,2,0,0
28035000203,28,035,000203,247.79,615.08,6.86,4.9,1.96,0.98,0.98
28035000204,28,035,000204,34.97,261.13,6.99,0.78,3.11,0,0
28035000205,28,035,000205,39,605,5,2,3,0,0
28035000206,28,035,000206,5,398,0,0,3,0,0
28035000207,28,035,000207,316,199,15,3,1,0,0
28035000301,28,035,000301,1593,270,34,3,8,1,1
28035000302,28,035,000302,1029.89,116.92,18.17,4.78,4.78,0.13,0
28035000303,28,035,000303,781.11,114.08,34.83,5.22,5.22,0.87,0
28035000304,28,035,000304,1706.86,254.77,29.42,7.11,4.11,1.01,0.03
28035000305,28,035,000305,945.8,176.4,25.44,5.9,6.85,0.97,1.95
28035000306,28,035,000306,447.59,204.04,3.87,1.93,0.97,0.05,0
28035000402,28,035,000402,276,41,2,0,2,0,0
28035000404,28,035,000404,72.9,1478.82,8.03,6.01,5.01,0.02,1
28035000405,28,035,000405,200.27,584.39,26.38,3.39,0,0.56,0
28035000406,28,035,000406,7,532,2,1,2,0,0
28035000408,28,035,000408,307,126,11,4,2,0,1
28035000409,28,035,000409,193.84,797.58,7.24,2.27,1.96,3.94,0.02
28035000501,28,035,000501,400,24,4,0,0,1,0
28035000502,28,035,000502,617,21,6,0,0,1,0
28035000503,28,035,000503,145,32,3,1,0,0,0
28035000504,28,035,000504,253.71,539.43,32.04,6.21,5.15,0,0
28035000505,28,035,000505,93.77,666.73,12.09,8.06,6.01,1.02,0.02
28035000506,28,035,000506,328.37,510.17,51.02,10.2,7.42,0,0
28035000507,28,035,000507,1058.82,483.46,61.93,10.99,7.99,2,0
28037000101,28,037,000101,97.58,66.04,0.99,0.99,1.97,0,0
28037000102,28,037,000102,158.17,279.25,3.02,3.05,1.05,0,0
28037000103,28,037,000103,66.83,185.75,0.98,2.95,2.95,0,0
28037000201,28,037,000201,110,9,1,0,0,0,0
28037000202,28,037,000202,175,178,1,0,1,0,1
28037000203,28,037,000203,322,74,4,0,4,1,1
28037000301,28,037,000301,23.05,55.32,0,0,0,0.77,0
28037000302,28,037,000302,302.11,415.04,4.18,2.09,1.38,2.01,0
28037000401,28,037,000401,310.67,42.95,3,0,2,0,0
28037000403,28,037,000403,259,60,1,3,2,0,0
28037000404,28,037,000404,145,23,0,1,0,0,0
28037000501,28,037,000501,335,12,1,0,0,0,0
28037000502,28,037,000502,221.64,29.03,1.82,0.91,3.62,0,0
28037000503,28,037,000503,187,56,0,2,3,0,0
28039000101,28,039,000101,1109,65,10,1,6,1,2
28039000102,28,039,000102,279,21,3,2,3,0,0
28039000103,28,039,000103,277,14,2,1,2,0,0
28039000104,28,039,000104,246,14,3,2,0,0,1
28039000201,28,039,000201,206.12,26.76,5.95,1.98,0,0,0
28039000202,28,039,000202,361,19,4,0,2,0,0
28039000203,28,039,000203,774.2,34,4,1.99,2,0,1
28039000204,28,039,000204,351,21,0,0,5,0,0
28039000205,28,039,000205,318.39,22.15,1.02,0.01,2.01,0,0
28039000301,28,039,000301,141,22,1,1,0,0,0
28039000302,28,039,000302,224.34,15.62,0.71,0,2.13,0.71,0
28039000303,28,039,000303,788.58,154.8,8.38,1,3.9,0.38,0
28039000304,28,039,000304,615.41,57.85,7.98,0,2.99,0,0
28039000401,28,039,000401,622.27,77.49,11.06,3.02,3,1,0
28039000402,28,039,000402,365.25,71.56,5.1,1,0.03,0,0.02
28039000403,28,039,000403,621.98,33.96,5.82,0,1.94,0,0.97
28039000404,28,039,000404,71,10,0,0,0,0,0
28039000501,28,039,000501,299.62,191.75,7.99,1,3,1,0
28039000502,28,039,000502,245,15,5,2,1,0,0
28039000503,28,039,000503,206.71,20.14,1.03,0,1.01,0,0
28039000504,28,039,000504,412.14,116.92,2.97,0,0.99,2.91,0.01
28039000505,28,039,000505,161,3,1,1,2,0,1
28041000101,28,041,000101,989.13,83.86,4.07,0.07,4.06,1,0
28041000201,28,041,000201,174.16,218.03,1.31,0.94,0.94,0,0
28041000202,28,041,000202,215.56,289.87,1.63,0,0,0,0
28041000302,28,041,000302,186,6,3,0,1,1,0
28041000303,28,041,000303,302,4,4,1,1,0,2
28041000304,28,041,000304,450,28,0,0,1,0,0
28041000402,28,041,000402,428.85,45.73,2.98,0.99,1.99,0,0
28041000403,28,041,000403,543,65,3,0,3,1,1
28041000501,28,041,000501,193.16,8.08,2.03,0,0.06,0,0
28041000502,28,041,000502,324.31,12.41,1,1,0,0,0
28041000503,28,041,000503,88.8,49.89,0,0,2,0,1
28041000504,28,041,000504,160.18,156.22,2.01,0,1.01,0,0
28041000505,28,041,000505,279.84,6.92,2.97,0,4.94,0,0
28043000102,28,043,000102,1071.81,493.06,15.58,3.9,2.92,1.95,0
28043000103,28,043,000103,417.13,86.4,2.42,3.11,0.08,2.05,0
28043000104,28,043,000104,226,107,0,0,0,0,0
28043000201,28,043,000201,348.29,211.57,2,1,0,0,0
28043000202,28,043,000202,435.02,72.57,6.12,0,1,0,0
28043000203,28,043,000203,538.66,167.04,6.84,0,0,0,0
28043000301,28,043,000301,395.16,1042.78,9.98,5.99,2,2,0
28043000304,28,043,000304,95,171.8,0.59,0.56,1.68,0,0
28043000401,28,043,000401,110.24,1297.51,4.74,1.88,5.65,0,1.88
28043000402,28,043,000402,558.26,96.13,5.99,0.01,0.01,1,0
28043000403,28,043,000403,73.06,135.55,0.44,0.44,1.32,0,0
28043000501,28,043,000501,1161.37,357.59,12.29,3.12,2.35,0,0.12
28043000502,28,043,000502,540,185,2,2,0,1,1
28045000001,28,045,000001,366,169,7,1,4,0,0
28045000003,28,045,000003,1009.66,120.37,16.05,4.02,4,0,1
28045000005,28,045,000005,224.38,72.16,9.88,2.97,0.99,0,0
28045000006,28,045,000006,507.57,262.42,20.06,7.01,2.01,0,0
28045000007,28,045,000007,745,254,16,6,5,1,0
28045000008,28,045,000008,705,265,33,9,3,2,0
28045000009,28,045,000009,156,372,4,3,2,0,0
28045000010,28,045,000010,309,226,15,5,2,0,0
28045000011,28,045,000011,566.86,145.96,18,2,5,1,2
28045000012,28,045,000012,375,88,10,1,1,0,0
28045000013,28,045,000013,131.58,67.23,0.96,0.96,0.96,0,0
28045000014,28,045,000014,538.79,97.13,10.01,1,0,0,0
28045000015,28,045,000015,244.02,51.69,5.03,1.04,1.04,0,0
28045000016,28,045,000016,342.97,38.22,3.92,0,0,0,0.98
28045000017,28,045,000017,495.25,49.43,6.58,3.17,1.17,0.02,0.04
28045000018,28,045,000018,2510.34,530.01,72.43,19.13,10.3,3.01,3.01
28045000019,28,045,000019,833.41,182.94,23.77,4.5,4.5,0.88,0.88
28045000020,28,045,000020,618.75,69.68,3.49,2.3,2.3,0.1,0.1
28045000021,28,045,000021,101.17,7.2,3.01,0.04,0.14,0.7,0
28045000022,28,045,000022,386.49,32.97,1.83,0.92,2.75,0,0
28045000023,28,045,000023,670.79,51.75,3.98,2.99,3.98,0,1
28045000024,28,045,000024,617.44,47.61,7.33,1.11,3.96,0.33,0
28045000026,28,045,000026,645.7,36.31,5.89,0,1.96,0,0
28045000027,28,045,000027,586.69,51.88,9.78,4.86,2.94,0.97,0
28045000028,28,045,000028,123.14,55.04,5,0,3,0,0
28047000101,28,047,000101,279.38,746.35,5.99,3.99,2,1,0
28047000108,28,047,000108,467,245,12,4,1,1,0
28047000109,28,047,000109,524.47,416.27,23.01,10.01,1,1,0
28047000110,28,047,000110,518,347,21,9,1,1,0
28047000111,28,047,000111,1958.52,825.58,55.44,17.18,6.69,0.01,0.96
28047000112,28,047,000112,663.42,114.24,7.56,1.79,1.31,1,1.04
28047000113,28,047,000113,241,34,1,0,0,0,1
28047000115,28,047,000115,507,250,13,7,2,1,1
28047000201,28,047,000201,752.47,90.84,14.79,0.99,4.93,0,0
28047000202,28,047,000202,1215,232,22,5,4,0,1
28047000204,28,047,000204,1161.12,788.36,48.84,12.96,4.98,1,0
