GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRWIC,G18USSDBAR,G18USSLBED,G18USSOOHA,R18USSRHYD,R18USSDESP
28047000302,28,047,000302,558.61,516.64,17.99,3,476.66,516.64
28047000303,28,047,000303,289,214,6,3,246,221
28047000304,28,047,000304,567.39,296.36,10.01,0,504.34,291.36
28047000305,28,047,000305,560.92,107.03,8.92,1.98,503.44,111
28047000306,28,047,000306,409.78,61.09,5.34,4.13,339.3,54.24
28047000308,28,047,000308,1005,322,16,1,873,330
28047000310,28,047,000310,1108,453,26,4,930,473
28047000311,28,047,000311,1018.91,259.63,14.94,4.67,884.42,250.29
28047000312,28,047,000312,609.66,149.63,13.67,6.21,543.63,160.22
28047000313,28,047,000313,234.91,39.8,9.71,0,217.43,34.94
28047000314,28,047,000314,865.09,207.41,16.36,3.12,738.8,194.19
28047000315,28,047,000315,275.29,28.88,4.75,2.89,234.25,26.76
28047000401,28,047,000401,43,273,1,4,35,298
28047000402,28,047,000402,189,403,7,3,156,424
28047000404,28,047,000404,131,488,5,2,90,567
28047000405,28,047,000405,60,695,2,8,36,782
28047000406,28,047,000406,65,471,4,1,46,507
28047000407,28,047,000407,25.82,434.93,2.98,1.99,8.94,457.77
28047000408,28,047,000408,100,386,4,4,83,434
28047000409,28,047,000409,731.01,1149.01,24,6,621.01,1226.01
28047000410,28,047,000410,379.18,611.05,12.02,6.01,295.06,649.22
28047000411,28,047,000411,41.09,806.2,2.29,5,19.57,882.06
28047000501,28,047,000501,510.83,351.31,3.9,4.72,452.45,359.68
28047000502,28,047,000502,555,358,16,8,505,399
28047000503,28,047,000503,1408,747,26,2,1235,783
28047000504,28,047,000504,635,234,18,4,563,242
28047000505,28,047,000505,958,488,23,5,854,500
28047000506,28,047,000506,1436.63,349.68,26.32,8.16,1292.4,325.46
28047000507,28,047,000507,691.5,123.22,4.3,4.05,597.54,130.1
28047000508,28,047,000508,1120.45,178.59,16.13,3.24,988.9,171.51
28047000509,28,047,000509,647.05,289.76,14.68,6.85,550.14,307.38
28047000510,28,047,000510,1075,422,27,9,950,461
28049000101,28,049,000101,538,171,5,3,472,210
28049000102,28,049,000102,808.92,357.52,9.99,3,703.06,398.47
28049000103,28,049,000103,708.13,245.88,10.36,2.1,640.98,287.38
28049000104,28,049,000104,150.97,393.69,2.5,1.67,139.29,408.7
28049000105,28,049,000105,106,391,3,1,88,414
28049000106,28,049,000106,36,373,2,4,24,406
28049000108,28,049,000108,173,308,13,1,140,313
28049000109,28,049,000109,317.66,430.44,9.01,2,255.58,448.47
28049000110,28,049,000110,51,610,6,3,31,643
28049000111,28,049,000111,63,732,7,8,30,818
28049000112,28,049,000112,315.83,763.28,6.25,10.07,275.86,849.93
28049000113,28,049,000113,695,444,11,8,608,466
28049000114,28,049,000114,702,1100,12,5,643,1142
28049000115,28,049,000115,343.9,486.78,3.1,3.16,302.27,513.19
28049000116,28,049,000116,143,782,8,6,100,875
28049000117,28,049,000117,47.72,812.15,3.9,11.69,21.42,917.32
28049000118,28,049,000118,58.01,1198.63,2.99,6.08,17.88,1279.34
28049000119,28,049,000119,23.28,780.22,4.12,1.23,10.69,812.34
28049000120,28,049,000120,52,1515,7,10,17,1625
28049000121,28,049,000121,347.64,198.97,3.34,0.1,300.74,199.75
28049000201,28,049,000201,5.88,231.12,0.98,1.96,2.94,246.79
28049000202,28,049,000202,15.27,358.73,2.84,1.72,1.7,402.08
28049000203,28,049,000203,11.88,279.41,2.2,1.32,1.32,313.29
28049000204,28,049,000204,284,270,6,0,244,299
28049000206,28,049,000206,198.96,603.58,12.67,3.73,169.9,643.07
28049000207,28,049,000207,68.04,206.42,4.33,1.27,58.1,219.93
28049000208,28,049,000208,25,480,4,4,8,536
28049000209,28,049,000209,33,608,5,10,6,736
28049000210,28,049,000210,18.7,577.49,5,6.53,3.35,664.29
28049000211,28,049,000211,19.49,343.78,1.77,2.95,3.54,415.85
28049000212,28,049,000212,27.3,667.51,0,8.47,5.65,728.71
28049000213,28,049,000213,27.37,556.26,6.84,7.82,3.91,597.32
28049000214,28,049,000214,20,353,3,5,3,386
28049000215,28,049,000215,14.47,297.6,3.12,4.13,1.07,340.31
28049000216,28,049,000216,34,908,8,4,7,1038
28049000217,28,049,000217,41.42,1234.76,5.92,12.82,10.85,1351.14
28049000218,28,049,000218,27.48,689.16,2.13,8.22,4.27,782.64
28049000219,28,049,000219,214.55,619.99,19.85,4.11,198.2,671.96
28049000220,28,049,000220,326.95,798.8,12.43,20.14,249.18,941.7
28049000221,28,049,000221,976.34,979.68,24.15,7.6,860.6,1073.41
28049000222,28,049,000222,10.88,122.7,0,1.98,0.99,142.49
28049000223,28,049,000223,187.42,160.19,9.28,3.1,176.84,174.1
28049000224,28,049,000224,69.79,128.35,0.11,1.85,59.42,136.6
28049000225,28,049,000225,53.54,302.88,2.16,1.07,46.72,348.63
28049000226,28,049,000226,152.44,241.21,5.51,1.84,142.34,257.72
28049000227,28,049,000227,20.45,197.03,4.27,4,14.77,216.5
28049000228,28,049,000228,416.67,184.57,9.5,3.72,398.91,206.83
28049000229,28,049,000229,264.98,244.66,7.03,3.15,236.34,254.06
28049000301,28,049,000301,9,197,1,2,3,214
28049000302,28,049,000302,21,767,12,6,7,873
28049000303,28,049,000303,13,337,5,5,9,372
28049000304,28,049,000304,18.61,569.97,4.06,4.09,7.24,625.11
28049000305,28,049,000305,29.4,440.12,2.71,3.58,13.04,511.65
28049000306,28,049,000306,22.14,289.98,2.21,3.32,8.85,331.48
28049000307,28,049,000307,67,886,11,5,37,997
28049000308,28,049,000308,32.93,277.71,2.74,4.39,24.15,326
28049000309,28,049,000309,22,482,3,5,4,529
28049000310,28,049,000310,50,327,3,2,28,376
28049000311,28,049,000311,4,199,0,2,0,217
28049000312,28,049,000312,18,346,2,6,3,395
28049000313,28,049,000313,11,166,2,3,1,193
28049000314,28,049,000314,15,354,3,2,1,392
28049000315,28,049,000315,3.32,186.4,2.02,1.06,1.17,206.85
28049000316,28,049,000316,16.11,246.58,3.07,1.04,3.04,305.29
28049000317,28,049,000317,16.63,217.81,1.66,2.49,6.65,248.99
28049000318,28,049,000318,30.58,578.03,6.9,6.9,14.8,662.86
28049000319,28,049,000319,36.51,507.78,3.56,4.16,19.7,579.08
28049000320,28,049,000320,166.13,1389.25,13.46,9.94,115.69,1520.21
28049000321,28,049,000321,47.82,623.49,6.44,6.44,26.67,706.26
28049000322,28,049,000322,60,445.36,2.64,3.54,33.81,491.28
28049000323,28,049,000323,87.04,1053.3,13.69,12.71,50.86,1177.5
28049000401,28,049,000401,495.67,348.54,14.51,3.82,421.33,377.03
28049000402,28,049,000402,982.01,593.4,21.91,7.62,929.62,664.83
28049000403,28,049,000403,682.18,650.82,18.62,3.92,691.98,734.13
28049000404,28,049,000404,285.93,374.1,10.98,4.99,252.89,425.94
28049000405,28,049,000405,402.73,242.95,7.59,4.73,337.57,262.97
28049000406,28,049,000406,376,546,12,7,322,591
28049000407,28,049,000407,767.29,511.42,18.38,12.38,697.86,583.25
28049000408,28,049,000408,787.22,550.46,14.8,5.92,742.83,590.91
28049000409,28,049,000409,754.78,1168.61,15.37,16.04,700.1,1273.2
28049000410,28,049,000410,25,284,2,6,16,323
28049000411,28,049,000411,52.22,314.28,6.36,6.5,33,355.26
28049000412,28,049,000412,27.07,228.29,2.26,3.61,19.85,268
28049000413,28,049,000413,32.27,141.64,3.28,0,22.42,159.14
28049000414,28,049,000414,113.91,898.68,9.65,13.51,81.07,1059.81
28049000415,28,049,000415,94.73,630.36,3.72,2,66.58,716.86
28049000416,28,049,000416,15.33,128.37,1.26,0.9,10.82,140.36
28049000417,28,049,000417,186.92,798.65,3.07,9.04,141.8,866.77
28049000418,28,049,000418,340.46,1182.25,12.83,6.91,320.73,1380.6
28049000419,28,049,000419,684.72,666.27,18.77,8.02,641.9,732.11
28049000420,28,049,000420,211.76,113.49,1.93,1.99,200.44,127.47
28049000421,28,049,000421,719.53,536.03,13.73,8.05,630.72,576.8
28049000422,28,049,000422,272.62,818.1,4.1,8.05,234.47,872.63
28049000501,28,049,000501,103.96,400.76,5.08,3.02,70.25,425.94
28049000502,28,049,000502,10,103,2,4,6,129
28049000503,28,049,000503,572.17,611.35,6,1.24,507.7,675.47
28049000504,28,049,000504,8.07,245.29,5,3,2.03,283.32
28049000506,28,049,000506,70.93,302.71,3,5,31.97,339.68
28049000507,28,049,000507,324.54,888.09,6.53,8.27,266.91,975.06
28049000508,28,049,000508,14,200,4,5,4,243
28049000509,28,049,000509,17,242,4,4,7,280
28049000510,28,049,000510,7.12,173.88,3.02,2.04,0.06,219.21
28049000511,28,049,000511,12,254,2,1,1,290
28049000512,28,049,000512,7,226,0,1,0,254
28049000513,28,049,000513,8,264,2,4,4,306
28049000514,28,049,000514,40.77,154.55,1.06,1.06,32.61,177.24
28049000515,28,049,000515,30,235.98,4,3,15,276.97
28049000516,28,049,000516,17.45,311,2.18,2.18,3.93,357.24
28049000517,28,049,000517,9.76,174,1.22,1.22,2.2,199.86
28049000518,28,049,000518,12.39,220.92,1.55,1.55,2.79,253.77
28049000520,28,049,000520,15.14,239.84,3.01,2.02,1.04,284.15
28049000521,28,049,000521,11,214,2,2,3,236
28049000522,28,049,000522,76.25,279.17,1.98,1.94,61.28,320.11
28049000523,28,049,000523,313.29,299.56,5.29,4.51,275.82,330.5
28049000524,28,049,000524,361.89,199.88,8.05,2.65,322.45,227.42
28049000525,28,049,000525,12,668,3,2,2,712
28049000526,28,049,000526,3.26,375.23,0.04,3.03,0.05,343.99
28049000527,28,049,000527,98.19,392.96,7.03,5.99,72.05,441.7
28049000528,28,049,000528,1166.12,710.34,27.24,5.45,1125.59,780.65
28051000101,28,051,000101,83,502,4,6,73,702
28051000102,28,051,000102,33.69,286.37,1.98,0.99,23.78,376.55
28051000103,28,051,000103,18.35,146.84,1.02,0.01,16.32,201.5
28051000104,28,051,000104,100.14,246.1,2.4,0.14,106.44,366.85
28051000201,28,051,000201,113.68,173.76,2.04,4,98.81,269.69
28051000202,28,051,000202,39.4,217.94,2.51,0.84,36.04,296.73
28051000301,28,051,000301,92,25,0,1,92,39
28051000302,28,051,000302,43,128,0,0,49,171
28051000303,28,051,000303,74.47,392.8,2.04,2.01,61.65,498.86
28051000304,28,051,000304,68.39,288.24,5.3,5,56.71,414.16
28051000401,28,051,000401,30.16,161.09,0,0.02,28.06,199.66
28051000402,28,051,000402,90,602,9,9,92,918
28051000403,28,051,000403,12.25,94.26,2.83,1.89,7.54,125.37
28051000501,28,051,000501,56.24,109.48,1.72,0.01,44.67,134.85
28051000502,28,051,000502,98.41,716.83,9.39,6,67.65,898.74
28051000503,28,051,000503,129,126,0,4,136,193
28053000101,28,053,000101,27.52,1.97,0,0,25.55,1.97
28053000102,28,053,000102,148.39,444.71,6.59,10.36,111.61,535.15
28053000201,28,053,000201,127.05,303.2,6.87,5.98,121.53,356.93
28053000203,28,053,000203,34,5,0,0,37,6
28053000204,28,053,000204,15.22,145.71,4.28,2.44,8.68,202.52
28053000301,28,053,000301,95.61,150.42,2.59,5.39,87.42,225.09
28053000302,28,053,000302,51.94,8.04,0.03,2.06,52.81,12.11
28053000305,28,053,000305,87.05,286.3,5.77,6.56,71.33,382.5
28053000401,28,053,000401,82.5,31.38,0,0.93,75.94,40.37
28053000402,28,053,000402,148.84,253.73,4.68,8.08,132.44,326.43
28053000501,28,053,000501,51.75,43.73,2.13,4.07,49.59,55.65
28053000502,28,053,000502,77.16,209.31,5.79,2.89,70.41,294.19
28053000504,28,053,000504,8,189,3,10,1,246
28055000101,28,055,000101,49.78,11.81,1.69,0,47.25,19.4
28055000102,28,055,000102,64.41,52.48,0.99,0,59.45,53.48
28055000103,28,055,000103,16.85,100.25,2.95,1.96,8.99,117.91
28055000104,28,055,000104,48.19,63.17,0.06,0.99,40.38,69.25
28055000105,28,055,000105,69.62,31.12,0.01,4.04,62.24,41.38
28057000101,28,057,000101,217,20,1,0,224,20
28057000102,28,057,000102,318,30,1,1,313,30
28057000103,28,057,000103,71.52,7.84,1.96,0,73.47,4.9
28057000104,28,057,000104,145.88,19.99,4.34,1.14,136.49,21.3
28057000105,28,057,000105,159,19,3,1,160,20
28057000202,28,057,000202,383,26,6,5,411,21
28057000203,28,057,000203,122.67,4.32,7.07,0.02,117.54,7.44
28057000204,28,057,000204,464.74,37.96,10.65,3.86,445.15,46.64
28057000205,28,057,000205,202.33,17.68,3.93,0.98,195.46,24.56
28057000206,28,057,000206,234,29,3,2,231,27
28057000301,28,057,000301,364,23,11,0,354,27
28057000302,28,057,000302,255,26,5,1,255,23
28057000303,28,057,000303,170.68,84.85,4.93,1.97,160.82,111.49
28057000305,28,057,000305,143,23,2,1,151,29
28057000306,28,057,000306,166.32,69.15,3.07,0.03,158.18,96.51
28057000307,28,057,000307,95,13,4,2,92,9
28057000401,28,057,000401,665.6,88.43,18.18,5.07,635.35,109.54
28057000404,28,057,000404,112,9,1,2,108,10
28057000407,28,057,000407,237,12,4,0,216,17
28057000409,28,057,000409,217,35,3,3,214,49
28057000501,28,057,000501,419.4,38.57,4.82,1.93,412.65,41.46
28057000502,28,057,000502,367.96,62.39,9.63,0.29,342.68,81.2
28057000504,28,057,000504,102,9,0,0,98,8
28057000505,28,057,000505,224.91,77.83,6.43,0.71,209.2,94.96
28059000101,28,059,000101,261,19,5,2,238,17
28059000102,28,059,000102,1014.65,193.38,22.19,3.13,905.3,203.26
28059000110,28,059,000110,687.54,205.32,9.37,3.81,596.03,208.77
28059000111,28,059,000111,41.36,12.5,0.55,0.23,35.88,12.69
28059000112,28,059,000112,256.13,77.4,3.42,1.41,222.15,78.61
28059000202,28,059,000202,48.19,963.85,8.17,7.35,17.15,1077.39
28059000203,28,059,000203,148.54,746.9,4.13,10.11,122.07,812.69
28059000205,28,059,000205,161.4,258.96,1.8,2.7,146.56,267.95
28059000207,28,059,000207,318,914,8,10,274,961
28059000301,28,059,000301,387.95,112.61,8.48,3.86,343.22,109.52
28059000305,28,059,000305,659,135,4,3,565,142
28059000307,28,059,000307,238.06,58.68,5.61,2.62,201.07,56.43
28059000309,28,059,000309,254,65,3,4,218,57
28059000310,28,059,000310,1514.41,993.09,33.02,25.95,1291.1,1103.17
28059000311,28,059,000311,216.62,142.05,4.72,3.71,184.67,157.79
28059000312,28,059,000312,194.98,127.86,4.25,3.34,166.23,142.03
28059000314,28,059,000314,31.21,7.69,0.73,0.34,26.36,7.4
28059000401,28,059,000401,236,116,1,2,215,123
28059000402,28,059,000402,112,87,3,0,105,84
28059000403,28,059,000403,878,460,18,9,776,476
28059000407,28,059,000407,1329,250,25,8,1212,271
28059000408,28,059,000408,160,15,3,0,140,20
28059000501,28,059,000501,500.05,235.32,8.76,3.76,465,252.84
28059000502,28,059,000502,282.62,130.85,4.96,2.12,262.59,140.55
28059000503,28,059,000503,937.84,382.44,21.54,5.87,803.4,381.79
28059000504,28,059,000504,1185.1,431.3,29,13,1004.09,425.34
28059000505,28,059,000505,131.38,46.76,3.21,1.03,117,48.93
28059000506,28,059,000506,1467.18,667.07,42.72,5.83,1326.38,688.44
28059000507,28,059,000507,513.57,49.65,9.58,3.55,458.24,50.36
28059000509,28,059,000509,169.47,10.24,10.76,0.91,173.24,9.35
28059000511,28,059,000511,75.41,4.77,7.64,0,63.95,4.77
2805900507a,28,059,00507a,930.18,98.24,17.32,6.44,830.8,100.27
280590105-1,28,059,0105-1,2964.82,290.48,36.46,11.98,2494.43,292.51
280590108-1,28,059,0108-1,1088,71,17,6,920,67
280590113-1,28,059,0113-1,503.51,83.76,12.23,3.76,428.22,92.23
280590209-1,28,059,0209-1,398.2,654.72,8.11,9.36,330.17,694.04
280590301-C,28,059,0301-C,18.34,5.32,0.4,0.18,16.23,5.18
280590304-1,28,059,0304-1,801.41,259.74,15.71,3.7,696.03,262.51
280590406-1,28,059,0406-1,995.38,368.55,28.28,3.77,875.67,368.55
280590409-1,28,059,0409-1,749.43,342.04,16.34,9.8,648.13,366.55
28059110-1C,28,059,110-1C,304.39,93.24,4.07,1.69,264,94.79
28059113-1B,28,059,113-1B,13.4,2.23,0.33,0.1,11.39,2.45
28059202-1A,28,059,202-1A,10,199.91,1.69,1.52,3.56,223.46
28059205-1B,28,059,205-1B,197.6,317.04,2.2,3.3,179.44,328.05
28059209-1C,28,059,209-1C,158.77,261.04,3.24,3.73,131.64,276.72
28059209-1D,28,059,209-1D,14.3,23.51,0.29,0.34,11.86,24.92
28059209-1H,28,059,209-1H,66.73,109.72,1.36,1.57,55.33,116.31
28059301-1B,28,059,301-1B,96.71,28.07,2.11,0.96,85.56,27.3
28059304-1a,28,059,304-1a,65.59,21.26,1.29,0.3,56.97,21.49
28059307-1a,28,059,307-1a,367.73,90.63,8.66,4.04,310.58,87.17
28059406-1b,28,059,406-1b,148.49,67.77,3.24,1.94,128.42,72.63
28059406-1C,28,059,406-1C,60.62,22.45,1.72,0.23,53.33,22.45
28059409-1a,28,059,409-1a,368.6,168.23,8.04,4.82,318.78,180.28
28059409-1c,28,059,409-1c,109.47,49.96,2.39,1.43,94.68,53.54
28059503-1A,28,059,503-1A,35.65,14.54,0.82,0.22,30.54,14.51
28059503-1B,28,059,503-1B,10.51,4.28,0.24,0.07,9,4.28
28059503-1C,28,059,503-1C,3.82,1.56,0.09,0.02,3.27,1.56
28059503-1D,28,059,503-1D,449.18,183.17,10.32,2.81,384.79,182.86
28059505-1b,28,059,505-1b,43.82,19.93,1.28,0.17,39.62,20.56
28059505-1B,28,059,505-1B,603.75,214.88,14.74,4.75,537.67,224.86
28059507-1B,28,059,507-1B,10.48,1.01,0.2,0.07,9.35,1.03
28059507-1C,28,059,507-1C,9.67,0.94,0.18,0.07,8.63,0.95
28059508-1a,28,059,508-1a,534.87,190.36,13.06,4.21,476.33,199.21
28061000101,28,061,000101,154.36,27.52,5.07,1.14,163.36,30.02
28061000102,28,061,000102,201.5,173.14,0.98,6.85,166.29,211.29
28061000104,28,061,000104,4.64,45.48,0.93,1.86,4.64,51.98
28061000105,28,061,000105,408.53,112.87,6.02,5.15,374.74,136.72
28061000201,28,061,000201,176.51,359.69,2.76,3.61,163.78,422.01
28061000202,28,061,000202,77.17,25.01,0.3,0.15,79.57,24.76
28061000203,28,061,000203,78.52,110.86,1.82,0.87,74.85,115.55
28061000205,28,061,000205,157.17,135.76,4.98,1.19,145.8,156.93
28061000206,28,061,000206,20.62,161.69,1.13,4.18,20,197.76
28061000301,28,061,000301,265.25,297.06,3.98,6.96,251.35,357.64
28061000303,28,061,000303,196.15,225.52,6.04,6.1,187.59,262.01
28061000304,28,061,000304,110.53,105.11,1.95,2.89,99.1,120.57
28061000401,28,061,000401,280.15,273.06,3.36,5.61,249.37,344.75
28061000402,28,061,000402,566.89,64.25,5.67,9.45,572.55,68.03
28061000501,28,061,000501,48.8,195.7,2.05,3.06,35.62,223.33
28061000502,28,061,000502,134,208,4,5,124,244
28061000503,28,061,000503,107.2,628.3,6.95,7.94,83.38,712.67
28063000001,28,063,000001,128.8,121.63,2.51,5.32,118.46,160.55
28063000003,28,063,000003,47.58,175.65,3.58,8.79,32.08,201.7
28063000004,28,063,000004,24.22,199.04,5.63,8.74,15.06,219.11
28063000005,28,063,000005,13.99,195.87,2.57,4.57,8.49,225.96
28063000008,28,063,000008,34.07,167.14,1.29,4.5,18.64,215.36
28063000009,28,063,000009,60.13,482.12,4.64,9.79,17.62,561.88
28063000010,28,063,000010,12.51,150.59,2.5,2.92,2.09,168.11
28063000011,28,063,000011,19,140,3,2,16,162
28063000012,28,063,000012,87.1,69.9,2,1,88.7,85.2
28063000013,28,063,000013,65.74,247.55,5.29,5.39,32.57,295.99
28063000014,28,063,000014,49,127,2,5,33,152
28063000015,28,063,000015,25.96,351.41,3.99,2.99,7.99,391.34
28065000011,28,065,000011,35,52,4,2,33,62
28065000013,28,065,000013,390.37,362.85,11.75,7.89,359.28,450.62
28065000022,28,065,000022,109.87,37.28,1.96,0.98,112.81,53.95
28065000023,28,065,000023,171.13,64.72,4.04,1.02,152.19,84.05
28065000024,28,065,000024,132,164,1,2,129,201
28065000026,28,065,000026,140.27,131.45,4.09,1.11,127.63,158.94
28065000031,28,065,000031,174.73,557.55,4.91,5.89,140.37,637.06
28065000033,28,065,000033,148,75,5,3,143,98
28065000041,28,065,000041,75,65,5,2,71,76
28065000042,28,065,000042,15,132,0,4,9,155
28065000043,28,065,000043,151,312,7,10,130,371
28065000044,28,065,000044,163,74,2,3,152,96
28065000051,28,065,000051,86,106,1,1,75,144
28065000053,28,065,000053,59.04,153.42,1.29,0.13,60.05,179.73
28065000055,28,065,000055,70.59,163.73,1.96,0.98,66.67,217.65
28065000056,28,065,000056,37,189,0,3,31,220
28067000102,28,067,000102,710.28,441.05,24.2,7.36,616.82,494.57
28067000103,28,067,000103,1052.15,489.17,31.7,13.54,929.5,543.75
28067000104,28,067,000104,909.16,219.01,28.77,8,813.96,243.24
28067000201,28,067,000201,292,16,7,8,271,13
28067000202,28,067,000202,1023.85,86.05,33.24,11.12,938.91,93.71
28067000203,28,067,000203,116.76,7.82,2.57,0.08,122.18,9.57
28067000204,28,067,000204,351.04,260.88,18.37,7.13,327.22,311.21
28067000205,28,067,000205,136.74,47.22,1.97,4.92,133.79,53.12
28067000206,28,067,000206,169.26,269.78,2.03,2.08,158.21,296.88
28067000207,28,067,000207,310,26,10,5,268,28
28067000208,28,067,000208,367.34,31.14,7.94,1.04,324.18,30.3
28067000210,28,067,000210,330,265,13,11,304,291
28067000211,28,067,000211,655.01,159.48,20.88,0.95,584.77,172.77
28067000302,28,067,000302,119.51,138.82,2.76,0.92,99.29,162.72
28067000303,28,067,000303,587.68,43.33,17.06,9.07,527.3,47.56
28067000304,28,067,000304,635.42,36.92,24.29,8.74,579.07,32.06
28067000305,28,067,000305,508.49,117.62,11.79,4.91,459.41,145.06
28067000306,28,067,000306,417.8,35.4,13.32,2.04,398.33,35.3
28067000307,28,067,000307,340.66,16.33,5.75,4.27,337.9,10.23
28067000308,28,067,000308,367.4,93.93,13.2,4.07,326.75,109.99
28067000309,28,067,000309,464.22,29.01,13.06,5.99,427.23,27.97
28067000310,28,067,000310,231.05,14.32,5.18,2.09,199.43,13.34
28067000401,28,067,000401,46.15,2.4,1.68,0.24,44.47,1.68
28067000402,28,067,000402,237.23,76.49,11.79,4.6,212.37,89.1
28067000403,28,067,000403,334,21,12,4,313,18
28067000404,28,067,000404,382.33,116.13,19.7,7.37,342.25,137.17
28067000405,28,067,000405,229.33,13.6,12.63,0.97,214.75,8.75
28067000406,28,067,000406,452.18,128.42,13.19,6.57,409.08,133.28
28067000407,28,067,000407,312.11,21.13,13.99,4.01,283.52,27.56
28067000408,28,067,000408,620.25,31.49,11.47,5.03,567.28,32.22
28067000409,28,067,000409,647.33,46.03,25.72,4.3,605.91,42.19
28067000410,28,067,000410,283.29,133.37,11.13,2.06,257.66,149.38
28067000412,28,067,000412,477.18,30.43,15.24,1.13,443.4,32.52
28067000503,28,067,000503,34.48,949.59,4.93,8.87,15.76,1104.24
28067000505,28,067,000505,16,470,2,2,1,563
28067000506,28,067,000506,431.6,254.44,22.49,6.62,361.35,303.51
28067000509,28,067,000509,22.46,141.13,1.05,0.02,17.31,150.15
28067000510,28,067,000510,230.26,863.06,10.91,13.88,183.66,987.91
28069000101,28,069,000101,181,300,1,3,149,355
28069000102,28,069,000102,36.18,43.32,1.01,1.01,35.17,49.35
28069000201,28,069,000201,102.82,180.68,2.99,2.99,94.83,200.65
28069000202,28,069,000202,97,272,3,2,84,275
28069000204,28,069,000204,11.13,91.17,0,0,10.12,102.21
28069000301,28,069,000301,159,215,2,2,147,238
28069000302,28,069,000302,197,58,3,1,177,69
28069000303,28,069,000303,82,23,0,1,72,25
28069000403,28,069,000403,24,105,1,1,20,122
28069000404,28,069,000404,155,86,1,0,142,94
28069000406,28,069,000406,148,140,1,3,123,180
28069000501,28,069,000501,142,311,8,2,124,342
28069000502,28,069,000502,96.87,129.83,0,1,91.88,154.79
28071000101,28,071,000101,358,45,3,4,306,58
28071000102,28,071,000102,400.31,84.97,3.27,3.04,335.88,95.08
28071000103,28,071,000103,1265.03,888.43,24.01,5.89,1028.17,985.66
28071000201,28,071,000201,92,78,1,0,94,83
28071000202,28,071,000202,1760.62,1580.85,40.59,14.14,1415.77,1713.17
28071000301,28,071,000301,283,25,1,1,222,31
28071000302,28,071,000302,319,421,11,3,283,454
28071000303,28,071,000303,764.77,525.84,17.99,4,632.81,576.83
28071000304,28,071,000304,844.91,1050.85,13.73,8.68,705.08,1067.28
28071000401,28,071,000401,265.82,103.51,6.14,0.1,238.4,111.66
28071000402,28,071,000402,153.68,303.39,2.97,1.98,108.07,333.14
28071000403,28,071,000403,159,69,0,0,139,83
28071000405,28,071,000405,325.32,65.61,7.03,1.02,290.93,79.86
28071000406,28,071,000406,1147.63,1100.4,26.93,6.13,930.22,1147
28071000501,28,071,000501,113.29,10.47,2.46,0,110.21,12.93
28071000502,28,071,000502,369.71,117.53,9.54,1,337.79,129.07
28071000504,28,071,000504,187.35,28.75,1.98,0,169.5,33.7
28071000506,28,071,000506,446.57,482.4,25.36,1.02,355.16,521.63
28073000001,28,073,000001,1630,190,25,12,1472,223
28073000002,28,073,000002,1242.39,491.36,32.96,5.99,1078.6,537.3
28073000003,28,073,000003,330,90,11,5,284,111
28073000004,28,073,000004,431,30,11,6,393,31
28073000005,28,073,000005,856,99,19,3,747,111
28073000006,28,073,000006,953.61,116.64,20.04,3.01,868.4,140.7
28073000007,28,073,000007,1545.79,298.96,29,5,1395.81,323.96
28073000008,28,073,000008,352.21,244.04,15,4,299.19,252.04
28073000009,28,073,000009,453,354,11,4,402,374
28073000010,28,073,000010,456,458,18,6,395,496
28073000011,28,073,000011,325,371,10,4,269,420
28073000012,28,073,000012,854,377,24,6,755,410
28073000013,28,073,000013,917,265,18,12,782,277
28073000014,28,073,000014,300,88,13,7,263,105
28073000015,28,073,000015,336,13,11,2,320,18
28073000016,28,073,000016,1034.8,211.45,32.97,14.97,934.88,262.17
28073000017,28,073,000017,1033.2,87.55,20.03,7.03,971.12,91.83
28073000019,28,073,000019,244,10,7,1,213,12
28073000020,28,073,000020,443.59,389.64,12.99,5.99,364.66,456.57
28073000021,28,073,000021,164,8,2,0,158,9
28073000022,28,073,000022,491,22,11,3,479,19
28073000023,28,073,000023,310,46,16,2,297,51
28073000024,28,073,000024,74,176,3,5,58,204
28075000101,28,075,000101,859.61,415.43,10.01,1.01,732.4,443.51
28075000102,28,075,000102,776,339,12,2,658,359
28075000103,28,075,000103,418,135,7,1,348,147
28075000104,28,075,000104,729,226,8,2,620,243
28075000105,28,075,000105,86,16,0,0,78,17
28075000106,28,075,000106,85.46,66.14,1.17,1.46,75.51,69.36
28075000107,28,075,000107,741.1,148.19,5.05,3.01,732.82,164.25
28075000108,28,075,000108,218.39,58.57,1.99,0.99,189.6,68.49
28075000109,28,075,000109,564,510,8,6,469,543
28075000201,28,075,000201,143,739,5,4,91,789
28075000202,28,075,000202,203.08,65.57,1.74,5.22,173.49,72.53
28075000203,28,075,000203,54,135,3,3,52,147
28075000204,28,075,000204,28,215,1,0,23,243
28075000205,28,075,000205,164,138,3,0,144,58
28075000206,28,075,000206,445.07,202.53,7.56,1.68,402.24,213.46
28075000207,28,075,000207,224.81,167.67,3.04,3.62,198.15,175.99
28075000208,28,075,000208,94.44,87.07,7.01,1.01,85.1,85.24
28075000209,28,075,000209,134.56,99.93,0.99,0.99,102.9,115.76
28075000210,28,075,000210,281.32,120.29,3.23,1.29,241.23,128.7
28075000211,28,075,000211,81.83,37.28,1.39,0.31,73.94,39.29
28075000301,28,075,000301,109,58,1,0,97,60
