GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOMCM,G16PREGSTE,G16PREIHED,G16PRECCAS,G16PREIKAH,G16USSRBOO,G16USSDELD,G16USSLGIL,G16USSOWRI
050050001-2,05,005,0001-2,768.9,218.1,22,1,9,0,4,1,726.9,218,47,0
050050001-3,05,005,0001-3,159.1,57,7,3,0,0,2,1,152.1,54,10,0
050050002-1,05,005,0002-1,567.6,121.2,9,3,7,1,1,2,544.5,119.2,41,0
050050002-2,05,005,0002-2,556,120,16,2,7,0,2,0,541,109,37,1
050050002-3,05,005,0002-3,331.1,72,8,2,2,0,1,1,313.1,74,23,0
050050003-1,05,005,0003-1,336.7,85.7,9,5,1,0,1,0,322.7,84.7,19.9,0
050050003-2,05,005,0003-2,229.7,53.2,5,1,4,1,0,0,217.7,56.2,6,1
050050003-3,05,005,0003-3,720.7,211.2,16,10,5,1,5,1,673.7,224.2,52,1
050050003-4,05,005,0003-4,166,37,2,3,1,1,0,0,154,50,5,0
050050004-1,05,005,0004-1,1012.5,313.9,33.1,14.6,8.7,4.8,10.7,3.9,982.1,321.7,66.3,1
050050004-2,05,005,0004-2,240.4,81.1,8.7,2.4,0.4,0.2,1.3,0.1,224.8,82.3,16.3,0.9
050050005-1,05,005,0005-1,641.2,228.1,44,7,9,0,4,4,612.2,228.1,70,1
050050005-2,05,005,0005-2,223,100,12,1,5,0,2,2,209,93,21,2
050050005-3,05,005,0005-3,23,10,1,0,1,0,0,1,19,11,4,0
050050005-4,05,005,0005-4,130,49,9,3,1,1,1,1,130,42,14,0
050050006-1,05,005,0006-1,709.7,222.6,26.4,16.1,4.2,1.1,6,6,685.1,226.8,46.7,2
050050006-2,05,005,0006-2,431.1,98.6,11.7,2,4.8,1.9,1,2,416.5,104.4,18.6,0
050050006-3,05,005,0006-3,218,39,11,2,2,0,3,1,215,38,18,0
050050007-1,05,005,0007-1,870.5,248.2,30.8,10.5,11.2,5.6,5.7,1.9,855.8,251,48.1,0.1
050050007-2,05,005,0007-2,216.3,77.8,6.4,0,2.7,0,3.6,0,200.1,83.1,8.1,0
050050007-3,05,005,0007-3,148.3,50.4,5.3,1.8,1.2,0,0.4,0,141.9,51.1,5.6,0
050050008-1,05,005,0008-1,871.6,209.9,19.3,11.6,6.8,1.9,1,1.9,835.9,220.5,39.6,1
050050008-2,05,005,0008-2,117,27,3,2,0,0,0,0,113,28,6,1
050050008-3,05,005,0008-3,130,42,2,0,1,0,1,1,122,43,5,0
050050008-4,05,005,0008-4,215.2,71.5,10,1,2,0,2,1,220,70.5,5.1,0
050050008-5,05,005,0008-5,64.4,31.5,0.5,0.3,0.2,1,1,0,63.4,30.8,2.1,0
050050009-1,05,005,0009-1,728.2,200.4,16.7,8.6,3.6,1.3,5.3,0.1,683.4,212.5,41.6,0
050050009-2,05,005,0009-2,585.1,179.4,15,6,4,3,1,1,558.1,188.4,29,1
050050009-3,05,005,0009-3,95.7,13.1,1.1,1,1,0,0,1,86.7,16.1,8.1,1
050050009-4,05,005,0009-4,158.9,40.8,6.8,2.9,2,1,1,1,152.1,43.6,10.7,0
050050010-1,05,005,0010-1,312.8,118.3,13.1,3.2,3.1,2,3,1.3,306,114.2,29.3,0
050050010-2,05,005,0010-2,555.8,136.2,17.2,12,8,3,5,2,537.6,141.2,44.2,1
050050010-3,05,005,0010-3,273.5,64.2,11,2,1.3,1,1,0,266,68.9,14.2,0
050050011-1,05,005,0011-1,219.5,81.6,4.3,0.8,4.5,2.9,0.4,0.2,219.3,71.4,16,0
050050011-2,05,005,0011-2,445.5,126.4,13.9,4.2,6,0,4,0,428,119.6,36.6,2
050050011-3,05,005,0011-3,203.4,61.7,5.1,2.5,4.3,0.2,0.8,0.8,193.9,68.2,13.1,0
050050011-4,05,005,0011-4,180.8,58,3.7,1.8,0.1,0.9,1.8,0,161.6,60.5,17.1,0
050050011-5,05,005,0011-5,10.1,3.3,0,0,0,0,0,0,11,2.4,0.1,0
050050011-6,05,005,0011-6,48.5,9,0,1,0,0,0,0,47.4,7.1,2,0
050050011-7,05,005,0011-7,3.3,0,0,0,0,0,0,0,3.3,0,0,0
050050011-8,05,005,0011-8,41.3,15.8,1.2,0.1,1.1,0,0,0,40,14,1.4,0
050050011-9,05,005,0011-9,194,80,3,4,0,1,1,2,190,77,11,0
05007000001,05,007,000001,956.3,191.4,33.3,16.1,10,4,9,2,940,222.6,45.5,0
05007000002,05,007,000002,294,67.3,12.7,10.6,2.1,1.1,1,0.1,282.8,73.9,19.6,0.1
05007000003,05,007,000003,471.5,424.6,40.9,17.9,17.9,4,3,1,503.4,385.7,67.8,1
05007000004,05,007,000004,700,202,34,12,10,6,5,0,647,248,50,0
05007000005,05,007,000005,787.5,380.2,40.1,16,12,2,0,2,812.7,373.2,46,2
05007000006,05,007,000006,292.9,71.2,11.4,2.9,2.6,1.7,0.8,0.6,275.8,86,18.5,0
05007000007,05,007,000007,330.9,89.6,13.9,18.9,2.6,0.7,1.7,1,335.3,96.2,20.2,0.3
05007000008,05,007,000008,619,237,43,70,14,1,3,1,684,236,47,0
05007000009,05,007,000009,323.6,146,19.3,27.6,3.7,2.5,3.3,0,353.2,141.8,29.2,0
05007000010,05,007,000010,556.3,173.1,26.2,32.2,7.1,1,2,0,550.4,194.2,41.3,0
05007000011,05,007,000011,756.4,236.8,45.9,57.8,16.4,2.8,3.8,3,787.1,252.8,56.7,1
05007000012,05,007,000012,661.4,238.3,35.8,7.8,11.7,6.8,2,1,662.1,231.8,58.1,1.9
05007000013,05,007,000013,670.7,259.4,25.9,7.6,15.7,3.5,4.1,2.6,635.6,290.9,53.8,0.5
05007000014,05,007,000014,709.4,185.9,41,12,7.1,3,4,7,699.1,222.1,43.3,2
05007000015,05,007,000015,321.4,60.1,9,13,3,1,2,1,304.4,88.1,17,0
05007000016,05,007,000016,339.8,52,15,13,0,2,3,0,340.9,64.8,16,0
05007000017,05,007,000017,310.4,53,12.6,9.8,2.1,2.1,1.1,2,304.2,66,16.8,0
05007000018,05,007,000018,471.1,185.4,20.1,18.1,4.7,1,1.6,1.6,519.1,157,18.6,0.5
05007000019,05,007,000019,374.1,100.1,7,6,1,1,3,1,340.2,127.1,19,0
05007000020,05,007,000020,458.9,186.9,36.9,27,6.3,1.8,3.1,1.8,486.9,190.1,34.7,0.4
05007000021,05,007,000021,867.1,323,45.7,15.9,12.1,0.9,2.8,2.8,861.5,331.4,53.2,0.9
05007000022,05,007,000022,191.5,89,17,13.2,3.8,1.3,1.1,1.1,204.1,89.2,18.1,1.1
05007000023,05,007,000023,518.3,155,20.3,11,9.4,2.4,3.3,1.2,514.9,159.7,37.1,0.2
05007000024,05,007,000024,1046.4,373.9,44.3,16.7,3.4,3.4,0.9,1.7,1014.1,414.5,43.6,1.7
05007000025,05,007,000025,748.4,287.8,32.5,9.9,4.5,3.6,2.7,1.8,743.7,295.2,40.5,1.8
05007000026,05,007,000026,604.2,264,48.5,12.5,9.7,2.1,0.7,0.7,586.2,289.6,52,0.7
05007000027,05,007,000027,544.9,267,27.1,9.9,9.9,1.8,2.7,2.7,549.4,263.4,38.8,0
05007000028,05,007,000028,698,345,47,15,15,4,1,1,703,353,61,0
05007000029,05,007,000029,722.1,333.4,32.6,15,9.7,4.4,4.4,0,715.1,339.5,47.6,0
05007000030,05,007,000030,816.5,393.5,46,30.2,7,1.2,3.4,3.2,819.2,400.6,58.5,1.1
05007000031,05,007,000031,624.1,234.9,23.2,22.2,6.2,1.8,0.9,1.8,660.4,214.4,32.1,0
05007000032,05,007,000032,510,378,34,33,21,3,5,4,577,355,48,0
05007000033,05,007,000033,833,220,46,36,14,5,12,2,830,257,64,2
05007000034,05,007,000034,866,427,70,35,7,3,10,1,964,385,56,1
05007000035,05,007,000035,528,226,25,15,8,3,3,2,528,223,48,1
05007000036,05,007,000036,304.2,197.4,29.3,19.5,6,1.7,3,0.9,344.9,182.8,28.1,0.5
05007000037,05,007,000037,392,363,57,19,21,3,4,6,449,342,65,1
05007000038,05,007,000038,527.4,293.6,38.9,16.6,7.8,2,4.8,2.9,547.3,288.4,39.9,0
05007000039,05,007,000039,453.8,329.1,42.2,28.1,8.1,0.1,4.1,3,536.4,281.9,43.9,0
05007000040,05,007,000040,534.5,336.3,39.4,24.9,7.5,1.7,4.1,0.6,605.9,299.2,33,0.6
05007000041,05,007,000041,701.2,303.1,43,34.1,17.4,3.1,3.1,2.2,753.8,274.3,54.7,2
05007000042,05,007,000042,735.2,354.5,55.1,24,17,3,10,5,779.3,349.5,63.1,0
05007000043,05,007,000043,918,377.1,47,26.3,4.1,1.6,2.4,0.8,1053.1,288,36.4,0
05007000044,05,007,000044,219.3,207.7,24.1,7.9,14.4,2.1,2.1,1,217.7,215.9,34.4,1
05007000045,05,007,000045,370.4,141.4,12.9,2.6,3.4,0.9,1,1.5,352,150.4,22.5,0.7
05007000046,05,007,000046,317.9,292.4,24,8,11,2,3,3,326.9,264.3,41.1,1
05007000047,05,007,000047,664.7,548.8,60.4,26.8,19.8,5,5.9,5,737,512.1,62.4,1
05007000048,05,007,000048,847.8,327.5,57.9,27.4,3,3.8,4.6,2.3,892,333.6,43.4,1.5
05007000049,05,007,000049,661.8,423.9,50,16,11,3,5,3,692.8,402.9,50,5
05007000050,05,007,000050,285.8,244.9,20.5,5.7,13.4,3.1,1,3,306.3,218.7,37.9,1.1
05007000051,05,007,000051,452.3,206.3,16.7,2.1,9.8,4,2.3,1.4,423.7,221.8,33.3,1
05007000052,05,007,000052,497,336,38,22.2,12.7,5.7,4.4,3.8,531.3,312.6,52.6,0.6
05007000053,05,007,000053,725.9,352.9,51.9,24,9,5,3,1,787.7,332.9,45,1
05007000054,05,007,000054,505,432,42,20,14,2,3,4,551,413,46,1
05007000055,05,007,000055,584,370,44,22,26,5,7,2,628,366,58,0
05007000056,05,007,000056,538,352,55,16,9,5,2,1,582,317,61,0
05007000057,05,007,000057,438.8,159.6,23.2,4.5,6.2,1.8,3.6,0.9,402.2,183.6,35.6,0.9
05007000058,05,007,000058,336.6,84.8,18.2,9.1,2.5,1.1,3.1,0.6,329.7,97.3,25.5,0.3
05007000059,05,007,000059,506,351,51,36,15,5,0,1,566,338,46,0
05007000060,05,007,000060,541,203,43,13,8,3,3,3,551,212,42,0
05007000061,05,007,000061,258,114.3,18.5,10.1,4.3,0.8,2.3,0.8,281.2,102.7,20.7,0.8
05007000062,05,007,000062,240.7,121.7,16.3,15.7,4.1,0.3,1.9,1.1,267.4,112,18.2,0.3
05007000063,05,007,000063,1035,436,65,35,12,6,3,0,1060,440,64,0
05007000064,05,007,000064,485.8,289.8,36.4,22.1,9.4,0.6,4.4,0.6,568,242.9,40.3,0.6
05007000065,05,007,000065,652.7,250.3,23.5,12.4,5.6,3.7,2.5,1.9,632.9,278.8,32.8,0
05007000066,05,007,000066,584.1,278,32.9,21.2,5.7,0.9,2.8,1,577.7,269.1,55.7,0.9
05007000067,05,007,000067,470.8,322.8,25.1,9,13,4,4,1,478.9,314.8,46.1,0
05007000068,05,007,000068,327.3,200.1,26.5,26.2,3.1,1.7,1.4,1,383.5,176.9,18.7,0
05007000069,05,007,000069,373.8,284.5,34.4,23,14.8,3.3,0.8,3.3,386.9,289.4,47.5,1.6
05007000070,05,007,000070,606.1,180,28.7,23.1,5.6,2.8,1.9,0,634.3,179.5,27.8,0.9
05007000071,05,007,000071,720.7,343,52.9,39.3,3.4,0.7,2,2,827.8,290.8,30.5,0.7
05007000072,05,007,000072,95.1,42.4,7.7,6.6,1.5,0.3,0.5,0.2,102.1,41.6,8.2,0.1
05007000073,05,007,000073,270.4,68.5,5.1,4,1,0,2,0,236.5,82.6,27.1,1
05007000074,05,007,000074,610,308,39,35,4,2,3,4,699,259,42,1
05007000075,05,007,000075,293,257,41,15,10,2,0,2,321,250,32,0
05007000076,05,007,000076,601.9,246.2,36,9.7,4.1,4.3,1.1,3.4,581.7,264.4,42.7,0
05007000077,05,007,000077,547,189,37,33,2,2,2,0,594,179,31,0
05007000078,05,007,000078,637.8,256.8,31.8,27.6,13.8,2.7,0.7,0.1,633,278.4,42.4,1
05007000079,05,007,000079,442,252,30,25,8,1,3,1,507,223,29,0
05007000080,05,007,000080,288,159,24,15,8,0,0,1,312,158,20,2
05007000081,05,007,000081,679,247,56,29,7,3,8,2,706,262,42,1
05007000082,05,007,000082,413,169,23,23,8,2,1,1,420,184,32,0
05007000083,05,007,000083,306.9,219.2,20.9,12,8,1,3,0,317.9,208.2,24.9,0
05007000084,05,007,000084,561.4,270.3,44,22,6.9,1.3,3.1,1.9,626.1,241.4,34,0.6
05007000085,05,007,000085,370.2,78.7,17.8,15,4.5,2.2,2.2,2.9,381.3,81.8,22.9,0
05007000086,05,007,000086,655.7,141.6,26.7,12.9,5,3,3,3,634,162.4,43.5,0
05007000087,05,007,000087,354.5,117.8,15.2,3.9,4.6,0.6,0.8,2.4,346.4,120.2,26.6,0
05007000088,05,007,000088,555.4,256,37.1,8.7,9.6,1,4.1,1.1,564.1,256.4,27.5,0
05007000089,05,007,000089,335,207,24,13,9,1,2,1,340,199,37,1
05007000090,05,007,000090,280.6,229.8,37.8,12.9,10.2,2.8,2.8,3.7,292.6,222.4,37.8,0.9
05007000091,05,007,000091,494.9,156.8,26.2,7.3,3.1,4.2,1.4,2.2,474.4,169.6,30.4,0.1
05007000092,05,007,000092,485.2,559.6,58.1,19.7,13.7,4.8,1.5,1.3,543,492.2,72.5,2.1
05007000093,05,007,000093,449,214,26,11,8,2,0,1,465,201,35,2
05007000094,05,007,000094,512.3,287.8,47,35.3,11.7,4,3.8,2.8,575.1,262,47.8,0.8
05007000095,05,007,000095,743.4,180.8,28.9,7.6,6.5,4.3,2.2,1.4,700.5,218.1,46.9,0
05007000096,05,007,000096,630.4,170.4,26.5,36,5,1.3,3.2,1.9,638.6,183,38.5,0.6
05007000097,05,007,000097,485.7,213.4,28.4,40.5,5.4,3.5,4.8,0.1,527.7,208.3,42.9,0
05007000098,05,007,000098,445.1,176.1,19.2,17.2,4.4,1,1.5,1.5,490.7,149.2,17.6,0.5
05007000099,05,007,000099,559.5,227.9,45,33,7.7,2.2,3.8,2.2,593.6,231.7,42.3,0.6
05007000100,05,007,000100,496.6,230.6,44,34.2,9.8,3.5,2.9,2.9,529.1,231.2,46.9,2.9
05007000101,05,007,000101,172.8,61.4,7.3,2.8,0.6,0.6,0.1,0.3,167.4,68.1,7.3,0.3
05007000102,05,007,000102,1156.7,513.9,89.9,66.6,19.2,3.6,7.9,2.9,1251.2,486.9,96.9,2.1
05007000103,05,007,000103,267.8,117,21.5,5.5,4.3,0.9,0.3,0.3,259.8,128.4,23,0.3
05007000104,05,007,000104,410.3,268.7,39.6,26.2,8.2,2.3,4.1,1.2,466.3,248.3,37.9,0.6
05007000105,05,007,000105,362.3,227.9,26.7,16.9,5.1,1.2,2.8,0.4,410.7,202.8,22.4,0.4
05007000106,05,007,000106,310.6,125.7,15.7,8.8,1.3,0.5,0.8,0.3,356.5,95.3,12.1,0
05007000107,05,007,000107,264,102,18,8.5,0.9,1.2,1.4,0.7,277.7,103.9,13.5,0.5
05007000108,05,007,000108,120.8,81.7,9.2,5.4,3.1,1.4,1.1,0.9,129.2,76,12.8,0.1
05007000109,05,007,000109,934.6,246.1,49,25.9,7.3,3.1,8,1.7,922.4,274.8,68.8,0.7
05007000110,05,007,000110,342.3,163,25.1,18.7,1.6,0.3,1,1,393.2,138.2,14.5,0.3
05007000111,05,007,000111,736.7,394.7,52,47,14.4,1.5,5.5,3.7,810.7,370.2,60,1.1
05007000112,05,007,000112,708.2,211.1,33.6,27,6.5,3.2,2.2,0,741.4,210.3,32.5,1.1
05007000113,05,007,000113,392,233.9,29.4,17.8,7.6,0.4,3.6,0.4,458.4,196,32.5,0.4
05007000114,05,007,000114,402.4,154.3,14.5,7.6,3.4,2.3,1.5,1.1,390.2,171.8,20.2,0
05007000115,05,007,000115,616.9,377.1,50,49.4,5.8,3.2,2.6,1.9,722.7,333.5,35.3,0
05007000116,05,007,000116,442.7,196.6,33.6,21.8,7.5,1.5,3.5,1.3,481.3,181.8,36.5,1.2
05007000117,05,007,000117,327.4,157.6,25.7,12.8,4,0.7,1.8,1.1,365.1,140.8,19.8,0.4
05009000001,05,009,000001,854.3,267.3,46,13,14,8,10,11,892.4,237.3,69.1,1
05009000002,05,009,000002,1234.5,422.4,38.9,18.9,12.9,9,11,9,1280.3,377.6,79.7,6
05009000003,05,009,000003,719.5,232.2,47.6,15.9,20.7,5,12.9,4,735,219.8,80.2,2
05009000004,05,009,000004,1026.3,285.7,37,22.9,8.9,7,6.1,5,1059.9,224.9,69.6,2
05009000005,05,009,000005,1175.3,264.1,36.2,15.1,6.3,7.9,11.8,5.9,1222.7,219.7,47.9,1
05009000006,05,009,000006,1296.4,191.1,22,20,5,4,3,5,1295.3,173.1,44,3
05009000007,05,009,000007,1122,218,34,17,9,7,9,4,1137,201,67,1
05009000008,05,009,000008,1341.2,349.1,37.1,20.1,17.1,10,10,2,1393.4,318.9,59.4,2
05009000009,05,009,000009,1096,265.9,39.1,20,14,8,8.1,3,1117.3,240.7,67.1,1
05009000010,05,009,000010,1237,199.2,26.1,15.1,17,13,11.1,7,1247.7,183.3,66.2,4
05009000011,05,009,000011,932.5,160.9,11,7.2,7.4,3.4,9.5,5.1,910.4,165.7,37.6,2.2
05009000012,05,009,000012,197.1,69.7,4,0.8,1.6,1.6,2.4,0.8,195.5,57.8,15,0.8
05011000001,05,011,000001,122.7,368.2,8.3,10,3,3,2,2,150.6,320.9,19.3,0
05011000002,05,011,000002,287.9,231.7,13.6,6.8,2.9,5.8,2.9,1.9,287,224.9,18.4,0
05011000003,05,011,000003,246.6,330,14.6,3.2,6,3.1,7,3.1,242.1,320,21.4,0
05011000004,05,011,000004,548.5,87.3,14.9,5,1.1,4,0.1,3,468,154.1,13.1,1
05011000005,05,011,000005,248.1,44.1,7.7,2,0.1,0,0,1,232,51.5,9.7,0
05011000006,05,011,000006,35.9,14,1,0,0,0,0,0,31.9,17,1,0
05011000007,05,011,000007,98.7,50.5,4.1,1.2,1,1.1,0,0,86.9,50.6,6.1,1
05011000008,05,011,000008,109,11,1,1,0,0,0,0,101,15,4,0
05011000009,05,011,000009,61.1,51.5,1.1,2,0,2,1,0,56.8,47.7,4.2,0
05011000010,05,011,000010,168.9,27.4,2.9,2,1,1,1,0,156.2,34.3,6.8,0
05011000011,05,011,000011,51.6,13.9,0,0,0,0,0,0,41.6,18.8,4,0
05011000012,05,011,000012,63.4,40.2,1,1,0,0.1,1,1,57.2,37.2,5.1,0
05011000013,05,011,000013,78.3,41,2.9,0.9,0,0.9,0,0,68.7,41,5.7,0
05011000014,05,011,000014,47.8,6.4,0,0,1,0,0,0,43.6,10.4,0.2,0
05013000100,05,013,000100,59.9,4.7,2.7,0,0.8,0,0.8,0,52.8,16.5,0.2,0
05013000110,05,013,000110,76.1,78.3,3.2,1,0.1,0,0.1,0,70.5,75.4,5,0
05013000200,05,013,000200,120.1,40.1,0,1,1,0,0,0,105.9,43.3,11,0
05013000201,05,013,000201,18.2,1.6,0.8,0,0,0,0,0,16.7,2.4,0.8,0
05013000300,05,013,000300,57.4,16.8,0,1,0,0,0,0,43.5,27.7,0,0
05013000301,05,013,000301,90,10,2,0,0,1,0,0,78,18,2,0
05013000310,05,013,000310,13.7,5.2,1,0,0,0,0,0,7.5,9.3,3,0
05013000320,05,013,000320,57,21,0,1,0,0,0,0,39,35,4,0
05013000400,05,013,000400,97,50,2,0,0,1,0,0,79,54,4,0
05013000401,05,013,000401,8,9,1,0,0,0,1,0,10,9,0,0
05013000410,05,013,000410,69,51,0,0,0,0,2,0,45,69,2,0
05013000500,05,013,000500,266,77.8,3.4,1.4,0,1,0,0.1,223.2,108.3,12.9,0.1
05013000600,05,013,000600,217.6,65.8,8.6,4.1,1,0,2.1,0.3,197.1,71.5,18.8,0
05013000700,05,013,000700,124,22,5,1,0,0,0,0,110,31,5,0
05013000701,05,013,000701,34,4,1,0,0,0,0,0,29,6,4,0
05013000702,05,013,000702,27,0,0,0,0,0,0,0,21,4,2,0
05013000800,05,013,000800,1.8,0,0,0,0,0,0,0,1.8,0,0,0
05013000810,05,013,000810,157.5,59.7,2.6,2.6,0,0,0,0.9,140.2,69.2,5.2,0.9
05013000900,05,013,000900,17,9,0,0,0,0,0,0,15,10,1,0
05013000910,05,013,000910,61.2,118,11,1,0,0,1,2,67.2,118,2,1
05015000001,05,015,000001,508,181,21,8,6,5,6,0,519,173,28,0
05015000002,05,015,000002,517,193,22,14,6,3,1,2,537,177,19,1
05015000003,05,015,000003,17.3,4.4,0.4,0.2,0.2,0,0,0.1,16.7,4.7,0.7,0
05015000004,05,015,000004,479.6,133.1,11.3,8.2,8.2,0,1.3,3.1,458.3,145,22,1.3
05015000005,05,015,000005,86.7,24,2,1.5,1.5,0,0.2,0.6,82.8,26.2,4,0.2
05015000006,05,015,000006,104.3,212.5,7.7,0.6,22.5,0.6,0.6,1,104.3,217,20.3,0.6
05015000007,05,015,000007,175.3,328,12.5,1.1,33.8,1.1,1,1.6,175.2,334.4,31.7,1
05015000008,05,015,000008,64,130.3,4.7,0.4,13.8,0.4,0.4,0.6,64,133,12.4,0.4
05015000009,05,015,000009,655.4,581.3,34.9,4.7,37.6,3.9,3.1,5.3,653,580.7,64.5,0.8
05015000010,05,015,000010,195.5,76.9,10.1,2,3.5,2.5,2,1,207.5,65.9,8.6,1
05015000011,05,015,000011,190.5,75.1,9.8,2,3.4,2.5,2,1,202.3,64.3,8.3,1
05015000012,05,015,000012,104.6,22.7,2.9,1.6,0.9,1.1,0.6,0.2,105.5,22.4,3.2,0.2
05015000013,05,015,000013,114,25.2,3.2,1.7,1.1,1.2,0.7,0.2,115.1,24.7,3.5,0.2
05015000014,05,015,000014,188.6,38,8.1,2.1,0.1,4,1,1,180.5,42.1,11.2,1
05015000015,05,015,000015,176,127,4.4,0.4,8.9,0.2,0.1,0,167.9,127.1,16.1,0.1
