GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREOMCM,G16PREGSTE,G16PREIHED,G16PRECCAS,G16PREIKAH,G16USSRBOO,G16USSDELD,G16USSLGIL,G16USSOWRI
05001000011,05,001,000011,24.6,9.2,0.1,0,0,0.1,0,0,21.4,11.6,2,0
05001000012,05,001,000012,32,10,0,0,0,1,0,0,32,12,0,0
05001000013,05,001,000013,189.6,87.3,4,3,3,5,2,1,173.5,114.3,5.1,0
05001000014,05,001,000014,70.2,9.8,4.9,0,1,2.9,2,0,63.4,25.4,1,0
05001000015,05,001,000015,96,8,3,2,0,0,1,2,85,25,2,0
05001000021,05,001,000021,115,26.3,2.8,0,1.9,0.9,1.9,2.8,104.7,41.4,4.7,0
05001000022,05,001,000022,326.4,64.9,5,2,5,12,5,2,320.4,89.9,7,0
05001000023,05,001,000023,69.7,10.4,0.1,1,1,1,0,0.1,66.5,14.7,1.1,0
05001000031,05,001,000031,65.7,14.5,2.7,0,0.9,1.8,0,0,59.9,22.8,1.1,0
05001000032,05,001,000032,24.9,15.6,1,0,0,0,0,0,18.7,20.7,0.1,0
05001000033,05,001,000033,2,5,2,0,0,0,0,0,2,7,0,0
05001000034,05,001,000034,54,21,2,0,0,3,0,1,52,26,2,0
05001000035,05,001,000035,88,20,3,0,1,3,0,1,82,31,2,0
05001000036,05,001,000036,22,28,5,1,1,0,1,1,29,30,0,0
05001000037,05,001,000037,83,11,0,1,0,2,0,0,75,22,1,0
05001000038,05,001,000038,58.6,13.7,2,1,0,1,0,0,55.7,21.5,0,0
05001000041,05,001,000041,75.1,10.3,2,1,0,1,1,0,65.5,23.8,1,0
05001000042,05,001,000042,115.4,24.6,3,0,0,2,1,2.9,106.7,38.2,2,0
05001000043,05,001,000043,72,7,1,0,1,1,0,1,67,12,3,0
05001000044,05,001,000044,82.3,21.2,2,2,2,3,0,0,78.2,31.4,0,0
05001000045,05,001,000045,11.7,2,0,0,0,1,0,0,10.8,3.9,0,0
05001000046,05,001,000046,48,9,0,1,0,1,0,0,46,12,0,0
05001000047,05,001,000047,26.4,59.3,0.6,2,4,12,0,1.3,30.8,69.8,2,0
05001000048,05,001,000048,9.6,7.1,1,0,0,4,1,0,11.5,10.2,1,0
05001000051,05,001,000051,64,133,3,7,3,6,2,0,70,138,7,0
05001000053,05,001,000053,224,73,9,1,1,6,1,2,199,100,9,0
05001000055,05,001,000055,280.8,82.2,10,0,1,8,3,6,270.8,114.2,4,0
05001000071,05,001,000071,161.4,514.8,13.1,9,15,27,7,5.1,204,512.3,18,0
05001000081,05,001,000081,641.2,349.2,23,3,12,17,3,4,627,403.4,24,0
05001000091,05,001,000091,688.9,307,21,7,10,10,8,7,651.9,371,25,0
05003000001,05,003,000001,230,351.9,22.2,6,4,1.1,4,1.1,235.8,331.4,24.5,0
05003000002,05,003,000002,305.5,320.4,13.9,3,2,3,2,3,294.5,292.5,26.9,4
05003000003,05,003,000003,654,194,17,5,5,3,3,1,644,191,23,1
05003000004,05,003,000004,333,76,10,3,0,0,2,1,306,77,18,0
05003000005,05,003,000005,209.2,48.2,0,1,2,1,1,2,199.3,51.2,4,0
05003000006,05,003,000006,422.5,206.7,17.9,4,1.1,4,1.1,2,422.7,181.9,26.3,0
05003000007,05,003,000007,223.2,62,3,3,1,3,2,0,198.2,71,12,0
05003000008,05,003,000008,169.2,35.5,4.1,1,0,0,0,1,153.7,42.6,9.2,0
05003000009,05,003,000009,364.7,54,3,5,1,3,0,1,345.8,59.6,11,0
05003000010,05,003,000010,326.8,44,10,1,4,1,0,0,308.8,63,9,0
05003000011,05,003,000011,335.1,75.7,3.4,6.1,2.1,1.1,1,1.1,304.2,93.2,12.6,0
05003000012,05,003,000012,176.1,77.5,6,1,0,0,0.2,2,161.1,78.4,10.2,0
05003000013,05,003,000013,57.4,175.6,5.7,0.9,0,0.9,3.8,0.9,65.8,151.1,15.1,0.9
05003000014,05,003,000014,287,54.7,7.3,1,1.9,1.9,1,1.9,273.2,66.5,10.3,1
05003000015,05,003,000015,133,9,3,0,0,0,2,2,123,17,6,0
05003000016,05,003,000016,351.3,55.1,5,4,2,1,2,0,332.2,68.2,15,0
05003000017,05,003,000017,70.1,12.5,1.8,0.2,0.5,0.5,0.2,0.5,66.7,15.5,2.5,0.2
05003000018,05,003,000018,235.3,42,5.9,0.8,1.6,1.6,0.8,1.6,224,52.2,8.2,0.8
05003000019,05,003,000019,27,29,1,0,0,0,0,0,30,25,1,0
05003000020,05,003,000020,165.9,49,1,3,2,1,1,1,158.9,43,5,0
05003000021,05,003,000021,76.9,89.3,5,1,0,3,0,1,76.9,88.4,3,0
05003000022,05,003,000022,23.1,12.7,0,0.9,0,0,0.9,0,22.1,13.6,0,0
05003000023,05,003,000023,12.2,4.4,0,0,0,0,0.3,0.6,10,4.4,0.9,0.6
05003000024,05,003,000024,17.7,6.4,0,0,0,0,0.4,0.9,14.6,6.4,1.4,0.9
05003000025,05,003,000025,26.9,84.6,2,0,0,2,0,0,28.9,68.7,4,0
05003000026,05,003,000026,9.2,3.6,0,0,0,0,0.2,0.5,7.6,3.5,0.7,0.5
05003000027,05,003,000027,21.5,72.1,2.8,1.9,0.9,0,0,0,22.5,60.9,5.6,0
05003000028,05,003,000028,4.5,8.9,0.2,0.1,0.1,0,0,0,5.5,6.1,0.4,0
05003000029,05,003,000029,50.2,146.8,5,2,2,1,2,1,55.1,113.8,7,0
05003000030,05,003,000030,33.8,12.2,0,1,1,0,0,0,27.9,14.2,3,0
050050001-1,05,005,0001-1,561.9,110.3,13.2,2.8,3.8,0,0.9,0,531.7,116,25.4,0
