GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRHUT,G18GOVDHEN,G18GOVLWES,G18LTGRGRI,G18LTGDBLA,G18LTGLGIL,G18ATGRRUT,G18ATGDLEE,G18ATGLHIC,G18SOSRTHU,G18SOSDINM,G18SOSLOLS,G18TRERMIL,G18TRELEWA,G18AUDRLEA,G18AUDLDIN,G18LNDRLAN,G18LNDDWIL,G18LNDLCAM
05001000011,05,001,000011,22.45,10.22,1.09,25.5,8.22,0.07,24.39,9.3,0.09,23.39,10.26,0.11,29.5,3.26,29.5,3.26,24.39,9.24,0.13
05001000012,05,001,000012,32,9,0,33,8,0,31,10,0,29,11,1,39,2,38,3,29,12,0
05001000013,05,001,000013,157.5,54.21,5.02,158.49,55.22,4.02,153.47,60.23,3.01,144.44,69.27,3.01,168.52,43.18,171.54,37.18,143.41,66.27,5.99
05001000014,05,001,000014,65.31,9.75,3.9,67.26,9.75,2.92,62.39,13.65,3.9,62.39,11.7,4.87,67.26,11.7,67.26,11.7,62.39,10.72,5.85
05001000015,05,001,000015,68,15,0,75,7,0,71,9,2,71,10,1,79,3,76,5,72,8,2
05001000021,05,001,000021,106.46,20.62,2.82,112.08,17.82,0.94,110.18,19.71,0.95,107.36,21.58,0.95,118.64,12.2,113.98,16.86,101.75,26.27,1.88
05001000022,05,001,000022,295.51,36.95,3.01,298.51,30.96,6,281.54,43.94,8.99,264.58,59.9,9,306.49,24.98,295.52,32.96,266.57,51.91,13.99
05001000023,05,001,000023,60.58,2.41,1.05,60.7,3.34,0.02,58.68,4.37,1.01,57.64,4.41,1.01,61.83,2.23,63.71,0.35,57.52,5.5,1.03
05001000031,05,001,000031,61.03,6.27,0.93,61.99,5.32,0.02,59.27,8.05,0.02,57.33,10.83,0.02,62.84,4.35,61.99,5.14,54.63,11.7,1.01
05001000032,05,001,000032,21.8,13.37,1.01,21.86,13.3,0.01,19.88,15.29,0.01,20.7,15.4,0.01,25.73,10.3,24.79,9.24,20.66,15.48,0.01
05001000033,05,001,000033,3,4,0,3,4,0,3,4,0,3,4,0,4,3,3,4,2,4,1
05001000034,05,001,000034,48,20,0,51,17,0,49,19,0,48,20,0,55,13,51,17,46,22,0
05001000035,05,001,000035,75,17,1,82,11,0,77,15,1,73,20,0,88,5,87,6,69,24,0
05001000036,05,001,000036,30,19,0,31,19,2,29,22,1,28,21,3,36,14,30,19,22,25,2
05001000037,05,001,000037,68,9,2,70,9,0,72,7,0,69,9,0,74,4,70,6,70,8,0
05001000038,05,001,000038,49.84,7.82,0.98,50.82,5.86,0.98,50.82,4.89,1.95,49.84,7.82,0.98,54.73,3.91,50.82,6.84,47.89,8.8,0.98
05001000041,05,001,000041,68.33,5.31,1.93,70.23,5.31,0.02,67.27,8.27,0.03,65.31,8.31,0.98,66.49,7.13,67.45,5.22,62.45,11.17,0.99
05001000042,05,001,000042,84.45,18.35,1.97,87.29,15.5,1.97,83.35,21.37,0.05,82.31,22.41,0.04,89.36,13.4,90.35,11.44,82.31,19.5,2.96
05001000043,05,001,000043,50,4,0,47,5,2,47,6,1,47,6,1,49,5,48,6,45,6,3
05001000044,05,001,000044,62.22,13.08,1.03,58.24,17.09,1.01,57.19,15.13,2.01,58.15,17.15,1.02,63.19,12.12,62.2,10.1,58.12,16.18,1.02
05001000045,05,001,000045,7.83,2.92,0,8.8,1.96,0,6.86,2.93,0.97,5.88,3.9,0.97,7.82,1.96,7.82,1.96,6.85,3.9,0
05001000046,05,001,000046,54,5,0,53,6,0,51,8,0,50,9,0,52,7,52,6,49,9,0
05001000047,05,001,000047,27.22,44.25,0.02,21.47,50.14,0.35,22.12,50.39,0.07,20.44,51.75,0.68,29.65,37.82,31.63,36.84,17.91,54,0.66
05001000048,05,001,000048,10.27,8.12,0.02,10.27,6.1,2.03,9.24,9.12,0.05,9.25,8.1,1.05,12.3,6.07,9.29,9.08,9.25,8.12,1.03
05001000051,05,001,000051,57,91,3,54,94,2,50,98,3,46,102,3,69,77,72,74,45,101,3
05001000053,05,001,000053,172,55,4,175,50,3,166,54,8,154,61,9,169,53,176,49,150,71,7
05001000055,05,001,000055,266.72,54.09,7.01,275.73,48.07,6.01,262.69,61.11,5.02,248.65,72.14,8.02,278.75,50.06,277.72,50.08,244.65,74.12,9.03
05001000071,05,001,000071,217.3,348.93,13.04,182.46,379.78,14.04,173.35,387.95,19.96,151.36,412.94,13.97,229.43,316.83,239.45,307.79,148.36,411.85,19.06
05001000081,05,001,000081,613.1,243.38,6.04,607.17,245.37,8.97,564.22,282.34,14.95,545.22,303.27,9,649.92,199.57,648.95,199.51,548.13,298.38,13.98
05001000091,05,001,000091,673.91,216.97,16,673.91,208.97,18,630.91,256.96,15,590.92,286.96,22,721.9,165.98,731.9,151.98,594.92,271.96,26
05003000001,05,003,000001,185.44,248.22,7.2,172.7,258.25,4.99,168.55,264.24,5.99,167.52,264.46,6.94,191.85,235.86,201.75,221.94,159.4,273.44,7.02
05003000002,05,003,000002,285.58,258.71,9.95,270.65,267.67,12.94,260.7,280.6,9.95,263.69,284.58,6.97,301.5,246.77,308.46,239.8,262.69,283.59,7.96
05003000003,05,003,000003,573,136,15,566,152,8,552,162,10,553,167,6,594,127,597,123,545,173,10
05003000004,05,003,000004,250,51,6,247,53,7,244,55,8,234,64,5,247,57,249,54,237,64,5
05003000005,05,003,000005,140.85,39.11,4.96,142.8,39.13,2.98,137.84,41.12,5.95,140.81,42.11,2.98,147.78,38.1,146.82,39.06,140.79,42.13,2.98
05003000006,05,003,000006,281.43,129.24,8.09,278.71,136.48,2.22,273.48,139.56,2.39,271.34,144.6,2.39,292.83,113.24,296.65,106.24,263.67,149.32,4.32
05003000007,05,003,000007,161.14,54.02,9.01,161.14,60.02,2,168.14,55.03,2,162.14,62.03,1,171.15,53.02,178.15,46.02,161.14,61.03,3
05003000008,05,003,000008,135.39,25.23,4.01,136.3,24.18,2.15,133.34,27.21,2.11,130.39,30.23,3.03,139.34,20.89,141.43,19.8,129.28,30.29,3.07
05003000009,05,003,000009,302.65,38.73,3.02,300.65,42.69,2.02,295.66,44.65,4.03,301.66,40.64,2.03,308.64,35.5,307.72,34.39,302.62,39.71,2.03
05003000010,05,003,000010,232.86,37.98,11.99,236.86,39.98,8,236.86,41.97,6,235.86,41.97,7,248.85,33.98,241.85,37.98,234.86,42.97,5
05003000011,05,003,000011,288.09,64.64,6.29,293.13,63.63,4.31,286.74,70.96,4.32,279.68,75.01,5.4,301.93,58.07,307.99,52.92,272.26,79.3,7.36
05003000012,05,003,000012,148.85,55.03,3.24,154.33,53.44,1.24,144.45,59.59,4.16,143.73,61.47,2.92,157.97,50.87,162.21,44.72,138.9,64.27,3.04
05003000013,05,003,000013,49.16,120.94,8.51,42.55,128.49,6.63,35.93,137.94,7.56,41.59,137,0.97,60.53,113.36,69.96,103.93,40.63,135.13,3.8
05003000014,05,003,000014,383.9,65.38,5.96,380.99,66.44,7.82,376.88,71.5,5.96,376,71.52,8.71,400.57,52.69,399.84,52.43,368.21,77.3,7.8
05003000015,05,003,000015,115,6,2,112,6,3,110,10,3,114,7,2,114,8,117,6,111,10,1
05003000016,05,003,000016,261.22,35.12,5,251.21,44.12,6.01,245.21,47.12,10.01,252.22,45.12,6,269.21,31.08,274.22,26.08,248.21,49.12,6.01
05003000017,05,003,000017,20,1,1,20,1,1,20,1,1,20,1,1,20,2,20,2,19,2,1
05003000018,05,003,000018,62,6,1,59,9,1,60,9,0,60,7,1,60,7,59,8,59,9,0
05003000019,05,003,000019,29.05,25.01,0,25.05,27.01,0,26.05,27.01,1,24.05,29.01,1,29.05,25.01,30.05,22.01,24.05,29.01,1
05003000020,05,003,000020,139.95,27.99,4,141.95,27.99,2,138.95,29.99,4,143.95,27.99,2,149.95,23.99,150.95,17.99,139.95,31.99,2
05003000021,05,003,000021,72.8,61.28,1.05,70.75,62.38,1,69.71,64.37,1.05,63.68,68.45,1,79.72,48.38,74.84,49.32,57.75,70.34,3.04
05003000022,05,003,000022,20.2,9.72,0.95,19.25,11.62,0,18.29,11.63,0.95,17.32,13.55,0,19.28,10.62,21.16,9.68,18.25,11.66,0.96
05003000023,05,003,000023,0.99,2.97,2.97,2.97,3.96,0,1.98,3.96,0,2.97,3.96,0,1.98,4.95,2.97,2.97,2.97,3.96,0
05003000024,05,003,000024,24.01,1.03,1.03,22.03,4.04,0,22.02,4.04,0,21.03,4.04,1,24.02,2.05,24.03,2.03,19.03,6.04,0
05003000025,05,003,000025,21.9,67.7,1,15.93,73.68,0,15.93,71.68,1,12.94,78.65,0,29.87,51.77,29.87,53.76,10.95,80.64,0
05003000026,05,003,000026,2.1,1.3,0,2.07,1.32,0,2.07,1.32,0,2.06,1.35,0,2.13,1.23,2.13,1.24,2.05,1.36,0
05003000027,05,003,000027,23.42,51.52,1.87,24.35,49.65,1.87,23.42,52.46,0.94,22.48,53.39,1.87,28.1,47.77,29.97,43.09,22.48,51.52,2.81
05003000028,05,003,000028,4.58,7.48,0.13,3.65,8.35,0.13,4.58,7.54,0.06,4.52,7.61,0.13,4.9,7.23,5.03,6.91,4.52,7.48,0.19
05003000029,05,003,000029,38.22,114.83,0.01,37.23,115.83,1,34.24,118.82,2,32.23,117.84,2.99,49.22,96.86,49.22,94.86,34.23,119.83,0
05003000030,05,003,000030,34.78,12.17,0.99,35.77,12.17,0,35.76,11.18,0,33.77,14.16,0.01,37.78,10.14,37.78,10.14,34.77,13.17,0
050050001-1,05,005,0001-1,433.64,67.87,23.57,420.44,86.73,16.03,428.93,80.13,15.08,419.5,93.33,10.37,444.01,65.99,444.95,63.16,420.44,86.73,17.91
050050001-2,05,005,0001-2,440.34,97.46,19.08,429.2,114.58,13.09,429.31,113.51,15.05,427.24,116.54,14.08,444.43,95.37,448.39,93.35,419.21,114.55,20.1
050050001-3,05,005,0001-3,271.66,80.54,14.92,250.8,100.42,14.91,265.69,90.49,9.95,255.76,95.46,13.92,284.57,68.63,279.61,65.65,250.79,96.45,17.9
050050002-1,05,005,0002-1,355.4,82.09,27.03,353.39,88.1,22.03,345.4,94.1,25.02,356.38,89.11,19.02,367.41,82.08,364.42,80.07,358.38,89.11,16.02
050050002-2,05,005,0002-2,384,78,20,369,90,19,382,84,18,373,90,18,391,75,388,76,370,88,24
050050002-3,05,005,0002-3,241.05,68.01,16,241.05,72.01,13,243.05,72.01,11,241.05,72.01,12,253.05,60.01,257.05,57.01,239.05,76.01,11
050050003-1,05,005,0003-1,235.07,52.79,15.94,227.1,60.76,14.94,233.08,60.76,9.96,224.12,65.74,13.94,238.06,47.81,243.04,44.82,226.11,62.75,12.95
050050003-2,05,005,0003-2,168.47,41.11,12.03,169.46,42.12,8.03,170.47,44.12,6.02,165.45,45.13,10.03,173.48,35.1,174.49,33.09,158.46,50.13,10.03
050050003-3,05,005,0003-3,495.75,147.29,27.05,490.75,154.31,25.04,486.77,152.29,29.04,479.73,165.33,24.04,512.79,133.23,515.77,126.26,484.74,158.32,26.04
050050003-4,05,005,0003-4,132,31,9,130,31,9,130,34,8,123,40,9,132,34,135,29,126,37,9
050050004-1,05,005,0004-1,661.26,180.16,38.13,635.88,214.24,25.51,633.98,207.51,36.11,625.15,219.22,34.19,684.61,167.43,691.57,159.55,610.48,227.94,41.13
050050004-2,05,005,0004-2,283.42,85.71,15.09,275.37,92.19,14.67,276.98,95.87,11.33,272.28,98.78,12.17,287.2,79.32,295.55,73.53,266.04,98.31,19.78
050050005-1,05,005,0005-1,281.23,101.07,21.02,274.21,110.08,17.02,274.23,113.08,14.01,273.22,115.07,13.01,288.23,90.06,291.23,82.06,267.21,117.08,16.02
050050005-2,05,005,0005-2,229,107,16,227,114,10,227,111,12,220,113,17,234,92,241,85,212,117,22
050050005-3,05,005,0005-3,21,12,8,23,10,8,25,10,5,22,13,6,21,11,25,9,24,11,6
050050005-4,05,005,0005-4,126,51,9,116,52,14,119,55,9,114,62,8,127,43,128,38,118,55,11
050050006-1,05,005,0006-1,588.11,163.48,26.61,557.68,191.19,25.39,549.91,191.03,28.31,538.89,197.96,29.41,606.49,133.14,595.34,141,517.58,196.01,48.7
050050006-2,05,005,0006-2,318.52,66.42,16.54,304.86,86.83,10.74,308.68,82.97,9.79,307.67,81.06,12.69,327.29,57.59,322.41,54.73,298.88,81.06,22.44
050050006-3,05,005,0006-3,151,40,13,154,39,10,150,41,12,149,41,13,152,38,156,33,148,44,11
050050007-1,05,005,0007-1,589.2,176.01,26.89,583.95,179.46,24.91,576.89,196.44,20.86,579.69,188.71,20.94,612.33,139.48,614.63,130.9,556.03,197.77,32.77
050050007-2,05,005,0007-2,231.65,66.41,15.37,215.63,78.07,17.11,226.42,76.24,8.19,224.42,74.62,11.76,233.65,63.47,234.42,57.35,211.1,83.47,15.32
050050007-3,05,005,0007-3,157.28,58.07,10.05,156.25,62.2,8.45,161.17,60.17,7.37,152.76,66.33,7.8,165.7,47.71,161.26,51.48,152.95,64.67,8.24
050050008-1,05,005,0008-1,652.27,162.47,28.08,634.89,183.71,23.26,645.51,179.86,17.43,638.7,183.76,18.42,680.28,130.59,674.52,130.55,621.38,191.43,25.16
050050008-2,05,005,0008-2,86,21,10,85,24,8,87,22,9,86,23,8,87,21,90,17,88,22,8
050050008-3,05,005,0008-3,80,27,9,85,24,7,87,24,5,81,26,8,85,22,88,20,84,25,6
050050008-4,05,005,0008-4,165.69,55.43,11.07,163.65,53.5,12.05,155.71,53.49,11.04,150.68,55.51,11.04,163.79,45.34,169.75,34.38,150.64,51.53,17.04
050050008-5,05,005,0008-5,50.46,24.23,7.69,49.98,23.82,7.56,51.26,25.69,4.43,46.13,28.77,6.44,52.21,22.37,54.03,19.4,51.6,24.03,4.64
050050009-1,05,005,0009-1,507.15,139.26,25.4,509.89,137.41,17.3,516.48,137.35,16.09,507.69,141.88,20.09,533.4,109.28,542.51,93.81,494.39,146.4,23.72
050050009-2,05,005,0009-2,441.29,135.61,21.19,431.37,152.56,15.16,432.38,150.57,15.14,438.21,145.68,14.2,461.25,114.77,457.26,109.77,424.37,151.62,22.08
050050009-3,05,005,0009-3,63.22,13.78,10.97,64.13,15.87,7.97,64.13,16.84,6.99,63.19,15.82,8.95,65.33,15.59,65.3,13.59,64.07,17.83,6.06
050050009-4,05,005,0009-4,121.02,31.99,11.62,120.99,34.91,8.73,121.96,32.99,9.68,115.18,39.76,9.69,128.73,28.14,125.85,28.12,115.2,36.86,10.65
050050010-1,05,005,0010-1,256.51,75.22,18.55,246.63,80.13,19.42,246.16,85.47,16.35,242.22,86.28,17.53,262.41,71.28,267.53,65.28,244.38,83.52,17.01
050050010-2,05,005,0010-2,329.51,100.74,27.15,334.22,101,23.17,329.29,100.87,27.17,324.14,106,26.19,350.44,92.71,362.53,79.65,322.16,104.93,30.24
050050010-3,05,005,0010-3,202.88,41.43,8.83,187.84,55.09,9.25,191.92,48.27,9.27,183.86,55.5,9.98,200.26,39.28,204.95,36.28,184.82,51.52,13.11
050050011-1,05,005,0011-1,146.42,49.56,12.27,136.12,57.23,12.9,138.42,58.91,10.77,131.23,64.61,12.74,144.45,49.27,149.91,42.75,136.25,60.94,11.22
050050011-2,05,005,0011-2,324.93,101.36,24.78,318.02,105.4,27.61,324.93,105.26,23.8,324.77,106.46,22.75,344.69,93.41,344.87,87.44,316.9,112.19,24.89
050050011-3,05,005,0011-3,188.37,53.38,10.48,182.81,57.93,10.54,184.58,57.24,9.59,180.09,60.02,8.9,196.31,42.86,199.91,40.83,179.6,57.37,11.23
050050011-4,05,005,0011-4,52.65,20.27,7.41,51.58,22.99,5.73,52.57,23,4.79,47.31,26.52,6.51,53.84,19.21,55.63,14.75,50.68,23.97,5.68
050050011-5,05,005,0011-5,5.99,7.28,7.05,10.96,4.3,6.05,11.97,5.3,4.05,7.95,7.31,6.04,9.03,5.22,12.05,2.21,11.94,4.3,5.06
050050011-6,05,005,0011-6,19.61,7.02,6.01,19.61,7.02,6,21.61,7.02,4,17.62,8.02,6.99,17.63,9.02,19.65,6.03,20.59,7.03,5.01
050050011-7,05,005,0011-7,35.1,6.04,6.03,35.1,5.04,6.03,36.12,6.04,4.02,32.09,6.04,7.04,33.09,6.05,35.1,4.03,35.11,7.04,4.03
050050011-8,05,005,0011-8,44.49,11.52,6.35,42.39,12.64,7.3,44.43,12.6,5.31,37.28,15.73,8.27,42.79,13.21,44.81,11.19,44.22,12.65,5.36
050050011-9,05,005,0011-9,150,45,9,148,46,8,152,44,8,148,48,8,156,33,156,35,147,44,12
05007000001,05,007,000001,813.01,123.17,33.27,799.62,133.46,32.31,791.42,138.48,38.49,778.28,154.61,30.44,814.73,139.5,817,140.22,766.2,155.71,36.4
05007000002,05,007,000002,257.93,48.38,11.38,243.17,56.29,12.96,250.35,53.81,11.8,238.72,63.69,11.37,251.64,59.58,254.89,55.77,238.53,59.52,14.34
05007000003,05,007,000003,345.89,286.06,24.92,335.92,291.04,29.9,311.01,309.98,34.89,307.02,306.99,38.87,369.81,266.13,375.79,255.16,301.04,305.99,44.85
05007000004,05,007,000004,531,152,22,528,164,13,516,157,32,509,174,19,545,151,546,149,517,165,21
05007000005,05,007,000005,735.47,296.21,39.01,706.48,320.19,37.02,699.46,326.18,39.05,682.41,342.23,41.05,772.48,276.17,786.52,258.12,673.44,345.21,45.03
05007000006,05,007,000006,387,94,13,369,112,13,369,105,17,361,117,13,394,96,388,93,364,115,11
05007000007,05,007,000007,268.22,85.39,12.84,263.62,90.9,11.01,260.89,95.46,10.09,259.03,96.41,9.18,278.32,82.61,289.31,70.7,254.46,100.97,11.93
05007000008,05,007,000008,633,202,16,623,207,20,616,204,24,617,210,17,676,156,681,143,604,210,24
05007000009,05,007,000009,459,153,22,444,159,23,440,159,28,433,168,23,481,136,484,130,421,168,35
05007000010,05,007,000010,453.28,113.36,12.13,438.13,127.47,10.18,445.13,120.5,8.17,435.93,133.62,11.22,469.34,102.4,468.37,96.3,431.88,130.6,13.28
05007000011,05,007,000011,597.5,190.93,20.97,573.52,208.91,25.99,584.45,197.01,23,547.52,225.93,30.99,602.51,195.94,620.42,173.99,545.49,218.95,33.03
05007000012,05,007,000012,573.5,172.73,28.02,548.48,187.18,33.81,519.55,203.6,49.2,524.34,208.35,36.73,558.14,203.41,575.43,181.26,516.69,211.21,40.57
05007000013,05,007,000013,602.99,222.16,18.42,593.94,229.76,21.58,581.13,239.51,23.82,578.1,234.55,26.9,607.25,211.62,605.5,206.05,579.86,234.38,27.5
05007000014,05,007,000014,595.16,147.82,30.03,576.15,154.84,37.03,573.15,163.86,32.04,562.11,160.84,38.07,591.16,161.79,603.15,152.75,553.16,169.83,42.05
05007000015,05,007,000015,255.36,48.08,8.01,247.35,56.09,6.01,242.34,60.1,8.01,238.34,62.1,7.01,247.36,54.08,246.37,56.08,233.33,65.1,8.01
05007000016,05,007,000016,318.5,51.07,12.92,310.52,60.03,9.98,313.49,63.01,7.99,305.48,65.05,10.99,320.51,55.05,326.46,52.04,302.49,65.04,16.95
05007000017,05,007,000017,274.45,61.97,13.3,274.2,64.2,10.3,273.36,69.01,9.28,270.13,67.34,13.21,281.71,63.68,285.87,58.5,267.17,68.27,13.31
05007000018,05,007,000018,560.19,177.84,10.87,549.32,183.76,17.78,527.58,205.5,14.82,524.62,204.51,16.8,589.82,146.22,598.72,137.33,536.47,188.7,15.81
05007000019,05,007,000019,331.01,74.06,7.01,323.02,80.06,7,312.03,90.05,10.01,308.02,90.06,11.01,335.02,72.06,336.03,69.05,307.01,93.06,9.02
05007000020,05,007,000020,304.63,119.86,12.98,300.64,124.85,9.99,300.64,118.86,18.98,289.65,130.84,13.98,315.62,113.86,321.61,104.87,283.66,128.85,21.97
05007000021,05,007,000021,772.85,245.48,27.07,733.64,282.82,21.47,729.91,278.15,29.87,699.11,305.22,32.67,780.31,225.88,777.51,216.55,697.24,294.02,36.4
05007000022,05,007,000022,291,162,7,285,165,9,271,176,12,260,183,14,315,137,324,126,271,168,15
05007000023,05,007,000023,467.51,116.35,18.36,451.51,121.99,24.36,453.33,126.17,20.64,445.6,131.62,20.18,466.15,123.08,478.69,107.54,434.15,134.44,25.45
05007000024,05,007,000024,889.65,241.43,13.1,840.59,279.37,22.18,821.71,289.47,30.01,803.45,304.57,30.09,878.83,233.3,894.79,213.38,805.37,296.6,30.13
05007000025,05,007,000025,709.88,221.69,13.51,680.05,238.02,23.41,678.15,249.72,16.29,651.18,264.14,21.66,716.09,209.1,721.55,203.62,646.71,262.3,24.35
05007000026,05,007,000026,326,185,14,314,186,20,304,199,19,301,200,17,339,167,343,159,297,198,19
05007000027,05,007,000027,514.11,173.28,9.03,497.88,185,9.94,471.74,193.12,27.96,475.33,194.93,20.76,523.14,155.24,539.38,138.99,471.73,195.82,18.96
05007000028,05,007,000028,594,293,18,566,306,25,564,297,39,546,328,29,611,266,618,250,540,324,29
05007000029,05,007,000029,585.96,274.85,20.24,570.06,282.83,22.87,561.1,288.15,30.89,550.61,305.7,24.7,607.07,244.91,614.2,241.28,544.44,296.94,32.58
05007000030,05,007,000030,700.86,344.62,27.59,680.79,353.01,34.92,662.72,368.33,39.6,651.66,372.85,42.97,723.31,315.45,752.36,279.34,650.37,365.34,48.22
05007000031,05,007,000031,529.17,185.95,19.52,523.74,192.18,15.15,517.38,191.43,21.38,505.12,208.11,15.2,558.44,157.5,565.6,145.06,501.49,201.06,22.29
05007000032,05,007,000032,451,330,18,438,326,25,409,340,36,410,343,28,497,262,517,243,398,334,39
05007000033,05,007,000033,798,210,28,784,219,30,777,224,33,750,244,35,821,206,839,186,745,244,38
05007000034,05,007,000034,801,328,29,770,351,30,757,366,31,719,389,37,848,271,858,259,715,382,38
05007000035,05,007,000035,462,182,20,455,188,18,441,198,24,445,195,21,478,172,497,152,430,204,26
05007000036,05,007,000036,299.18,162.82,16.05,285.14,172.82,17.07,278.13,179.81,19.09,263.07,193.88,19.08,316.28,142.69,330.29,128.66,267.06,183.87,20.08
05007000037,05,007,000037,348,308,24,333,313,25,315,319,37,309,336,24,401,248,404,244,303,320,34
05007000038,05,007,000038,374.19,233.95,21.43,355.96,246.44,24.25,348.05,240.8,36.85,340.41,258.05,25.33,388.16,224.91,410.44,196.85,341.13,255.27,28.28
05007000039,05,007,000039,380.08,231.21,20.52,370.37,242,20,352.9,251.16,26.34,359.92,242.02,25.11,424.01,195.55,435.73,178.47,350.73,249.57,23.35
05007000040,05,007,000040,402.11,221.59,13.37,389.69,229.23,13.37,379.19,240.69,15.28,365.81,244.51,21.97,418.35,204.4,430.76,188.16,362.95,239.74,23.88
05007000041,05,007,000041,637.48,230.45,23.91,615.09,247.01,25.54,604.39,257.48,29.74,594.97,260.4,29.67,652.48,221.67,662.29,206.7,601.01,253.82,29.82
05007000042,05,007,000042,572.35,269.18,35.01,558.35,279.18,30.01,558.33,280.19,35.01,541.33,290.19,37.01,600.38,251.15,624.39,227.14,535.32,280.2,44.01
05007000043,05,007,000043,559.39,133.07,7.61,534.87,151.38,11.6,515.43,171.86,8.7,513.8,170.05,13,561.15,124.28,568.71,111.55,515.66,162.84,15.08
05007000044,05,007,000044,168.68,185.83,12.6,160.11,188.25,15.66,152.82,191.54,15.76,151.55,196.62,14.76,189.05,155.62,187.32,154.23,146.74,198.44,16.76
05007000045,05,007,000045,323.64,111.79,7.29,314.95,118.55,9.43,308.79,123.85,10.17,304.82,121.97,13.05,327.71,105.74,324.93,104.7,302.63,125.65,14.89
05007000046,05,007,000046,212.79,216.28,14.03,208.76,214.29,17.03,201.75,222.31,19.04,206.73,220.31,15.04,240.8,174.27,251.82,166.25,206.74,215.3,15.04
05007000047,05,007,000047,564.61,423.94,37.64,560.64,427.9,31.7,534.89,437.8,47.54,536.87,440.78,44.57,621.06,381.34,646.82,351.63,512.11,449.69,52.5
05007000048,05,007,000048,245.87,126.11,6.9,243.56,123.5,9.85,233.59,133.27,9.08,234.64,134.23,6.09,264.62,106.42,274.44,97.49,225.96,137.05,9.96
05007000049,05,007,000049,547.82,331.89,40.99,527.83,348.89,36.99,518.83,362.88,40.99,506.84,368.88,41.99,597.81,304.9,607.8,288.91,511.83,357.88,40.99
05007000050,05,007,000050,221.21,180.23,16.66,209.95,187.37,20.72,205.49,190.34,22.16,199.98,193.58,24.36,237.94,165.19,241.52,161.39,198.94,189.8,26.28
05007000051,05,007,000051,396.63,168.63,14.54,380.38,183.62,17.97,377.05,181.49,22.41,372.61,192,17.14,402.99,161.92,412.57,150.45,369.25,187.98,21
05007000052,05,007,000052,212.41,124.47,14.16,200.49,131.17,17.89,198.25,131.17,19.38,196.76,136.39,14.91,226.57,118.5,234.77,108.07,194.52,130.43,20.12
05007000053,05,007,000053,682.83,278.89,32.01,662.81,292.91,33,651.82,294.93,42.97,626.87,318.89,42.97,712.82,253.94,733.79,228.98,625.84,316.91,41
05007000054,05,007,000054,460,340,17,439,343,31,417,367,29,413,365,33,493,277,514,254,411,357,35
05007000055,05,007,000055,506,296,21,496,311,11,471,326,23,477,319,25,531,273,545,256,448,333,27
05007000056,05,007,000056,469,305,26,470,305,24,452,315,30,439,323,35,499,283,529,252,439,315,39
05007000057,05,007,000057,359.34,118.56,18.69,357.53,122.14,15.14,348.63,126.58,19.6,340.6,132.83,20.49,367.33,125.67,386.93,102.52,337.92,131.05,21.38
05007000058,05,007,000058,452.65,107.91,19.1,446.92,118.42,14.32,438.33,118.42,21.96,434.51,126.06,20.05,460.29,110.78,470.8,97.41,430.69,126.06,16.23
05007000059,05,007,000059,406,313,28,389,319,32,379,319,44,359,347,36,443,280,465,257,356,335,43
05007000060,05,007,000060,338,150,36,336,157,29,331,150,43,319,166,37,366,150,379,135,317,166,38
05007000061,05,007,000061,646.86,224.74,20.45,623.65,232.9,28.5,620.27,233.11,36.64,606.49,244.93,31.6,674.26,194.55,684.26,180.54,589.27,246.03,40.66
05007000062,05,007,000062,497,233,23,484,247,19,476,245,26,452,274,17,530,199,559,170,450,259,29
05007000063,05,007,000063,918,383,25,883,400,37,872,411,39,837,448,35,940,357,971,321,837,426,49
05007000064,05,007,000064,561.39,216.99,7.96,544.47,223.96,8.96,523.56,237.89,14.93,521.57,242.87,11.94,589.26,164.24,615.14,136.37,513.61,232.92,20.9
05007000065,05,007,000065,578.64,198.15,8.01,550.63,215.17,16,530.61,227.16,25.02,536.6,226.19,15.02,599.64,163.15,594.64,169.15,532.58,231.19,17.02
05007000066,05,007,000066,521.46,232.05,26.97,505.94,242.05,30.48,485.94,252.79,38.85,494.18,246.26,36.19,546.16,217,547.93,214.01,480.51,251.42,40.83
05007000067,05,007,000067,353.59,215.57,17.03,339.55,225.61,19.03,336.55,229.59,17.04,321.53,240.62,18.03,367.63,186.54,369.65,185.5,311.54,244.61,22.03
05007000068,05,007,000068,549.77,289.5,12.26,510.16,307.42,23.57,499.79,310.25,32.06,476.21,330.99,26.4,596.92,225.38,613.89,199.91,471.5,320.62,32.06
05007000069,05,007,000069,276.26,206.58,18.03,264.78,211.5,22.13,253.31,226.25,19.67,237.73,226.25,29.51,296.75,179.53,311.51,165.59,242.65,222.16,26.23
05007000070,05,007,000070,487,179,14,468,186,23,465,192,21,467,190,18,500,159,520,138,454,197,23
05007000071,05,007,000071,553,237,16,541,251,12,527,252,21,510,264,22,579,209,594,191,507,258,27
05007000072,05,007,000072,283,66,6,276,73,4,268,79,6,272,75,6,289,62,294,55,267,77,8
05007000073,05,007,000073,218.3,56.45,5.08,211.29,59.45,6.09,217.22,59.49,4.1,208.24,60.47,10.08,214.32,63.42,218.32,57.42,208.23,63.47,9.1
05007000074,05,007,000074,539,248,18,514,271,19,509,269,25,513,274,16,576,214,600,185,513,265,20
05007000075,05,007,000075,255,231,15,241,236,16,234,242,24,225,242,24,285,191,309,166,217,250,27
