GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRHUT,G18GOVDHEN,G18GOVLWES,G18LTGRGRI,G18LTGDBLA,G18LTGLGIL,G18ATGRRUT,G18ATGDLEE,G18ATGLHIC,G18SOSRTHU,G18SOSDINM,G18SOSLOLS,G18TRERMIL,G18TRELEWA,G18AUDRLEA,G18AUDLDIN,G18LNDRLAN,G18LNDDWIL,G18LNDLCAM
05051000072,05,051,000072,172.93,48.82,4.59,174.65,45.86,4.41,168.42,54.99,2.47,159.47,55.02,7.39,179.74,42.36,178.51,40.6,158.02,62.71,4.97
05051000073,05,051,000073,686.01,201.07,25.63,652.5,229.66,25.63,629.83,264.15,13.8,607.16,277.95,20.7,687,206.99,706.71,180.37,566.75,313.44,23.66
05051000074,05,051,000074,742.05,221,35.8,742.6,226.12,30.04,706.81,264.01,27.95,700.51,264.27,30.04,751.87,217.64,773.55,198.63,656.01,303.74,35.08
05051000081,05,051,000081,202.52,51.07,10.01,203.51,56.11,5,202.47,57.13,4.01,198.49,60.13,4.99,206.54,57.04,208.54,54.05,191.51,68.1,6
05051000082,05,051,000082,434,142,15,441,138,15,425,161,8,418,162,14,464,117,465,116,413,161,13
05051000083,05,051,000083,1062.37,286.58,44.39,1060.44,299.12,38.6,1020.88,344.47,35.7,1010.26,343.51,43.42,1097.11,279.82,1109.65,265.35,979.39,370.53,52.11
05051000084,05,051,000084,162.37,36.66,5.93,164.35,37.63,2.98,164.33,37.66,2.97,160.35,39.64,3.97,173.25,28.75,171.27,30.72,154.43,42.63,4.95
05051000091,05,051,000091,210,67,19,216,65,14,212,72,11,203,79,13,219,74,228,62,200,77,17
05051000092,05,051,000092,336.56,81.44,16.03,329.57,86.52,11.98,325.46,94.58,13.03,331.44,92.58,6.05,349.58,78.4,350.72,73.3,328.35,99.67,7.02
05051000093,05,051,000093,705.03,226.99,17.2,699.87,247.62,13.76,663.76,284.59,12.9,656.02,284.59,16.34,728.25,211.51,745.44,190.87,622.49,308.67,26.65
05051000094,05,051,000094,469.11,124.83,16.07,466.88,138.84,6.82,446.45,154.56,13.63,446.82,153.53,12.02,482.04,117.15,501.89,99.1,430.76,171.15,9.69
05051000095,05,051,000095,227.6,57.13,10.48,230.43,58.09,9.52,219.04,70.44,10.47,213.36,72.34,12.35,231.43,63.76,233.33,60.9,209.56,78.05,8.56
05051000101,05,051,000101,1037.82,352.52,53.98,1026.06,363.3,49.09,997.57,391.79,51.04,982.86,408.44,45.15,1057.49,361.3,1079.06,335.78,943.55,434.05,62.79
05051000102,05,051,000102,287,66,17,297,63,12,283,76,12,291,69,11,316,53,317,51,280,86,8
05051000103,05,051,000103,28.34,3.1,0.57,27.49,4.15,0.52,25.87,4.82,1.57,26.56,4.92,0.67,27.54,4.46,27.65,3.3,25.36,6.23,0.46
05051000104,05,051,000104,80.32,42.12,3.92,79.34,43.1,2.94,76.4,47.99,1.96,70.52,52.89,1.96,82.28,39.18,84.23,35.26,65.62,54.85,3.92
05051000111,05,051,000111,148.5,34.73,2.98,152.34,31.86,2.01,146.48,37.71,1.06,146.4,36.76,1.13,148.37,31.92,153.33,29.98,140.48,40.67,3.06
05051000112,05,051,000112,401.76,69,5.01,390.92,76.93,8.94,389.81,78.01,8.96,367.11,91.83,11.9,400.84,68.95,399.89,66.91,356.26,109.54,8.98
05051000113,05,051,000113,606.93,224.13,20.06,604.71,238.25,16.16,580.69,253.3,25.1,569.28,264.53,20.18,621.91,223.01,630.84,204.05,565.12,260.83,29.1
05051000114,05,051,000114,1063.13,383.27,26.95,1040.17,409.22,29.94,1007.22,436.18,29.94,962.33,468.1,34.93,1082.1,356.31,1085.1,338.34,965.32,454.14,39.92
05051000115,05,051,000115,420.76,128.68,7.99,417.77,133.68,10.97,400.82,149.62,8.99,394.84,151.63,7.99,432.72,108.78,427.76,109.75,391.84,154.6,8
05051000121,05,051,000121,443.94,154.82,16.25,444.51,154.12,18.81,426.75,171.83,18.16,426.46,168.44,14.53,459.95,145.26,460.69,135.58,401.42,198.06,13.57
05051000122,05,051,000122,732.07,200.56,27.45,729.34,212.42,23.81,692.76,238.06,37.5,691.84,241.69,21.05,741.27,213.29,745.84,198.65,684.42,247.31,29.26
05051000123,05,051,000123,354.35,86.08,16.19,360.1,84.15,12.38,354.35,91.77,9.52,359.11,87.99,10.47,375.3,77.48,369.68,78.34,346.71,100.4,11.42
05051000124,05,051,000124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05051000125,05,051,000125,343.87,145.08,7.77,335.14,150.99,9.59,324.87,160.35,9.45,316.1,168.17,9.5,357.87,112.67,353.6,112.72,312.51,167.76,10.54
05051000131,05,051,000131,213.55,64.22,5.03,210.55,67.22,4.02,196.52,75.25,7.03,200.51,76.27,4.02,217.57,61.22,221.57,58.21,187.49,87.27,6.03
05051000132,05,051,000132,1148.91,338.77,30.16,1132.19,355.18,28.26,1080.74,398.84,29.99,1090.44,395.66,25.04,1181.01,297.84,1196.5,275.28,1075.26,407.89,28.08
