GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREACAR,G20PREOMYE,G20PRESLAR,G20PREIWES,G20PREICOL,G20PREIPIE,G20PREIGAM,G20PREIFUE,G20USSRCOT,G20USSDHAR
05001000011,05,001,000011,39.91,7.3,0.02,0,0,0,0,0,1.02,0.02,0,0,1,41.91,7.35
05001000012,05,001,000012,32,9,0,0,0,0,0,0,0,0,0,0,0,36,4
05001000013,05,001,000013,241.47,83.15,2,0.02,1,0,0,0.01,0,1,0,1.01,0,244.49,76.1
05001000014,05,001,000014,85.78,13.65,0.97,0,0,0,0,0,0.97,0.97,0,0,0,85.78,15.6
05001000015,05,001,000015,96,10,2,0,0,0,0,1,0,0,0,0,0,96,12
05001000021,05,001,000021,138.46,21.63,0,0,0.94,0,0,0,0.94,0.95,0,0,0,145.98,17.86
05001000022,05,001,000022,409.3,50.93,3.99,0,0,1,0,0,0,1,0,0,0,415.28,44.95
05001000023,05,001,000023,76.09,8.37,0,0,0.02,0,0,0,0.02,1.01,0,0,0,78.23,6.31
05001000031,05,001,000031,70.2,15.4,0.9,0.02,0.02,0.02,0.03,0.02,0,0.02,0.02,0,0,73.97,10.9
05001000032,05,001,000032,34.72,11.68,0.01,0.01,0.01,0.01,0.03,0.01,0,0.01,0.01,0,0,34.94,8.7
05001000033,05,001,000033,7,4,0,0,0,0,0,0,0,0,0,0,0,7,4
05001000034,05,001,000034,50,17,0,0,1,0,0,0,0,1,0,0,0,53,15
05001000035,05,001,000035,90,20,1,0,0,0,0,0,0,0,0,0,0,92,18
05001000036,05,001,000036,41,23,1,0,0,0,0,0,1,0,0,0,0,44,21
05001000037,05,001,000037,87,6,0,1,0,0,0,0,0,0,0,0,0,87,7
05001000038,05,001,000038,65.48,8.8,0.98,0.98,0,0,0,0,0,0,0,0,0,67.43,7.82
05001000041,05,001,000041,83.81,10.31,0.02,0.01,0.01,0,0,0.01,0.01,0,0,0,0,82.98,10.18
05001000042,05,001,000042,127.14,26.48,0.98,0.01,0.01,0,0.97,0.99,0.01,0.01,0,0.01,0.97,134.11,21.39
05001000043,05,001,000043,72,5,1,0,0,0,0,0,0,0,0,0,0,71,7
05001000044,05,001,000044,81.51,11.18,1,0,0,0,0,1,0,0.01,0,0,0,80.5,12.18
05001000045,05,001,000045,23.34,0.98,0.97,0,0,0,0,0,0,0,0,0,0,21.4,2.92
05001000046,05,001,000046,63,7,0,0,0,0,0,0,0,0,0,0,0,63,7
05001000047,05,001,000047,25.6,50.18,1,0,0.02,0.31,0,2,1,0,0,0,0.31,35.74,41.14
05001000048,05,001,000048,15.44,10.08,0,0,0.02,0,0,0,0,0,0,1,0,15.44,10.1
05001000051,05,001,000051,62,123,2,0,0,0,0,3,2,3,0,0,1,86,90
05001000053,05,001,000053,226,71,2,1,1,0,0,1,0,2,0,1,0,242,48
05001000055,05,001,000055,301.01,67.12,1.01,1,0,0,0,0,2,2,1,1,0,305.02,57.11
05001000071,05,001,000071,196.72,497.91,3.03,3.99,2,1,2.03,7.02,3.99,6.99,0,4.99,2.03,265.81,399.93
