GEOID,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGJAN,G20PRECBLA,G20PREIPIE,G20PREOFUE,G20USSRSUL,G20USSDGRO,G20USSOHOW,G20HALRYOU,G20HALDGAL
020130001002132,0,0,0,0,0,0,0,0,0,0,0,0
020130001001015,0,0,0,0,0,0,0,0,0,0,0,0
020130001001276,0,0,0,0,0,0,0,0,0,0,0,0
020130001002165,0,0,0,0,0,0,0,0,0,0,0,0
020130001001120,0,0,0,0,0,0,0,0,0,0,0,0
020130001002078,0,0,0,0,0,0,0,0,0,0,0,0
020130001002214,0,0,0,0,0,0,0,0,0,0,0,0
020130001002166,0,0,0,0,0,0,0,0,0,0,0,0
020130001002167,0,0,0,0,0,0,0,0,0,0,0,0
020130001002037,0,0,0,0,0,0,0,0,0,0,0,0
020130001002253,0,0,0,0,0,0,0,0,0,0,0,0
020130001002309,0,0,0,0,0,0,0,0,0,0,0,0
020130001002113,0,0,0,0,0,0,0,0,0,0,0,0
020130001001009,0,0,0,0,0,0,0,0,0,0,0,0
020130001001202,0,0,0,0,0,0,0,0,0,0,0,0
020130001001038,0,0,0,0,0,0,0,0,0,0,0,0
020130001001005,0,0,0,0,0,0,0,0,0,0,0,0
020130001002316,0,0,0,0,0,0,0,0,0,0,0,0
020130001002182,0,0,0,0,0,0,0,0,0,0,0,0
020130001002328,0,0,0,0,0,0,0,0,0,0,0,0
020130001002033,0,0,0,0,0,0,0,0,0,0,0,0
020130001001406,0,0,0,0,0,0,0,0,0,0,0,0
020130001001399,0,0,0,0,0,0,0,0,0,0,0,0
020130001001444,0,0,0,0,0,0,0,0,0,0,0,0
020130001003130,0,0,0,0,0,0,0,0,0,0,0,0
020130001003177,0,0,0,0,0,0,0,0,0,0,0,0
020130001003229,0,0,0,0,0,0,0,0,0,0,0,0
020130001003035,0,0,0,0,0,0,0,0,0,0,0,0
020130001003040,0,0,0,0,0,0,0,0,0,0,0,0
020130001003101,0,0,0,0,0,0,0,0,0,0,0,0
020130001003102,0,0,0,0,0,0,0,0,0,0,0,0
020130001003111,0,0,0,0,0,0,0,0,0,0,0,0
020130001003191,0,0,0,0,0,0,0,0,0,0,0,0
