GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20GOVRHOL,G20GOVDMYE,G20GOVLRAI,G20ATGRROK,G20ATGDWEI
18001000010,18,001,000010,585.22,135.17,19.92,499.48,104.31,137.56,579.82,151.26
18001000020,18,001,000020,607.99,132.65,25.99,520.7,98.4,144.53,593.96,143.61
18001000030,18,001,000030,562.38,128.27,5.99,537.08,79.18,73.4,541.43,132.22
18001000040,18,001,000040,212,24,4,171,16,48,198,35
18001000050,18,001,000050,701.07,348.17,36.23,655.88,219.14,203.37,691.44,359.76
18001000060,18,001,000060,672.41,374.04,32.33,609.83,239.61,215.23,657.57,388.82
18001000070,18,001,000070,365.64,203.36,17.86,304.11,151.74,123.08,339.83,219.26
18001000080,18,001,000080,478.18,189.34,4.72,447.7,125.13,100.29,471.98,184.67
18001000090,18,001,000090,756.05,366.58,35.54,656.77,247.4,248.48,733.9,399.22
18001000100,18,001,000100,589.88,216.88,12.51,540.1,133.9,135.79,585.01,214.25
18001000110,18,001,000110,337,37,3,298,26,55,336,38
18001000120,18,001,000120,405.08,135.57,12.85,347.67,94.99,116.77,389.26,155.33
18001000130,18,001,000130,305,56,3,237,39,92,310,53
18001000140,18,001,000140,143,21,1,115,18,28,134,29
18001000150,18,001,000150,414,74,7,375,43,78,413,71
18001000160,18,001,000160,65.43,18.28,1.92,51.96,13.47,19.25,58.7,24.06
18001000170,18,001,000170,304.13,81,6,250.11,57,85.03,309.13,76.01
18001000180,18,001,000180,253.95,52.96,5.53,229.31,29.22,52.05,241.25,64.68
18001000190,18,001,000190,491,116,12,449,77,90,481,127
18001000200,18,001,000200,390.64,31.83,6.08,323.41,22.69,84.42,373.06,42.73
18001000210,18,001,000210,471.57,116.72,11.08,401.04,71.53,127.75,459.3,127.94
18001000220,18,001,000220,474,110,5,422,65,96,443,128
18001000230,18,001,000230,404,86,6,360,54,84,393,93
18001000240,18,001,000240,262.56,57.51,1.17,235.54,36.44,49.29,259.35,55.84
18001000250,18,001,000250,433.82,123.66,10.28,403.3,80.87,82.71,440.02,125.33
18003000010,18,003,000010,123,210,9,155,172,14,130,206
18003000020,18,003,000020,125,184,9,135,159,22,132,179
18003000030,18,003,000030,375,321,18,416,208,82,382,310
18003000040,18,003,000040,245.59,188.98,8.33,288.88,131.54,24.14,258.08,177.33
18003000050,18,003,000050,336,305,17,368,220,65,349,302
18003000060,18,003,000060,278.41,346.02,12.67,336.12,254.46,44.86,310.92,312.67
18003000070,18,003,000070,181,128,3,183,85,40,175,125
18003000080,18,003,000080,277.98,222.99,12,319.98,154.99,40,304.98,189.99
18003000090,18,003,000090,584.88,348.4,29.2,654.95,214.1,88.56,629.65,310.45
18003000100,18,003,000100,89.33,97.19,2.02,95.36,71.12,16.05,93.35,89.17
18003000110,18,003,000110,464.27,344.59,24.62,498.31,246.56,88.54,496.64,327.1
18003000120,18,003,000120,399,251,16,410,174,77,412,240
18003000130,18,003,000130,268,270,17,296,204,62,299,253
18003000140,18,003,000140,642.89,594.7,18.08,734.29,418.13,104.26,676.07,552.58
18003000150,18,003,000150,388.11,349.3,16.92,469.71,231.87,52.74,424.93,324.42
18003000160,18,003,000160,154,170,7,179,122,30,164,166
18003000170,18,003,000170,299,199,18,322,137,55,308,200
18003000180,18,003,000180,390.43,211.26,14.02,424.46,130.18,59.07,409.45,189.24
18003000190,18,003,000190,509,445,21,549,303,118,527,425
18003000200,18,003,000200,442,320,20,467,232,81,454,311
18003000210,18,003,000210,454,327,14,493,232,68,466,316
18003000220,18,003,000220,697.57,424.74,32.98,745.54,292.82,114.93,738.55,390.76
18003000230,18,003,000230,317,282,17,350,219,53,338,276
18003000240,18,003,000240,286,232,11,293,173,67,288,229
18003000250,18,003,000250,463,354,15,503,267,65,481,340
18003000260,18,003,000260,571,342,25,615,235,87,596,318
18003000270,18,003,000270,578.5,269.49,10.2,629.98,179.81,50.72,598.86,247.56
18003000280,18,003,000280,673.48,338.76,17.28,729.36,222.59,77.25,711.89,304.35
18003000290,18,003,000290,408.89,268.61,13.3,437.48,190.15,55.18,426.84,249.32
18003000300,18,003,000300,361.21,231.05,10,388.2,165.03,46.03,376.21,217.05
18003000310,18,003,000310,493,346,17,522,243,88,500,347
18003000320,18,003,000320,423,333,13,445,237,88,434,313
18003000330,18,003,000330,3.58,2.09,0.01,2.56,2.04,1.07,3.58,2.09
18003000340,18,003,000340,198,151,12,214,108,34,196,154
18003000350,18,003,000350,219.32,183.24,10.1,228.71,145.57,36.32,225.51,181.01
18003000360,18,003,000360,277,343,31,309,260,88,296,349
18003000370,18,003,000370,347.67,351.84,16.78,384.9,262.61,69.64,356.26,346.83
18003000380,18,003,000380,399,551,26,491,391,91,437,509
18003000390,18,003,000390,326,394.19,17.75,368.03,292.37,85,345.61,383.91
18003000400,18,003,000400,180,199,10,204,142,38,192,194
18003000410,18,003,000410,240,347,19,263,261,54,254,310
18003000420,18,003,000420,218,192,9,235,148,32,219,189
18003000430,18,003,000430,172,190,8,180,147,36,174,188
18003000440,18,003,000440,200,308,23,196,246,85,197,313
18003000450,18,003,000450,99,192,12,100,160,41,106,191
18003000460,18,003,000460,57.19,120.3,5.92,66.07,94.66,21.69,60.15,113.4
18003000470,18,003,000470,299.71,301.6,24.28,343.78,218.01,66.32,328.01,290.89
18003000480,18,003,000480,421,293,9,470,202,50,441,270
18003000490,18,003,000490,341.53,224.63,15.61,341.52,152.4,83.94,358.09,203.18
18003000500,18,003,000500,383.78,282.28,9.67,406.98,193.34,72.5,403.11,262.94
18003000510,18,003,000510,520,412,20,539,302,116,536,396
18003000520,18,003,000520,273,173,14,285,131,41,281,169
18003000530,18,003,000530,437,509,40,483,381,123,481,491
18003000540,18,003,000540,319.8,231.86,8.99,385.76,149.91,28.98,341.79,208.87
18003000550,18,003,000550,56.84,88.68,2,54.85,71.74,19.94,51.87,88.68
18003000560,18,003,000560,218.81,176.7,10.08,228.94,125.34,52.31,233.85,165.6
18003000570,18,003,000570,695.36,395.2,28.5,745.53,272.29,109.09,729.77,365.69
18003000580,18,003,000580,530.65,232.63,17.48,554.49,161.57,64.83,555.23,211.13
18003000590,18,003,000590,586.93,282.47,23.41,637.5,178.69,76.41,616.14,252.67
18003000600,18,003,000600,575.45,386.62,17.89,640.05,272.32,55.66,608.25,346.86
18003000610,18,003,000610,219.35,205.04,14.04,227.52,157.7,41.2,224.39,191.99
18003000620,18,003,000620,163,285,13,221,204,36,182,275
18003000630,18,003,000630,129.11,188.19,11.82,150.93,150.91,26.37,140.93,179.1
18003000640,18,003,000640,351.02,338.99,17.01,386.99,243.01,72.02,374.02,310.02
18003000650,18,003,000650,166,114,5,193,67,25,197,87
18003000660,18,003,000660,118.12,308.01,12.26,144.47,251.99,43.81,131.18,299.01
18003000670,18,003,000670,195.67,343.5,22.16,209.87,281.91,68.4,197.71,346.46
18003000680,18,003,000680,119.24,235.19,14.27,134.6,187.14,47.84,133.3,227.19
18003000690,18,003,000690,512.68,314.8,27.98,497.69,228.86,121.92,507.68,319.8
18003000700,18,003,000700,159.6,236.55,11.99,171.77,179.54,55.89,171.18,229.26
18003000710,18,003,000710,459,398.04,30.99,477.02,301.01,107.99,485,391.01
18003000720,18,003,000720,244.39,214.47,7.98,268.33,154.62,43.89,245.39,209.48
18003000730,18,003,000730,443,292,14,440,238,72,450,286
18003000740,18,003,000740,294,283,13,298,225,63,297,281
18003000750,18,003,000750,303.6,292.73,12.05,327.62,208.55,63.2,304.63,287.71
18003000760,18,003,000760,337.42,353.23,13.12,370.45,258.92,60.37,351.53,328.43
18003000770,18,003,000770,198.33,195.37,7.05,209.45,150,44.24,205.38,193.27
18003000780,18,003,000780,315.71,351.94,22.17,343.9,263.67,73.27,328.82,331.81
18003000790,18,003,000790,303.03,264.9,19.55,358.74,170.09,54.74,327.46,247.31
18003000800,18,003,000800,452.26,307.49,10.98,521.14,189.69,54.91,471.22,284.53
18003000810,18,003,000810,362.97,334.1,11.45,385.26,230.91,82.26,361.54,330.69
18003000820,18,003,000820,434.32,336.95,19.99,452.14,251.78,93.2,451.17,331.78
18003000830,18,003,000830,431.16,228.52,16.89,447.04,151.04,75.52,450.02,216.61
18003000840,18,003,000840,347,244,9,390,162,48,370,218
18003000850,18,003,000850,671,494,21,734,338,111,684,472
18003000860,18,003,000860,382.15,309.1,11,433.16,220.07,44.01,408.15,283.09
18003000870,18,003,000870,249.28,227.19,7.01,294.31,153.13,35.03,264.3,200.17
18003000880,18,003,000880,496.52,296.89,18.86,559.08,191.63,62.55,533.26,263.13
18003000890,18,003,000890,168.29,224.06,7.83,177.1,166.33,57.73,173.18,218.19
18003000900,18,003,000900,268,290,19,313,213,51,268,297
18003000910,18,003,000910,307,232,10,329,151,63,312,222
18003000920,18,003,000920,315,302,23,316,237,87,307,320
18003000930,18,003,000930,742.12,493.72,29.13,798.06,345.29,121.6,796.23,447.61
18003000940,18,003,000940,441.16,297.78,33.09,447.09,209.55,108.59,450.49,294.39
18003000950,18,003,000950,1.29,1.45,0.07,1.43,1.1,0.3,1.34,1.42
18003000960,18,003,000960,552.2,251.76,14.75,635.36,146.22,47.87,604.91,206.9
18003000970,18,003,000970,308.7,391.7,17.12,364.93,295.89,56.68,332.78,374.57
18003000980,18,003,000980,249.3,275.8,20.61,263.04,213.97,66.74,260.1,276.78
18003000990,18,003,000990,267.21,267.21,8.84,283.91,209.25,49.12,273.11,258.37
18003001000,18,003,001000,306.47,190.3,10.51,336.21,135.89,37.03,322.52,179.7
18003001010,18,003,001010,601.06,518.19,33.95,620.03,400.37,119.81,596.07,537.16
18003001020,18,003,001020,502,351,25,456,280,136,488,372
18003001030,18,003,001030,171.64,349.27,14.97,200.58,286.4,49.9,181.62,347.27
18003001040,18,003,001040,507,451,24,528,333,120,513,446
18003001050,18,003,001050,347.07,240.48,9.03,388.77,152.4,47.43,354.25,216.23
18003001060,18,003,001060,266.93,302.52,2.97,327.23,208.6,37.57,282.75,280.77
18003001070,18,003,001070,11.68,8.64,2.06,16.65,4.38,1.34,11.7,8.63
18003001080,18,003,001080,394.8,246.87,18.61,458.48,149.89,53.88,425.17,229.24
18003001090,18,003,001090,243,204,17,307,124,33,253,198
18003001100,18,003,001100,416.16,334.52,13.94,458.98,236.95,63.72,431.1,301.67
18003001110,18,003,001110,272.33,263.48,14.95,318.26,193.31,34.24,303.22,235.48
18003001120,18,003,001120,376.98,300.95,13.05,421.15,218.7,49.12,391.09,279.85
18003001130,18,003,001130,488,350,9,549,240,60,514,321
18003001140,18,003,001140,619,459,21,712,315,69,663,417
18003001150,18,003,001150,313,223,2,387,143,13,339,199
18003001160,18,003,001160,299,188,7,361,113,20,326,155
18003001170,18,003,001170,462.61,360.38,15.96,529.38,253.17,56.47,500.76,323.67
18003001180,18,003,001180,287,235,7,326,165,41,300,223
18003001190,18,003,001190,326,271,9,352,206,54,345,262
18003001200,18,003,001200,379,315,24,415,218,80,416,287
18003001210,18,003,001210,358,249,14,411,171,42,389,231
18003001220,18,003,001220,420.79,461.22,17.66,532.58,308.93,55.07,475.24,414.54
18003001230,18,003,001230,322.39,219.62,12.04,357.62,153.83,43.53,337.24,210.33
18003001240,18,003,001240,318,232,14,339,183,45,330,227
18003001250,18,003,001250,414,339,17,495,221,55,452,304
18003001260,18,003,001260,602.4,437.03,20.04,702.56,302.93,57.4,647.45,398.23
18003001270,18,003,001270,608.77,419.05,14.74,705.48,283.66,58.94,650.22,381.29
18003001280,18,003,001280,316.31,258.87,27.62,332.06,195.71,67.93,335.15,250.26
18003001290,18,003,001290,358.24,291.21,15.94,424.07,196.47,45.86,391.14,255.34
18003001300,18,003,001300,124.53,189.21,13.52,126.46,167.01,35.72,122.6,199.83
18003001310,18,003,001310,150,338,23,206,251,55,172,336
18003001320,18,003,001320,143,275,13,173,215,43,162,264
18003001330,18,003,001330,81,211,8,99,167,31,93,197
18003001340,18,003,001340,165,338,17,203,261,58,175,331
18003001350,18,003,001350,116,243,16,150,197,30,135,234
18003001360,18,003,001360,219.33,629.93,18.65,267.08,350.84,35.4,201.24,438.63
18003001370,18,003,001370,59,173,5,69,134,29,62,165
18003001380,18,003,001380,129,218,12,131,184,37,122,225
18003001390,18,003,001390,209,482,20,257,400,55,233,462
18003001400,18,003,001400,279,513,23,393,366,53,321,477
18003001410,18,003,001410,97,238,7,106,202,33,92,242
18003001420,18,003,001420,129.61,333.43,4.95,151.38,280.99,31.66,130.6,328.48
18003001430,18,003,001430,171,278,5,254,186,16,203,248
18003001440,18,003,001440,66,134,4,90,104,12,75,123
18003001450,18,003,001450,63.33,428.5,14.84,83.13,372.09,37.6,67.29,424.54
18003001460,18,003,001460,54.95,166.14,3.98,57.93,151.23,10.93,51.96,164.15
18003001470,18,003,001470,194.4,254.36,22.24,195.36,203.1,76.4,188.59,270.8
18003001480,18,003,001480,188.95,198.24,15.13,185.35,160.71,58.28,185.11,210.12
18003001490,18,003,001490,190.97,172.11,15.09,198.44,131.98,47.75,194.8,173.29
18003001500,18,003,001500,163,223,7,189,177,26,172,215
18003001510,18,003,001510,143,205,15,154,164,41,141,212
18003001520,18,003,001520,160.13,220.43,8.02,154.18,188.36,40.04,144.15,230.41
18003001530,18,003,001530,223.81,306.65,24.55,259.05,227.18,72.54,249.65,294.07
18003001540,18,003,001540,169.92,577.33,23.85,240.47,482.93,49.68,198.74,556.47
18003001550,18,003,001550,253.66,301.14,19.94,271.49,232.81,68.74,276.75,288.1
18003001560,18,003,001560,282.15,345.45,26.01,295.29,262.65,94.91,299.05,338.79
18003001570,18,003,001570,198.87,297.59,15.15,230.26,227.55,51.88,214.75,278.89
18003001580,18,003,001580,160,202,17,158,169,50,160,201
18003001590,18,003,001590,102.16,164.34,8.51,113.57,130.72,26.43,104,163.87
18003001600,18,003,001600,38,246,4,50,223,11,38,239
18003001610,18,003,001610,23,225,6,36,202,17,31,225
18003001620,18,003,001620,46,331,4,72,289,20,49,324
18003001630,18,003,001630,26,316,2,56,276,8,35,300
18003001640,18,003,001640,57,379,4,74,343,14,53,376
18003001650,18,003,001650,76,333,4,87,300,20,74,326
18003001660,18,003,001660,0,0,0,0,0,0,0,0
18003001670,18,003,001670,2.08,1.87,0.02,2.09,1.77,0.07,2.06,1.85
18003001680,18,003,001680,28,331,12,57,290,16,36,326
18003001690,18,003,001690,53,397,8,67,360,22,57,389
18003001700,18,003,001700,105.88,606.3,9.99,140.84,541.37,26.97,107.87,591.31
18003001710,18,003,001710,62,415,5,77,381,21,62,414
18003001720,18,003,001720,143,374,6,190,316,12,158,362
18003001730,18,003,001730,63,508,9,81,476,19,70,500
18003001740,18,003,001740,78,325.99,5,110,274.99,19,87,315.99
18003001750,18,003,001750,87.29,247.09,8.83,111.81,212.76,18.64,95.14,244.15
18003001760,18,003,001760,135,506,2,167,448,17,135,497
18003001770,18,003,001770,110,503.01,9,122,450.01,41,105,498.01
18003001780,18,003,001780,4,14,0,4,12,1,4,13
18003001790,18,003,001790,1.84,0.83,0.14,1.66,0.65,0.49,1.8,0.97
18003001800,18,003,001800,0.01,0.09,0,0.01,0.09,0,0.01,0.09
18003001810,18,003,001810,85.73,413.24,9.63,107.88,363.15,33.71,95.36,401.68
18003001820,18,003,001820,149,444,11,189,386,21,156,432
18003001830,18,003,001830,57,389,5,88,334,13,61,370
18003001840,18,003,001840,86,217,5,99,183,23,86,217
18003001850,18,003,001850,5.9,1.37,0.03,2.83,2.25,2.22,4.83,2.39
18003001860,18,003,001860,6.03,4.64,1,7.06,4.57,0.03,6.04,5.61
18003001870,18,003,001870,71,211,3,89,173,21,69,202
18003001880,18,003,001880,174,534,19,209,446,61,180,522
18003001890,18,003,001890,48,330,13,58,304,30,48,333
18003001900,18,003,001900,89,195,3,100,165,20,93,184
18003001910,18,003,001910,44,428,7,71,391,11,54,409
18003001920,18,003,001920,0,0,0,0,0,0,0,0
18003001930,18,003,001930,599,409,14,684,271,64,628,367
18003001940,18,003,001940,618.07,367.05,24,697.08,254.03,65.01,651.08,352.04
18003001950,18,003,001950,791,526,25,904,347,90,863,454
18003001960,18,003,001960,411,229,9,481,132,33,435,197
18003001970,18,003,001970,178,155,6,213,104,17,193,136
18003001980,18,003,001980,495,325,8,557,221,48,538,279
18003001990,18,003,001990,870,695,25,949,507,140,925,650
18003002000,18,003,002000,628.72,396.17,13.45,682.14,287.14,70.04,659.41,360.76
18003002010,18,003,002010,143.04,157.65,5.23,165.46,111.16,23.55,160.7,137.13
18003002020,18,003,002020,34.59,9.51,0,30.27,5.19,6.05,35.46,7.78
18003002030,18,003,002030,23.87,4.11,0.07,25.08,1.83,1.14,25.04,2.97
18003002040,18,003,002040,6.01,4,1,10.01,1,0,6.01,4
18003002050,18,003,002050,128.42,48.61,1.84,139.4,29.36,10.13,132.1,45.86
18003002060,18,003,002060,57,34,3,66,20,9,58,36
18003002070,18,003,002070,335.79,167.88,10.19,312.29,131.21,68.36,330.95,170.84
18003002080,18,003,002080,6.38,3.39,0.08,5.46,1.99,2.44,6.44,3.34
18003002090,18,003,002090,3.2,1.04,0.06,3.26,0.74,0.33,2.58,1.67
18003002100,18,003,002100,693,194,16,698,121,86,712,181
18003002110,18,003,002110,676.94,140.15,21.71,662.09,76.01,99.71,714.42,116.48
18003002120,18,003,002120,348,173,19,359,114,72,376,156
18003002130,18,003,002130,713,276,13,721,172,105,751,235
18003002140,18,003,002140,708.59,284.15,21.02,712.55,180.11,124.11,736.6,256.15
18003002150,18,003,002150,350.76,67.22,7.91,326.89,41.76,54.76,354.3,61.16
18003002160,18,003,002160,1.32,0.09,0.01,1.28,0.05,0.08,1.32,0.08
18003002170,18,003,002170,575,175,13,586,111,65,579,166
18003002180,18,003,002180,810.2,214.85,22.11,792.04,138.54,119.54,804.21,221.9
18003002190,18,003,002190,362.99,93.94,10,325.06,54.96,79.93,371.01,86.93
18003002200,18,003,002200,557.14,316.08,26.46,548.57,235.49,111.47,575.51,299.73
18003002210,18,003,002210,772.21,335.74,31.66,766.45,216.79,159.24,801.94,318.48
18003002220,18,003,002220,698.17,320.35,22.24,640.36,235.58,155.56,700.62,308.5
18003002230,18,003,002230,782.2,372.88,16.85,838.31,251.11,89.13,819.79,339.73
18003002240,18,003,002240,380,197,15,410,128,51,390,183
18003002250,18,003,002250,220,58,1,213,41,27,217,60
18003002260,18,003,002260,780.09,191.74,22.89,730.59,138.13,125.8,770.55,208.73
18003002270,18,003,002270,753.92,454.95,24,814.92,307.97,99.99,789.92,404.96
18003002280,18,003,002280,465.26,177.06,13,453.22,119.05,82.05,482.24,161.08
18003002290,18,003,002290,323,139,7,278,109,80,318,146
18003002300,18,003,002300,413.8,110.15,13.89,392.96,69.46,70.46,414.79,116.1
18003002310,18,003,002310,644,296,16,652,204,100,668,278
18003002320,18,003,002320,885,274.59,19.37,841.67,183.22,152.53,888.95,264.35
18003002330,18,003,002330,675.41,174.85,21.98,629.45,121.89,121.89,689.4,166.85
18003002340,18,003,002340,724,176,16,657,109,148,713,178
18003002350,18,003,002350,437.2,149.4,13.02,410.18,113.25,71.19,426.17,160.4
18003002360,18,003,002360,532,136,5,519,82,70,534,124
18003002370,18,003,002370,516,197,13,488,134,97,511,192
18003002380,18,003,002380,446.09,88.82,4.99,401.18,59.88,77.84,444.09,88.82
18003002390,18,003,002390,1008.15,217.69,18.8,942.83,145.48,155.34,1007.16,214.73
18003002400,18,003,002400,282.41,80.44,6.06,274.83,48.01,46.97,275.21,85.55
18003002410,18,003,002410,371.59,139.56,6.94,326.17,93.99,91.03,353.79,149.45
18003002420,18,003,002420,576.43,305.07,25.11,565.33,217.09,118.63,590.51,304.96
18003002430,18,003,002430,94.62,40.6,0.02,105.37,24.39,3.69,98.22,32.53
18003002440,18,003,002440,339.02,197.99,9.04,383.32,124.76,37.07,358.91,176.29
18003002450,18,003,002450,817,436.49,24.63,801.97,312.71,157.55,796.62,457.9
18003002460,18,003,002460,27.4,10.51,0.5,23.11,7.11,8.08,26.02,11.92
18003002470,18,003,002470,2.22,1.03,0,3.12,0.02,0.11,1.2,2.05
18003002480,18,003,002480,23.94,6.84,0.09,23.77,5.6,1.49,21.9,7.91
18003002490,18,003,002490,3,0,0,3,0,0,3,0
18003002500,18,003,002500,499,213,19,477,161,93,486,226
18003002510,18,003,002510,584.5,216.81,15.99,597.49,141.88,86.93,612.48,203.83
18003002520,18,003,002520,564.55,232.13,13.91,577.77,165.21,73.55,574.23,224.46
18003002530,18,003,002530,392,179,15,356,135,92,377,187
18003002540,18,003,002540,7.37,2.77,0,6.45,1.84,1.84,6.45,2.77
18003002550,18,003,002550,277,117,14,253,90,63,274,122
18003002560,18,003,002560,304.88,137.03,22.84,275.06,108.25,80.45,296.93,159.88
18003002570,18,003,002570,1,0,1,0,0,1,1,0
18003002580,18,003,002580,43.15,22.06,1,40.16,18.03,7.01,43.15,22.05
18003002590,18,003,002590,683.33,285.43,15.81,723.04,191.69,73.08,698.94,269.26
18003002600,18,003,002600,754.26,408.06,16.96,827.1,270.38,76.82,794.17,360.17
18003002610,18,003,002610,556.8,202.65,5.65,603.39,123.08,37.84,577.7,175.34
18003002620,18,003,002620,89.8,62.24,1.25,88.64,44.78,21.13,91.09,59.1
18003002630,18,003,002630,458.16,257.48,14.17,514.58,160.65,52.58,489.44,226.22
18003002640,18,003,002640,767,531,33,840,380,111,817,489
18003002650,18,003,002650,1.74,0.41,0.03,1.73,0.31,0.14,1.77,0.38
18003002660,18,003,002660,747,358,25,804,242,85,798,317
18003002670,18,003,002670,576.82,267.3,11.15,608.94,176.83,74.46,606,233.17
18003002680,18,003,002680,425.99,138.05,7.83,437.23,86.94,44.85,436.65,119.88
18003002690,18,003,002690,832.26,521.2,23.87,873.49,365.96,136.21,876.35,474.68
18003002700,18,003,002700,292.18,99.7,11.85,301.06,63.17,35.54,306,89.83
18003002710,18,003,002710,217.19,83.31,7.94,213.23,49.59,43.64,219.18,82.32
18003002720,18,003,002720,316,305,9,356,221,55,334,281
18003002730,18,003,002730,466.8,153.6,7.98,456.82,96.75,72.81,455.83,153.6
18003002740,18,003,002740,158,44,9,158,30,26,154,55
18003002750,18,003,002750,548,94,8,495,59,97,547,100
18003002760,18,003,002760,587,153,11,542,111,98,579,162
18003002770,18,003,002770,501.35,210.31,14.95,460.48,158.48,105.65,498.36,208.31
18003002780,18,003,002780,365.65,227.69,14.05,374.52,161.52,69.35,372.64,219.69
18003002790,18,003,002790,115,77,5,107,59,28,105,82
18003002800,18,003,002800,16.61,12.66,0.39,17.61,7.84,4.12,17.03,12.12
18003002810,18,003,002810,12.91,3.14,0.18,11.27,2.43,2.53,12.9,3.11
18003002820,18,003,002820,173,156,4,220,95,17,190,137
18003002830,18,003,002830,520.62,294.1,17.72,533.18,204.27,83.96,537.73,274.3
18003002840,18,003,002840,621.88,309.8,8.84,696.15,186.86,57.41,652.71,273.56
18003002850,18,003,002850,36.12,45.89,2.93,44.91,34.17,5.86,42.96,40.03
18003002860,18,003,002860,534.99,258.09,22.21,545.17,182.17,91.96,525.21,277.98
18003002870,18,003,002870,707.84,570.64,28.92,767.96,417.16,111.39,722.91,555.82
18003002880,18,003,002880,140.02,206.07,2.45,160.16,162.46,28.73,153.42,194.57
18003002890,18,003,002890,131.74,71.72,4.72,133.63,51.93,21.67,134.54,73.61
18003002900,18,003,002900,65.12,24.98,1.95,53.72,21.88,16.45,61.32,28.77
18003002910,18,003,002910,501.91,132.18,14.01,429.82,89.12,126.16,486.91,145.18
18003002920,18,003,002920,38.74,8.94,0,31.78,6.95,7.95,34.76,11.92
18005000010,18,005,000010,312.83,335.67,17.02,320.67,271.26,64.58,298.92,325.66
18005000020,18,005,000020,528.72,447.67,27.64,599.59,309.63,86.63,572.82,391.5
18005000030,18,005,000030,503.42,396.56,23.38,530.56,281.69,107.17,518.88,362.63
18005000040,18,005,000040,388.46,438.22,22.11,498.9,294.62,55.32,447.04,382.56
18005000050,18,005,000050,152.69,185.41,13.88,158.64,142.78,47.59,153.68,182.44
18005000060,18,005,000060,320.31,433.59,18.12,387.36,294.22,76.41,344.32,399.56
18005000070,18,005,000070,463.26,302.39,15.81,470.17,200.04,105.33,473.13,274.82
18005000080,18,005,000080,288.79,261.68,14.35,325.93,179.17,56.29,305.54,244.1
18005000090,18,005,000090,352.04,219.82,15.56,344.32,160.47,83.59,361.77,204.26
18005000100,18,005,000100,282,235,16,281,173,78,296,221
18005000110,18,005,000110,463.96,309.18,20.44,486.68,216.53,87.41,480.23,289.74
18005000120,18,005,000120,368,254,29,382,177,94,393,236
18005000130,18,005,000130,401,256,9,439,176,55,440,218
18005000140,18,005,000140,330,196,21,330,138,74,335,187
18005000150,18,005,000150,530.13,310.13,12.01,592.18,187.08,71.01,564.15,260.11
18005000160,18,005,000160,415.02,339.02,25,423.02,245.01,111,418.02,335.01
18005000170,18,005,000170,151.82,143.56,8.04,168.91,98.38,30.15,163.88,124.51
18005000180,18,005,000180,284.2,189.48,14.96,310.14,128.64,50.85,301.16,174.51
18005000190,18,005,000190,270.69,288.66,17.98,261.7,221.74,89.9,273.68,272.68
18005000200,18,005,000200,289,132,14,282,96,56,298,126
18005000210,18,005,000210,194.24,134.12,13.01,183.24,97.08,62.04,197.24,127.11
18005000220,18,005,000220,157.31,107.34,10.02,157.3,76.26,43.1,151.32,113.32
18005000230,18,005,000230,264,160,9,234,115,82,256,160
18005000240,18,005,000240,265,108,9,230,85,62,251,116
18005000250,18,005,000250,112,83,4,97,70,30,104,86
18005000260,18,005,000260,215.69,127.74,7.67,185.06,101.8,61.2,205.92,127.12
18005000270,18,005,000270,292.21,244.32,9.65,322.07,157.83,56.71,310.46,208.9
18005000280,18,005,000280,342,344,10,421,225,40,361,308
18005000290,18,005,000290,392.17,393.14,27.52,486.52,266.35,57.99,440.33,348.91
18005000300,18,005,000300,410.86,288.91,23.48,379.54,222.67,117.01,413.72,280.12
18005000310,18,005,000310,88,53,1,79,38,25,82,56
18005000320,18,005,000320,439.15,324.67,17.76,534.87,193.42,52.3,483.56,280.26
18005000330,18,005,000330,300.69,141.49,11.83,308.24,88.22,52.7,301.83,133.93
18005000340,18,005,000340,373.67,180.9,11.3,374.36,117.92,72.63,375.46,171.53
18005000350,18,005,000350,10.65,12.08,0.23,15.82,6.45,0.68,13.19,8.55
18005000360,18,005,000360,362.23,300.29,22.04,430.25,200.83,52.36,385.69,280.55
18005000370,18,005,000370,118.88,61.41,4.18,120.44,47.62,13.41,115.08,60.25
18005000380,18,005,000380,431.7,200.73,11.67,409.22,133.42,94.24,414.34,204.32
18005000390,18,005,000390,358.98,131,13,307.98,95,95.99,353.98,129.99
18005000400,18,005,000400,233.02,162,4,239.02,107,51.01,249.02,133.01
18005000410,18,005,000410,522,195,14,501,124,99,520,181
18005000420,18,005,000420,381.31,119.1,12.02,326.26,88.07,95.08,378.29,121.11
18005000430,18,005,000430,643.83,187.96,19.99,562.86,121.97,164.95,625.84,187.96
18005000440,18,005,000440,0.34,0.1,0.01,0.3,0.07,0.09,0.33,0.1
18005000450,18,005,000450,92.95,17.99,2,69.96,14.99,30.98,93.95,17.99
18005000460,18,005,000460,241.05,104.01,4,220.04,61.01,66.02,244.05,93.01
18005000470,18,005,000470,300.82,93.94,7,269.84,63.96,67.96,292.83,98.94
18005000480,18,005,000480,536.76,204.35,24.13,490.97,148.98,121.32,535.94,192.83
18005000490,18,005,000490,4.03,1.55,0.18,3.71,1.13,0.88,4.03,1.46
18005000500,18,005,000500,208.41,63.85,10.64,167.61,41.68,73.61,202.2,66.51
18005000510,18,005,000510,392,193,14,317,154,121,362,200
18005000520,18,005,000520,534.36,226.22,19.5,478.78,169.67,122.86,532.41,206.72
18005000530,18,005,000530,272.21,331.41,9.93,380.45,208.9,27.17,317.56,281.12
