GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOKEN,G16PREOFUE,G16PREOMOO,G16PREOLAR
34001005101,34,001,005101,282,383,8,9,0,0,0,1,0
34001005102,34,001,005102,256,283,12,7,4,0,0,0,2
34001005103,34,001,005103,383.71,562.71,22.05,10.01,0.01,1,0,1,1
34001005201,34,001,005201,301,378,12,4,2,0,1,0,0
34001005202,34,001,005202,460.27,229.11,2.92,4.85,0.97,0,0,0,0
34001005203,34,001,005203,253,321,17,5,0,0,0,0,0
34001010101,34,001,010101,653,126,7,8,2,3,0,1,0
34001010102,34,001,010102,411.98,57.82,0,2.71,0.9,0,0,0.9,0
34001010103,34,001,010103,390.5,65.75,9,1.08,0.03,1,0,0.03,1
34001010104,34,001,010104,369.99,33.15,2.01,10.03,0,0,0,0,0.02
34001010201,34,001,010201,507.4,131.55,4.95,3.96,0.99,0.99,0,0,0.99
34001010202,34,001,010202,622.69,31.27,0.89,0.89,0,0,0,0,0.89
34001010203,34,001,010203,593.32,16.58,1.1,3.07,0,0,0,0,2.08
34001010301,34,001,010301,687,23,0,2,0,0,2,0,0
34001010302,34,001,010302,211.6,41.45,2.05,1.04,1.01,0.01,0,0,0.01
34001010303,34,001,010303,333.34,16.95,1.88,0.94,0,0,0,1.88,0.94
34001010304,34,001,010304,749,21,2,3,0,0,0,0,1
34001010401,34,001,010401,402.65,133.37,2.74,0.44,1.54,0,0,0.19,0.03
34001010402,34,001,010402,341.96,9.88,0,0.99,0,0,0,0,0
34001010403,34,001,010403,447.04,62.56,0.06,0.03,1,0,0,0.06,1.03
34001010404,34,001,010404,176.04,67.37,1.91,1.91,1.91,0,0,0,2.54
34001010501,34,001,010501,534.24,186.6,8.34,5.45,0.11,0,0,0,1.11
34001010502,34,001,010502,526.01,272.76,5.41,3.69,4.55,0,0,0.86,1.46
34001010601,34,001,010601,350.76,155.4,2.66,3.55,0.89,0,0,0,0.89
34001010602,34,001,010602,410.43,215.53,7.8,2.94,0,0,0,0.97,0
34001010603,34,001,010603,359.92,150.93,3.87,4.84,0,0,0,0,0.97
34001010604,34,001,010604,290.29,234.71,9.18,2.19,0,0,0,0.01,0.03
34001015101,34,001,015101,459.54,816.91,31.7,10.55,2.85,0.02,0.95,0.01,0.96
34001015201,34,001,015201,391.64,567.7,26.36,6.59,0,1.88,0,0.94,0.94
34001015301,34,001,015301,475.16,677.82,15.74,8.85,0.98,0,0,0,3.94
34001015401,34,001,015401,508,516,18,12,0,0,0,0,1
34001020001,34,001,020001,362,453,16,13,4,0,2,1,3
34001020002,34,001,020002,396,496,20,12,1,1,0,0,2
34001025001,34,001,025001,374,622,15,13,2,1,1,0,1
34001025002,34,001,025002,306.4,566.36,10.4,1.07,0,0.03,0.01,0,0
34001025003,34,001,025003,524,279,19,5,4,0,0,0,2
34001025004,34,001,025004,292,408,10,1,5,0,0,0,0
34001030101,34,001,030101,104.47,193.88,12.11,2.23,3.39,0.04,0,0.04,0.12
34001040001,34,001,040001,304.42,529.1,13.84,7.49,3.07,0.03,0.02,0,1.03
34001040002,34,001,040002,385.29,525.45,22.11,10.03,1.03,0,0,0,1
34001040003,34,001,040003,456.93,485.8,18.81,11.22,0.22,0,2.03,1.03,0.03
