GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMEN,G18USSRHUG,G18USSLSAB,G18USSGHOF,G18USSORIV,G18USSOFLA,G18USSOKIM,G18USSOSCH
34001060005,34,001,060005,289,254,6,3,11,4,1,5
34001060006,34,001,060006,289.9,392.9,7.1,5.1,8,2,2,3
34001060007,34,001,060007,413.7,390.7,4.9,6.8,13.7,6.8,1,4.9
34001060008,34,001,060008,330.3,439.3,6.6,2.5,9.7,0.2,7.3,2.4
34001060009,34,001,060009,461,438.4,4.3,11.1,13.4,2.1,0.2,4.2
34001060010,34,001,060010,322.1,427.8,5.7,3.8,8.5,1.9,2.8,4.7
34001060011,34,001,060011,519.1,218,5,4.1,34.1,0.1,0,5
34001060012,34,001,060012,215.6,322.2,6.8,4.8,3.9,1.9,1,2.9
34001060013,34,001,060013,362.4,300,1.5,3.8,11.4,1.5,0,1.5
34001065001,34,001,065001,273,594,4,4,15,3,0,2
34001065002,34,001,065002,202,431,11,3,16,0,0,3
34001065003,34,001,065003,222,533,10,2,14,2,3,2
34001065004,34,001,065004,225,312,2,5,11,1,2,1
34001065005,34,001,065005,313,550,5,7,13,3,1,2
34001065006,34,001,065006,212,327,4,8,10,1,1,4
34001065007,34,001,065007,308,526,7,10,10,2,0,1
34001070101,34,001,070101,375.9,554,9.9,1,11.9,4,0,3
34001070102,34,001,070102,237,402.9,5.2,3,8.3,0.1,1.1,1
34001070201,34,001,070201,265.8,402,2.9,2.9,6.9,0,1,1
34001070202,34,001,070202,203,324,3,6,4,0,1,2
34001070203,34,001,070203,216.1,302.9,0.1,2,3.1,2,0,1
34001075001,34,001,075001,128,303,2,2,6,1,1,1
34001080001,34,001,080001,398.7,456.9,4.1,2,8.1,1,0,2
34001080002,34,001,080002,367,488.7,3,6.9,6.9,0,0,1
34001080003,34,001,080003,310,361.7,5.7,1.9,2.9,0,0,1.9
34001080004,34,001,080004,150.4,236.7,0.9,1.9,2.8,0,0,0.9
34001085101,34,001,085101,311.7,284.1,6,2,12.9,1,0,4
34001085201,34,001,085201,259,519.9,4.1,5.1,8.1,3,0,3
34001085301,34,001,085301,295.1,634.5,7.9,7.9,4.9,1,0,5.9
34001090101,34,001,090101,186,229,2,2,4,3,0,0
34001090102,34,001,090102,155.8,243.1,2,2,5,1,0,0
34001090103,34,001,090103,189,230,4,8,7,2,0,2
34001090104,34,001,090104,176,217,0,3,6,2,0,3
34001090201,34,001,090201,177,209,3,3,0,1,0,1
34001090202,34,001,090202,237,259,5,4,4,0,1,5
34001090203,34,001,090203,202.8,387.6,2,5,9,0,1,0
34001090204,34,001,090204,201,182,3,4,9,1,0,0
34001095101,34,001,095101,520.8,120.7,5,3,21,2,0,2
34001095102,34,001,095102,376,46,5,4,27,0,3,3
34001095103,34,001,095103,426.6,80.6,2,0,17.7,1,0,2
34001095104,34,001,095104,512.4,50.4,2,1,15.3,0,0,4
34001095201,34,001,095201,381.2,44.1,1,0,11.9,1,0,8.9
34001095202,34,001,095202,440,68.2,0.1,0.1,14.4,1,1,7.2
34001095203,34,001,095203,568,52,2,0,22,0,2,4
