GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOKEN,G16PREOFUE,G16PREOMOO,G16PREOLAR
34001060001,34,001,060001,430.2,416.6,24.5,10.3,1.9,1,0.9,0.9,0
34001060002,34,001,060002,321.9,557.7,26.7,7.9,6.9,0,1,1,0
34001060003,34,001,060003,326.7,313.6,15.2,4.1,5,0,0,0,1
34001060004,34,001,060004,655.5,146.3,15.1,5,0,0,0,3,0
34001060005,34,001,060005,363,326,21,10,0,1,1,1,2
34001060006,34,001,060006,362,483.3,24.1,14.9,2,1,0,0.1,2.1
34001060007,34,001,060007,534.5,481.4,30.3,5,2,1.9,1.9,0,1
34001060008,34,001,060008,442.5,507.4,32.3,20.8,1.2,1.1,0.1,0.1,2
34001060009,34,001,060009,571.3,522.1,25.2,9.2,4,0,0.1,1,1
34001060010,34,001,060010,350.4,442,4.7,3.8,0,0,0.9,0,0.9
34001060011,34,001,060011,692.3,253.9,16.3,5.1,0,1,0,0,3
34001060012,34,001,060012,280.6,343,13.6,3.9,1,0,0,1.9,3.9
34001060013,34,001,060013,434,351,17.5,9.1,0.8,0.8,0,0,0.8
34001065001,34,001,065001,356,673,16,7,1,1,0,0,2
34001065002,34,001,065002,254,481,18,7,1,0,0,1,2
34001065003,34,001,065003,324,610,9,10,4,0,0,0,1
34001065004,34,001,065004,301,389,16,3,1,0,0,0,2
34001065005,34,001,065005,431,649,21,2,4,1,0,0,0
34001065006,34,001,065006,316,428,18,2,4,1,3,0,1
34001065007,34,001,065007,384,629,17,16,2,1,0,1,2
34001070101,34,001,070101,567.8,556.9,18.8,11.9,5,0,0,0,1
34001070102,34,001,070102,301.6,455.6,17.7,8.2,1.1,0,0,0,0
34001070201,34,001,070201,323.6,412.8,20.6,12.8,0,0,1,0,1
34001070202,34,001,070202,228,341,30,5,1,0,0,1,0
34001070203,34,001,070203,256.1,307.8,10.3,9.1,2,0,0,0,1
34001075001,34,001,075001,182,306,16,1,0,1,0,0,0
34001080001,34,001,080001,519.5,450.6,18.1,7,2,0,4,1,2
34001080002,34,001,080002,472.9,522.4,13.8,9.9,1,0,0,0,0
34001080003,34,001,080003,389.4,395.2,4.8,1.9,0,0,1.9,0,1
34001080004,34,001,080004,219.1,283.1,9.3,3.7,0,0,0,0,0.9
34001085101,34,001,085101,444.9,351.6,9.1,4.1,5,2,1,0,0
34001085201,34,001,085201,356.4,593.5,27,8.1,1,1,0,0,2
34001085301,34,001,085301,340.5,762.8,19.7,11.8,3,0,0,0,2
34001090101,34,001,090101,227,266,13,8,3,0,0,0,0
34001090102,34,001,090102,210.2,260.1,8,2,2,0,0,0,0
34001090103,34,001,090103,248,229,13,8,2,0,0,0,0
34001090104,34,001,090104,225,269,14,11,0,0,0,0,0
34001090201,34,001,090201,212,246,10,7,0,0,0,0,1
34001090202,34,001,090202,295,290,21,7,0,0,0,0,1
34001090203,34,001,090203,294.7,410.6,16,9,1,1,0,2,1
34001090204,34,001,090204,246,252,11,1,1,0,0,0,1
34001095101,34,001,095101,713.4,133.7,7,9,1,0,0,0,0
34001095102,34,001,095102,641,63,3,3,1,0,3,1,1
34001095103,34,001,095103,587.8,81.6,2,7.9,0,0,0,0,1
34001095104,34,001,095104,729.2,60.4,3,2.1,2,0,1,3,1
34001095201,34,001,095201,577.2,27.9,1.1,2,0,0,0,0,0
34001095202,34,001,095202,661.2,89.8,1.2,2.1,0,1,0,1,0
34001095203,34,001,095203,751,50,5,7,1,0,0,1,2
34001095204,34,001,095204,758,66,2,1,4.9,1,1,0,1
34001100101,34,001,100101,140.8,186.7,9,4,1,0,2,0,0
34001100201,34,001,100201,102.3,223.3,6.8,1,2.9,1,0,0,1
34001105101,34,001,105101,290.4,398.5,21.5,10.2,4.8,0.1,0.9,2.1,1
34001105102,34,001,105102,370,321,7,8,2,0,0,0,3
34001105103,34,001,105103,128,179,8,3,0,1,0,0,0
34001105104,34,001,105104,375,369,13,6,1,0,0,1,0
34001105201,34,001,105201,276,231.8,9.9,4.9,1.1,0.9,0,0.1,0
34001105202,34,001,105202,150.7,184.7,18.4,3.7,0,0,0,1.8,0.9
34001105203,34,001,105203,261,251,14,4,0,0,0,0,0
34001105204,34,001,105204,460,389,24,6,2,1,0,0,1
34001110001,34,001,110001,525.9,397.6,24.1,15,4,1,0,0,0
34001110002,34,001,110002,455,340,19,9,0,0,1,0,0
34001110003,34,001,110003,451,430,17,7,0,0,0,0,2
34001110004,34,001,110004,349,454,15.6,12.6,1,0,0,0,1.9
34001110005,34,001,110005,417,453,16.4,4.4,3,0,0,0,2.1
34001115001,34,001,115001,209,369.4,16.6,4.9,1,0,0,1,1
34001115002,34,001,115002,329.6,466.9,7.8,1,2,2,1,0,2
34001ZZZZZZ,34,001,ZZZZZZ,103.7,105,3.5,1.4,0.2,0.1,0.1,0.1,0.2
34003005001,34,003,005001,599.1,527.7,32.3,10.8,1,1,0,0,0
34003005002,34,003,005002,306,329,11,3,0,1,0,0,0
34003005003,34,003,005003,343.1,356.6,20.7,7.2,0,0,1,0,0
34003005004,34,003,005004,511,543,32,9,2,0,0,0,0
34003010001,34,003,010001,416.5,378.6,12.9,8.2,0,0,0,0,0
34003015001,34,003,015001,274.2,148.6,8.7,6.3,0.8,0,0.8,0.8,0.8
34003015002,34,003,015002,521,272.3,8.7,7.2,0.3,0,0.2,0.2,0.2
34003015003,34,003,015003,384,161,9,9,0,0,3,1,0
34003015004,34,003,015004,410,227,8,6,1,1,0,0,0
34003015005,34,003,015005,398.8,182.9,13.8,6.4,0,0,0.9,0,0
34003015006,34,003,015006,479.2,211.1,13.2,3.6,0,1,0.1,0,0
34003015007,34,003,015007,369,160,12,7,1,0,0,1,1
34003015008,34,003,015008,409,198,8,9,0,0,0,0,0
34003015009,34,003,015009,490.5,124.2,2.1,5.1,1,0,0,0,0
34003015010,34,003,015010,381.9,385.9,22.6,5.9,0,0,0,1,0
34003015011,34,003,015011,338,379,15,1,2,0,0,0,0
34003015012,34,003,015012,540.1,262.1,10.4,5.1,0,3,0,0,0
34003015013,34,003,015013,592,228,9,4,3,0,0,0,0
34003015014,34,003,015014,387,179,4,4,0,0,0,0,1
34003015015,34,003,015015,560,245,7,11,2,1,1,0,0
34003015016,34,003,015016,424,224,11,8,1,0,0,0,0
34003015017,34,003,015017,464,170,8,5,0,0,1,0,0
34003020001,34,003,020001,376,216,13,3,0,0,0,0,0
34003020002,34,003,020002,533,220,18,7,3,1,0,0,1
34003020003,34,003,020003,431,234,10,7,0,0,1,0,0
34003020004,34,003,020004,392.5,249.2,16.4,9.6,1.9,1,1,1,0
34003020005,34,003,020005,304.5,146,5.7,2.4,0.1,0,0,0,0
34003020006,34,003,020006,329.3,129.4,6.2,7,0,1.5,0,0,0
34003025001,34,003,025001,240.3,279.1,13,8.1,0,0,0,0,0
34003025002,34,003,025002,261.6,327.3,13.7,9.8,0,1,0,0,1
34003025003,34,003,025003,269.1,278.1,20.9,5,0,0,0,0,0
34003025004,34,003,025004,300,289,14,5,0,0,0,0,0
34003025005,34,003,025005,237,293,8,6,1,0,0,0,0
34003030001,34,003,030001,405,158,12,5,1,0,0,0,0
34003030002,34,003,030002,396,165,4,4,0,1,0,0,0
34003030003,34,003,030003,403,158,8,12,0,0,0,0,0
34003030004,34,003,030004,568,366,10,12,0,0,0,0,0
34003030005,34,003,030005,349,162,1,4,2,1,1,0,0
34003030006,34,003,030006,347,199,4,8,0,0,0,0,0
34003030007,34,003,030007,340,232,4,8,0,1,0,0,0
34003030008,34,003,030008,421,176,5,9,1,0,0,0,0
34003030009,34,003,030009,272,212,11,2,0,0,0,0,0
34003030010,34,003,030010,614.2,424.4,8.8,14.5,0,0,0.1,0,0
34003030011,34,003,030011,261,140,6,7,0,0,0,1,0
34003030012,34,003,030012,222,148,4,10,0,0,0,0,0
34003030013,34,003,030013,389,210,11,7,1,0,0,0,0
34003030014,34,003,030014,168.8,135.6,2.7,1.6,0,0,0,0,0
34003030015,34,003,030015,322.5,234.7,9.6,3.9,0,0,1.9,0,0
34003035001,34,003,035001,296,207,9,2,0,0,0,0,0
34003035002,34,003,035002,408,249,8,10,4,0,0,1,0
34003035003,34,003,035003,367.2,240.2,18,3,0,0,0,0,0
34003035004,34,003,035004,393,222,13,5,1,0,0,0,0
34003035005,34,003,035005,355,257.4,3.9,3.9,0,0,0,0,0
34003035006,34,003,035006,529.7,340.5,12.5,3,1,0,0,0,0
34003040001,34,003,040001,272.8,228.3,13.2,1.8,0.9,0,0,0,0
34003040002,34,003,040002,434.1,283.5,16.3,10.4,1,0,0,0.1,0
34003040003,34,003,040003,568.9,484.9,27,1,1,0,0,0,0
34003040004,34,003,040004,252.8,216.8,18.3,3.3,0,0,0,0.8,0
34003040005,34,003,040005,334.6,291.9,10.3,5.8,3.5,0,0,0.1,0
34003040006,34,003,040006,224.1,184.4,8.9,1.7,1.6,0,0,0,0
34003045001,34,003,045001,508.4,319.7,8.9,12.9,1,0,1,0,0
34003045002,34,003,045002,447.3,266.7,21.1,0,0,0.9,0.9,0,0
34003045003,34,003,045003,622.7,267,18,1.1,1,0.1,0.1,0,1
34003050001,34,003,050001,344,328,12,4,0,0,1,1,0
34003050002,34,003,050002,442,387,14,14,0,0,1,1,1
34003050003,34,003,050003,273.4,247.5,12.6,4.4,0.7,0.7,1.5,0,0
34003050004,34,003,050004,512,352,32,15,1,0,0,0,0
34003050005,34,003,050005,421.3,310.4,18.5,9.7,1,1,0,0,0
34003050006,34,003,050006,392,415,14,12,0,0,0,0,0
34003050007,34,003,050007,415.4,314.4,17.5,7.8,0.1,0.1,0,0,0
34003050008,34,003,050008,593.6,482.5,26.4,12.6,1.3,0.3,0.5,0,0
34003050009,34,003,050009,413.7,375.6,17.5,7.3,0,0,0,1,0
34003050010,34,003,050010,255.9,258.9,9,3,0,0,0,1,0
34003050011,34,003,050011,337.9,440.2,10.6,3.9,1.9,1.9,0,0,0
34003060001,34,003,060001,553.2,294.1,14.9,8,0,1,0,0,0
34003060002,34,003,060002,418,347,24,19,3,1,1,1,0
34003060003,34,003,060003,355,300,12,12,0,1,2,0,0
34003060004,34,003,060004,643.6,814.8,15.4,28,3,0,0,0,0
34003065001,34,003,065001,577,174,20.8,6,2,0,0,0,0
34003065002,34,003,065002,728,285.5,15.3,8.2,1,0,1,0,0
34003065003,34,003,065003,687.6,343.4,19,12.9,1,0,1,0,0
34003065004,34,003,065004,954.1,338.5,25.2,11,1,0,0,0,0
34003067001,34,003,067001,515.2,454,16.5,12.8,0.1,0,0,1,0
34003067002,34,003,067002,548,452,21,12,0,0,0,0,1
34003067003,34,003,067003,419.8,334.3,4.5,6.5,0,0,0,0.1,0
34003067004,34,003,067004,371.2,153.7,6.5,6.5,0,0,0,0.9,0
34003067005,34,003,067005,386.1,255.6,7.1,9.2,1.1,0,0,0,0
34003067006,34,003,067006,375,161,6,7,0,0,0,0,0
34003067007,34,003,067007,431,397,12,7,0,1,0,1,0
34003067008,34,003,067008,665,645,17,17,1,0,0,0,0
34003067009,34,003,067009,381.5,411.3,9.9,10.9,1,0,0,0,0
34003067010,34,003,067010,543.5,476.6,13.5,13.3,5,0,0,0,0
34003070001,34,003,070001,317,469,22,11,1,0,0,0,1
34003070002,34,003,070002,264.4,363.1,14.8,8.9,0,0,0,0,0
34003070003,34,003,070003,233.3,338.4,13.5,4.5,0.1,0,0.1,0,0
34003070004,34,003,070004,345.1,439.3,18,10,0,0,0,0,0
34003070005,34,003,070005,289,334.2,4.4,4.1,2,0,0,0,0
34003070006,34,003,070006,219.6,278.9,10.2,6.1,0,0,0,0,0
34003075101,34,003,075101,707,329,25,11,1,0,0,0,0
34003075102,34,003,075102,499.9,204.8,22.4,7.2,0,0,0,0,0.2
34003075103,34,003,075103,402.1,61.2,1.6,4.8,0,0,0,0,0.8
34003075104,34,003,075104,602,50,10,4,0,0,0,0,0
34003075201,34,003,075201,313,211,15,3,0,0,0,0,0
34003075202,34,003,075202,258,256,5,1,1,0,0,0,0
34003075203,34,003,075203,448.3,290.5,24,8,0,0,0,0,0
34003075204,34,003,075204,914.1,262.2,16,10.9,0,0,0,0,0
34003075301,34,003,075301,551,77,2,6,0,0,0,0,0
34003075302,34,003,075302,923,146,10,12,0,0,0,1,1
34003075303,34,003,075303,451.3,49.5,7.5,0.9,0,0,0,0,0
34003075304,34,003,075304,709.6,41.5,4.9,10.9,1,0,0,0,0
34003075401,34,003,075401,455,19,3,9,0,0,0,0,1
34003075402,34,003,075402,858.2,36,2.2,6.4,1,1,0,0.1,0
34003075403,34,003,075403,766,29,3,6,0,0,0,0,0
34003075404,34,003,075404,654,64,8,9,0,0,0,0,0
34003080001,34,003,080001,443,322.8,18.6,8.2,0,0,0.1,0,0
34003080002,34,003,080002,307,285.7,8.9,3.8,0,0,1,0,0
34003080003,34,003,080003,331.7,292.8,13,1,0,0.9,0.9,0,0
34003080004,34,003,080004,341.4,263,3.1,3.1,0,0,0,0,0
34003085001,34,003,085001,428.9,335.2,16.6,8.5,2.3,0,0.2,0,0
34003085002,34,003,085002,572.2,498.8,24.1,12.4,0,1,0,0,1
34003085003,34,003,085003,326.7,305.1,20.7,1,0,0,0,0,0
34003085004,34,003,085004,444,345.3,14.8,3.8,0,0.1,0,0,0
34003085005,34,003,085005,287,224,12,7,0,0,0,0,0
34003085006,34,003,085006,318,351,13,2,3,0,1,0,0
34003085007,34,003,085007,313.5,236.8,19.9,11.9,1,0,0,0,0
34003085008,34,003,085008,404.4,288.4,12.2,12.1,0,0,0,0,0
34003085009,34,003,085009,390,331,18,5,1,0,0,1,0
34003085010,34,003,085010,412,336,15,4,0,0,0,2,0
34003085011,34,003,085011,409,275,18,4,0,0,0,0,0
34003085012,34,003,085012,345,220,20,8,0,0,0,0,0
34003085013,34,003,085013,485,307,21,1,3,0,0,0,2
34003085014,34,003,085014,348,248,12,6,0,0,0,0,0
34003085015,34,003,085015,595.7,377.1,27.6,15.5,0,3,0,0,0
34003085016,34,003,085016,463,338,17,17,5,0,0,0,0
34003085017,34,003,085017,374.9,357.4,15.7,5.1,1.1,0,0,0,0
34003085018,34,003,085018,299.1,230.6,19.3,3.9,1.9,0,0,0,0
34003085019,34,003,085019,332,288,17,5,1,0,0,0,0
34003085020,34,003,085020,316.7,259.1,14.4,4.5,0,0,0,0,0
34003085021,34,003,085021,484.4,411.5,12.1,5,0,2,0,0,0
34003085022,34,003,085022,309,296,21,10,1,0,0,0,0
34003085023,34,003,085023,429,281.1,9.7,4.9,1,0,0,0,0
34003090001,34,003,090001,384,155,1,7,0,0,0,0,0
34003090002,34,003,090002,581,279,8,7,0,1,0,0,0
34003090003,34,003,090003,425,222,6,12,2,2,1,0,0
34003090004,34,003,090004,392.8,193.2,8.2,8,1,0,1,0,0
34003090005,34,003,090005,589,315,5,18,0,2,0,1,1
34003090006,34,003,090006,51.2,48.8,0.8,0,0,0,0,0,0
34003095001,34,003,095001,445,366,13,7,3,0,0,0,2
34003095002,34,003,095002,298,243,5,12,0,0,0,0,1
34003095003,34,003,095003,621.2,445.7,5,9,1,0,0,0,0
34003095004,34,003,095004,279,173,2,2,0,0,0,0,0
34003095005,34,003,095005,362,285,8,6,0,1,0,0,1
34003095006,34,003,095006,652.9,356.8,6.3,15.4,0,0.9,1.8,0,0
34003095007,34,003,095007,912.7,524.6,18.2,11.5,1,1.9,1,0,0
34003095008,34,003,095008,254,155,4,3,0,0,0,1,0
34003095009,34,003,095009,258,179,11,4,0,0,0,0,0
34003095010,34,003,095010,1202,544.7,20.8,6,2,0,2,0,0
34003095011,34,003,095011,305.4,126.2,2.9,4.9,0,0,0,0,0
34003095012,34,003,095012,592,279.5,11.1,11.1,0,0,0,0,0
34003095013,34,003,095013,386,160,6,4,0,0,1,1,0
34003095014,34,003,095014,337.6,112.9,2.9,5.7,0,0,0,0,0
34003095015,34,003,095015,358,169,11.1,8.2,0,1,0,0,0
34003095016,34,003,095016,437,234,4,16,3,0,0,0,0
34003095017,34,003,095017,240,138,6,4,0,0,0,0,0
34003095018,34,003,095018,68.1,37.2,0.7,1.6,0,0.1,0.2,0,0
34003095019,34,003,095019,711,287,13,4,0,0,0,0,0
34003095020,34,003,095020,187,146,1,3,1,0,0,0,0
34003100001,34,003,100001,288.4,485,8,5,0,0,0,0,1
34003100002,34,003,100002,291.8,476.8,18.6,5.9,0,1,0,0,0
34003100003,34,003,100003,267,521,14,9,2,0,0,0,1
34003100004,34,003,100004,588,978,36.9,10.3,1,0,0,0,0
34003100005,34,003,100005,382.6,709.3,17,3.3,0,0.1,0,0,0
34003100006,34,003,100006,333.1,543.2,17.8,6.6,0,0,0,0,0
34003105101,34,003,105101,388.4,164.1,5.9,6,0,1,0,0,0
34003105102,34,003,105102,235,82,2,2,0,1,0,1,0
34003105103,34,003,105103,378.6,166.1,3.6,9.1,2.7,0,0,0.9,0
34003105201,34,003,105201,403.8,293.7,10.2,9.5,0.1,0,0,0,0
34003105202,34,003,105202,365,326,10,15,1,0,0,0,0
34003105203,34,003,105203,256,233,13,11,1,0,0,0,0
34003105301,34,003,105301,505,242,4,7,3,0,0,0,0
34003105302,34,003,105302,468,249,17,5,0,1,0,0,0
