GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDMEN,G18USSRHUG,G18USSLSAB,G18USSGHOF,G18USSORIV,G18USSOFLA,G18USSOKIM,G18USSOSCH
34001055016,34,001,055016,473,301,2,5,16,4,5,3
34001055017,34,001,055017,387.56,314.6,1.34,5.35,12.72,1.34,0,3.35
34001060001,34,001,060001,301.54,339.22,7.55,4.76,21.7,0.97,3.77,4.75
34001060002,34,001,060002,267.21,517.97,6.93,6,9.96,0.01,3.94,1
34001060003,34,001,060003,243.16,261.92,5.05,1.04,9.06,0.02,3.02,2.02
34001060004,34,001,060004,450.2,103.11,3.01,2.03,12.03,1.01,1,3.01
34001060005,34,001,060005,289,254,6,3,11,4,1,5
34001060006,34,001,060006,289.89,392.85,7.12,5.08,8.02,2.03,2,3.05
34001060007,34,001,060007,413.66,390.7,4.9,6.84,13.68,6.8,0.97,4.86
34001060008,34,001,060008,330.3,439.27,6.62,2.48,9.72,0.23,7.26,2.43
34001060009,34,001,060009,461.02,438.36,4.35,11.09,13.39,2.07,0.22,4.21
34001060010,34,001,060010,322.06,427.83,5.67,3.78,8.5,1.89,2.83,4.72
34001060011,34,001,060011,519.07,218.02,5.05,4.06,34.13,0.06,0.02,5.05
34001060012,34,001,060012,215.62,322.24,6.79,4.85,3.9,1.94,0.97,2.91
34001060013,34,001,060013,362.44,300.01,1.52,3.81,11.42,1.52,0,1.52
34001065001,34,001,065001,273,594,4,4,15,3,0,2
34001065002,34,001,065002,202,431,11,3,16,0,0,3
34001065003,34,001,065003,222,533,10,2,14,2,3,2
34001065004,34,001,065004,225,312,2,5,11,1,2,1
34001065005,34,001,065005,313,550,5,7,13,3,1,2
34001065006,34,001,065006,212,327,4,8,10,1,1,4
34001065007,34,001,065007,308,526,7,10,10,2,0,1
34001070101,34,001,070101,375.89,553.95,9.89,0.99,11.87,3.96,0,2.97
34001070102,34,001,070102,237.03,402.91,5.25,3.03,8.28,0.06,1.15,1.04
34001070201,34,001,070201,265.75,402.05,2.94,2.94,6.86,0,0.98,0.98
34001070202,34,001,070202,203,324,3,6,4,0,1,2
34001070203,34,001,070203,216.06,302.9,0.09,2.05,3.14,2,0.02,1.02
34001075001,34,001,075001,128,303,2,2,6,1,1,1
34001080001,34,001,080001,398.74,456.86,4.12,2.04,8.06,1,0,2.04
34001080002,34,001,080002,367.04,488.72,2.97,6.93,6.93,0,0,0.99
34001080003,34,001,080003,310.03,361.7,5.74,1.91,2.87,0,0,1.91
34001080004,34,001,080004,150.36,236.69,0.93,1.86,2.78,0,0,0.93
34001085101,34,001,085101,311.74,284.08,6.01,2.05,12.92,1,0,4.02
34001085201,34,001,085201,258.99,519.94,4.08,5.07,8.1,3.03,0.02,3.04
