GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20USSDGID,G20USSRCOL,G20USSISAV,G20USSILIN
230010105002015,4.1,3.7,0.2,0.1,0,3.3,4.2,0.5,0.2
230010105002017,5.6,5.1,0.3,0.1,0,4.5,5.8,0.6,0.3
230010105001023,11.3,10.2,0.5,0.3,0,8.9,11.6,1.3,0.6
230010105001015,6.8,6.1,0.3,0.2,0,5.4,7,0.8,0.4
230010102003014,0,0,0,0,0,0,0,0,0
230010107002065,2.7,2.6,0.1,0,0,2.2,2.9,0.3,0.1
230010415001055,42.1,64.2,2.3,0.9,0.1,32.1,72.6,3.8,1.6
230010415001009,0,0,0,0,0,0,0,0,0
230010415001078,2.2,2.7,0.1,0,0,1.7,3.1,0.2,0.1
230010415001065,24,36.5,1.3,0.5,0.1,18.3,41.3,2.1,0.9
230010415001034,0,0,0,0,0,0,0,0,0
230010415001040,0,0,0,0,0,0,0,0,0
230010415001083,0,0,0,0,0,0,0,0,0
230010415001076,0.7,1,0,0,0,0.5,1.2,0.1,0
230010410002084,0,0,0,0,0,0,0,0,0
230010410002010,25.2,31.5,1,0.5,0.2,19.3,35.7,2.2,0.9
230010102003059,15.2,10.9,0.6,0.3,0,12.5,12.7,1.1,0.4
230010102003009,11.4,8.1,0.4,0.2,0,9.3,9.5,0.9,0.3
230010106002092,19.2,17.3,0.9,0.5,0,15.2,19.7,2.2,1
230010430001020,0.7,0.9,0,0,0,0.5,1.1,0,0
230010430002037,0,0,0,0,0,0,0,0,0
230010430002018,0,0,0,0,0,0,0,0,0
230010430001037,0,0,0,0,0,0,0,0,0
230010430002048,0,0,0,0,0,0,0,0,0
230010430001029,3.8,5.1,0.2,0.1,0,3,5.8,0.2,0.1
230010430001040,2.8,3.7,0.1,0,0,2.2,4.2,0.2,0.1
230010430001013,0,0,0,0,0,0,0,0,0
230010430001006,0,0,0,0,0,0,0,0,0
230010400001021,7.8,7.6,0.4,0.2,0,5.9,9,0.9,0.2
230010400002024,9.2,8.9,0.4,0.2,0,7,10.5,1.1,0.3
230010400002039,13.8,13.4,0.6,0.3,0.1,10.5,15.8,1.6,0.4
230010400002038,0.9,0.9,0,0,0,0.7,1.1,0.1,0
230010400001013,0,0,0,0,0,0,0,0,0
230010400001039,0.9,0.9,0,0,0,0.7,1.1,0.1,0
230010400001029,0,0,0,0,0,0,0,0,0
230010400001032,25.3,24.6,1.2,0.5,0.1,19.2,29,3,0.7
230010400001028,0,0,0,0,0,0,0,0,0
230010460002000,0,0,0,0,0,0,0,0,0
230010460003001,17.3,31.2,0.6,0.5,0.1,12.9,34.3,1.7,0.7
230010460003026,4.7,8.4,0.2,0.1,0,3.5,9.3,0.5,0.2
230010460003028,0,0,0,0,0,0,0,0,0
230010465003070,16.4,27.7,0.8,0.4,0,13.2,29.6,1.6,1
230010465003048,34.4,58.2,1.7,0.9,0.1,27.8,62.1,3.4,2.2
