GEOID,G18GOVDMIL,G18GOVRMOO,G18GOVIHAY,G18GOVOWRI,G18USSDRIN,G18USSRBRA,G18USSIKIN,G18USSOWRI
230010206002074,0.2,0.3,0,0,0,0.3,0.3,0
230010206002051,0,0,0,0,0,0,0,0
230010204001006,0,0,0,0,0,0,0,0
230010302001000,45.6,60.9,9.6,0,9.3,51.6,57,0
230010302001028,0.7,0.9,0.1,0,0.1,0.8,0.9,0
230010302002014,18.2,24.2,3.8,0,3.7,20.5,22.7,0
230010301001041,0,0,0,0,0,0,0,0
230010301002010,0,0,0,0,0,0,0,0
230010301001017,7,9.4,1.5,0,1.4,8,8.8,0
230010301001036,5.2,7,1.1,0,1.1,5.9,6.5,0
230010301002040,8.4,11.2,1.8,0,1.7,9.5,10.5,0
230010301002041,5.7,7.6,1.2,0,1.2,6.4,7.1,0
230010301002016,8.9,11.8,1.9,0,1.8,10,11.1,0
230010301001033,1.8,2.4,0.4,0,0.4,2.1,2.3,0
230010104002014,4.4,4.5,0.8,0,0.8,4.1,4.8,0
230010101002027,0,0,0,0,0,0,0,0
230010103001001,19.7,13.2,2.4,0,3.6,12.3,19.6,0
230010108001011,6.7,4.5,0.8,0,1.2,4.2,6.6,0
230010101001017,18.2,18.6,3.2,0,3.3,17.1,20,0
230010101001005,26.2,26.7,4.6,0,4.7,24.6,28.8,0
230010101002020,0,0,0,0,0,0,0,0
230010103002002,6.7,4.5,0.8,0,1.2,4.2,6.6,0
230010103002004,11.9,8,1.4,0,2.2,7.4,11.9,0
230010105002007,37.8,37.7,6.4,0.1,7.4,35.4,40.2,0
230010105002019,3.8,3.8,0.6,0,0.7,3.6,4.1,0
230010105002013,5.8,5.8,1,0,1.1,5.5,6.2,0
230010101002015,9.8,10,1.7,0,1.8,9.3,10.8,0
230010105001009,3.3,3.3,0.6,0,0.6,3.1,3.5,0
230010105002023,11.2,11.1,1.9,0,2.2,10.4,11.9,0
230010105002015,2.8,2.8,0.5,0,0.5,2.6,3,0
230010105002017,3.8,3.8,0.6,0,0.7,3.6,4.1,0
230010105001023,7.6,7.6,1.3,0,1.5,7.1,8.1,0
