GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSRFIS,G18USSDRAY,G18USSLSCH,G18GOVRRIC,G18GOVDKRI,G18SOSREVN,G18SOSDDAN,G18TRERMUR,G18ATGRPET,G18AUDRJAN,G18AUDDSKI
3103500008P,31,035,00008P,246,56,5,249,61,240,56,271,274,228,60
3103500009P,31,035,00009P,224,58,8,228,59,225,46,243,246,207,56
3103500010P,31,035,00010P,242,90,14,266,82,248,74,275,278,236,78
3103500011P,31,035,00011P,116,53,4,135,42,123,44,145,147,115,51
3103700001P,31,037,00001P,404,199,15,413,200,385,195,471,481,367,220
3103700002P,31,037,00002P,484,102,12,495,107,455,100,505,515,431,122
3103700003P,31,037,00003P,218,145,11,228,143,214,137,283,281,204,151
3103700005P,31,037,00005P,342,197,20,346,219,338,180,406,408,320,211
3103700009P,31,037,00009P,283,50,17,283,69,259,52,285,288,251,67
3103900001P,31,039,00001P,487,145,30,505,157,470,157,559,557,450,178
3103900002P,31,039,00002P,298,70,11,295,91,275,76,308,309,261,77
3103900004P,31,039,00004P,298,60,14,298,74,275,66,327,329,262,87
3103900006P,31,039,00006P,374,71,4,362,85,328,69,357,357,304,94
3103900007P,31,039,00007P,384.14,61.81,7.12,382.21,74.8,342.37,70.75,387.46,392.69,317.67,103.61
3103900010P,31,039,00010P,437.58,100.75,11.91,443.95,114.52,392.61,101.72,458.59,464.09,376.05,122.9
3103900011P,31,039,00011P,393.28,95.44,7.97,395.83,100.69,347.02,96.53,407.95,418.22,312.28,140.49
3104100001P,31,041,00001P,41.8,8.25,1.38,40.98,9.9,38.23,7.97,41.8,42.35,36.58,7.7
3104100002P,31,041,00002P,115.36,22.36,3.78,113.49,26.48,105.63,21.48,115.28,116.81,101.51,20.68
3104100003P,31,041,00003P,31.89,3.75,0.94,33.77,2.34,30.01,2.81,31.42,31.89,31.42,2.34
3104100004P,31,041,00004P,34,0,0,29,2,29,1,29,30,30,0
3104100005P,31,041,00005P,51.7,8.27,1.38,52.39,9.65,47.57,7.58,47.57,45.5,44.81,8.27
3104100006P,31,041,00006P,23.3,3.73,0.62,23.61,4.35,21.43,3.42,21.43,20.5,20.19,3.73
3104100008P,31,041,00008P,173,37,12,189,35,182,31,191,192,173,39
3104100009P,31,041,00009P,30.95,3.64,0.91,32.77,2.28,29.13,2.73,30.5,30.95,30.5,2.28
3104100010P,31,041,00010P,321,46,6,317,54,322,39,327,328,307,45
3104100011P,31,041,00011P,53,7,1,54,7,55,5,50,49,51,10
3104100012P,31,041,00012P,234,36,8,240,38,234,27,235,240,226,34
3104100013P,31,041,00013P,172.76,19.86,2.03,170.85,22.82,165.91,17.89,163.14,168.96,156.09,24.72
3104100014P,31,041,00014P,52,4,1,50,7,44,1,37,42,39,2
3104100015P,31,041,00015P,50,1,1,46,7,48,4,47,46,44,7
3104100016P,31,041,00016P,48,0,2,48,1,46,0,45,44,41,2
3104100017P,31,041,00017P,26,8,2,28,8,24,8,28,28,25,8
3104100018P,31,041,00018P,6,4,1,7,4,8,2,9,9,8,2
3104100019P,31,041,00019P,51,11,4,50,17,47,17,56,53,47,13
3104100020P,31,041,00020P,49,0,2,46,5,49,1,47,47,48,2
3104100021P,31,041,00021P,41,0,0,40,0,37,1,36,35,33,4
3104100022P,31,041,00022P,295,37,15,303,41,289,43,306,308,279,48
3104100023P,31,041,00023P,32,8,1,31,11,30,10,33,31,29,10
3104100024P,31,041,00024P,135.38,23.38,9.74,146.1,22.4,143.17,17.53,143.17,144.15,137.33,19.48
3104100025P,31,041,00025P,93,17,4,95,20,94,12,92,91,81,22
3104100026P,31,041,00026P,71.19,13.65,2.93,74.6,13.9,70.46,12.68,73.87,74.85,67.04,14.14
3104100027P,31,041,00027P,91.03,17.46,3.74,95.4,17.77,90.1,16.21,94.46,95.71,85.73,18.08
3104100028P,31,041,00028P,14,4,1,14,4,15,4,15,15,14,5
3104100029P,31,041,00029P,96,20,9,103,25,91,23,103,102,89,23
3104100030P,31,041,00030P,19,4,0,16,5,15,5,18,17,14,6
3104100031P,31,041,00031P,46,4,0,47,4,46,2,44,46,41,5
3104100032P,31,041,00032P,79.19,14.32,4.03,82.77,16.11,72.93,16.11,84.56,82.77,72.48,16.11
3104100033P,31,041,00033P,97.81,17.68,4.97,102.23,19.89,90.07,19.89,104.44,102.23,89.52,19.89
3104100034P,31,041,00034P,129.78,24.89,5.33,136,25.33,128.44,23.11,134.67,136.44,122.22,25.78
3104100035P,31,041,00035P,91.1,30.47,4.05,90.06,35.54,90.94,24.42,93.87,95.01,78.71,29.58
3104100037P,31,041,00037P,391.86,91.91,19.28,399.92,103.09,374.62,90.75,411.48,404.43,361.97,92.01
3104100038P,31,041,00038P,167.64,52.58,6.94,167.84,58.35,159.1,49.57,186.13,183.26,142.58,55.4
3104100039P,31,041,00039P,341.24,82.82,15.96,345.23,92.79,337.25,74.83,360.2,364.19,306.32,87.8
3104300001P,31,043,00001P,223,92,8,221,101,218,91,260,262,207,102
3104300002P,31,043,00002P,375.08,158.97,16.94,376.1,174.87,374.04,165.98,457,453.99,361.09,170.95
3104300003P,31,043,00003P,120.75,38.11,4.96,118.83,44.09,104.99,46.92,124.56,123.6,106.81,48.87
3104300004P,31,043,00004P,106.69,70.22,10.03,113.68,77.25,103.6,79.27,133.71,135.7,101.61,76.28
3104300005P,31,043,00005P,140.79,49.16,6.4,141.19,55.96,138.09,53.88,159.69,158.25,136.88,54.87
3104300006P,31,043,00006P,300.56,60.67,13.01,299.5,78.66,266.41,75.81,299.73,298.7,259.58,78.85
3104300007P,31,043,00007P,250.62,148.77,17.97,265.59,160.75,234.64,173.73,322.51,324.5,240.63,171.74
3104300009P,31,043,00009P,122.29,141,13.26,126.06,148.61,115.7,154.21,183.86,181.96,111.87,159.88
3104300010P,31,043,00010P,202.54,286.77,31.82,210.77,311.24,196.12,321.6,331.36,321.25,196.89,318.95
3104300011P,31,043,00011P,219,229,18,219,244,211,247,318,314,202,257
3104300013P,31,043,00013P,164.69,134.33,4.6,169.29,131.57,156.41,142.61,223.57,218.05,153.65,142.61
3104300014P,31,043,00014P,266,185,10,257,207,256,199,340,335,250,204
3104300015P,31,043,00015P,185,97,9,183,106,184,98,227,218,181,102
3104500001P,31,045,00001P,106,59,9,97,75,96,70,144,144,94,69
3104500002P,31,045,00002P,327.09,145.45,30.1,296.94,202.65,314.11,170.47,385.15,388.14,299.98,167.51
3104500003P,31,045,00003P,256,143,19,229,185,246,158,315,316,237,160
3104500004P,31,045,00004P,171.96,118.56,4.71,160.96,133.48,160.18,113.85,204.93,203.36,158.61,113.07
3104500005P,31,045,00005P,171.67,115.44,11.84,164.77,136.16,169.7,118.4,215.09,216.07,157.86,123.33
3104500006P,31,045,00006P,265.91,57.55,12.9,247.06,83.35,268.89,59.53,273.85,272.86,252.02,64.49
3104500007P,31,045,00007P,145,39,5,123,64,138,46,141,142,130,45
3104500008P,31,045,00008P,245.33,73.56,12.16,239.23,91.84,244.3,83.6,262.91,263.93,240.14,75.67
3104500009P,31,045,00009P,112,22,6,106,32,111,27,115,113,108,28
3104500010P,31,045,00010P,311,62,22,308,85,304,79,332,330,294,83
3104500011P,31,045,00011P,175,46,8,163,63,168,55,189,189,163,56
3104500013P,31,045,00013P,47.04,32.44,1.29,44.04,36.52,43.82,31.15,56.07,55.64,43.39,30.93
3104700001P,31,047,00001P,115,16,0,112,17,112,13,121,119,105,21
3104700002P,31,047,00002P,144.24,27.85,4.97,146.23,31.83,144.24,26.86,150.21,151.2,137.28,34.82
3104700003P,31,047,00003P,59,15,0,61,15,61,11,60,62,57,9
3104700004P,31,047,00004P,172,20,7,178,23,167,17,178,179,166,25
3104700005P,31,047,00005P,112,26,1,106,33,111,25,116,119,110,27
3104700006P,31,047,00006P,79,25,2,83,25,88,19,93,100,80,21
3104700007P,31,047,00007P,89,17,2,95,12,82,19,98,98,89,13
3104700008P,31,047,00008P,131,21,5,128,26,121,22,125,130,111,30
3104700009P,31,047,00009P,185,54,9,186,66,194,45,208,210,183,54
3104700010P,31,047,00010P,139,23,8,144,26,143,22,151,150,128,34
3104700011P,31,047,00011P,292,79,19,311,82,300,72,333,338,286,82
3104700012P,31,047,00012P,433,170,23,457,165,464,145,531,534,441,161
3104700013P,31,047,00013P,487,128,26,513,131,492,119,554,573,477,139
3104700015P,31,047,00015P,429.76,135.15,35.03,466.77,133.17,450.76,132.14,513.79,514.8,440.72,140.18
3104700016P,31,047,00016P,470,158,31,500,155,502,129,558,556,469,155
3104700017P,31,047,00017P,70,96,3,73,92,68,99,105,104,65,103
3104700018P,31,047,00018P,138,129,8,140,129,140,128,195,207,125,135
3104700019P,31,047,00019P,313,165,20,335,173,341,147,379,394,312,163
3104700020P,31,047,00020P,356,197,11,369,204,348,201,424,432,337,204
3104700021P,31,047,00021P,149,155,12,154,167,154,166,216,220,139,173
3104900001P,31,049,00001P,199,43,7,199,48,198,44,208,208,192,49
3104900002P,31,049,00002P,173.44,25.78,10.9,175.41,32.72,178.39,5.97,183.35,184.34,171.45,32.71
3104900003P,31,049,00003P,205.69,40.25,12.11,210.71,46.32,213.74,38.06,234.79,234.8,205.67,46.32
