GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRSAS,G20USSDJAN,G20USSLSIA
31021000007,31,021,000007,257.92,94.6,11.06,260.78,46.43,26.14
31021000008,31,021,000008,239,81,10,248,38,26
31021000009,31,021,000009,239.9,86.96,9,241.9,60.97,11
31021000010,31,021,000010,300.64,172.24,11.01,321.63,118.18,17.04
31021000011,31,021,000011,299,154,19,324,91,31
3102300001W,31,023,00001W,290.67,79.36,11.9,297.61,52.57,19.84
3102300002P,31,023,00002P,543,123,14,531,103,28
3102300002W,31,023,00002W,353,95,9,364,56,13
3102300003W,31,023,00003W,382.34,128.08,8.87,386.27,83.74,19.71
3102300005P,31,023,00005P,296,70,4,303,48,13
3102300006P,31,023,00006P,313,78,4,298,54,26
3102300008P,31,023,00008P,289.99,42.57,3.23,276.12,27.68,16.45
3102300011P,31,023,00011P,238,38,8,234,27,13
3102300013P,31,023,00013P,321,96,8,317,66,18
3102300014P,31,023,00014P,227,46,5,218,38,17
3102300016P,31,023,00016P,288,77,7,287,57,14
3102500001P,31,025,00001P,857.64,404.09,32.19,852.34,268.28,76.59
3102500001W,31,025,00001W,196.53,108.11,16.11,199.6,76.62,25.28
3102500002P,31,025,00002P,196.36,62.91,5.81,187.66,38.72,17.41
3102500002W,31,025,00002W,191.65,101.45,11.58,204.16,60.83,20.33
31025000031,31,025,000031,510.16,352.72,31.48,575.92,184.08,48.64
3102500003P,31,025,00003P,353,153,24,346,112,42
3102500003W,31,025,00003W,233.46,138.76,14.68,237.57,94.73,28.28
3102500004P,31,025,00004P,410,189,19,416,113,35
3102500004W,31,025,00004W,243.48,124.08,10.31,254.17,74.42,22.84
3102500005P,31,025,00005P,264,148,12,299,69,24
3102500005W,31,025,00005W,240.66,120.8,20.76,244.43,92.49,25.48
3102500006P,31,025,00006P,426.18,198.04,8.74,459.18,86.4,33.98
3102500006W,31,025,00006W,229,130,16,229,90,33
3102500007W,31,025,00007W,174.25,96.24,7.6,177.27,71.57,16.97
3102500008P,31,025,00008P,240.82,106.44,10.31,248.23,59.55,26.39
3102500008W,31,025,00008W,276.73,128.09,16.56,285.93,90.28,21.25
3102500009P,31,025,00009P,343.27,180.39,15.68,357,99.02,35.28
3102500009W,31,025,00009W,241.23,133.98,11.99,258.26,82.92,21.02
3102500010P,31,025,00010P,462.84,196.65,16.32,490.11,108,26.73
3102500011P,31,025,00011P,206.47,69.81,12.78,204.51,44.24,14.75
3102500012P,31,025,00012P,110.02,34.69,1.98,120.93,18.83,5.95
3102500013P,31,025,00013P,478.74,184.39,10.45,484.51,99.36,44.39
3102500014P,31,025,00014P,150.03,51.68,4.18,139.11,41.34,15.1
3102500015P,31,025,00015P,251.73,121.97,10.22,253.12,76.41,27.62
3102500016P,31,025,00016P,447,217,12,486,114,34
3102500017P,31,025,00017P,279.98,113.31,10.02,279.07,82.17,18.05
3102500018P,31,025,00018P,476.11,177.44,20.1,502.69,111.76,30.08
3102500019P,31,025,00019P,670.36,270.31,18.95,699.01,153.12,50.86
3102500020P,31,025,00020P,788.77,330.55,16.82,837.26,191.01,44.54
310250003W2,31,025,0003W2,157.82,87.18,7.11,151.22,67.27,19.2
3102700001P,31,027,00001P,157,33,4,151,29,11
3102700002P,31,027,00002P,360,67,9,326,50,27
3102700003P,31,027,00003P,179,25,5,172,21,7
3102700004P,31,027,00004P,386,50,1,338,49,21
3102700005P,31,027,00005P,248,28,5,230,17,7
3102700006P,31,027,00006P,86,15,2,79,15,6
3102700007P,31,027,00007P,986.38,175.35,19,943.28,121.27,47.06
3102700009P,31,027,00009P,134.62,33.65,0,124.72,26.73,5.94
3102700013P,31,027,00013P,396,71,10,364,51,35
3102700015P,31,027,00015P,142,12,1,115,12,14
3102700016P,31,027,00016P,473,85,10,440,62,38
3102700018P,31,027,00018P,97,29,4,99,23,8
3102700020P,31,027,00020P,529,101,27,520,68,45
3102900001P,31,029,00001P,264,25,2,258,19,8
3102900002P,31,029,00002P,327.19,29.8,3.04,312.15,20.52,17.07
3102900003P,31,029,00003P,349,31,8,309,31,22
3102900007P,31,029,00007P,280.81,57.2,2.96,274.85,37.48,8.93
3102900008P,31,029,00008P,519,83,11,512,65,23
3103100001P,31,031,00001P,138,8,2,98,8,18
3103100002P,31,031,00002P,195,20,0,162,11,23
3103100003P,31,031,00003P,30,4,1,22,6,1
3103100004P,31,031,00004P,75,5,3,52,6,13
3103100005P,31,031,00005P,125,7,0,92,11,19
3103100006P,31,031,00006P,631,136,11,582,81,57
3103100007P,31,031,00007P,562,97,13,491,76,47
3103100008P,31,031,00008P,385,59,9,341,46,33
3103100009P,31,031,00009P,24,0,0,16,1,5
3103100010P,31,031,00010P,19,1,0,17,0,2
3103100011P,31,031,00011P,44,1,0,30,0,2
3103100012P,31,031,00012P,25,0,0,13,0,7
3103100013P,31,031,00013P,73,5,1,53,8,6
3103100014P,31,031,00014P,95,7,1,78,8,6
3103100015P,31,031,00015P,30,0,0,20,0,4
3103100016P,31,031,00016P,44,2,0,27,3,7
3103100017P,31,031,00017P,57,3,0,52,1,3
3103100018P,31,031,00018P,82,7,2,60,3,8
3103100019P,31,031,00019P,131,10,4,96,12,10
3103100020P,31,031,00020P,79,1,1,63,2,3
3103300001P,31,033,00001P,312,27,5,264,36,34
3103300002P,31,033,00002P,239,47,4,216,30,26
3103300003P,31,033,00003P,338.8,64.96,3,314.81,55.97,15.99
3103300004P,31,033,00004P,265,31,7,244,25,17
3103300005P,31,033,00005P,437.63,114.62,9.47,399.74,96.62,37.89
3103300006P,31,033,00006P,791,195,19,746,154,60
3103300007P,31,033,00007P,399.28,127.07,14.01,379.26,98.06,43.02
3103300009P,31,033,00009P,428,127,14,392,115,43
3103300010P,31,033,00010P,602.09,121.31,21.52,549.01,107.32,46.09
3103500001P,31,035,00001P,185,47,3,172,27,14
3103500002P,31,035,00002P,362,112,17,344,85,40
3103500003P,31,035,00003P,256,36,3,234,20,13
3103500004P,31,035,00004P,210,43,4,214,21,9
3103500005P,31,035,00005P,188,33,0,164,25,19
3103500006P,31,035,00006P,193,21,4,165,22,16
3103500007P,31,035,00007P,288,80,7,275,51,30
3103500008P,31,035,00008P,329,65,9,318,38,19
3103500009P,31,035,00009P,362,77,4,323,64,31
3103500010P,31,035,00010P,319,80,18,309,47,34
3103500011P,31,035,00011P,156,38,9,142,32,18
3103700001P,31,037,00001P,595,308,20,601,243,41
3103700002P,31,037,00002P,701,126,10,698,75,27
