GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20USSRSAS,G20USSDJAN,G20USSLSIA
31055005-01,31,055,005-01,573.4,756.64,23.19,653.54,403.54,99.47
31055005-02,31,055,005-02,528.59,838.02,27.82,691.18,385.37,82.37
31055005-03,31,055,005-03,679,774,27,792,423,84
31055005-05,31,055,005-05,447.92,571.8,18.83,479.63,376.57,68.38
31055005-06,31,055,005-06,432,526,17,470,346,54
31055005-07,31,055,005-07,824.48,904.39,48.7,918.95,571.43,115.24
31055005-09,31,055,005-09,695.06,594.31,26.81,805.42,283.06,60.73
31055005-10,31,055,005-10,613.59,615.19,21.25,690.43,348.56,80.86
31055005-11,31,055,005-11,703,721,37,792,432,104
31055005-12,31,055,005-12,703.39,651.11,27.52,742.27,412.28,84.5
31055005-13,31,055,005-13,1014.97,690.08,32.2,1132.85,327.88,92.73
31055005-14,31,055,005-14,850.35,713.51,29.33,959.21,393.15,89.32
31055005-15,31,055,005-15,726.47,638.61,30.17,860.97,339.9,70.05
31055005-16,31,055,005-16,692,592,26,786,320,76
31055005-17,31,055,005-17,832,625,24,957,313,64
31055005-18,31,055,005-18,743,670,29,824,389,99
31055005-19,31,055,005-19,599.92,478.55,18.9,660.61,262.65,66.66
31055005-23,31,055,005-23,559.07,710.87,33.25,648.71,344.73,65.07
31055005-24,31,055,005-24,599.04,642.68,36.7,649.62,396.71,103.15
31055005-25,31,055,005-25,806.41,657.81,26.75,896.57,378.44,91.14
31055005-26,31,055,005-26,371.69,386.59,11.4,433.05,213.9,40.32
31055005-27,31,055,005-27,540.18,410.01,12.09,603.4,212.91,49.28
31055005-28,31,055,005-28,572,532,27,653,299,86
31055005-30,31,055,005-30,791.42,637.56,30.26,909.78,340.89,78.63
31055005-31,31,055,005-31,730.91,611.06,39.3,882.2,280.97,66.8
31055005-32,31,055,005-32,432.15,347.72,11.8,503.87,178.85,38.13
31055005-33,31,055,005-33,177,192,7,181,127,34
31055005-34,31,055,005-34,289,264,12,302,165,44
31055005-35,31,055,005-35,825.08,804.45,28.1,996.39,421.35,66.34
31055006-02,31,055,006-02,602.28,631.3,11.31,747.56,255.93,50.97
31055006-03,31,055,006-03,591.87,595.13,21.96,684.96,280.65,68.97
31055006-04,31,055,006-04,566.5,698.01,16.32,695.17,321.31,63.13
31055006-07,31,055,006-07,438.71,726.21,22.88,567.04,337.24,48.75
31055006-08,31,055,006-08,596.15,795.17,15.86,765.43,302.09,67.34
31055006-09,31,055,006-09,687.08,738.11,18,815.1,336.04,81.01
31055006-10,31,055,006-10,724,752,22,834,362,88
31055006-11,31,055,006-11,723,864,35,831,491,104
31055006-12,31,055,006-12,558.9,574.12,34.92,596.99,361.46,106.62
31055006-13,31,055,006-13,862.62,810.49,37.38,956.06,473.11,111.15
31055006-14,31,055,006-14,700.03,749.72,33.4,785.47,420.14,95.1
31055006-15,31,055,006-15,574,556,21,720,224,53
31055006-16,31,055,006-16,785,664,24,950,286,66
31055006-17,31,055,006-17,579.65,445.64,26,650,235.47,56.14
31055006-18,31,055,006-18,192,171,7,191,114,31
31055006-19,31,055,006-19,847.84,625.64,21.53,934.45,326.46,72.4
31055006-20,31,055,006-20,728.22,602.4,20.47,790.62,325.56,91.61
31055006-21,31,055,006-21,882.85,593.34,17.18,1051.87,249.63,75.55
31055006-22,31,055,006-22,993.08,576.38,23.07,1143.53,259.21,57.5
31055006-23,31,055,006-23,620.51,374.49,17.48,662.37,204.19,60.43
31055006-24,31,055,006-24,812.49,509.82,29.78,874.94,295.01,91.38
31055006-25,31,055,006-25,500,655,3,647,268,53
31055006-26,31,055,006-26,497.1,597.29,21.4,607.99,286,74.9
31055006-27,31,055,006-27,538.63,679.11,28.96,657.58,340.43,74.28
31055006-28,31,055,006-28,730,695,29,817,387,76
31055006-29,31,055,006-29,656.35,498.36,16,743,235.53,60.86
31055006-30,31,055,006-30,407.38,262.15,7.31,491.42,108.7,22.84
31055006-31,31,055,006-31,947.24,610.92,21.53,1109.26,277.61,68.18
31055006-32,31,055,006-32,1077.12,620.06,31.59,1199.94,307.22,82.35
31055006-33,31,055,006-33,1029.85,592.6,34.54,1152.45,277.28,90.42
31055006-34,31,055,006-34,928.23,799.84,28.34,1100.17,380.87,91.17
31055006-35,31,055,006-35,429.92,395.33,16.8,467.47,251.03,47.44
31055007-01,31,055,007-01,485.16,715.37,33.3,548.86,479.19,95.41
31055007-02,31,055,007-02,631.07,789.09,25,713.08,487.06,79.01
31055007-03,31,055,007-03,594.92,850.75,29.54,681.27,506.1,88.79
31055007-04,31,055,007-04,639.22,689.5,35.77,711.17,427.74,88.98
31055007-05,31,055,007-05,492.76,858.02,41.22,557.95,532.07,90.12
31055007-09,31,055,007-09,540,773,39,590,535,78
31055007-10,31,055,007-10,549,793,36,611,498,91
31055007-11,31,055,007-11,580,753,35,634,484,99
31055007-12,31,055,007-12,702,728,27,832,375,65
31055007-13,31,055,007-13,781.56,658.79,37.93,917.31,333.39,83.85
31055007-14,31,055,007-14,609.25,475.08,21.51,699.55,242.67,55.79
31055007-15,31,055,007-15,440.31,711.4,31.35,494.35,483.29,80.36
31055007-16,31,055,007-16,489.83,481.21,14.79,531.61,264.54,59.16
31055007-17,31,055,007-17,671,562,30,796,279,57
31055007-18,31,055,007-18,504,838,26,564,565,88
31055007-19,31,055,007-19,544.15,897.67,38.28,642.94,529.77,102.92
31055007-20,31,055,007-20,715.85,687.33,16.72,880.06,281.23,54.08
31055007-21,31,055,007-21,892.62,667.3,20.34,1042.96,281.54,78.62
31055007-24,31,055,007-24,540.13,718.61,34.04,622.02,430.69,95.46
31055007-25,31,055,007-25,632.86,845.38,22.86,744.04,483.16,72.48
31055007-26,31,055,007-26,646.71,683.6,19.99,796.51,346.72,55.91
31055007-27,31,055,007-27,651.95,607.03,34.45,755.04,315.18,73.6
31055007-28,31,055,007-28,423.37,393.4,17.02,491.03,203.71,49.6
31055007-29,31,055,007-29,559.93,678.11,25.4,634,413.27,80.03
31055007-30,31,055,007-30,595.37,606.49,23.77,660.52,375.57,61.43
31055007-31,31,055,007-31,596.4,518.67,16.34,675.17,258.4,57.65
31055007-32,31,055,007-32,664.16,635.03,31.07,780.68,323.34,59.23
31055007-33,31,055,007-33,468.64,408.26,14.02,542.45,194.53,40.47
31055007-34,31,055,007-34,614.26,546.52,24.52,759.94,239.93,47.51
31055008-01,31,055,008-01,337.3,378.19,12.67,370.96,233.27,53.82
31055008-02,31,055,008-02,208,251,9,227,166,35
31055008-03,31,055,008-03,244.76,253.3,9.29,268.22,156.22,24.01
31055008-04,31,055,008-04,353,299,19,386,180,42
31055008-05,31,055,008-05,217.61,233.22,2.6,254.02,126.58,15.61
31055008-06,31,055,008-06,211,213,19,243,126,35
31055008-07,31,055,008-07,297.87,215.98,12.25,309.54,127.27,29.24
31055008-08,31,055,008-08,264.71,173.69,7,290.53,77.17,13.37
31055008-09,31,055,008-09,447.68,255.31,6.76,462.25,135.73,32.53
31055008-10,31,055,008-10,98.08,69.29,2.52,105.14,36.63,8.14
31055008-11,31,055,008-11,388.6,629.25,14.76,413.39,442.49,61.44
31055008-12,31,055,008-12,717.27,914.14,45.8,811.81,588.63,101.35
31055008-13,31,055,008-13,1153.88,467.41,26.32,1220.23,258.63,82.96
31055008-14,31,055,008-14,625.92,310.1,20.57,658.65,176.89,52.24
31055008-15,31,055,008-15,794.22,664.45,12.68,945.46,325.89,51.71
31055008-16,31,055,008-16,838.05,713.49,37.86,961.64,403.55,84.69
31055008-17,31,055,008-17,722.1,763.49,31.07,839.36,436.93,87.69
31055008-18,31,055,008-18,546.69,637.49,25.24,636.65,389.51,49.61
31055008-19,31,055,008-19,609.32,561.57,15.03,672.01,338.49,65.04
31055008-20,31,055,008-20,741.83,679.05,27.51,841.55,408.28,65.4
31055008-23,31,055,008-23,468.82,524.2,17.92,549.4,322.17,59.52
31055008-24,31,055,008-24,648.43,456.5,19.89,735.95,230.74,58.68
31055008-27,31,055,008-27,102.97,108.28,8.6,109.53,70.86,15.9
31055008-37,31,055,008-37,661.58,572.44,26.74,801.22,297.11,64.37
31055008-39,31,055,008-39,1495.81,797.45,40.35,1636.61,418.19,122.96
31055008-40,31,055,008-40,1259.44,561.41,32.71,1346.72,313.46,96.51
31055008-41,31,055,008-41,872.38,405.85,21.22,896.17,222.23,72.45
31055008-42,31,055,008-42,797.65,546.17,17.77,947.34,237.41,55.68
31055008-43,31,055,008-43,1038.77,818.59,23.29,1159.89,407.61,95.34
31055008-44,31,055,008-44,426.7,423.18,8.93,498.78,243.92,26.62
31055008-45,31,055,008-45,1016.61,631.99,19.87,1186.71,283.85,70.31
31055008-46,31,055,008-46,775.12,689.43,35.8,845.95,421.05,89.57
31055008-47,31,055,008-47,781.98,724.81,19.16,873.98,408.48,82.53
31055008-48,31,055,008-48,1057.01,432.96,20.36,1148.83,200.62,68.37
31055008-49,31,055,008-49,1202.31,869.48,48.27,1322.74,497.12,97.95
31055008-50,31,055,008-50,828.04,616.13,32.07,967.12,304.65,76.75
31055008-51,31,055,008-51,1073.87,991.02,29.85,1239.1,531.93,97.84
31055008-52,31,055,008-52,407.93,483.44,7.84,487.36,258.88,47.07
31055008-53,31,055,008-53,826.21,709.44,18.11,971.5,368.77,77.11
31055008-55,31,055,008-55,1308.4,703.43,27.08,1498.64,325.58,67.39
31055008-56,31,055,008-56,720,564,33,773,337,94
31055008-57,31,055,008-57,965.2,624.49,33.1,1075.12,366.48,76.81
31055008-58,31,055,008-58,737.38,450.88,13.15,820.88,249.62,56.34
31055008-59,31,055,008-59,660.95,639.93,24.65,755.8,356.35,77.91
31055008-60,31,055,008-60,337.67,835.58,22.52,401.16,602.87,73.56
3105700001P,31,057,00001P,332,51,3,308,43,20
3105700002P,31,057,00002P,295,23,5,281,15,14
3105700003P,31,057,00003P,147,14,0,136,9,7
3105700004P,31,057,00004P,109,17,3,110,10,7
3105900001P,31,059,00001P,256,89,15,258,58,27
3105900002P,31,059,00002P,225,57,8,237,40,10
3105900003P,31,059,00003P,189,38,5,187,15,12
3105900004P,31,059,00004P,258.97,90.85,7.87,268.27,57.23,16.45
3105900005P,31,059,00005P,318,120,9,336,70,18
3105900006P,31,059,00006P,103.03,36.15,3.13,106.73,22.77,6.55
3105900007P,31,059,00007P,246,82,16,259,53,13
3105900008P,31,059,00008P,289,94,7,289,59,24
3105900009P,31,059,00009P,170,28,2,171,24,6
3105900010P,31,059,00010P,304,58,9,306,36,23
3106100001P,31,061,00001P,363,74,4,351,54,24
3106100003P,31,061,00003P,281,52,0,263,34,11
3106100005P,31,061,00005P,500,93,1,488,60,26
3106100007P,31,061,00007P,293,57,6,296,42,10
3106300001P,31,063,00001P,189,31,4,179,20,14
3106300002P,31,063,00002P,392,56,8,387,33,22
3106300004P,31,063,00004P,313,62,4,297,45,21
3106300005P,31,063,00005P,99,5,4,94,5,3
3106300006P,31,063,00006P,236,35,2,226,26,13
3106500001P,31,065,00001P,320.19,60.75,4.93,311.98,41.6,22.99
3106500001W,31,065,00001W,63.8,12.1,0.98,62.16,8.29,4.58
3106500002P,31,065,00002P,150,24,3,132,14,20
3106500002W,31,065,00002W,85.46,16.22,1.31,83.27,11.1,6.14
3106500003P,31,065,00003P,234.65,41.79,6.97,230.73,29.17,14.8
3106500003W,31,065,00003W,115.56,21.93,1.78,112.59,15.01,8.3
3106500004P,31,065,00004P,92,15,2,90,12,4
3106500004W,31,065,00004W,57.93,10.32,1.72,56.96,7.2,3.65
3106500005P,31,065,00005P,298,60,3,280,39,22
3106500005W,31,065,00005W,246.43,43.89,7.32,242.31,30.63,15.54
3106500006P,31,065,00006P,73,19,3,72,18,5
3106500007P,31,065,00007P,91,10,3,87,5,8
3106500008P,31,065,00008P,335,64,0,318,46,26
3106700001P,31,067,00001P,895,379,27,902,259,66
3106700004P,31,067,00004P,891,278,26,903,160,58
3106700007P,31,067,00007P,541.79,226.46,14.99,578.26,111.22,51.58
3106700008P,31,067,00008P,471,153,12,461,96,44
3106700011P,31,067,00011P,404,145,5,418,94,25
3106700015P,31,067,00015P,718,313,15,726,221,56
3106700016P,31,067,00016P,681.21,355.32,31.95,679.58,250.12,91.07
3106700017P,31,067,00017P,978.56,531.65,39.04,1032.66,360.31,81.15
3106700021P,31,067,00021P,951,489,44,979,354,88
3106700026P,31,067,00026P,914.06,514.78,23.04,977.13,334.48,59.23
3106900001P,31,069,00001P,91,12,3,87,11,2
3106900002P,31,069,00002P,387,54,7,344,52,27
3106900003P,31,069,00003P,273,44,5,258,32,20
3106900004P,31,069,00004P,265,51,3,249,32,25
3107100003P,31,071,00003P,415.05,42.19,3.01,390.98,24.14,19.06
3107100004P,31,071,00004P,269.37,49.88,2.99,256.4,34.92,11.97
3107100005P,31,071,00005P,248.58,40.93,2.99,220.62,31.95,18.97
3107300001P,31,073,00001P,299,111,3,313,58,19
3107300002P,31,073,00002P,342,67,4,354,23,24
3107300003P,31,073,00003P,189,26,1,177,22,8
3107300004P,31,073,00004P,63,11,2,56,8,8
3107500002P,31,075,00002P,375,20,7,321,14,25
3107700001P,31,077,00001P,192,45,2,187,27,12
3107700002P,31,077,00002P,268,91,9,253,69,19
3107700003P,31,077,00003P,379,69,2,342,48,20
3107700004P,31,077,00004P,177,24,0,156,22,5
31079000001,31,079,000001,579.16,421.39,25.96,578.16,303.56,69.9
31079000002,31,079,000002,239,212,5,233,140,30
31079000003,31,079,000003,575.41,382.29,27.07,561.46,297.77,65.21
31079000005,31,079,000005,784,358,22,819,206,56
31079000006,31,079,000006,735,342,22,774,188,56
31079000007,31,079,000007,620,374,30,656,241,60
31079000008,31,079,000008,669.57,464.32,31.02,692.59,320.23,81.06
31079000009,31,079,000009,819.43,461.68,27.98,845.41,322.77,91.94
31079000010,31,079,000010,687,419,30,673,333,68
31079000011,31,079,000011,667.54,366.17,24.07,682.4,255.94,62.22
31079000012,31,079,000012,406,359,17,403,255,58
31079000013,31,079,000013,1153.77,454.52,29.97,1145.78,296.68,84.91
31079000014,31,079,000014,1264.23,434.48,17.03,1283.22,277.32,90.09
31079000015,31,079,000015,1135.7,469.9,25.46,1145.48,299.56,86.15
31079000016,31,079,000016,850.99,359,27,867.99,235,73
31079000017,31,079,000017,556.24,280.95,17.13,563.81,169.88,47.38
31079000018,31,079,000018,388.26,178.1,11.27,366.33,144.21,33.25
3107900004P,31,079,00004P,543,305,22,544,208,70
3107900029P,31,079,00029P,292.39,134.1,8.49,275.84,108.64,25.04
3107900030P,31,079,00030P,611,122,13,564,86,53
3107900037P,31,079,00037P,449.47,179.46,13.16,461.3,100.89,44.51
3107900039P,31,079,00039P,392.44,103.17,9.56,382.65,72.43,22.93
3107900040P,31,079,00040P,742.35,221.85,18.77,717.61,146.76,64.85
3107900041P,31,079,00041P,482.79,129.07,13.86,467.86,78.45,45.27
3107900042P,31,079,00042P,416.61,111.4,11.97,403.72,67.67,39.13
3107900043P,31,079,00043P,127.65,38.15,3.23,123.39,25.24,11.15
3108100001P,31,081,00001P,187,26,5,182,20,9
3108100002P,31,081,00002P,403,93,10,363,61,36
3108100003P,31,081,00003P,419,73,16,373,53,49
3108100004P,31,081,00004P,161,29,3,149,12,8
3108100005P,31,081,00005P,466.35,92.44,7.11,423.88,49.04,45.52
3108100006P,31,081,00006P,236.98,27,5,204.99,18,32
3108100007P,31,081,00007P,345.1,62.87,3.02,337.12,41.3,14.84
3108100008P,31,081,00008P,290.5,52.87,7.15,273,34.63,16.55
3108100009P,31,081,00009P,518,251,24,536,146,52
3108100010P,31,081,00010P,541,174,12,532,107,57
3108100011P,31,081,00011P,745.02,238,14,743.01,137,55
3108300003P,31,083,00003P,107.81,30.92,4.48,116.68,17.64,4.88
3108300004P,31,083,00004P,195.21,39.95,5.43,194.97,26.47,12.77
3108300005P,31,083,00005P,127.86,19.34,1.89,117.48,17.93,7.55
3108300006P,31,083,00006P,350.4,50.67,6.67,327.33,41.84,20.68
310830000P7,31,083,0000P7,364.94,60.85,7.07,352.89,46.39,18.89
31083008301,31,083,008301,250.12,53.25,0.84,226.67,36.29,20.93
31083008302,31,083,008302,218.67,27.01,4.62,192.98,21.45,19.31
3108500001P,31,085,00001P,158,14,2,152,8,7
3108500002P,31,085,00002P,165,7,3,150,11,4
3108500003P,31,085,00003P,171,13,1,155,11,12
3108700001P,31,087,00001P,276,36,5,251,35,25
3108700002P,31,087,00002P,148,21,10,139,16,19
3108700004P,31,087,00004P,500,57,11,463,47,38
3108700005P,31,087,00005P,340,61,4,326,46,27
3108900001P,31,089,00001P,176,44,3,150,30,21
3108900002P,31,089,00002P,552.51,65.81,7.21,499.22,62.67,36.4
3108900003P,31,089,00003P,454,41,9,371,42,26
3108900004P,31,089,00004P,227.58,25.09,2,185.54,21.02,18.07
3108900005P,31,089,00005P,348,23,3,283,31,31
3108900006P,31,089,00006P,142,23,4,125,17,17
3108900007P,31,089,00007P,443,58,5,386,61,24
3108900008P,31,089,00008P,490,50,1,412,41,39
3108900009P,31,089,00009P,538.49,97.19,20.79,490.78,84.33,49.6
3108900010P,31,089,00010P,423,105,10,394,77,38
3108900011P,31,089,00011P,462,73,6,423,53,33
3108900012P,31,089,00012P,269,37,3,236,41,18
3108900013P,31,089,00013P,244,44,8,210,42,22
3109100001P,31,091,00001P,376,59,7,349,48,17
3109300001P,31,093,00001P,246.4,43.68,9.07,228.35,36.47,23.16
3109300002P,31,093,00002P,146.27,20.76,0,134.95,11.32,8.49
3109300003P,31,093,00003P,221,42,3,206,31,11
3109300004P,31,093,00004P,721.32,203.56,19.93,705.7,141.2,48.35
3109300005P,31,093,00005P,569,132,15,548,85,37
3109300006P,31,093,00006P,171,40,5,168,30,16
3109300007P,31,093,00007P,345,110,11,332,70,40
3109300008P,31,093,00008P,366,56,4,337,41,23
3109500001P,31,095,00001P,235.5,128.15,11.01,246.52,91.11,29.03
3109500002P,31,095,00002P,183.38,86.76,6.9,192.25,59.16,18.73
3109500003P,31,095,00003P,304,137,18,319,103,32
3109500004P,31,095,00004P,340.84,165.44,13.95,382.7,91.69,31.89
3109500005P,31,095,00005P,157,43,4,169,21,6
3109500006P,31,095,00006P,310.38,104.79,7.98,323.36,67.87,15.97
3109500007P,31,095,00007P,243.62,85.24,5.1,248.75,52.84,15.27
3109500008P,31,095,00008P,178.16,39.56,2.05,168.3,29.31,10.11
3109500009P,31,095,00009P,321,122,9,362,71,12
3109500010P,31,095,00010P,341.5,103.85,5.99,351.48,76.89,19.97
3109700001P,31,097,00001P,444,175,20,469,114,29
3109700003P,31,097,00003P,213,66,12,213,55,17
3109700004P,31,097,00004P,71,22,4,73,21,3
3109700005P,31,097,00005P,233.6,107.01,9.26,251.83,63.35,20.78
3109700007P,31,097,00007P,432.4,227.99,14.74,445.17,133.65,44.22
3109700008P,31,097,00008P,124,49,4,124,30,11
3109900002P,31,099,00002P,345,90,7,332,47,27
3109900003P,31,099,00003P,90,18,2,85,8,5
3109900005P,31,099,00005P,211,40,6,201,30,16
3109900006P,31,099,00006P,87,17,0,81,10,6
3109900007P,31,099,00007P,396,89,8,383,51,32
3109900008P,31,099,00008P,253,28,5,238,15,22
3109900011P,31,099,00011P,222,42,8,220,27,20
3109900012P,31,099,00012P,75,16,2,71,10,7
3109900013P,31,099,00013P,307,106,20,322,65,29
3109900014P,31,099,00014P,395,132,11,393,86,29
3109900015P,31,099,00015P,441,123,12,464,63,27
3110100001P,31,101,00001P,236,61,1,224,52,12
3110100002P,31,101,00002P,132,25,3,120,21,15
3110100003P,31,101,00003P,402,57,5,394,34,18
3110100004P,31,101,00004P,376,64,3,349,54,24
3110100005P,31,101,00005P,235.06,37.12,3.09,217.02,25.26,17.01
3110100006P,31,101,00006P,140,20,0,135,16,7
3110100007P,31,101,00007P,220.94,34.88,2.91,203.98,23.74,15.99
3110100008P,31,101,00008P,534.76,155.96,7.56,514.79,108.92,39.81
3110100009P,31,101,00009P,370,74,9,352,55,22
3110100010P,31,101,00010P,330,94,10,317,58,30
3110100011P,31,101,00011P,278.24,53.04,7.44,265.21,39.08,24.19
3110100012P,31,101,00012P,289,87,5,263,66,29
3110300001P,31,103,00001P,83.64,8.45,1.4,69.6,7.5,9.36
3110300002P,31,103,00002P,94.35,9.54,1.59,78.45,8.48,10.6
3110300003P,31,103,00003P,138.68,16.04,0,131.13,10.38,8.49
3110300004P,31,103,00004P,164.18,15.51,1.08,152.43,14.9,5.82
3110500001P,31,105,00001P,132,25,3,119,24,7
3110500002P,31,105,00002P,299,31,5,279,22,24
3110500003P,31,105,00003P,195,22,6,183,20,12
3110500004P,31,105,00004P,355,67,7,338,59,17
3110500005P,31,105,00005P,582,123,22,539,119,52
3110700001P,31,107,00001P,566,157,9,537,122,41
3110700002P,31,107,00002P,691,149,12,626,123,41
3110700003P,31,107,00003P,796,144,16,713,101,79
3110700004P,31,107,00004P,176,47,1,155,30,14
3110700005P,31,107,00005P,176,160,7,183,127,13
3110700006P,31,107,00006P,296,67,5,254,64,24
3110700007P,31,107,00007P,513,97,10,437,78,42
3110700008P,31,107,00008P,507,84,11,471,63,34
3110900001P,31,109,00001P,455.79,416.65,17.85,519.88,231.47,41.84
3110900002P,31,109,00002P,362,384,26,394,248,61
3110900003P,31,109,00003P,458,550,25,513,375,61
3110900004P,31,109,00004P,201,272,15,238,160,27
3110900005P,31,109,00005P,312,453,24,362,228,48
3110900006P,31,109,00006P,227,359,16,237,202,42
3110900008P,31,109,00008P,172.52,447.07,19.34,187.11,277.55,54.14
3110900009P,31,109,00009P,154.5,520.1,19.79,196.94,263.78,47.47
3110900010P,31,109,00010P,367.54,421.05,22.6,438.85,221.83,39.15
3110900011P,31,109,00011P,349.07,326.27,18.84,416.51,169.58,27.77
3110900012P,31,109,00012P,296.93,259.73,15.16,349.49,120.42,28.23
3110900014P,31,109,00014P,427.84,366.35,20.63,512.14,192.96,33.58
3110900015P,31,109,00015P,317,436,13,403,236,34
3110900016P,31,109,00016P,342.75,328.39,17.05,389.41,201.88,38.58
3110900017P,31,109,00017P,271.22,356.43,22.78,312.53,233.83,40.27
3110900018P,31,109,00018P,361,344,16,408,210,27
3110900021P,31,109,00021P,491.5,547.26,16.12,577.29,309.23,51.27
3110900022P,31,109,00022P,344.25,325.62,8.83,405.06,170.65,20.6
3110900023P,31,109,00023P,534.25,695.13,45.06,622.65,409.12,97.13
3110900027P,31,109,00027P,366,444,20,407,289,56
3110900028P,31,109,00028P,350.25,363.49,30.72,369.52,259.69,47.42
3110900029P,31,109,00029P,273.73,366.3,24.93,312.5,249.83,48.57
3110900031P,31,109,00031P,438,564,50,486,354,76
3110900032P,31,109,00032P,207,260,19,253,167,24
3110900033P,31,109,00033P,60.79,114.03,6.68,69.4,77.48,11.77
3110900034P,31,109,00034P,281.36,527.74,30.9,321.2,358.61,54.48
3110900035P,31,109,00035P,301.55,542.13,26.87,371.81,354.73,46.43
3110900036P,31,109,00036P,252.7,315.48,17.48,276.54,197.08,38.14
3110900038P,31,109,00038P,238,309,15,276,197,33
3110900039P,31,109,00039P,131.33,225.89,13.13,143.15,158.91,30.86
3110900041P,31,109,00041P,210.17,356.54,17.36,233.36,252.86,44.7
3110900042P,31,109,00042P,68.67,118.11,6.87,74.85,83.09,16.14
3110900043P,31,109,00043P,273,392,30,285,293,55
3110900044P,31,109,00044P,337,426,13,357,310,46
3110900046P,31,109,00046P,290.45,570.54,28.29,339.49,348.92,67.9
3110900047P,31,109,00047P,279.55,523.46,25.71,320.51,352.08,46.1
3110900049P,31,109,00049P,170.63,475.71,18.56,189.68,273.28,40.98
3110900050P,31,109,00050P,386,644,25,451,367,57
3110900051P,31,109,00051P,187,369,13,227,203,30
3110900053P,31,109,00053P,238,415,9,271,230,33
3110900054P,31,109,00054P,194,366,9,230,218,28
3110900055P,31,109,00055P,177.99,320.15,13.82,210.33,204.56,24.96
3110900056P,31,109,00056P,250,355,15,276,206,29
3110900057P,31,109,00057P,149,225,15,156,147,30
3110900058P,31,109,00058P,172.44,173.3,10.55,211.66,84.68,14.17
3110900059P,31,109,00059P,217,336,11,255,162,32
3110900060P,31,109,00060P,323,344,9,394,161,33
3110900061P,31,109,00061P,381.23,470.09,16.66,446.45,245.13,49.21
3110900063P,31,109,00063P,274,407,16,313,238,35
3110900064P,31,109,00064P,235.3,347.19,7.06,287.32,149.7,37.81
3110900065P,31,109,00065P,248.7,271.81,12.94,285.68,143.3,22.19
3110900066P,31,109,00066P,296,298,13,354,146,24
3110900067P,31,109,00067P,314,424,11,389,207,46
3110900068P,31,109,00068P,314,437,10,364,220,38
3110900069P,31,109,00069P,280.48,370.5,17.06,329.76,212.26,37.9
3110900070P,31,109,00070P,183.49,231.91,10.22,215.23,131.29,20.45
3110900071P,31,109,00071P,340,544,19,424,305,40
3110900072P,31,109,00072P,454,496,15,545,228,39
3110900073P,31,109,00073P,447,476,20,534,251,38
3110900074P,31,109,00074P,297,377,13,362,160,42
3110900075P,31,109,00075P,317,328,14,367,178,18
3110900076P,31,109,00076P,463.83,443.99,14.15,555.72,211.52,44.22
3110900077P,31,109,00077P,290.24,359.37,23.25,345.43,197.56,37.5
3110900078P,31,109,00078P,239,317,16,275,194,30
3110900080P,31,109,00080P,304.68,389.1,9.7,386.19,215.41,32.99
3110900081P,31,109,00081P,404.78,524.92,36.78,471.68,344.29,46.9
3110900082P,31,109,00082P,371.21,493.59,21.94,423.5,302.27,49.72
3110900083P,31,109,00083P,354.4,444.15,27.97,408.88,286.5,51.79
3110900084P,31,109,00084P,607,613,30,691,358,61
3110900086P,31,109,00086P,280.29,293.98,11.79,307.9,175.9,28.52
3110900087P,31,109,00087P,305,348,15,365,197,21
3110900088P,31,109,00088P,387,420,10,452,228,21
3110900089P,31,109,00089P,350.41,338.37,12.02,413.27,162.71,25.89
3110900090P,31,109,00090P,344.13,465.66,16.29,439.57,232.45,41.99
3110900091P,31,109,00091P,346.19,416.24,10.01,396.24,239.13,36.02
3110900092P,31,109,00092P,266,310,13,318,149,27
3110900093P,31,109,00093P,376,338.67,4.44,433.78,178.67,28.44
3110900094P,31,109,00094P,417.94,597.05,22.5,498.32,321.6,49.17
3110900095P,31,109,00095P,301,350,10,343,196,41
3110900096P,31,109,00096P,99.06,123.29,6.06,112.9,78.73,10.38
3110900097P,31,109,00097P,283,517,31,321,367,52
3110900098P,31,109,00098P,193.14,298.89,13.22,237.94,172.58,27.91
3110900099P,31,109,00099P,266.2,366.41,18.77,292.76,240.31,47.47
3110900100P,31,109,00100P,342,427,11,405,234,34
3110900103P,31,109,00103P,312,520,21,356,316,34
3110900104P,31,109,00104P,388.76,496.25,19.47,444.12,294.87,48.05
3110900105P,31,109,00105P,195.76,248.25,6.47,202.12,167.87,34.05
3110900106P,31,109,00106P,340.47,528.18,20.97,388.4,287.55,52.92
3110900108P,31,109,00108P,274,498,30,329,313,50
3110900109P,31,109,00109P,216.46,631.81,9.61,274.9,304.66,28.3
3110900110P,31,109,00110P,174.53,591.82,11.03,259.6,250.45,25.08
3110900111P,31,109,00111P,237.47,449.8,14.73,291.2,227.93,42.47
3110900112P,31,109,00112P,347.07,554.61,23.31,401.22,312.87,63.91
3110900113P,31,109,00113P,382.54,598.96,28.09,449.6,366.95,61.03
3110900115P,31,109,00115P,247.53,354.91,18.2,293.03,215.68,30.03
3110900116P,31,109,00116P,282.94,390.14,10.59,347.19,185.46,28.39
3110900117P,31,109,00117P,452.82,451.62,16.91,568.39,219.13,27.38
3110900118P,31,109,00118P,425,484,20,493,288,47
3110900119P,31,109,00119P,540.24,519.81,22.55,633.33,243.76,58.87
3110900120P,31,109,00120P,409.94,444.01,21.33,453.74,296.72,44.51
3110900121P,31,109,00121P,211,555,22,259,283,38
3110900123P,31,109,00123P,173,535,13,205,302,35
