GEOID,G20PREDBID,G20PRERTRU,G20PRELJOR,G20USSDSHA,G20USSRMES,G20USSLODO,G20USSOWRI,G20GOVDFEL,G20GOVRSUN,G20GOVLPER,G20GOVOWRI
330019653003062,3.4,3.5,0.1,3.7,3.1,0.1,0,1.9,4.9,0.1,0
330019652002056,0,0,0,0,0,0,0,0,0,0,0
330019652002018,0,0,0,0,0,0,0,0,0,0,0
330019653001084,0,0,0,0,0,0,0,0,0,0,0
330019653001064,0,0,0,0,0,0,0,0,0,0,0
330019653001007,0,0,0,0,0,0,0,0,0,0,0
330019653003011,0,0,0,0,0,0,0,0,0,0,0
330019653002017,4.2,4.3,0.1,4.6,3.9,0.2,0,2.3,6.2,0.1,0
330019651003065,11.3,13.1,0.4,12.3,11.6,0.6,0.1,7.1,17.2,0.3,0
330019651003061,14.2,16.5,0.5,15.5,14.7,0.7,0.1,8.9,21.7,0.4,0.1
330019651003088,39.6,46,1.5,43.4,41,2,0.2,25,60.5,1,0.2
330019651003058,0,0,0,0,0,0,0,0,0,0,0
330019651002005,0,0,0,0,0,0,0,0,0,0,0
330019651002042,5.8,6.8,0.2,6.4,6,0.3,0,3.7,8.9,0.2,0
330019651003002,0,0,0,0,0,0,0,0,0,0,0
330019651003008,0,0,0,0,0,0,0,0,0,0,0
330019651003013,15,17.4,0.6,16.4,15.5,0.8,0.1,9.5,22.9,0.4,0.1
330019651002069,0.4,0.5,0,0.5,0.4,0,0,0.3,0.6,0,0
330019651002009,5.8,6.8,0.2,6.4,6,0.3,0,3.7,8.9,0.2,0
330019651002047,0,0,0,0,0,0,0,0,0,0,0
330019651002025,0,0,0,0,0,0,0,0,0,0,0
330019651003056,0,0,0,0,0,0,0,0,0,0,0
330019651003101,0,0,0,0,0,0,0,0,0,0,0
330019651003020,0,0,0,0,0,0,0,0,0,0,0
330019654002025,0.7,1,0,0.8,0.8,0,0,0.5,1.2,0,0
330019654001056,0,0,0,0,0,0,0,0,0,0,0
330019654002068,0,0,0,0,0,0,0,0,0,0,0
330019654002066,0,0,0,0,0,0,0,0,0,0,0
330019654002050,0,0,0,0,0,0,0,0,0,0,0
330019654001033,0,0,0,0,0,0,0,0,0,0,0
330019658001000,12,17.7,0.6,14,15.1,0.8,0.1,6.1,23.4,0.5,0
330019658003064,0,0,0,0,0,0,0,0,0,0,0
330019658003021,0,0,0,0,0,0,0,0,0,0,0
330019658002032,0,0,0,0,0,0,0,0,0,0,0
330019658003009,0,0,0,0,0,0,0,0,0,0,0
330019658004085,0,0,0,0,0,0,0,0,0,0,0
330019658001016,0,0,0,0,0,0,0,0,0,0,0
330019658001041,0,0,0,0,0,0,0,0,0,0,0
330019658001022,0,0,0,0,0,0,0,0,0,0,0
330019658003087,0,0,0,0,0,0,0,0,0,0,0
330019658004046,0,0,0,0,0,0,0,0,0,0,0
330019658003044,0,0,0,0,0,0,0,0,0,0,0
330019651001031,24.7,26.5,0.4,25.6,24.6,1.1,0.1,14.6,35.9,0.8,0
330019651001071,0,0,0,0,0,0,0,0,0,0,0
330019651001092,0,0,0,0,0,0,0,0,0,0,0
330019651001077,6.3,6.7,0.1,6.5,6.3,0.3,0,3.7,9.1,0.2,0
330019654002022,2.2,2.9,0.1,2.5,2.5,0.1,0,1.4,3.6,0.1,0
330019654002052,0,0,0,0,0,0,0,0,0,0,0
330019654001025,2.9,3.8,0.1,3.3,3.4,0.1,0,1.9,4.8,0.1,0
330019654002073,0,0,0,0,0,0,0,0,0,0,0
330019654001045,0,0,0,0,0,0,0,0,0,0,0
330019654002112,0,0,0,0,0,0,0,0,0,0,0
330019654001006,0,0,0,0,0,0,0,0,0,0,0
330019655982054,3.2,3.6,0.1,3.6,3,0.2,0,1.8,5,0.1,0
330019655982064,12.5,13.9,0.6,14.2,11.7,0.7,0,7,19.3,0.5,0
330019655982003,5.4,6.1,0.2,6.2,5.1,0.3,0,3.1,8.4,0.2,0
330019655983017,0,0,0,0,0,0,0,0,0,0,0
330019655983044,9,10,0.4,10.2,8.4,0.5,0,5.1,13.9,0.4,0
330019655983047,0,0,0,0,0,0,0,0,0,0,0
330019655981028,0,0,0,0,0,0,0,0,0,0,0
330019655982048,9.6,10.7,0.4,10.9,9,0.5,0,5.4,14.9,0.4,0
330019664011092,0,0,0,0,0,0,0,0,0,0,0
330019664011061,0,0,0,0,0,0,0,0,0,0,0
330019664011009,0,0,0,0,0,0,0,0,0,0,0
330019664024018,41.4,45.4,0.9,44.9,40.8,1.1,0.1,22.7,62.7,0.8,0
330019664025043,0,0,0,0,0,0,0,0,0,0,0
330019664022012,2.7,2.9,0.1,2.9,2.6,0.1,0,1.5,4,0,0
330019664022003,0,0,0,0,0,0,0,0,0,0,0
330019664011001,0,0,0,0,0,0,0,0,0,0,0
330019664011033,0,0,0,0,0,0,0,0,0,0,0
330019664021012,37.4,41,0.9,40.6,36.9,1,0.1,20.5,56.6,0.7,0
330019664011018,10.7,11.7,0.2,11.6,10.5,0.3,0,5.8,16.2,0.2,0
330019664011079,16.9,18.5,0.4,18.4,16.7,0.4,0,9.3,25.6,0.3,0
330019656001025,36.2,50.5,1.2,40.8,44.8,2.1,0.1,22.1,64.2,1.1,0.1
330019656001027,0,0,0,0,0,0,0,0,0,0,0
330019656001046,4.2,5.8,0.1,4.7,5.2,0.2,0,2.5,7.4,0.1,0
330019656001035,0,0,0,0,0,0,0,0,0,0,0
330019656002007,0,0,0,0,0,0,0,0,0,0,0
330019656001052,1.4,1.9,0,1.6,1.7,0.1,0,0.8,2.5,0,0
330019656001031,0,0,0,0,0,0,0,0,0,0,0
330019656003021,3.5,4.9,0.1,3.9,4.3,0.2,0,2.1,6.2,0.1,0
330019656002073,0,0,0,0,0,0,0,0,0,0,0
330019656002050,0,0,0,0,0,0,0,0,0,0,0
330019656003057,11.8,16.5,0.4,13.4,14.6,0.7,0,7.2,21,0.3,0
330019656002072,6.6,9.2,0.2,7.5,8.2,0.4,0,4,11.7,0.2,0
330019656003068,0,0,0,0,0,0,0,0,0,0,0
330019654001015,0.4,0.5,0,0.4,0.4,0,0,0.2,0.6,0,0
330019654002060,25,32.4,1,28.4,28.7,1,0,16,40.9,0.7,0.1
330019654002046,1.1,1.4,0,1.3,1.3,0,0,0.7,1.8,0,0
330019654002098,0,0,0,0,0,0,0,0,0,0,0
330019654001032,0,0,0,0,0,0,0,0,0,0,0
330019654002072,0,0,0,0,0,0,0,0,0,0,0
330019654002101,0,0,0,0,0,0,0,0,0,0,0
330019654001034,0.7,1,0,0.8,0.8,0,0,0.5,1.2,0,0
330019654001021,0,0,0,0,0,0,0,0,0,0,0
330019654002028,0,0,0,0,0,0,0,0,0,0,0
330019654002008,0,0,0,0,0,0,0,0,0,0,0
330019654002010,0,0,0,0,0,0,0,0,0,0,0
330019654002100,0,0,0,0,0,0,0,0,0,0,0
330019655982033,0.6,0.7,0,0.7,0.6,0,0,0.4,1,0,0
330019655983019,22.4,24.9,1,25.5,21,1.2,0,12.6,34.7,0.9,0
330019655983074,0,0,0,0,0,0,0,0,0,0,0
330019655983006,0,0,0,0,0,0,0,0,0,0,0
330019655982004,1.9,2.1,0.1,2.2,1.8,0.1,0,1.1,3,0.1,0
330019664011025,0.4,0.5,0,0.5,0.4,0,0,0.2,0.7,0,0
330019664025026,27.6,30.3,0.6,29.9,27.2,0.7,0.1,15.1,41.8,0.5,0
330019664023045,4,4.4,0.1,4.3,4,0.1,0,2.2,6.1,0.1,0
330019664025013,11.6,12.7,0.3,12.6,11.4,0.3,0,6.3,17.5,0.2,0
330019664021025,4,4.4,0.1,4.3,4,0.1,0,2.2,6.1,0.1,0
330019664025041,26.3,28.8,0.6,28.5,25.9,0.7,0.1,14.4,39.8,0.5,0
330019664022025,29.4,32.2,0.7,31.9,29,0.8,0.1,16.1,44.5,0.5,0
330019664011056,0,0,0,0,0,0,0,0,0,0,0
330019664022036,0,0,0,0,0,0,0,0,0,0,0
330019664022041,0,0,0,0,0,0,0,0,0,0,0
330019664022040,0,0,0,0,0,0,0,0,0,0,0
330019664024020,0,0,0,0,0,0,0,0,0,0,0
330019664021000,0,0,0,0,0,0,0,0,0,0,0
330019664011147,0,0,0,0,0,0,0,0,0,0,0
330019664022022,1.3,1.5,0,1.4,1.3,0,0,0.7,2,0,0
330019664025003,4.5,4.9,0.1,4.8,4.4,0.1,0,2.4,6.7,0.1,0
330019664023003,2.2,2.4,0.1,2.4,2.2,0.1,0,1.2,3.4,0,0
330019651001005,1.3,1.3,0,1.3,1.3,0.1,0,0.7,1.8,0,0
330019651001080,4.6,4.9,0.1,4.8,4.6,0.2,0,2.7,6.7,0.1,0
330019651001084,2.9,3.1,0,3,2.9,0.1,0,1.7,4.3,0.1,0
330019651001032,0,0,0,0,0,0,0,0,0,0,0
330019664011185,0.9,1,0,1,0.9,0,0,0.5,1.3,0,0
330019664022006,1.8,2,0,1.9,1.8,0,0,1,2.7,0,0
330019664011119,0,0,0,0,0,0,0,0,0,0,0
