GEOID,G18GOVRSUN,G18GOVDKEL,G18GOVIJAR,G18GOVOWRI
330019664011074,7,4.3,0.1,0
330019664011027,3.3,2,0,0
330019656002032,17.9,9.5,0.4,0
330019656002054,0.8,0.4,0,0
330019656002060,1.5,0.8,0,0
330019656002000,32.4,17.2,0.8,0
330019656002031,8.4,4.5,0.2,0
330019654002029,2.7,1.7,0.1,0
330019654002035,0,0,0,0
330019654002090,1.5,1,0,0
330019654002006,0,0,0,0
330019654001046,1.5,1,0,0
330019654001023,0.4,0.2,0,0
330019654001035,0,0,0,0
330019654001049,0,0,0,0
330019655982032,0,0,0,0
330019655983016,0,0,0,0
330019655981006,81.1,54.7,2.1,0.2
330019655983087,0.3,0.2,0,0
330019655982072,2.5,1.7,0.1,0
330019655982042,2.2,1.5,0.1,0
330019655983004,0,0,0,0
330019655982015,0,0,0,0
330019655982030,0,0,0,0
330019655982023,0,0,0,0
330019655983094,0,0,0,0
330019655983084,0,0,0,0
330019655983045,0,0,0,0
330019655983040,8.2,5.5,0.2,0
330019655983067,0,0,0,0
330019665001010,66.3,25.6,0.5,0
330019665002069,5.6,2.2,0,0
330019665003014,0,0,0,0
330019665004114,4.2,1.6,0,0
330019665004036,0,0,0,0
330019665003112,0.9,0.4,0,0
330019665003087,0,0,0,0
330019665001043,1.4,0.5,0,0
330019665002091,32.7,12.6,0.3,0
330019664023011,2.9,1.8,0,0
330019664023018,0,0,0,0
330019664023010,0.8,0.5,0,0
330019664023033,1.6,1,0,0
330019664025031,9.1,5.5,0.1,0
330019664025010,4.5,2.8,0.1,0
330019664011090,0,0,0,0
330019664023013,0.8,0.5,0,0
330019664011017,0,0,0,0
330019664011014,0,0,0,0
330019664011157,0,0,0,0
330019664011159,0.8,0.5,0,0
330019664011076,0,0,0,0
330019664011091,0,0,0,0
330019664011028,0,0,0,0
330019652002030,22.9,14.1,0.5,0
330019653001032,1.6,1,0,0
330019652001041,5.4,3.3,0.1,0
330019653001067,20.2,12.4,0.4,0
330019653001047,0,0,0,0
330019652001048,1.2,0.7,0,0
330019653003058,0.8,0.5,0,0
330019652001077,1.2,0.7,0,0
330019653003056,0.8,0.5,0,0
330019653001028,0,0,0,0
330019653002030,0,0,0,0
330019652002040,6.6,4.1,0.1,0
330019652002057,7.4,4.5,0.2,0
330019652002050,1.9,1.2,0,0
330019665004042,26.6,10.3,0.2,0
330019665004102,0,0,0,0
330019665003024,0,0,0,0
330019665003106,0.9,0.4,0,0
330019665002071,0,0,0,0
330019665002009,0,0,0,0
330019665001000,14,5.4,0.1,0
330019665004058,0,0,0,0
330019665003064,8.9,3.4,0.1,0
330019665002075,9.3,3.6,0.1,0
330019665004024,1.9,0.7,0,0
330019665004068,0,0,0,0
330019656002005,2.7,1.4,0.1,0
330019656002051,0.8,0.4,0,0
330019656001015,6.1,3.2,0.2,0
330019656001026,1.9,1,0,0
330019656001028,2.7,1.4,0.1,0
330019656001018,9.5,5.1,0.2,0
330019656001021,1.1,0.6,0,0
330019656002027,0,0,0,0
330019656003044,9.1,4.9,0.2,0
330019656003024,0.4,0.2,0,0
330019656003066,1.5,0.8,0,0
330019656003051,22.5,11.9,0.6,0
330019656001048,0,0,0,0
330019656003062,0,0,0,0
330019656003049,0,0,0,0
330019656001020,2.7,1.4,0.1,0
330019656003031,0,0,0,0
330019655982075,0,0,0,0
330019655983025,0.8,0.6,0,0
330019655983034,11.2,7.6,0.3,0
330019655983049,0,0,0,0
330019655983068,3.5,2.4,0.1,0
330019655982038,4.1,2.8,0.1,0
330019655983009,0,0,0,0
330019655981020,0,0,0,0
330019655983063,0,0,0,0
330019655981010,0,0,0,0
330019655983028,1.1,0.7,0,0
330019655982020,5.5,3.7,0.1,0
330019655981026,9,6.1,0.2,0
330019655983075,0,0,0,0
330019655981004,0,0,0,0
330019655982017,0,0,0,0
330019655982012,0,0,0,0
330019655982065,0,0,0,0
330019655982070,0,0,0,0
330019664011055,1.6,1,0,0
330019664011146,0,0,0,0
330019664023038,0,0,0,0
330019664023042,19.4,11.8,0.3,0
330019664011040,2.1,1.3,0,0
330019664024012,25.2,15.3,0.4,0
330019664023028,6.2,3.8,0.1,0
330019664011162,0,0,0,0
330019664011081,0,0,0,0
330019664011127,4.5,2.8,0.1,0
330019664022001,0,0,0,0
330019664011054,0,0,0,0
330019664011164,4.5,2.8,0.1,0
330019664011039,2.1,1.3,0,0
330019664023025,2.9,1.8,0,0
330019664011022,0.8,0.5,0,0
330019664011011,0,0,0,0
330019664011029,2.9,1.8,0,0
330019656002047,0,0,0,0
330019651003054,14.5,10,0.5,0
330019651003093,2,1.4,0.1,0
330019651003012,2.7,1.9,0.1,0
330019651002104,0,0,0,0
330019651002017,1.6,1.1,0.1,0
330019654001047,1.9,1.2,0,0
330019654002024,23.1,14.6,0.5,0.1
330019654002012,0.8,0.5,0,0
330019654002001,16.9,10.7,0.4,0.1
330019654002093,6.5,4.1,0.2,0
330019658004082,0,0,0,0
330019658004016,0,0,0,0
330019658002068,0,0,0,0
330019658002010,0,0,0,0
330019658003070,18,8.5,0.3,0
330019658001059,5.4,2.5,0.1,0
330019658003081,2.2,1,0,0
330019658004049,0,0,0,0
330019658004043,0,0,0,0
330019658003084,0,0,0,0
330019658004036,0.9,0.4,0,0
330019658004038,0.6,0.3,0,0
330019658001044,0,0,0,0
330019658003006,0,0,0,0
330019658004033,1.9,0.9,0,0
330019658004041,0,0,0,0
330019658001019,0,0,0,0
330019658002063,0,0,0,0
330019658003091,0,0,0,0
330019653001071,0,0,0,0
330019652002032,0,0,0,0
330019653002015,43.5,26.8,0.9,0
330019653001085,0,0,0,0
330019653001061,0,0,0,0
330019652002044,4.3,2.6,0.1,0
330019653001008,1.6,1,0,0
330019653001009,0.8,0.5,0,0
330019653002038,10.1,6.2,0.2,0
330019652002003,17.5,10.8,0.4,0
330019652002041,1.2,0.7,0,0
330019652001035,0.8,0.5,0,0
330019653001034,1.2,0.7,0,0
330019652001037,0,0,0,0
330019653003045,4.3,2.6,0.1,0
330019652001056,1.2,0.7,0,0
330019652002014,7.8,4.8,0.2,0
330019653003042,1.2,0.7,0,0
330019653003072,3.5,2.2,0.1,0
330019665001020,4.2,1.6,0,0
330019665003023,0,0,0,0
330019665002017,2.8,1.1,0,0
330019665003039,3.7,1.4,0,0
330019665002005,1.9,0.7,0,0
330019665004090,0,0,0,0
330019665004095,0,0,0,0
330019665004088,13.5,5.2,0.1,0
330019665004070,0.5,0.2,0,0
330019665003073,2.8,1.1,0,0
330019665002008,0,0,0,0
330019665003085,0,0,0,0
330019665004093,0,0,0,0
330019665004109,0.9,0.4,0,0
330019656001041,0,0,0,0
330019656002074,0,0,0,0
330019656003002,0,0,0,0
330019659001006,0.5,0.4,0,0
330019659001012,8.2,5.9,0.2,0
330019659001035,2.2,1.6,0.1,0
330019660001001,0.2,0.2,0,0
330019660001014,0,0,0,0
330019660004019,1.8,1,0,0
330019662003057,0,0,0,0
330019662002006,23.8,13.4,0.3,0
330019662002011,0,0,0,0
330019661004078,0,0,0,0
330019661004036,0.8,0.5,0,0
330019662003010,37,20.8,0.5,0
330019660001026,0,0,0,0
330019662003045,0,0,0,0
330019662004014,24.9,13.3,0.4,0
330019659003002,0,0,0,0
330019660004011,0,0,0,0
330019655983064,2.7,1.8,0.1,0
330019655983033,0,0,0,0
330019655983036,0,0,0,0
330019655983052,0,0,0,0
330019655983002,1.9,1.3,0.1,0
330019665002010,0,0,0,0
330019665002040,0,0,0,0
330019665003092,0,0,0,0
330019665002027,5.1,2,0,0
330019665004062,4.2,1.6,0,0
330019665002015,9.3,3.6,0.1,0
330019665002041,15.9,6.1,0.1,0
