GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREOFUE,G20PREOKIN,G20PREIWES,G20PREIPIE,G20PREOWRI,G20USSRERN,G20USSDGRE,G20USSLSTE,G20USSOHER,G20USSOWRI
19015015018,19,015,015018,239.63,190.54,5.26,1.17,1.75,0,0,0,0,1.17,237.88,181.19,9.94,5.26,0
19015015019,19,015,015019,11.35,9.02,0.25,0.06,0.08,0,0,0,0,0.06,11.27,8.58,0.47,0.25,0
19015015020,19,015,015020,376.33,259.88,7.22,0.01,0.55,0,0,2.76,1.1,2.76,365.14,259.96,14.42,5.54,0.55
19015015021,19,015,015021,911.8,654.53,19.55,1.99,2.05,1,0,3.21,0.09,3.22,834.01,680.49,43.11,17.43,1.05
19015015022,19,015,015022,65.42,46.8,1.54,0.11,0.07,0,0,0.41,0.15,0.46,62.53,47.41,2.79,1.03,0.14
19015015023,19,015,015023,163.2,77.18,5.9,0,0.49,0.49,0,0,0,0.98,160.74,77.18,5.9,1.97,0.49
19015015024,19,015,015024,129.61,61.29,4.68,0,0.39,0.39,0,0,0,0.78,127.66,61.29,4.68,1.56,0.39
19015015025,19,015,015025,39.19,18.53,1.42,0,0.12,0.12,0,0,0,0.24,38.6,18.53,1.42,0.47,0.12
19015015026,19,015,015026,82.12,56.7,1.57,0,0.12,0,0,0.6,0.24,0.6,79.69,56.71,3.14,1.21,0.12
19015015027,19,015,015027,6,4.77,0.13,0.03,0.04,0,0,0,0,0.03,5.96,4.54,0.25,0.13,0
19017017001,19,017,017001,289.53,135,3.9,0,1.12,0,0.56,0,0.56,0,277.25,138.35,9.48,1.67,0
19017017002,19,017,017002,229.47,107,3.1,0,0.88,0,0.44,0,0.44,0,219.75,109.65,7.52,1.33,0
19017017003,19,017,017003,98.6,50.75,1.45,0,0,0,0,0.48,0,0,94.25,53.16,2.9,0.48,0
19017017004,19,017,017004,105.4,54.25,1.55,0,0,0,0,0.52,0,0,100.75,56.84,3.1,0.52,0
19017017005,19,017,017005,179.07,82.76,2.64,0.18,0.18,0.18,0.18,0.35,0,0.88,174.67,85.22,2.99,2.29,0.18
19017017006,19,017,017006,400.31,185,5.9,0.39,0.39,0.39,0.39,0.79,0,1.97,390.47,190.51,6.69,5.12,0.39
19017017007,19,017,017007,437.62,202.24,6.45,0.43,0.43,0.43,0.43,0.86,0,2.15,426.86,208.27,7.32,5.59,0.43
19017017008,19,017,017008,199.76,132.92,3.75,0,0.38,0,0,1.13,0,0.75,183.99,139.68,9.39,2.25,0.38
19017017009,19,017,017009,332.24,221.08,6.25,0,0.62,0,0,1.87,0,1.25,306.01,232.32,15.61,3.75,0.62
19017017010,19,017,017010,231.43,149.33,3.84,0.48,0.48,0,0.48,0,0.48,0.48,231.43,143.57,6.72,1.92,0
19017017011,19,017,017011,249.61,161.06,4.14,0.52,0.52,0,0.52,0,0.52,0.52,249.61,154.84,7.25,2.07,0
19017017012,19,017,017012,695.3,684.42,20.72,2.57,1.4,1.49,0,2.54,0,1.64,705.1,667.59,21.22,5.44,0.75
19017017013,19,017,017013,2278.92,2383.07,70.58,13.45,5.65,3.52,1,4.51,2,11.42,2306.99,2310.89,90.11,25.73,1.26
19017017014,19,017,017014,358.87,220.27,7.48,0.58,1.15,0.58,0,0,0,0,354.27,223.72,6.9,2.88,0
19017017015,19,017,017015,265.13,162.73,5.52,0.42,0.85,0.42,0,0,0,0,261.73,165.28,5.1,2.12,0
19017017016,19,017,017016,558.6,331.45,11.93,0.88,1.77,0.44,0,2.21,0,2.65,553.29,332.33,12.82,7.07,0.44
19017017017,19,017,017017,692.15,410.69,14.78,1.1,2.19,0.55,0,2.74,0,3.29,685.57,411.78,15.88,8.76,0.55
19017017018,19,017,017018,346.82,142.34,5.51,1.5,0.5,0,0,1,0,1.5,337.8,143.84,11.53,2.51,0
19017017019,19,017,017019,345.18,141.66,5.49,1.5,0.5,0,0,1,0,1.5,336.2,143.16,11.47,2.49,0
19019019001,19,019,019001,227.25,129.19,1.76,0,0,0,0,0,0,1.17,209.63,138.58,6.46,1.76,0.59
19019019002,19,019,019002,159.75,90.81,1.24,0,0,0,0,0,0,0.83,147.37,97.42,4.54,1.24,0.41
19019019003,19,019,019003,333,186,7,0,1,1,0,2,0,1,308,196,16,10,0
19019019004,19,019,019004,160.86,85.44,1.74,0.44,0.44,0.87,0.44,0.44,0,0,145.16,96.34,5.23,1.74,0
19019019005,19,019,019005,35.13,18.66,0.38,0.1,0.1,0.19,0.1,0.1,0,0,31.7,21.04,1.14,0.38,0
19019019006,19,019,019006,135.23,71.83,1.47,0.37,0.37,0.73,0.37,0.37,0,0,122.03,80.99,4.4,1.47,0
19019019007,19,019,019007,37.78,20.07,0.41,0.1,0.1,0.2,0.1,0.1,0,0,34.1,22.63,1.23,0.41,0
19019019008,19,019,019008,120.49,76.39,0,0.79,1.31,0.79,0,1.31,0,0,114.45,80.59,4.46,1.57,0
19019019009,19,019,019009,148.93,94.42,0,0.97,1.62,0.97,0,1.62,0,0,141.46,99.61,5.52,1.95,0
19019019010,19,019,019010,523.44,380.77,6.48,1.45,0.72,0.02,0.72,0.74,0,0.72,516.74,365.91,17.29,5.8,0
19019019011,19,019,019011,177.5,85.89,2.67,0.38,0,0,0.38,0,0,0,167.64,90.01,5.73,2.29,0
19019019012,19,019,019012,776.42,474.64,15.99,0,4,0,0,1,0,1,719.46,487.63,37.97,12.99,0
19019019013,19,019,019013,290.04,139.89,4.37,0.62,0,0,0.62,0,0,0,273.83,146.74,9.36,3.75,0
19019019014,19,019,019014,364.23,263.48,6.09,1.11,1.66,0.55,0,1.11,0,1.11,355.92,265.7,9.96,6.09,0
19019019015,19,019,019015,1418.38,1176.33,28.41,9.43,3.61,5.43,1.28,5.15,0,2.17,1328.41,1204.02,66.68,26.09,1
19019019016,19,019,019016,431.11,253.07,7,2,2,1,0,2,0,2,415.11,260.08,12,6,1
19019019017,19,019,019017,189.47,120.12,0,1.24,2.06,1.24,0,2.06,0,0,179.98,126.73,7.02,2.48,0
19019019018,19,019,019018,112.43,64.82,1.52,0,0,0,0,0,0,0,111.92,64.82,2.53,1.01,0
19019019019,19,019,019019,109.57,63.18,1.48,0,0,0,0,0,0,0,109.08,63.18,2.47,0.99,0
19019019020,19,019,019020,257.91,145.32,1.96,0.65,0,0.65,0,1.31,0,0,241.54,147.94,11.78,3.27,1.31
19019019021,19,019,019021,136.09,76.68,1.04,0.35,0,0.35,0,0.69,0,0,127.46,78.06,6.22,1.73,0.69
19019019022,19,019,019022,275,152,5,0,0,0,0,2,0,0,262,158,10,3,0
19021021001,19,021,021001,151.54,47.79,1.44,0,0.32,0.16,0,0.16,0,0,142.9,51.47,3.68,1.76,0.16
19021021002,19,021,021002,160.98,50.77,1.53,0,0.34,0.17,0,0.17,0,0,151.81,54.68,3.91,1.87,0.17
19021021003,19,021,021003,43.05,13.58,0.41,0,0.09,0.05,0,0.05,0,0,40.6,14.62,1.04,0.5,0.05
19021021004,19,021,021004,135.63,42.78,1.29,0,0.29,0.14,0,0.14,0,0,127.91,46.07,3.29,1.57,0.14
19021021005,19,021,021005,109.43,34.51,1.04,0,0.23,0.12,0,0.12,0,0,103.2,37.17,2.65,1.27,0.12
19021021006,19,021,021006,138.18,43.58,1.31,0,0.29,0.15,0,0.15,0,0,130.31,46.94,3.35,1.6,0.15
19021021007,19,021,021007,251.1,78.16,3.33,0,0,0.55,0,0,0,0.55,237.24,84.81,5.54,1.11,0
19021021008,19,021,021008,109.78,34.63,1.04,0,0.23,0.12,0,0.12,0,0,103.53,37.29,2.66,1.27,0.12
19021021009,19,021,021009,99.4,31.35,0.94,0,0.21,0.1,0,0.1,0,0,93.74,33.76,2.41,1.15,0.1
19021021010,19,021,021010,275.13,115.72,2.28,0.33,0.33,0.98,0.33,0.98,0,0.65,252.31,122.57,9.45,4.24,0.65
19021021011,19,021,021011,568.87,239.28,4.72,0.67,0.67,2.02,0.67,2.02,0,1.35,521.69,253.43,19.55,8.76,1.35
19021021012,19,021,021012,103.35,37.4,1.43,0.29,0,0,0.29,0.57,0.29,0,94.5,42.25,4.28,0.57,0
19021021013,19,021,021013,252.48,91.37,3.49,0.7,0,0,0.7,1.39,0.7,0,230.85,103.22,10.46,1.39,0
19021021014,19,021,021014,201.9,62.84,2.67,0,0,0.45,0,0,0,0.45,190.76,68.19,4.46,0.89,0
19021021015,19,021,021015,288.57,91.01,3.33,0,2.22,0,0.55,1.11,1.11,0.55,275.81,96.56,8.32,2.77,0
19021021016,19,021,021016,230.57,72.72,2.66,0,1.77,0,0.44,0.89,0.89,0.44,220.38,77.15,6.65,2.22,0
19021021017,19,021,021017,153.79,79.88,1.51,0.43,0.13,0.3,0.01,0.39,0.02,0.54,147.06,79.44,4.47,1.83,0.24
19021021018,19,021,021018,93.98,41.92,0.78,0.19,0,0.19,0,0.19,0,0.19,90.08,41.72,2.34,0.97,0.19
19021021019,19,021,021019,1426.54,1634.96,28.63,6.85,7.88,8.96,0.01,10.91,0.01,12.72,1318.46,1614.45,60.96,36.52,3.02
19021021020,19,021,021020,261.73,116.74,2.17,0.54,0,0.54,0,0.54,0,0.54,250.87,116.2,6.52,2.71,0.54
19023023001,19,023,023001,196.75,113.06,3.23,1.76,0.29,0,0,0.29,0.59,1.17,187.94,116.87,5.87,2.94,0
19023023002,19,023,023002,104.4,59.99,1.71,0.93,0.16,0,0,0.16,0.31,0.62,99.73,62.02,3.12,1.56,0
19023023003,19,023,023003,164.88,94.74,2.71,1.48,0.25,0,0,0.25,0.49,0.98,157.5,97.94,4.92,2.46,0
19023023004,19,023,023004,203.97,117.21,3.35,1.83,0.3,0,0,0.3,0.61,1.22,194.84,121.17,6.09,3.04,0
19023023005,19,023,023005,151.3,76.34,2.08,0.35,0,0,0,0,0,0.35,142.65,78.42,4.5,2.42,0
19023023006,19,023,023006,228.2,115.14,3.13,0.52,0,0,0,0,0,0.52,215.14,118.28,6.79,3.66,0
19023023007,19,023,023007,261.74,132.07,3.59,0.6,0,0,0,0,0,0.6,246.77,135.66,7.79,4.19,0
19023023008,19,023,023008,232.76,117.44,3.2,0.53,0,0,0,0,0,0.53,219.44,120.64,6.92,3.73,0
19023023009,19,023,023009,296.32,99.84,4.25,0.53,0.53,0,0,3.72,0.53,0,293.13,92.93,9.56,4.25,0.53
19023023010,19,023,023010,189.73,63.92,2.72,0.34,0.34,0,0,2.38,0.34,0,187.69,59.5,6.12,2.72,0.34
19023023011,19,023,023011,272.05,73.86,0.92,0,0.46,0,0.46,0.46,0.46,0,262.88,69.73,8.72,5.51,0
19023023012,19,023,023012,71.95,24.24,1.03,0.13,0.13,0,0,0.9,0.13,0,71.17,22.56,2.32,1.03,0.13
19023023013,19,023,023013,178.44,48.45,0.6,0,0.3,0,0.3,0.3,0.3,0,172.42,45.74,5.72,3.61,0
