GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PRECCAS,G16PREOVAC,G16PREOKAH,G16PREIMCM,G16PREIFUE,G16PREORIV,G16PREOWRI,G16USSRGRA,G16USSDJUD,G16USSLALD,G16USSOHEN,G16USSILUI,G16USSOWRI
19001001001,19,001,001001,136.1,43.1,5.2,0.7,0.2,0.5,0,0.2,0.2,0,1.5,139.3,35.9,7.2,2.7,1.2,0
19001001002,19,001,001002,86.9,27.5,3.3,0.5,0.2,0.3,0,0.2,0.2,0,0.9,89,23,4.6,1.7,0.8,0
19001001003,19,001,001003,74.4,23.6,2.8,0.4,0.1,0.3,0,0.1,0.1,0,0.8,76.1,19.6,3.9,1.5,0.7,0
19001001004,19,001,001004,10.7,3.4,0.4,0.1,0,0,0,0,0,0,0.1,11,2.8,0.6,0.2,0.1,0
19001001005,19,001,001005,90.8,45.1,4.8,1,0.5,0.5,0.1,0.5,0,0,1.9,99.4,36,5.2,1.6,0.3,0.1
19001001006,19,001,001006,107.1,58.9,6.1,1.4,0.7,0.7,0.2,0.7,0,0,2.6,119.6,46.6,6.4,1.9,0.2,0.2
19001001007,19,001,001007,115.6,63.5,6.6,1.5,0.8,0.8,0.2,0.8,0,0,2.8,129,50.3,6.9,2,0.2,0.2
19001001008,19,001,001008,43.9,24.1,2.5,0.6,0.3,0.3,0.1,0.3,0,0,1.1,49,19.1,2.6,0.8,0.1,0.1
19001001009,19,001,001009,95.9,52.7,5.5,1.3,0.6,0.6,0.2,0.6,0,0,2.3,107.1,41.7,5.7,1.7,0.2,0.2
19001001010,19,001,001010,74.7,23.7,2.9,0.4,0.1,0.3,0,0.1,0.1,0,0.8,76.4,19.7,4,1.5,0.7,0
19001001011,19,001,001011,86.2,27.3,3.3,0.5,0.2,0.3,0,0.2,0.2,0,0.9,88.2,22.8,4.6,1.7,0.8,0
19001001012,19,001,001012,79.9,29.3,3.4,0,0.4,0.3,0.3,0.3,0.3,0,1.5,87.9,22.9,3.1,1,0.3,0
19001001013,19,001,001013,35,12.8,1.5,0,0.2,0.1,0.1,0.1,0.1,0,0.6,38.5,10,1.4,0.4,0.1,0
19001001014,19,001,001014,304.6,108.8,12.6,0.3,1.5,1.1,0.9,1,1,0,5.2,330.8,85.9,12.6,4.3,1.4,0
19001001015,19,001,001015,38.8,20.5,2.4,0.1,0.3,0.3,0.2,0.3,0,0,0.4,43.8,15.6,1.8,1,0.2,0.1
19001001016,19,001,001016,65.7,36.1,4.1,0.3,0.3,0.3,0.2,0.3,0,0,0.7,74.7,27.9,2.5,1.5,0.2,0.1
19001001017,19,001,001017,488,285.9,30.6,4.7,0.2,0.2,0.2,1.2,0,0,7.8,557.9,226.5,16.6,8.5,1.1,0.1
19001001018,19,001,001018,132.5,69.5,8.2,0.2,0.9,0.9,0.6,0.9,0,0,1.1,149.7,52.6,5.7,3.5,0.6,0.3
19001001019,19,001,001019,71.6,37.4,4.5,0,0.5,0.5,0.3,0.5,0,0,0.5,81,28.1,3,2,0.3,0.2
19001001020,19,001,001020,137.6,71.8,8.6,0,0.9,0.9,0.6,0.9,0,0,0.9,155.7,54,5.7,3.8,0.6,0.3
19001001021,19,001,001021,85.3,31.3,3.6,0,0.5,0.3,0.3,0.3,0.3,0,1.6,93.9,24.4,3.3,1.1,0.3,0
19001001022,19,001,001022,99.8,36.6,4.2,0,0.6,0.4,0.4,0.4,0.4,0,1.8,109.9,28.6,3.9,1.3,0.4,0
19003003001,19,003,003001,34.5,12.7,1.6,0.2,0.2,0,0,0.1,0,0,0.3,36.7,10.5,1.1,0.4,0.3,0
19003003002,19,003,003002,51.3,18.8,2.3,0.3,0.3,0,0,0.2,0,0,0.5,54.6,15.7,1.7,0.7,0.5,0
19003003003,19,003,003003,51.9,19,2.4,0.3,0.3,0,0,0.2,0,0,0.5,55.3,15.8,1.7,0.7,0.5,0
19003003004,19,003,003004,49.8,17.2,2.2,0.2,0.4,0,0,0.1,0,0,0.5,52.6,14.6,1.6,0.5,0.4,0
19003003005,19,003,003005,108.9,29.4,4.2,0,1.4,0,0.3,0,0,0,1,112.1,27.3,3.1,0.3,0.3,0
19003003006,19,003,003006,129.2,61.9,12.4,0.5,1.2,0,0.1,0.9,0,0,1.2,139.2,50.8,5.7,4.4,0.1,0.4
19003003007,19,003,003007,158.5,73.7,10.2,2.6,0.3,0,0,1.1,0,0,3.9,174.7,57.1,8.6,2.7,1.6,0
19003003008,19,003,003008,290.6,138.8,27.1,2,3.3,0.5,0,1.8,0.5,0,5.6,325.8,106.1,14.2,8.3,1.5,0.5
19003003009,19,003,003009,51.7,20.9,2.6,0.6,0.2,0,0,0.2,0,0,0.8,55.8,16.9,2.1,0.7,0.5,0
19003003010,19,003,003010,54.8,25.3,3.2,1,0,0,0,0.4,0,0,1.4,60.3,19.6,3,0.8,0.6,0
