GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRREY,G18GOVDHUB,G18GOVLPOR,G18GOVOSIE,G18GOVOWRI,G18ATGDMIL,G18ATGLBAT,G18ATGOWRI,G18SOSRPAT,G18SOSDDEJ,G18SOSLOFE,G18SOSOWRI,G18TRERDAV,G18TREDFIT,G18TRELHIR,G18TREOWRI,G18AUDRMOS,G18AUDDSAN,G18AUDLPER,G18AUDOWRI,G18AGRRNAI,G18AGRDGAN,G18AGRLSTE,G18AGROWRI
19071071010,19,071,071010,132.44,74.76,1.79,1.49,0.24,118.71,47.75,1.51,136.17,63.41,4.01,0.25,118.32,81.25,4.71,0.25,126.06,72.53,5.24,0.25,128.29,68.75,5.8,0.25
19071071011,19,071,071011,160.37,90.7,2.1,1.8,0.3,143.86,57.66,1.8,164.88,76.88,4.81,0.3,143.25,98.51,5.71,0.3,152.56,87.99,6.31,0.3,155.27,83.49,6.91,0.3
19071071012,19,071,071012,244.71,138.39,3.21,2.75,0.46,219.5,87.98,2.75,251.58,117.31,7.33,0.46,218.59,150.31,8.71,0.46,232.79,134.27,9.62,0.46,236.92,127.39,10.54,0.46
19071071013,19,071,071013,155.55,66.72,3.27,2.46,0,124.85,57.31,0.41,151.04,67.13,6.55,0,138.76,79,4.5,0,144.49,70.81,5.73,0.41,137.94,78.18,6.96,0.41
19071071014,19,071,071014,222.83,95.58,4.69,3.52,0,178.85,82.09,0.59,216.38,96.17,9.38,0,198.79,113.17,6.45,0,206.99,101.45,8.21,0.59,197.61,112,9.97,0.59
19071071015,19,071,071015,73.78,28.56,2.38,0.95,0,60.45,23.8,0,72.35,25.23,2.86,0,61.88,35.7,2.86,0,69.02,26.65,3.81,0,67.59,28.08,5.71,0
19071071016,19,071,071016,47.77,25.12,1.29,0.52,0,41.69,19.03,0.78,49.33,21.75,1.94,0.13,42.98,27.97,1.68,0.13,46.35,24.34,2.33,0.13,47.13,22.14,3.37,0.13
19073073001,19,073,073001,102.97,60.7,2.22,0.32,0.32,108.37,30.83,0,103.28,51.8,3.81,0.32,76.59,80.4,2.22,0.32,82.31,75,2.86,0.32,98.2,61.97,1.59,0
19073073002,19,073,073002,104.57,61.64,2.26,0.32,0.32,110.05,31.31,0,104.89,52.61,3.87,0.32,77.78,81.65,2.26,0.32,83.59,76.17,2.9,0.32,99.73,62.93,1.61,0
19073073003,19,073,073003,55.83,32.91,1.21,0.17,0.17,58.76,16.71,0,56,28.09,2.07,0.17,41.53,43.6,1.21,0.17,44.63,40.67,1.55,0.17,53.25,33.6,0.86,0
