GEOID20,STATEFP,COUNTYFP,DISTRICT,G18USSDCAR,G18USSRARL,G18USSGTHE,G18USSLFRO,G18HALDROC,G18HALRWAL,G18ATGDJEN,G18ATGRPEP,G18TREDDAV,G18TRERSIM,G18TREGCHA,G18AUDDMCG,G18AUDRSPA
10003014-12,10,003,014-12,467.1,252.2,7.1,7.3,488.1,227.2,486,237.3,332.1,389.9,4.4,389.9,328.5
10003014-13,10,003,014-13,2.2,0.6,0,0,2.2,0.6,2.2,0.6,2.1,0.6,0.1,2.2,0.6
10003015-04,10,003,015-04,241.2,137.2,1,3,249.3,129.1,239.3,144.1,156.2,220.2,5,195.2,185.2
10003016-04,10,003,016-04,59,14,0,1,61,12,57,16,54,19,1,53,20
10005001-14,10,005,001-14,1422.3,1053.6,19,18.8,1465.4,975.3,1461,1008.6,1153.1,1301.4,20.1,1388.4,1059.6
10005001-20,10,005,001-20,579,369,16,13,620,313,582,371,495,444,12,558,387
10005001-35,10,005,001-35,560,1293,14,30,679,1071,632,1224,486,1366,27,588,1273
10005001-36,10,005,001-36,579.9,571.1,9.7,24.3,628.2,515,596.7,555.9,473,659.1,26.4,581.6,572
10005001-37,10,005,001-37,492,451,5,5,524,376,518,403,401,505,26,486,430
10005001-38,10,005,001-38,638.2,1191.4,9.2,13.2,701.8,1069.6,721.5,1095.7,552.5,1256.5,19.4,671,1138.3
10005001-39,10,005,001-39,344.2,760.1,5,14,376.4,666.7,370.3,718,282.8,797.4,18.1,347.1,737.1
10005001-40,10,005,001-40,290.3,490.8,4.2,4.2,332.1,414.5,327.7,438.5,269.9,504,12.3,305.3,463.8
10005001-41,10,005,001-41,308,978,10,12,393,836,366,908,238,1033,22,316,963
10005002-14,10,005,002-14,1136,914,18,9,1211,805,1200,834,952,1066,25,1140,897
10005002-20,10,005,002-20,1060,1152,12,23,1136,1030,1119,1076,902,1272,27,1064,1113
10005002-35,10,005,002-35,794.8,1292.7,14.4,11.3,862.1,1168.3,856.7,1215.1,704.2,1357.8,16.5,807.3,1253.8
10005002-36,10,005,002-36,402.7,832.5,10.1,18.2,509.1,656,455.8,779.4,313.6,913.4,20.3,420.7,817.5
10005002-37,10,005,002-37,372,645,5,5,442,515,398,604,287,710,5,365,637
10005002-38,10,005,002-38,954,1369.7,9.6,11.3,992.8,1244.1,996.6,1288.3,830.3,1460,18.3,967.8,1328.6
10005002-39,10,005,002-39,680.1,759.5,13.3,14.1,724.2,663.7,697.8,727.6,559.3,843.1,31.1,666.1,754.4
10005002-40,10,005,002-40,375,1098,6,6,450,929,446,1012,293,1149,22,370,1080
10005002-41,10,005,002-41,756,1088,4,11,850,942,814,1009,680,1142,24,765,1050
10005003-14,10,005,003-14,1358.4,800.7,14.2,15.2,1384.3,756.6,1379,763.4,1083.3,1053.3,21.3,1320.7,817.2
10005003-20,10,005,003-20,1011.8,1124.8,21.4,19.1,1074.8,1020.8,1024.8,1104.7,815.4,1306.1,27.3,988.7,1127.9
10005003-35,10,005,003-35,254.5,284.5,4.6,2.6,267.2,254,260.6,273.2,220.2,302.4,14.5,246,284.4
10005003-36,10,005,003-36,730.5,846.4,11,12.3,789.6,720.1,754.4,813.5,583.4,967.4,22.2,702.9,862.1
10005003-37,10,005,003-37,861,1207,13,19,958,1075,933,1125,765,1300,23,902,1160
10005003-38,10,005,003-38,860.4,1107.4,20.2,13.5,899.8,1031.5,896.9,1034.4,735.4,1209.3,17.3,839.2,1110.3
10005003-39,10,005,003-39,301.4,449.3,5.7,4.9,324.1,388.3,313.6,432.2,231.5,505.3,13.8,279.5,462.3
10005003-40,10,005,003-40,363.4,239.4,4.8,5.8,386.5,206.7,374,230.7,335.5,253.8,10.6,372,230.7
10005003-41,10,005,003-41,380.3,405.2,10,8,431.1,342.5,408.2,357.4,328.6,428.1,18.9,384.3,377.4
10005004-14,10,005,004-14,1210.1,915.1,22.7,26.3,1278.2,829.8,1292.8,843.4,1048.6,1073.1,20.9,1216.5,907.8
10005004-20,10,005,004-20,1082,1159,8,15,1156,1027,1135,1084,913,1288,24,1108,1107
10005004-35,10,005,004-35,555.8,603.1,13.8,10.9,623.9,492.6,569.6,559.7,493.6,654.5,15.8,561.7,584.4
10005004-36,10,005,004-36,342,368,18,8,390,312,358,362,308,402,19,341,379
10005004-37,10,005,004-37,840.4,956.1,11.9,17.8,893.8,883.9,891.8,881.9,760.3,1013.4,17.8,881.9,901.7
10005004-38,10,005,004-38,901.7,896.9,6.2,13.2,913.4,838.4,898.5,860.3,754.3,1011.7,13.4,856,897.1
10005004-39,10,005,004-39,486,418.6,8.9,11.9,507.9,377.9,477.1,415.6,396.6,483.3,15.9,448.3,440.5
10005004-40,10,005,004-40,340.7,783.3,4.4,9.4,376.5,711.4,375.8,738.4,274,837.7,10.5,341.8,774.2
10005004-41,10,005,004-41,327.7,513.8,6,7,391.9,439.5,372.8,464.6,296.4,541.9,10.1,345.7,490.6
10005005-14,10,005,005-14,1087.5,1106.2,17,15.9,1138.2,1020.9,1144.2,1027,960.4,1204.8,27,1112.7,1058.1
10005005-20,10,005,005-20,1571.4,1323.7,30,15,1673.3,1176.8,1645.3,1230.8,1312.7,1560.4,35,1613.4,1258.7
10005005-35,10,005,005-35,114.2,283.9,1.2,2.1,144.1,233.4,137.4,255.3,99.4,292.5,2.2,131.3,261.6
10005005-36,10,005,005-36,419.7,652.4,14.1,8.4,505.1,532,469.6,599.2,353.6,715.5,15.5,428,649.8
10005005-37,10,005,005-37,758.2,917.4,16,4,806.3,833.3,805.3,853.2,669,982.6,22,757.3,896.3
10005005-38,10,005,005-38,527.8,747.3,8.8,8.5,524.1,725.3,548.5,717.2,423.1,845,7,500.3,756.9
10005005-39,10,005,005-39,297.8,613.9,10.7,9.8,346.6,532.5,328.9,589.3,213.6,697.9,11.8,292.9,619.6
10005005-40,10,005,005-40,236.1,403,3,2,256.1,361,258.1,373,197.1,428,2,223.1,398
10005005-41,10,005,005-41,813.4,832.2,12.9,8.9,891.8,709.1,860,782.6,730.9,892.8,26.8,831.2,796.5
10005006-14,10,005,006-14,959.4,598.8,10.4,9.7,986.8,560.4,973.2,574.1,755.1,793,18.1,957.9,598.3
10005006-20,10,005,006-20,723.2,660.2,14.3,14.2,777.4,583.5,753.3,636.6,546.5,836.8,11.6,690.8,690.5
10005006-35,10,005,006-35,142,349,3,7,160,283,157,325,121,364,5,138,342
10005006-36,10,005,006-36,452,582,9,10,521,479,482,544,420,605,11,464,554
10005006-37,10,005,006-37,390.5,551.3,4.2,15.2,418.1,515.5,422.1,522.5,349.9,577.6,12.2,401.8,538.8
10005006-38,10,005,006-38,741.7,1355.4,18.6,8.8,784.7,1260.6,827.7,1256.7,686,1386.7,13.7,784.7,1292.9
10005006-39,10,005,006-39,441.8,701.9,7.9,11.9,479.4,604,459.5,664.4,359.4,769.3,10.9,433.7,689.2
10005006-40,10,005,006-40,259.8,742.8,7.1,7.2,277.1,702.5,312.2,686.4,231.1,751.4,16.2,260.8,734.8
10005006-41,10,005,006-41,306.7,498.6,4.8,4.8,337.2,446.2,332.4,467.2,256.3,539.5,6.7,322.9,478.6
10005007-14,10,005,007-14,765.3,457.4,14.9,9.9,790.5,423.4,798.1,424.1,552.2,661.4,13.2,741,459.6
10005007-20,10,005,007-20,1192.2,669,20.7,17,1250.4,592.3,1212.1,642,940.2,902.1,27.2,1128.8,703.9
10005007-35,10,005,007-35,342,530,8,7,390,439,358,503,290,565,19,331,533
10005007-36,10,005,007-36,334.2,277.6,11.2,3.3,364.5,249.1,333,278.1,297.6,314.1,9.9,331.5,284.2
10005007-37,10,005,007-37,455,719.3,4,5,488.8,640.8,503.7,662.7,390.4,769,5,469.9,685.5
10005007-38,10,005,007-38,948.4,1326.3,17.6,14.7,997.1,1210.1,1020.8,1245,853.9,1398.3,26.4,956,1290.2
10005007-39,10,005,007-39,356,495,7,9,411,421,378,468,319,521,14,361,485
