GEOID20,STATEFP,COUNTYFP,DISTRICT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20USSDCOO,G20USSRWIT,G20USSLFRO,G20USSITUR,G20HALDROC,G20HALRMUR,G20HALLROG,G20HALIPUR,G20GOVDCAR,G20GOVRMUR,G20GOVLMAC,G20GOVIDEM,G20LTGDHAL,G20LTGRHAL,G20INSDNAV,G20INSRPIL
10003002-03,10,003,002-03,852.96,235.51,3.07,6.76,828.68,191.93,10.66,20.42,805.26,222.07,5.83,13.69,856.56,184.34,7.81,11.71,792.88,224.88,831.6,197.76
10003002-04,10,003,002-04,916.12,470.51,8.32,5.07,969.07,398.73,11.35,20.28,843.98,521.06,11.14,13.24,952.97,429.16,9.16,9.28,873.72,497.04,880.98,491.65
10003002-05,10,003,002-05,476.38,214.67,4.9,6.86,472.46,184.28,11.76,8.82,460.7,195.06,2.94,15.68,463.64,194.08,7.84,14.7,463.64,198.98,484.23,184.28
10003002-06,10,003,002-06,870,520,11,5,910,443,16,15,828,526,7,20,913,449,10,13,845,511,846,517
10003002-07,10,003,002-07,960,494,16,8,970,452,16,17,931,499,11,12,976,465,10,8,928,510,943,493
10003002-08,10,003,002-08,1024.2,530.76,14.3,6.08,1032.37,484.49,12.3,24.31,1006.07,503.67,8.21,26.35,1030.33,488.51,8.2,25.32,1034.12,507.04,1022.57,504.45
10003002-09,10,003,002-09,851,479,12,6,852,431,10,24,816,472,8,19,844,458,8,15,834,477,851,459
10003002-10,10,003,002-10,725.78,409.14,8.58,6.68,723.87,385.3,8.58,12.4,697.16,416.77,5.72,9.54,730.54,389.12,4.77,7.63,719.1,404.37,690.49,427.26
10003002-11,10,003,002-11,1118,662,18,7,1112,603,26,34,1093,632,18,21,1115,624,10,20,1124,633,1161,577
10003002-12,10,003,002-12,725,356,9,5,723,332,11,15,683,374,6,12,721,342,7,13,698,364,705,363
10003002-13,10,003,002-13,513,279,21,3,513,252,12,21,484,275,15,19,513,262,10,20,505,289,528,267
10003002-15,10,003,002-15,1086.46,654.87,16.94,7.97,1086.46,593.07,15.95,21.93,1054.57,620.98,8.97,27.91,1099.42,588.08,9.97,21.93,1056.56,631.94,1103.41,599.05
10003002-16,10,003,002-16,834.13,129.43,4.29,4.29,762.38,120.81,10.4,18.07,767.74,117.41,11.16,15.47,766.09,114.82,10.33,29.2,749.46,140.73,770.14,119.24
10003002-17,10,003,002-17,1553,210,8,7,1494,181,20,18,1481,189,10,21,1491,190,9,19,1452,218,1470,199
10003002-18,10,003,002-18,747.9,277.79,7.77,10.68,724.59,254.48,10.68,19.43,680.88,284.59,7.77,25.25,722.64,257.39,7.77,18.45,715.85,272.93,716.82,272.93
10003002-19,10,003,002-19,526.65,334.61,9.7,4.85,515.01,298.73,13.58,19.4,490.76,316.18,7.76,18.43,518.89,300.67,4.85,15.52,513.07,299.7,547.02,271.57
