GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PREGSTE,G16PRELJOH,G16HALDROC,G16HALRREI,G16HALGPER,G16HALLGES,G16GOVDCAR,G16GOVRBON,G16GOVGGRO,G16GOVLGOW,G16LTGDHAL,G16LTGRGUN,G16INSDNAV,G16INSRCRA
10001001-28,10,001,001-28,522.2,235.3,18.8,28.1,517.5,195,25.3,10.3,544.7,188.4,14.1,8.4,541,206.3,546.6,190.3
10001001-29,10,001,001-29,2165.8,2858.9,73.9,198.3,2248,2574.7,122.9,96.5,2574.3,2438.2,62.1,58.2,2719.2,2301.9,2483,2491.2
10001001-30,10,001,001-30,895.1,1580.8,37.1,98.4,930.1,1486.2,55.1,36.9,1027,1468,35,19.7,1143.8,1337.3,963.3,1508
10001001-31,10,001,001-31,49,77.6,1,4,47.5,77.8,1.8,1.2,54.5,72.4,1.5,0.8,60.7,65.9,51.1,73
10001001-32,10,001,001-32,1151.8,592.7,34.6,74.1,1109.5,550.2,44.5,32.9,1128.8,586.4,26.7,20.9,1107.7,612.2,1172.1,549.1
10001001-33,10,001,001-33,184,182,5,15,187,183,3,5,187,188,2,4,205,171,189,185
10001001-34,10,001,001-34,205.3,187,7.2,19.8,196.6,196.7,3.8,7.4,206.7,194.8,4.2,4.8,227,178.4,214.6,185.7
10001002-28,10,001,002-28,807.5,770.7,27.1,59.9,829.7,683.4,50.9,28.7,935.2,627.1,27.7,30.4,988.9,604.4,897.9,667.9
10001002-29,10,001,002-29,2146.8,1660.3,53.7,114.8,2083.4,1563.3,75.8,47.6,2228.9,1541.6,34.6,34.9,2253,1507.7,2196.7,1522.7
10001002-30,10,001,002-30,114.9,172.9,4,11.8,113.8,163.1,4.7,5.9,134.8,157.9,2.9,2.5,126.3,159.4,122.4,162.6
10001002-31,10,001,002-31,929.1,596.3,25.1,63.6,929.7,593.3,26.3,27.4,961.6,594.6,18.8,17.6,956.7,613.7,930.5,606.3
10001002-32,10,001,002-32,764.9,515.5,26.2,50.5,724.7,526.3,24.7,23.3,758.7,533.4,18.4,15.4,787.1,505.3,762.9,506.4
10001002-33,10,001,002-33,890.3,1029.4,21.5,88.8,877.3,1031.9,31.6,34.6,914.7,1051.1,12.5,23.6,970.3,994.9,911,1033.3
10001002-34,10,001,002-34,71.7,216.3,3.9,18.6,69.3,220.3,2.8,6.9,97.3,200.9,2.9,4,119.8,177.4,86.8,209.9
10001003-28,10,001,003-28,234.8,245.1,7.9,21.7,242.8,218,14.5,8,274.4,203.2,7.6,6,297.2,186.7,264.3,214.6
10001003-29,10,001,003-29,297.7,483.9,9.2,25.7,297.9,466,15.6,10.4,338.4,443.7,9.5,5.3,377,404.6,317.4,450.4
10001003-30,10,001,003-30,332.6,1261.7,24.7,49.6,396.4,1132.4,33.5,25.6,471.2,1122.6,20.8,19.8,606.9,980.8,432.1,1141.9
10001003-31,10,001,003-31,1249,834,34,82,1185,894,32,29,1276,846,22,24,1303,834,1242,862
10001003-32,10,001,003-32,571.3,421.3,15.7,40.6,534.2,433.5,15.7,13.8,567,432.2,7,10.1,583.7,416.1,565.2,423.5
10001003-33,10,001,003-33,506.5,830.1,15.6,69.4,515.3,819.4,25.4,12.7,543.6,837.9,9.8,12.7,623.8,726.5,548.5,803.7
10001003-34,10,001,003-34,1078.3,1438.6,42.5,104.1,1053,1417.9,42.2,35.8,1152.9,1403,23.8,24.4,1220.1,1313.3,1133,1381.4
10001004-28,10,001,004-28,23.9,34.6,0.6,1.8,24.2,30.1,2.4,0.6,30.4,27.7,0,0.6,29.8,26.2,28.9,27.4
10001004-29,10,001,004-29,270.6,428.3,5.7,22.2,261.8,429.4,9.8,6.7,300.6,399.4,8.3,4.7,334.7,363.7,281.9,402.5
10001004-30,10,001,004-30,182.9,548.4,8,22.5,207.1,490.2,17.1,11.2,248.1,474.3,10.8,7.7,285.3,431.7,221,496.1
10001004-31,10,001,004-31,645.4,340.1,19,55.7,596.7,359.8,27,13.3,609,377.5,16.7,12.3,628.7,370.2,630.4,350.5
10001004-32,10,001,004-32,216.6,87.8,3.6,11.1,201.8,91.7,5.2,3.6,204,99,0,2.2,194.4,99.8,203.9,83.6
10001004-33,10,001,004-33,668.4,1134.7,19.8,96.4,704.7,1094.2,27.3,28.3,753.1,1101.3,16.5,17.6,876.5,972.1,737.5,1082.9
10001004-34,10,001,004-34,1368.7,1497.6,44.4,136.8,1304.7,1484.6,54.5,56.8,1450.3,1437.2,29.7,41.9,1524.2,1360.9,1418.2,1430.6
10001005-28,10,001,005-28,1580.7,1253.1,46.1,85.5,1565.7,1102.8,65.9,47.8,1710.8,1069.9,38.6,35.2,1704.8,1080.2,1717.5,1036.7
10001005-29,10,001,005-29,186.9,565.1,11.8,29.8,216.7,508.9,17.7,16,260.4,494,8.6,9.9,311.1,441.4,230.3,516
10001005-30,10,001,005-30,608.1,1023.6,34,61.5,656.9,909.8,39.9,25.8,702.9,924.7,28.2,18.3,792.7,841.3,667,937.9
10001005-31,10,001,005-31,723,374,22,62,698,403,18,14,746,396,14,10,748,381,719,398
10001005-32,10,001,005-32,303.5,275.9,9.3,27.3,290.8,286.7,10.7,5.7,306.3,282.5,7.6,7,332.8,257.7,309.4,269.7
10001005-33,10,001,005-33,328.6,722.2,6.6,32.4,349.9,653.5,24.7,17.9,368.4,680.3,12.1,7.5,442.5,595,379.4,642.2
10001005-34,10,001,005-34,288.5,465.5,6.3,53.7,291.3,496.2,10.9,8.4,303.4,498.4,9.8,10,385.7,409.5,304.7,480.1
10001006-28,10,001,006-28,371.8,441.9,9.9,22.1,384,403,14.5,5.4,443.4,370.3,7.6,6.8,458,349.7,422.3,366.3
10001006-29,10,001,006-29,245.8,726.3,10.1,45.5,238.7,723.9,15.5,12.2,306.8,682.7,7.7,11.7,373.3,606.4,283.8,693.9
10001006-30,10,001,006-30,432.9,971,16.9,54.3,480.5,889.6,18.9,24.7,516.3,896.4,12.9,16.8,606.3,806.4,484.4,913.4
10001006-31,10,001,006-31,770.9,272,27.3,37.4,754.6,259.8,18.3,18.7,783,259.2,16.6,14.7,723.6,330.6,767.3,277.9
10001006-32,10,001,006-32,130.5,25.5,4,4.8,126.4,23,4.8,2.5,123.6,30,2.8,1.5,107.3,47.6,126.7,28.1
10001006-33,10,001,006-33,799,1206.4,18.9,68,812.3,1136.2,28.5,28.1,869,1146.9,21.7,14.2,953.5,1042.1,810.2,1173.9
10001006-34,10,001,006-34,850.9,873.9,20.2,77.7,807.4,879.5,34,31.4,872.7,862.5,19.2,27.4,898.9,839.4,865.7,858.1
10001007-28,10,001,007-28,58.2,52.8,1.6,4.2,58.3,49.3,1.2,2,63,48.4,0.9,1.1,64.4,45,63.3,46.6
10001007-29,10,001,007-29,438,748.9,11.9,53.4,392.3,787.7,25.4,9.8,504.4,712,13,11.8,553.2,658,466.6,734.5
10001007-30,10,001,007-30,305,1079,17,43,349,981,32,22,423,981,17,9,466,917,364,1016
10001007-31,10,001,007-31,768.3,297.8,17.7,37.7,745.9,298,16.7,15.1,762.9,298.2,17.9,11.8,734.1,331.7,752.3,290.4
10001007-32,10,001,007-32,18.3,36.5,0,2.7,18,35,1.5,0.6,19.5,34.7,0.9,0.6,23.1,31.7,19.2,35.6
10001007-33,10,001,007-33,572.1,528.9,16.9,47.9,555.8,499.8,32,19.4,607.8,505.3,9.9,13.5,620.7,487.9,573.6,522.2
10001007-34,10,001,007-34,827.2,769.4,25.8,69.2,782.7,790,32.5,23,822.1,780.8,17.8,19.9,879.3,731.9,801,793.4
10001008-28,10,001,008-28,275.6,392.2,6.5,22.4,275.4,358.2,10.2,13,325.2,334.9,6,5.9,352.3,299,307.2,335.7
10001008-32,10,001,008-32,15.3,19.8,0.2,1.6,15,18.9,1,0.4,15.6,19.1,0.6,0.3,16.7,18.2,15.7,19.4
10001008-33,10,001,008-33,130,138.1,3.9,11.8,128.7,130.3,7.1,4.8,139.3,131.2,3.2,2.9,144.6,126,130.2,137.2
10001008-34,10,001,008-34,507.8,581.6,9.9,44.8,491.5,582.3,20.7,21.9,517.3,587.4,8.9,13.3,564.8,540,514.3,577.6
10001009-08,10,001,009-08,304.5,374.9,9.6,31.3,316.9,336.3,14.8,16.2,360.7,317.6,9.7,9.1,389.5,295.4,355,320.4
10001009-28,10,001,009-28,97,90.5,1.8,4.7,95.2,79.2,4.7,1.5,100.8,82.1,1.8,0.9,102.5,78.6,97,80.6
10001009-32,10,001,009-32,573,515.6,21.9,62.4,552.8,532.8,24.5,22.5,591.2,522.1,11.2,16.6,620.7,501.8,567.8,533.5
10001009-34,10,001,009-34,96.7,119.3,1.8,8.1,92.6,119.9,3.8,4.4,97.5,121.8,1.6,2.2,107.1,111.1,96.4,119.9
10001010-08,10,001,010-08,312.2,264.3,10.9,33.4,322.5,235.8,17.6,12.2,350.5,225.4,10.3,8.5,382.7,204.2,347.4,235.1
10001010-28,10,001,010-28,60.6,22.9,2,6.3,55.3,28.2,3,2.6,56,27.5,1.3,3.6,59.3,27.8,61.6,25.5
