GEOID20,STATEFP,COUNTYFP,DISTRICT,G16PREDCLI,G16PRERTRU,G16PREGSTE,G16PRELJOH,G16HALDROC,G16HALRREI,G16HALGPER,G16HALLGES,G16GOVDCAR,G16GOVRBON,G16GOVGGRO,G16GOVLGOW,G16LTGDHAL,G16LTGRGUN,G16INSDNAV,G16INSRCRA
10001010-32,10,001,010-32,20.4,32.7,0.6,4.4,21.4,32.2,1.6,0.7,25.3,30.2,1.3,0.9,28.4,27.3,23.4,33.1
10001010-34,10,001,010-34,139.1,457.3,9.2,32.9,157.6,428.9,16.5,9.1,186.1,421.9,9.8,6.6,248,358.7,173.5,430.8
10001011-08,10,001,011-08,25.2,21.3,0.9,2.7,26,19,1.4,1,28.3,18.2,0.8,0.7,30.9,16.4,28,19
10001011-28,10,001,011-28,507,169,11,16,475,162,16,9,480,169,12,11,446,209,482,167
10001012-08,10,001,012-08,44.7,33.3,1,3.2,44.2,30.2,1.6,1.3,48.6,28,1,0.9,49.3,28.1,49.2,27.8
10001012-28,10,001,012-28,196.2,97.8,3,13,184.4,95.4,7.7,4.4,193,95.3,5.4,4.2,190.1,101.2,198.3,94.6
10001013-28,10,001,013-28,132.4,185.5,2.1,18.6,135.6,175.4,7.9,3.7,158.8,163.6,5.5,3.5,173.2,148,147.6,175
10001014-28,10,001,014-28,788.5,539,23,56.7,787.5,498.9,29.4,32.7,822.9,513.5,15.4,21.1,816.7,510.6,813.5,515
10003001-01,10,003,001-01,681.5,68.2,8,12,663.5,64.2,13,9,649.6,65.2,13,5,528.6,192.2,636.5,81.2
10003001-02,10,003,001-02,1171.1,21.9,8,9,1004.6,16.9,17.9,11,991.7,20.9,10,5,867.1,148.5,952.8,51.8
10003001-03,10,003,001-03,633,41,9,6,547,28,12,16,539,36,19,8,482,83,537,55
10003001-04,10,003,001-04,931.1,365,18.7,47.4,913.4,374.8,14.8,16.8,1001.2,318.6,11.8,13.8,942,354.1,919.3,374.8
10003001-05,10,003,001-05,1064.8,313.1,14.2,32.5,1041.5,236.2,25.4,9.3,1046.8,246.2,20.4,9.2,1003.5,305.8,1089.2,227.2
10003001-06,10,003,001-06,488,308,15,20,470,281,21,13,485,273,22,11,488,293,496,281
10003001-07,10,003,001-07,659,465,25,50,640,409,34,32,685,422,25,17,682,424,715,391
10003001-08,10,003,001-08,319,599,12,46,343,549,22,14,408,522,8,9,464,487,475,455
10003001-09,10,003,001-09,621,789,21.5,56.9,663.7,686,27.6,24.2,728.1,664.9,12.9,14.8,796.6,614.9,840.8,567.9
10003001-10,10,003,001-10,770.3,615,16,50,738.6,574.6,25.9,27.2,812.6,545.5,21.9,15.2,780.2,576.5,791.4,575.1
10003001-11,10,003,001-11,498,581,12,60,524,519,20,23,596,480,12,23,640,470,628,457
10003001-12,10,003,001-12,731,448,20,66,708,481,27,27,788,433,20,18,761,464,736,495
10003001-13,10,003,001-13,643.3,469.7,16.2,50.2,677.3,386.2,27.3,26.1,676.5,420.2,19.1,18.1,688.4,412.4,739.8,378
10003001-15,10,003,001-15,701.1,595.7,16.1,56.2,723.3,496.9,33.5,35.8,792.5,480.9,21.7,25.6,838.2,453.9,879.5,422.6
10003001-16,10,003,001-16,693.4,366.7,14.9,39.6,701.1,284.5,27.8,22.1,741.1,267.8,18.9,19,699.1,317.9,776.2,262.7
10003001-17,10,003,001-17,495.5,240.8,18.7,25.1,501.7,191.8,26.4,19,512.2,190.6,25.1,13.8,516.5,212.9,547.8,192.5
10003001-18,10,003,001-18,782.3,321.8,27.6,33.2,762,267.5,29.2,18.6,778.2,274,21.1,13,775.8,290.2,801.7,262.6
10003001-19,10,003,001-19,680.4,439.9,24.5,39,687.9,364.2,21.5,20.4,738.1,359,20.5,15.3,695.8,387.4,764.2,335.6
10003001-21,10,003,001-21,334,257,9,24,325,262,11,13,358,248,8,8,352,251,362,242
10003001-22,10,003,001-22,721.8,639.6,16.1,40.5,682.7,663.9,29,19.6,766.3,612.1,17.5,12.1,758.6,620.4,815.9,567.6
10003001-23,10,003,001-23,144,43,7,8,128,44,8,2,131,39,9,3,134,43,134,43
10003001-24,10,003,001-24,726,491,15,64,718,425,36,38,754,432,21,21,765,457,821,392
10003001-25,10,003,001-25,627.3,189.1,26.8,33.5,605.9,204.6,24.3,14.8,612.4,198.3,27.1,10.3,623.1,215.4,633,198.9
10003001-26,10,003,001-26,618,396,15,48,634,352,21,31,655,356,17,21,668,371,696,344
10003001-27,10,003,001-27,1085,525,43,76,1074,526,30,25,1131,481,31,24,1157,510,1222,430
10003002-01,10,003,002-01,1180,45,16,8,1111,40,14,7,1060,54,16,8,930,171,1047,58
10003002-02,10,003,002-02,290,9.2,2.6,0.7,266.4,5.9,1.3,0.7,257.9,7.2,1.3,1.3,221.8,36.8,254.6,11.2
10003002-03,10,003,002-03,814.9,250.2,18.6,30.2,815.9,187.1,23.4,15.6,839.3,189,14.7,8.8,810.6,209.2,851.1,177.5
10003002-04,10,003,002-04,705.5,460.5,8.4,53.7,682,503.6,16.4,8.3,765.8,438,14.3,4.2,686.9,512.6,674.9,522.6
10003002-05,10,003,002-05,486.2,200.9,9.8,24.5,472.5,158.8,20.6,14.7,488.1,159.8,17.6,8.8,471.5,188.2,507.8,160.8
10003002-06,10,003,002-06,703,522,16,45,659,553,19,16,720,525,15,7,701,523,702,530
10003002-07,10,003,002-07,837,478,18,64,768,512,26,31,848,482,16,19,822,506,839,501
10003002-08,10,003,002-08,854.2,575.7,22.5,39.7,829.8,525.1,27.6,15.3,896.1,488,25.3,11.3,923.8,501.1,901,496.7
10003002-09,10,003,002-09,291.6,214.1,6.9,22.5,285.8,208.6,5.6,7.7,309.3,199.9,3.4,5.3,303.8,206.5,318.3,189.3
10003002-10,10,003,002-10,573.2,372.9,26.7,38.1,548.4,370,27.7,14.3,593.2,359.6,25.8,9.5,614.2,349.1,601.8,360.5
10003002-11,10,003,002-11,774,491,21,50,764,463,27,18,837,441,16,15,860,430,877,384
10003002-12,10,003,002-12,570,348,18,50,548,369,14,25,585,346,18,16,578,357,595,345
10003002-13,10,003,002-13,461,317,11,38,482,251,31,19,504,246,15,20,517,249,539,241
10003002-15,10,003,002-15,922,651.9,9,45.9,923,614,14.9,12,935,615,17.9,12,953.9,588.1,1022.7,539.2
10003002-16,10,003,002-16,813.7,114,7,12.1,749.9,79.9,15.5,8.7,744.7,85.8,6.9,11.2,683.4,159.1,747.9,93
10003002-17,10,003,002-17,1409,202,14,18,1336,160,23,14,1325,166,19,11,1198,310,1350,168
10003002-18,10,003,002-18,544.9,243.8,14.6,34,539.1,230.2,18.4,20.4,551.7,231.2,11.7,13.6,555.6,235.1,591.5,205.9
10003002-19,10,003,002-19,455.9,316.2,14.6,28.1,471.4,270.6,13.6,12.6,510.2,259,12.6,8.7,498.5,273.5,538.3,220.2
10003002-21,10,003,002-21,519,453,27,30,562,348,26,14,616,352,13,7,613,346,643,322
10003002-22,10,003,002-22,500,410,12,51,486,440,11,7,554,404,15,5,511,434,554,404
10003002-23,10,003,002-23,722.2,390.4,25.1,71.6,696.2,441.5,29.7,21.4,741.7,425.7,16.7,18.6,767.8,415.5,796.6,388.5
10003002-24,10,003,002-24,715.3,345.8,17.1,40,689.6,297.2,24.8,25.7,708.6,305.8,22.9,25.7,716.3,313.4,764.9,280
10003002-25,10,003,002-25,608.8,381.5,15.1,51.1,592.7,398.5,17.1,18,629.7,394.5,15.1,9,647.7,391.6,664.8,360.5
10003002-26,10,003,002-26,606,189,10,19,574,169,23,5,588,166,16,5,574,199,602,170
10003002-27,10,003,002-27,543,347,14,33,543,308,21,15,577,295,20,14,589,307,631,263
10003003-01,10,003,003-01,765,19,4,1,721,19,8,5,681,24,8,6,588,140,691,35
10003003-02,10,003,003-02,156,23,8,8,149,31,5,5,151,35,5,1,148,42,149,39
10003003-03,10,003,003-03,399,24,6,7,361,30,5,7,340,36,6,6,316,64,340,41
10003003-04,10,003,003-04,824,380,11,54,813,405,13,12,905,349,9,8,863,376,829,393
10003003-05,10,003,003-05,656,141,13,15,637,117,9,14,645,123,6,9,613,161,654,118
10003003-06,10,003,003-06,185,109,4,13,172,129,4,1,188,114,7,2,183,125,177,126
10003003-07,10,003,003-07,672,414,11,44,623,401,16,44,689,383,19,18,657,423,680,408
10003003-08,10,003,003-08,606.1,383.3,17.8,31.7,616,342.7,21.8,11.9,635.8,343.7,4,14.9,680.4,325.8,683.4,311
10003003-09,10,003,003-09,775.4,717.7,25.1,68.3,784.2,688.2,24,28,856.8,641,14.3,22.5,901.5,629.6,953.6,563.5
10003003-10,10,003,003-10,567,461,11,32,540,428,20,13,575,422,17,12,573,430,589,404
10003003-11,10,003,003-11,290,864,15,53,342,763,28,22,423,716,14,14,539,618,455,680
10003003-12,10,003,003-12,513,328,18,44,503,325,13,24,555,307,14,14,543,318,535,325
10003003-13,10,003,003-13,294.4,49.6,3.9,3.9,279.5,33.3,3.4,4,286.6,32,1.1,2.7,259.5,56.1,284.5,35.6
10003003-15,10,003,003-15,932,413,24,27,914,370,23,19,917,398,18,11,891,425,977,355
10003003-16,10,003,003-16,1045.3,51.5,11.1,7,991.4,40.6,5.5,8.4,963,48.5,9.1,2.8,860.9,159.4,960.8,52.5
10003003-17,10,003,003-17,917,276,24,25,916,230,15,20,920,231,13,14,849,323,971,205
10003003-18,10,003,003-18,443,173,11,23,431,156,14,13,438,153,15,8,408,202,450,162
10003003-19,10,003,003-19,545.8,504.3,23.1,38.3,579.9,423.5,34.1,16.2,639.3,403.5,25.1,12.2,635.9,413.8,688.6,369.2
10003003-21,10,003,003-21,661.8,604.2,24.8,51.7,666.8,549.5,32.8,22.9,712.5,549.5,23.9,15.9,713.5,546.5,780,488.9
10003003-22,10,003,003-22,599,523,14,43,554,567,15,13,628,515,12,12,629,504,656,490
10003003-23,10,003,003-23,569,349,23,48,562,347,22,19,593,338,19,18,608,343,626,318
10003003-24,10,003,003-24,501.9,349.4,12.7,26,502.4,297.6,23,10,514.6,309.4,20.9,8.8,539.3,299.9,544.2,291.9
10003003-25,10,003,003-25,650,273,40,52,642,281,38,22,645,290,35,17,665,302,694,272
10003003-26,10,003,003-26,543.9,247.2,12.4,34.9,546.7,220.8,18.5,18.5,554,229.9,8.3,12.3,557.1,241,600,201.2
10003003-27,10,003,003-27,435.7,198.4,10.2,27.1,435,174.3,12.4,13.2,436.4,177.9,13.9,9.5,442.3,198.4,468.7,158.9
10003004-01,10,003,004-01,1013,45,13,12,954,36,11,6,914,42,10,9,844,118,898,57
10003004-02,10,003,004-02,38.8,14.4,0,0.8,35,16.7,0.8,2.3,35,13.7,3,1.5,37.3,16,35,19
10003004-03,10,003,004-03,821,37,6,2,686,27,14,5,679,32,7,6,599,100,658,43
10003004-04,10,003,004-04,422,98,11,14,383,99,9,10,383,91,8,8,361,113,386,98
10003004-05,10,003,004-05,827,134,19,12,784,101,17,13,766,120,17,15,756,156,788,119
10003004-06,10,003,004-06,594,279,18,36,599,279,19,9,603,285,23,6,615,285,629,275
10003004-07,10,003,004-07,1066,476,28,52,1055,412,31,33,1065,416,27,31,1068,444,1094,425
10003004-08,10,003,004-08,762.6,187,18.7,25.6,732.1,171.2,22.6,14.8,740,166.3,15.7,8.9,755.8,184,762.6,165.3
10003004-09,10,003,004-09,337.6,399.8,8.3,34.4,341.4,399.4,11.2,6.3,379.4,374.8,8.2,5.2,392.1,367.5,402.1,357.1
10003004-10,10,003,004-10,859,392,17,44,824,365,19,23,862,349,19,18,834,384,862,363
10003004-11,10,003,004-11,299.8,427.8,11,31,319.8,376.8,10,13,368.8,353.8,6,9,400.8,331.8,394.8,324.8
10003004-12,10,003,004-12,460,415,7,31,417,475,2,6,454,442,5,5,411,475,401,485
10003004-13,10,003,004-13,620.2,490.4,20.2,40.4,667.2,418.6,17.3,19.1,708.3,383.1,23.2,18.1,698.3,413.1,766.8,347.4
10003004-15,10,003,004-15,506.8,305.9,16,36,530.8,283.9,15,8,551.7,266.9,13,8,557.7,277.9,583.7,250.9
10003004-16,10,003,004-16,357.6,141.4,4.6,11.9,341.2,103.2,10.2,10.9,359.1,99.6,7.5,8.2,354.3,108.9,374.9,97.4
10003004-17,10,003,004-17,541.3,329.3,11.7,37.1,539.3,305.8,23.4,16.6,595,276.5,21.5,10.8,576.5,309.7,614.6,280.4
10003004-18,10,003,004-18,1028.6,368.9,18.7,38.9,988.9,348.2,19.2,22.7,1047.9,318.4,16,16.2,985.4,385.9,1055.9,311.9
10003004-19,10,003,004-19,630,468,24,42,626,413,28,17,656,412,21,13,657,415,698,384
10003004-21,10,003,004-21,705,313,19,53,648,337,28,22,674,340,25,21,686,338,709,327
10003004-22,10,003,004-22,482.2,445.4,7.9,46.5,453.3,483.1,14,11.4,521.7,434.9,10.5,7.9,509.4,436.6,533.1,424.4
10003004-23,10,003,004-23,929,432,34,54,899,454,26,23,940,445,26,13,962,440,949,440
10003004-24,10,003,004-24,464.7,155.2,13.9,20,439.4,140.8,17.2,5.3,447.4,144.2,10.1,5.3,437.7,158.6,469.1,123
10003004-25,10,003,004-25,390.6,324.1,8.8,36.9,416.3,278.4,14.4,19.2,432.4,285.6,12,13.6,460.4,276.8,470.1,261.5
10003004-26,10,003,004-26,802,351,12,44,784,320,14,22,836,293,15,14,778,359,838,288
10003004-27,10,003,004-27,883.3,549.5,25.8,59.9,886,496.7,33.5,27.8,906.6,507.1,27.1,17.5,942.7,502.6,985.3,457.1
10003005-01,10,003,005-01,996.5,174.1,25.8,37.2,939.7,182.9,37,11.7,937,175.7,26.8,10.4,884.8,238.3,916.8,200.6
10003005-02,10,003,005-02,576.3,68.6,5.9,14.7,533.2,48,6.9,12.7,538.1,56.8,9.8,3.9,493,113.7,556.7,55.9
10003005-03,10,003,005-03,71,3,2,1,68,2,0,0,61,3,2,0,56,13,54,8
10003005-04,10,003,005-04,157,19,5,5,144,21,3,4,130,24,9,3,133,32,144,24
10003005-05,10,003,005-05,809,109,13,20,768,88,12,12,756,98,15,7,720,155,765,98
10003005-06,10,003,005-06,806.2,248.9,18.5,33.2,805.2,238.1,26.4,9.8,815,241.1,14.6,7.8,784.7,277.2,815,255.7
10003005-07,10,003,005-07,489,113,30,17,483,120,23,8,491,123,25,7,502,117,524,107
10003005-08,10,003,005-08,1132.1,520.8,26.7,60.1,1129.3,510.3,21,20,1171.2,471.2,12.4,12.4,1174.1,512.2,1205.6,446.4
10003005-09,10,003,005-09,836.3,917.2,28.4,73.6,833.3,895,26.3,24.2,934.8,833.6,19.7,18.4,987.2,809.7,1010.5,769.8
10003005-10,10,003,005-10,638,492,16,56,595,538,16,22,674,477,13,15,632,519,656,495
10003005-12,10,003,005-12,746,546,14,55,685,640,14,13,814,538,15,6,738,607,699,642
10003005-13,10,003,005-13,624.7,361.3,16,39,624.7,269.2,42,20,650.7,285.2,30,15,645.7,305.2,713.7,249.2
10003005-15,10,003,005-15,1171.6,486.9,23.6,43,1136.1,451.8,36.5,22.9,1144,466.3,16.2,19.9,1143.1,496.9,1213.9,425.3
10003005-16,10,003,005-16,1070.2,71.1,19,10,1023,55.1,15,7,1007.8,55.1,12,7,926.4,139.6,1008.8,66.2
10003005-17,10,003,005-17,490,331,16,42,511,272,26,20,556,274,10,12,548,275,614,226
10003005-18,10,003,005-18,548,359,14,38,524,305,27,17,564,290,18,13,561,305,596,266
10003005-19,10,003,005-19,526,462,16,28,552,352,23,15,572,359,14,8,568,357,617,324
10003005-21,10,003,005-21,737,622,22,53,738,585,15,28,779,579,13,23,780,578,847,508
10003005-22,10,003,005-22,831,808,24,78,784,864,24,14,877,797,18,14,878,788,895,765
10003005-23,10,003,005-23,690,191,23,57,658,201,42,32,657,225,34,23,687,240,724,205
10003005-24,10,003,005-24,775,444.3,25.7,52.3,755.3,396.9,35.5,22.7,765.1,399.9,30.6,25.7,802.7,393.9,833.3,369.2
10003005-25,10,003,005-25,855,597.3,20.8,64.9,847.9,586.2,25.9,29,902,554.6,24,23.2,927.5,563.2,929.3,543.6
10003005-26,10,003,005-26,945,286,25,34,902,274,36,18,896,289,33,16,901,316,947,274
10003005-27,10,003,005-27,747,512,17,49,743,477,29,15,783,464,23,12,787,471,884,385
10003006-01,10,003,006-01,399,15,6,6,365,13,7,4,361,18,4,3,317,54,360,19
10003006-02,10,003,006-02,516,59,9,19,483,66,12,8,476,66,14,7,455,106,466,84
10003006-03,10,003,006-03,593,27,7,3,518,21,10,4,507,24,8,6,450,64,508,32
10003006-04,10,003,006-04,690,216,18,49,662,243,15,21,703,225,19,7,675,246,657,261
10003006-05,10,003,006-05,871,140,8,21,835,128,12,4,832,132,16,5,796,176,839,126
10003006-06,10,003,006-06,427.1,105,10,12,414.8,83,11,13,415.7,91,7,10,403.4,114.3,420.6,93.1
10003006-07,10,003,006-07,483,261,10,35,473,239,15,14,513,225,13,10,504,235,516,226
10003006-08,10,003,006-08,710.9,670.2,15.3,67.9,740.7,609.7,21,25,819.8,577.8,13.6,15.6,896.9,526.8,908.4,498.6
10003006-09,10,003,006-09,571.9,705.7,22.2,70.2,587.3,659.3,32.2,23.8,663.9,624,19.2,18.1,739.2,582.6,738.2,566
10003006-10,10,003,006-10,646,541,10,57,631,545,20,22,655,546,17,12,665,540,670,540
10003006-12,10,003,006-12,284.4,271.2,3.1,23.3,261.1,296.7,4.1,10.1,299.8,263.3,3.1,9.1,273.3,281.5,259.3,292.6
10003006-13,10,003,006-13,734.9,507.9,24,56,767.9,421.9,48,28,796.8,433.9,36,19,816.8,434.9,851.8,406.9
10003006-15,10,003,006-15,811.1,246,14,50,798.1,224,17,25,809.1,238,14,18,771.1,291,847.1,217
10003006-16,10,003,006-16,696.8,69.1,11.1,12.2,630.7,62,12.3,13.2,625.8,61.1,10.1,11.2,555.1,133.2,610.2,85
10003006-17,10,003,006-17,70.6,83.3,4.1,2.5,76.6,62.5,10.2,3.1,85.7,58.7,5.1,3.1,88.5,60,86,64.6
10003006-18,10,003,006-18,818,239,21,36,797,198,27,22,800,214,23,12,786,247,839,204
10003006-19,10,003,006-19,143,48,6,9,135,43,5,5,134,55,5,2,137,53,145,43
10003006-21,10,003,006-21,768,466,22,52,747,461,25,27,792,431,31,21,768,465,809,441
10003006-22,10,003,006-22,270,271,10,21,275,268,6,8,312,239,4,6,299,255,299,258
10003006-23,10,003,006-23,748.7,512.4,14.9,61.8,713.8,546.3,17,25.9,764.7,530.4,13,15.9,772.6,527.4,805.5,497.5
10003006-24,10,003,006-24,681.2,445.2,20.1,57.4,693.1,393.5,29.2,25.8,725.1,396,23.4,21.5,746.9,401.8,756.9,384.6
10003006-25,10,003,006-25,689.1,370.3,9.7,53.5,684.3,323.7,31.1,22.4,690.1,345,17.5,18.5,718.3,344.1,734.8,318.8
