GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT.x,DISTRICT.y,school,cd_1990,cd_2000,ndv,nrv
15001000306,HI,001,0306,2065,218,204,2,0,1138,90,1,412,1484,127,162,2,0,895,64,1,233,NA,NA,NA,NA,NA,NA,NA,2,2,302.51574778056,240.1965308445254
15001000307,HI,001,0307,1498,146,291,5,6,528,126,3,393,1091,86,240,4,6,448,78,3,226,NA,NA,NA,NA,NA,NA,NA,2,2,222.40207603004782,176.58653312087412
15001000308,HI,001,0308,3221,491,892,15,20,591,310,10,892,2233,244,729,8,14,512,207,7,512,NA,NA,NA,NA,NA,NA,NA,2,2,455.20058274527656,361.4277987707717
15001000401,HI,001,0401,2692,301,1246,27,21,232,256,11,598,1888,175,959,14,15,192,173,8,352,NA,NA,NA,NA,NA,NA,NA,2,2,384.87178693375824,305.5869610744366
15001000402,HI,001,0402,4499,679,1269,29,16,844,452,4,1206,2973,352,1032,20,13,606,282,4,664,NA,NA,NA,NA,NA,NA,NA,2,2,606.0507534714318,481.2023491918962
15001000403,HI,001,0403,6608,969,2085,23,22,1277,607,11,1614,4578,508,1769,18,19,987,396,7,874,NA,NA,NA,NA,NA,NA,NA,2,2,933.2325426815388,740.9836376052812
15001000404,HI,001,0404,2578,225,1180,15,27,469,228,15,419,1919,130,983,13,20,384,146,9,234,NA,NA,NA,NA,NA,NA,NA,2,2,391.19118597769176,310.6045435920783
15001000405,HI,001,0405,2260,217,1046,7,11,249,240,8,482,1798,137,920,7,8,236,172,8,310,NA,NA,NA,NA,NA,NA,NA,2,2,366.52514454814474,291.0197860232187
15001000406,HI,001,0406,1521,92,173,0,4,660,159,6,427,1112,50,154,0,4,541,111,4,248,NA,NA,NA,NA,NA,NA,NA,2,2,226.68295925335764,179.98554063282495
15001000407,HI,001,0407,2012,120,536,20,10,541,257,6,522,1449,64,465,12,8,433,174,4,289,NA,NA,NA,NA,NA,NA,NA,2,2,295.38094240837694,234.53151832460733
15001000408,HI,001,0408,2189,183,1205,16,21,135,228,15,386,1652,93,1042,10,16,113,156,12,210,NA,NA,NA,NA,NA,NA,NA,2,2,336.76281356703845,267.388590940132
15001000409,HI,001,0409,1727,221,567,20,5,337,223,3,351,1195,104,458,8,4,280,136,3,202,NA,NA,NA,NA,NA,NA,NA,2,2,243.60264056453448,193.41971318005918
15001000410,HI,001,0410,635,34,419,6,5,15,77,10,69,502,20,349,6,5,11,56,5,50,NA,NA,NA,NA,NA,NA,NA,2,2,102.33349419531072,81.25246528568177
15001000411,HI,001,0411,3657,576,896,10,11,576,485,2,1101,2506,311,762,8,9,482,302,2,630,NA,NA,NA,NA,NA,NA,NA,2,2,510.8520646483041,405.6148964261325
15001000501,HI,001,0501,662,38,307,2,2,30,116,4,163,483,22,262,2,1,26,76,2,92,NA,NA,NA,NA,NA,NA,NA,2,2,98.46031413612566,78.17717277486912
15001000502,HI,001,0502,951,53,360,3,2,54,234,0,245,675,31,295,3,1,52,152,0,141,NA,NA,NA,NA,NA,NA,NA,2,2,137.59981789210107,109.25381288413385
15001000503,HI,001,0503,1373,46,427,3,12,283,195,6,401,1006,33,350,3,8,247,125,3,237,NA,NA,NA,NA,NA,NA,NA,2,2,205.07469155474618,162.82864557250173
15001000504,HI,001,0504,940,89,331,4,2,121,138,5,250,706,50,281,4,2,108,99,2,160,NA,NA,NA,NA,NA,NA,NA,2,2,143.91921693603462,114.27139540177556
15001000505,HI,001,0505,5238,451,1515,15,15,1695,389,21,1137,3960,256,1263,15,11,1463,276,10,666,NA,NA,NA,NA,NA,NA,NA,2,2,807.2522649669929,640.9557022535852
15001000506,HI,001,0506,2767,224,1333,18,9,475,209,4,495,2135,149,1098,13,8,418,154,1,294,NA,NA,NA,NA,NA,NA,NA,2,2,435.2231277031641,345.56576371500114
15001000507,HI,001,0507,1451,124,571,1,1,326,107,2,319,1120,80,489,1,1,285,75,0,189,NA,NA,NA,NA,NA,NA,NA,2,2,228.3137719098566,181.28040063737765
15001000508,HI,001,0508,4015,252,2348,30,8,515,294,7,561,3192,163,2079,23,7,411,201,7,301,NA,NA,NA,NA,NA,NA,NA,2,2,650.6942499430913,516.6491418165264
15001000509,HI,001,0509,3796,281,1744,16,16,676,417,2,644,3043,173,1576,14,12,565,290,2,411,NA,NA,NA,NA,NA,NA,NA,2,2,620.3203642157979,492.53237423173226
15001000510,HI,001,0510,1226,85,710,6,4,204,32,0,185,934,44,589,3,4,164,27,0,103,NA,NA,NA,NA,NA,NA,NA,2,2,190.39737764625542,151.17490553152743
15001000511,HI,001,0511,612,21,464,1,0,70,16,0,40,524,17,408,1,0,60,12,0,26,NA,NA,NA,NA,NA,NA,NA,2,2,106.8182290006829,84.81333029820169
15001000601,HI,001,0601,5796,515,1968,15,21,1022,778,4,1473,4069,279,1624,8,14,792,527,4,821,NA,NA,NA,NA,NA,NA,NA,2,2,829.4720874117914,658.5981698156157
15001000602,HI,001,0602,4378,442,1812,19,11,585,577,4,928,3263,265,1560,17,10,465,392,3,551,NA,NA,NA,NA,NA,NA,NA,2,2,665.1677122695197,528.1410243569314
15001000603,HI,001,0603,3927,257,1783,17,16,446,420,2,986,2858,148,1460,11,14,368,296,1,560,NA,NA,NA,NA,NA,NA,NA,2,2,582.6078215342591,462.5887366264512
15001000604,HI,001,0604,4920,432,2205,22,10,776,423,6,1046,3480,230,1806,18,10,607,254,2,553,NA,NA,NA,NA,NA,NA,NA,2,2,709.4035055770544,563.2641019804233
15001000605,HI,001,0605,628,37,350,2,1,61,41,0,136,509,23,317,2,1,55,31,0,80,NA,NA,NA,NA,NA,NA,NA,2,2,103.76045526974733,82.38546778966537
15001000606,HI,001,0606,3241,210,1277,3,7,563,409,6,766,2264,99,989,3,6,466,273,4,424,NA,NA,NA,NA,NA,NA,NA,2,2,461.5199817892101,366.4453812884134
15001000607,HI,001,0607,4342,370,1011,16,5,883,745,0,1312,3054,205,840,10,4,701,510,0,784,NA,NA,NA,NA,NA,NA,NA,2,2,622.5627316184839,494.3128067379923
15001ZZZZZZ,HI,001,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,2,0,0
15003001501,HI,003,1501,4705,174,1356,30,11,2231,161,4,738,3505,105,1105,23,9,1756,126,3,378,NA,NA,NA,NA,NA,NA,NA,1,1,671.6501323048616,632.1833149035508
15003001502,HI,003,1502,4400,134,951,11,3,2359,211,6,725,3580,94,839,9,3,2055,148,6,426,NA,NA,NA,NA,NA,NA,NA,1,1,686.0221037521839,645.7107752795184
15003001503,HI,003,1503,3555,116,1499,18,2,1407,98,6,409,2840,68,1284,15,1,1168,73,2,229,NA,NA,NA,NA,NA,NA,NA,1,1,544.2186521386039,512.2398329033051
15003001504,HI,003,1504,3693,93,899,6,0,1944,131,6,614,2955,53,749,5,0,1690,98,5,355,NA,NA,NA,NA,NA,NA,NA,1,1,566.2556750244981,532.981938813122
15003001505,HI,003,1505,3420,131,777,9,5,1734,89,4,671,2541,69,637,8,2,1401,63,2,359,NA,NA,NA,NA,NA,NA,NA,1,1,486.9223926352791,458.31035753778104
15003001601,HI,003,1601,4310,140,1557,14,9,1977,110,3,500,3485,105,1399,14,8,1594,82,3,280,NA,NA,NA,NA,NA,NA,NA,1,1,667.8176065855756,628.575992136626
15003001602,HI,003,1602,3574,145,1269,31,3,1455,133,9,529,2832,92,1082,24,3,1204,105,6,316,NA,NA,NA,NA,NA,NA,NA,1,1,542.6856418508896,510.7969037965352
15003001603,HI,003,1603,3313,129,578,8,3,1683,236,0,676,2637,83,497,8,2,1434,173,0,440,NA,NA,NA,NA,NA,NA,NA,1,1,505.31851608785166,475.62550681901956
15003001604,HI,003,1604,2401,52,544,4,1,1303,126,5,366,1917,34,481,4,1,1094,95,0,208,NA,NA,NA,NA,NA,NA,NA,1,1,367.34759019355766,345.7618872097309
15003001605,HI,003,1605,4588,104,1147,2,8,2545,145,3,634,3643,70,955,2,8,2133,102,1,372,NA,NA,NA,NA,NA,NA,NA,1,1,698.0945597679346,657.0738419953311
15003001606,HI,003,1606,2033,49,333,2,1,1227,148,1,272,1640,31,289,2,1,1043,109,1,164,NA,NA,NA,NA,NA,NA,NA,1,1,314.26710898144734,295.80046688782403
15003001701,HI,003,1701,3130,69,860,6,1,1849,39,9,297,2482,37,749,6,1,1501,29,4,155,NA,NA,NA,NA,NA,NA,NA,1,1,475.6164417633855,447.6687553753532
15003001702,HI,003,1702,2906,72,829,3,0,1557,108,5,332,2403,47,736,3,0,1326,85,5,201,NA,NA,NA,NA,NA,NA,NA,1,1,460.4779651722061,433.4198304460008
15003001703,HI,003,1703,2809,60,1064,3,1,1299,85,1,296,2201,35,937,3,1,1007,61,1,156,NA,NA,NA,NA,NA,NA,NA,1,1,421.76945540741804,396.9858705000614
15003001704,HI,003,1704,3131,61,780,1,1,1879,57,6,346,2589,43,672,1,1,1602,46,2,222,NA,NA,NA,NA,NA,NA,NA,1,1,496.12045436156535,466.9679321784003
15003001705,HI,003,1705,4389,163,736,14,4,2493,244,8,727,3651,104,676,13,4,2162,184,5,503,NA,NA,NA,NA,NA,NA,NA,1,1,699.6275700556489,658.516771102101
15003001706,HI,003,1706,2037,43,680,11,6,897,92,9,299,1720,39,630,11,3,786,74,1,176,NA,NA,NA,NA,NA,NA,NA,1,1,329.5972118585911,310.22975795552276
15003001707,HI,003,1707,2203,60,429,8,1,1317,59,1,328,1762,41,374,6,1,1099,42,0,199,NA,NA,NA,NA,NA,NA,NA,1,1,337.64551586909164,317.80513576606467
15003001801,HI,003,1801,4085,106,931,10,3,2322,197,4,512,3500,80,839,9,3,2057,164,3,345,NA,NA,NA,NA,NA,NA,NA,1,1,670.6920008750401,631.2814842118197
15003001802,HI,003,1802,1507,67,212,2,0,964,60,1,201,1250,42,190,2,0,848,40,0,128,NA,NA,NA,NA,NA,NA,NA,1,1,239.53285745537147,225.45767293279275
15003001803,HI,003,1803,5303,322,518,19,10,2769,696,7,962,3957,170,472,17,9,2289,408,4,588,NA,NA,NA,NA,NA,NA,NA,1,1,758.2652135607239,713.7088094360487
15003001804,HI,003,1804,3080,80,243,2,1,2119,207,1,427,2535,43,214,2,1,1831,149,0,295,NA,NA,NA,NA,NA,NA,NA,1,1,485.7726349194933,457.22816070770364
15003001805,HI,003,1805,4169,173,575,26,9,2540,269,7,570,3522,128,531,25,9,2202,229,4,394,NA,NA,NA,NA,NA,NA,NA,1,1,674.9077791662546,635.2495392554368
15003001806,HI,003,1806,1707,51,221,8,2,993,133,4,295,1436,38,207,7,2,869,96,4,213,NA,NA,NA,NA,NA,NA,NA,1,1,275.1753466447307,259.00577466519223
15003001901,HI,003,1901,2361,71,369,6,0,1466,102,8,339,2000,50,323,4,0,1301,83,6,233,NA,NA,NA,NA,NA,NA,NA,1,1,383.25257192859436,360.73227669246836
15003001902,HI,003,1902,2233,83,1350,13,1,523,46,4,213,2033,68,1286,11,1,462,42,3,160,NA,NA,NA,NA,NA,NA,NA,1,1,389.5762393654161,366.6843592578941
15003001903,HI,003,1903,4731,231,1863,95,14,1835,203,10,480,4174,186,1771,86,13,1612,160,10,336,NA,NA,NA,NA,NA,NA,NA,1,1,799.8481176149763,752.8482614571815
15003001904,HI,003,1904,2254,115,276,8,2,1386,141,2,324,1910,80,256,5,2,1240,105,1,221,NA,NA,NA,NA,NA,NA,NA,1,1,366.0062061918076,344.4993242413073
15003001905,HI,003,1905,3018,105,319,7,0,1951,197,2,437,2506,65,284,5,0,1705,144,2,301,NA,NA,NA,NA,NA,NA,NA,1,1,480.2154726265287,451.9975426956629
15003001906,HI,003,1906,2225,54,216,6,3,1498,97,0,351,1830,31,201,6,2,1262,81,0,247,NA,NA,NA,NA,NA,NA,NA,1,1,350.6761033146638,330.0700331736086
15003001907,HI,003,1907,2775,91,386,6,0,1766,106,4,416,2291,59,348,5,0,1531,73,1,274,NA,NA,NA,NA,NA,NA,NA,1,1,439.01582114420484,413.21882295122253
15003002001,HI,003,2001,4935,187,574,13,7,2990,342,8,814,4140,114,524,13,7,2640,267,6,569,NA,NA,NA,NA,NA,NA,NA,1,1,793.3328238921903,746.7158127534095
