GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT,school,cd_1990,cd_2000,ndv,nrv
48001000001,TX,001,0001,2856,176,2105,493,5,41,0,0,36,2104,103,1671,283,4,27,0,0,16,NA,54708,92945,NA,34050,18,7,234.49498603415907,315.4699390997756
48001000002,TX,001,0002,3193,84,2843,215,10,7,0,1,33,2319,41,2076,165,9,7,0,0,21,NA,23140,91205,NA,18390,18,7,258.4571637895508,347.706648656074
48001000003,TX,001,0003,1574,54,1409,98,4,3,0,2,4,1171,32,1068,62,4,3,0,0,2,NA,54708,92945,NA,34050,18,7,130.51027977471497,175.577613443839
48001000004,TX,001,0004,1821,46,1663,88,5,2,0,0,17,1342,20,1237,64,5,2,0,0,14,NA,NA,91205,NA,40500,18,7,149.5685699894684,201.21704290489492
48001000005,TX,001,0005,334,6,321,4,2,0,0,0,1,264,6,251,4,2,0,0,0,1,NA,NA,91205,NA,40500,18,7,29.423325243829844,39.583680571454735
48001000006,TX,001,0006,1440,190,384,845,3,7,0,0,11,1029,106,314,594,3,6,0,0,6,NA,54708,92945,NA,34050,18,7,114.68409725720042,154.28639131828382
48001000007,TX,001,0007,2680,902,455,1292,11,1,0,2,17,1700,480,352,852,6,1,0,2,7,NA,54708,92945,NA,34050,18,7,189.46838225193463,254.89491277073128
48001000008,TX,001,0008,929,235,252,420,1,9,5,0,7,623,133,201,274,1,6,2,0,6,NA,54708,92945,NA,34050,18,7,69.43458949585603,93.41148862127386
48001000009,TX,001,0009,2093,62,1748,266,3,5,0,0,9,1578,34,1345,185,3,5,0,0,6,NA,54708,92945,NA,43290,18,7,175.8712395256193,236.60245432483174
48001000010,TX,001,0010,7277,1297,2808,3130,2,29,0,0,11,7053,1265,2641,3109,2,29,0,0,7,NA,NA,92945,NA,43290,18,7,786.0708823664087,1057.514011630569
48001000011,TX,001,0011,8833,1967,3218,3598,9,30,0,1,10,8391,1942,2896,3509,9,29,0,1,5,NA,NA,92615,NA,13200,18,7,935.1936443976373,1258.131301799533
48001000012,TX,001,0012,338,15,230,92,0,1,0,0,0,220,8,143,68,0,1,0,0,0,NA,NA,90650,NA,13200,18,7,24.51943770319154,32.98640047621228
48001000013,TX,001,0013,2160,251,1647,211,7,28,1,0,15,1650,167,1317,133,6,19,1,0,7,NA,54708,92945,NA,34050,18,7,183.89578277393656,247.3980035715921
48001000014,TX,001,0014,1082,78,887,93,0,3,0,0,21,837,48,716,62,0,1,0,0,10,NA,54708,92945,NA,34050,18,7,93.2853152616878,125.49825999358944
48001000015,TX,001,0015,1064,55,907,93,2,4,0,0,3,809,32,709,60,2,4,0,0,2,NA,54708,92945,NA,34050,18,7,90.16465955400889,121.29999084207152
48001000016,TX,001,0016,973,14,801,139,2,2,0,0,15,695,7,576,102,2,2,0,0,6,NA,NA,92945,NA,32250,18,7,77.45913274417326,104.20703786803425
48001000017,TX,001,0017,1287,113,971,188,2,0,0,0,13,939,63,744,124,2,0,0,0,6,NA,54708,92945,NA,34050,18,7,104.65341819680388,140.79195475983332
48001000018,TX,001,0018,2789,82,2366,311,5,1,0,0,24,2094,48,1816,211,5,1,0,0,13,NA,27300,91390,NA,19770,18,7,233.38046613855946,313.9705572599478
48001000019,TX,001,0019,3790,281,3033,402,15,24,1,1,33,2626,163,2177,239,11,18,1,0,17,NA,54708,92945,NA,43290,18,7,292.672924584459,393.7376711387884
48001000020,TX,001,0020,1942,497,998,402,4,22,0,4,15,1328,282,808,206,4,16,0,2,10,NA,54708,92945,NA,34050,18,7,148.0082421356289,199.11790832913593
48001000021,TX,001,0021,3079,208,2529,285,27,7,0,0,23,2209,116,1860,196,18,6,0,0,13,NA,54708,92945,NA,34050,18,7,246.19744493795503,331.2134484179678
48001000022,TX,001,0022,1351,33,1148,129,8,12,0,0,21,1039,20,897,89,8,8,0,0,17,NA,NA,92615,NA,34050,18,7,115.79861715280003,155.78577315811165
48001000023,TX,001,0023,1528,44,1388,80,5,4,0,0,7,1160,31,1064,52,5,4,0,0,4,NA,NA,92615,NA,13200,18,7,129.28430788955538,173.92829342002838
48001000024,TX,001,0024,696,15,651,23,3,1,0,0,3,498,9,468,17,1,1,0,0,2,NA,NA,90650,NA,13200,18,7,55.503090800860846,74.66921562342598
48003000001,TX,003,0001,3037,1370,1608,25,13,5,0,4,12,2041,799,1196,20,11,3,0,2,10,NA,03216,90090,NA,08280,26,20,198.07076266427046,667.113332584522
48003000002,TX,003,0002,3447,835,2488,33,17,35,0,0,39,2435,481,1869,22,14,25,0,0,24,NA,03216,90085,NA,08280,26,20,236.30686285521733,795.8946422554195
48003000003,TX,003,0003,3588,1483,1898,111,22,27,0,8,39,2423,863,1419,81,12,22,0,3,23,NA,03216,90085,NA,08280,26,20,235.14231158036614,791.9723688644276
48003000004,TX,003,0004,2932,1514,1328,26,12,21,2,1,28,2004,920,1030,18,7,13,1,1,14,NA,03216,90085,NA,08280,26,20,194.480062900146,655.0196562956307
48005000001,TX,005,0001,3634,1184,1072,1334,5,15,0,0,24,2396,656,869,840,3,12,0,0,16,NA,45072,92325,NA,28550,15,4,357.86669886500846,419.94266395280647
48005000002,TX,005,0002,1400,234,712,413,3,23,0,0,15,990,150,555,258,3,17,0,0,7,NA,45072,92325,NA,28550,15,4,147.86645737744504,173.51554144961534
48005000003,TX,005,0003,3386,461,2728,151,13,10,1,0,22,2412,270,2021,84,12,8,1,0,16,NA,45072,92325,NA,28550,15,4,360.2564597923207,422.7469555317901
48005000004,TX,005,0004,1593,209,864,489,3,0,0,1,27,1132,110,653,351,3,0,0,0,15,NA,45072,92325,NA,28550,15,4,169.07558560734122,198.4036292130955
48005000005,TX,005,0005,3244,839,1675,696,8,7,0,1,18,2475,492,1456,505,7,4,0,0,11,NA,45072,92325,NA,28550,15,4,369.6661434436126,433.7888536240383
48005000006,TX,005,0006,1715,139,1510,45,8,8,0,0,5,1212,81,1096,18,6,7,0,0,4,NA,NA,93090,NA,13500,15,4,181.02439024390245,212.42508710801397
48005000007,TX,005,0007,1673,107,1518,32,3,1,0,0,12,1166,58,1078,23,3,1,0,0,3,NA,35228,93090,NA,23790,15,4,174.15382757787972,204.36274881843585
48005000008,TX,005,0008,4308,527,3603,122,6,17,0,0,33,2955,308,2533,80,5,11,0,0,18,NA,35228,92325,NA,23790,15,4,441.35897126297994,517.9176009935488
48005000009,TX,005,0009,2334,668,1260,356,6,16,3,1,24,1670,398,1011,228,6,11,1,1,14,NA,45072,92325,NA,28550,15,4,249.4312967882154,292.69793355642184
48005000010,TX,005,0010,4192,340,3314,469,6,36,2,2,23,3167,226,2587,305,6,28,2,2,11,NA,45072,92325,NA,28550,15,4,473.02330354986714,555.0744644150826
48005000011,TX,005,0011,3856,112,3474,204,16,6,0,0,44,2719,58,2480,141,13,4,0,0,23,NA,35492,91855,NA,24000,15,4,406.10999758512435,476.5543002035395
48005000012,TX,005,0012,1175,76,1066,24,1,2,0,0,6,897,42,830,19,1,1,0,0,4,NA,45072,92325,NA,28550,15,4,133.97597198744265,157.2155966467727
48005000013,TX,005,0013,3112,604,1997,440,4,23,0,3,41,2305,374,1599,292,3,18,0,0,19,NA,45072,92325,NA,28550,15,4,344.27493359092006,403.99325559733677
48005000014,TX,005,0014,4352,203,3655,364,4,96,1,1,28,3292,133,2845,243,4,57,1,0,9,NA,45072,92325,NA,28550,15,4,491.6933107944941,576.9829923758926
48005000015,TX,005,0015,1452,479,918,39,2,0,0,0,14,1023,278,713,22,2,0,0,0,8,NA,11380,91045,NA,17040,15,4,152.79533929002656,179.2993928312692
48005000016,TX,005,0016,4887,1835,1756,1247,8,2,3,0,36,3584,1226,1409,927,4,1,2,0,15,NA,20308,91045,NA,17040,15,4,535.3064477179425,628.1613136923448
48005000017,TX,005,0017,2895,65,2790,6,11,1,0,0,22,2208,34,2141,6,9,1,0,0,17,NA,80728,94315,NA,46740,15,4,329.7870079690896,386.99223789974815
48005000018,TX,005,0018,2242,158,141,1909,8,3,0,0,23,1529,88,107,1311,5,3,0,0,15,NA,45072,92325,NA,28550,15,4,228.37152861627627,267.98511401662813
48005000019,TX,005,0019,911,29,862,16,0,0,0,0,4,652,15,624,10,0,0,0,0,3,NA,NA,91855,NA,24000,15,4,97.38275778797392,114.27488184358505
48005000020,TX,005,0020,1271,104,18,1142,2,1,0,0,4,921,66,15,837,1,1,0,0,1,NA,45072,92325,NA,28550,15,4,137.560613378411,161.42203401524822
48005000021,TX,005,0021,2302,100,1914,270,9,5,0,0,4,1751,61,1471,206,5,5,0,0,3,NA,45072,92325,NA,13500,15,4,261.5294614827336,306.89465967502673
48005000022,TX,005,0022,1640,110,1470,25,4,1,3,6,21,1164,66,1050,21,4,1,2,4,16,NA,NA,93090,NA,13500,15,4,173.85510746196573,204.0122123710629
48005000023,TX,005,0023,800,28,752,10,2,0,2,0,6,574,15,548,5,2,0,1,0,3,NA,NA,93090,NA,13500,15,4,85.73267326732673,100.60396039603961
48005000024,TX,005,0024,1340,129,1172,25,0,2,0,0,12,965,75,869,17,0,2,0,0,2,NA,35228,93090,NA,23790,15,4,144.13245592851968,169.13383585745333
48005000025,TX,005,0025,2747,350,2257,114,4,7,0,0,15,1979,204,1692,69,4,4,0,0,6,NA,45072,92325,NA,13500,15,4,295.5835546969331,346.85581467554425
48005000026,TX,005,0026,1936,49,1815,54,0,2,0,0,16,1425,30,1353,29,0,1,0,0,12,NA,35492,91855,NA,28550,15,4,212.8380825887467,249.7572187532342
48005000027,TX,005,0027,349,3,333,5,0,3,0,1,4,261,2,250,4,0,2,0,1,2,NA,NA,91045,NA,17040,15,4,38.98297512678097,45.74500638217132
48005000028,TX,005,0028,2323,300,1960,38,5,4,0,0,16,1631,174,1414,24,4,2,0,0,13,NA,45072,92325,NA,28550,15,4,243.60625452789182,285.86247283264913
48005000029,TX,005,0029,649,23,596,27,1,0,0,0,2,475,11,441,22,1,0,0,0,0,NA,NA,93090,NA,13500,15,4,70.94602752958222,83.25240625107807
48005000030,TX,005,0030,1295,21,1250,5,5,0,0,0,14,971,12,940,3,5,0,0,0,11,NA,NA,91855,NA,24000,15,4,145.02861627626177,170.18544519957223
48005000031,TX,005,0031,1176,328,779,54,0,8,0,0,7,808,189,576,36,0,4,0,0,3,NA,20308,91045,NA,17040,15,4,120.6829268292683,141.61672473867597
48005000032,TX,005,0032,171,1,166,2,0,0,0,0,2,122,1,119,1,0,0,0,0,1,NA,NA,91855,NA,46740,15,4,18.221927070755854,21.382723289750576
48005000033,TX,005,0033,1037,32,981,15,1,0,0,0,8,746,18,714,8,1,0,0,0,5,NA,35492,91855,NA,24000,15,4,111.42260323593335,130.7500948701142
48005000034,TX,005,0034,3117,166,2447,282,10,173,0,1,38,2487,127,1994,224,7,113,0,1,21,NA,45072,92325,NA,28550,15,4,371.4584641390968,435.8920723082761
48005000035,TX,005,0035,337,31,290,3,9,0,0,0,4,228,17,201,3,3,0,0,0,4,NA,NA,92325,NA,28550,15,4,34.05409321419947,39.96115500051748
48005000036,TX,005,0036,879,196,539,94,2,37,0,2,9,620,110,418,61,2,22,0,0,7,NA,45072,92325,NA,28550,15,4,92.60323593334942,108.66629868561769
48005000037,TX,005,0037,906,59,824,15,1,6,0,0,1,662,39,608,9,1,4,0,0,1,NA,45072,91045,NA,28550,15,4,98.87635836754407,116.02756408044986
48005000038,TX,005,0038,350,9,314,23,0,0,0,0,4,233,2,214,16,0,0,0,0,1,NA,NA,91855,NA,24000,15,4,34.80089350398455,40.83749611894988
48005000039,TX,005,0039,3144,1188,823,1097,3,9,0,1,23,2167,728,681,734,2,7,0,0,15,NA,45072,92325,NA,28550,15,4,323.663245592852,379.80624072860246
