GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,cd_1990,cd_2000,ndv,nrv
21005950400,21,005,9504,2553,2534,4,8,2,0,0,0,5,1864,1849,4,4,2,0,0,0,5,NA,NA,90072,00120,6,4,NA,NA
21007950100,21,007,9501,4209,3987,153,22,3,6,0,0,38,3214,3065,105,10,3,5,0,0,26,NA,43336,91952,00210,1,5,NA,NA
21007950200,21,007,9502,1522,1431,54,10,1,0,0,0,26,1150,1096,27,7,1,0,0,0,19,NA,03718,90168,00210,1,5,NA,NA
21007950300,21,007,9503,2555,2449,31,20,3,8,0,1,43,2011,1937,25,12,2,5,0,0,30,NA,83064,93696,00210,1,5,NA,NA
21009950100,21,009,9501,3156,2998,100,26,1,14,0,1,16,2369,2248,84,19,0,9,0,0,9,NA,37234,91744,00300,2,6,NA,NA
21009950200,21,009,9502,3264,3034,160,22,5,21,1,0,21,2506,2337,123,13,5,16,1,0,11,NA,13492,90640,01110,2,6,NA,NA
21009950300,21,009,9503,2287,2153,91,22,6,5,0,0,10,1708,1610,70,15,5,3,0,0,5,NA,59232,90640,00300,2,6,NA,NA
21009950400,21,009,9504,5095,4313,615,92,6,19,1,6,43,3949,3398,464,51,6,13,1,1,15,NA,31114,91408,02220,2,6,NA,NA
21009950500,21,009,9505,3699,3422,148,49,3,46,4,2,25,2970,2765,115,36,3,40,1,0,10,NA,31114,91408,02220,2,6,NA,NA
21009950600,21,009,9506,5754,5238,330,73,8,32,0,9,64,4380,4087,206,40,5,25,0,1,16,NA,31114,91408,02220,2,6,NA,NA
21009950700,21,009,9507,4976,4873,49,17,12,13,0,0,12,3740,3659,38,14,11,9,0,0,9,NA,31114,91408,00300,2,6,NA,NA
21009950800,21,009,9508,3156,3102,14,24,4,4,0,2,6,2367,2327,12,18,1,2,0,1,6,NA,NA,93464,00300,2,6,NA,NA
21009950900,21,009,9509,3640,3586,10,24,2,1,1,1,15,2662,2621,7,19,2,1,1,0,11,NA,28666,93496,00300,2,6,NA,NA
21009951000,21,009,9510,3006,2943,36,6,6,0,0,1,14,2172,2133,25,4,3,0,0,0,7,NA,31114,92944,00300,2,6,NA,NA
21011970100,21,011,9701,1802,1646,110,27,5,0,0,0,14,1361,1233,94,20,2,0,0,0,12,NA,69852,93144,00330,6,2,NA,NA
21011970200,21,011,9702,6024,5846,84,53,7,1,0,0,33,4570,4440,64,40,6,1,0,0,19,NA,58710,92640,00330,6,2,NA,NA
21011970300,21,011,9703,3259,3208,6,9,10,1,0,2,23,2476,2446,3,3,7,1,0,0,16,NA,68160,93056,00330,6,3,NA,NA
21013960100,21,013,9601,2866,2841,2,13,1,0,1,1,7,2130,2114,2,9,1,0,0,0,4,NA,NA,92808,00390,5,3,NA,NA
21013960200,21,013,9602,5723,5491,111,46,9,6,0,6,54,4355,4181,83,36,7,5,0,3,40,NA,61248,92808,00390,5,3,NA,NA
21013960300,21,013,9603,2404,2360,1,6,7,0,2,2,26,1821,1792,1,3,7,0,1,0,17,NA,61248,92808,00390,5,3,NA,NA
21013960400,21,013,9604,1899,1871,1,12,6,1,0,0,8,1444,1422,1,9,5,1,0,0,6,NA,NA,93456,00390,5,3,NA,NA
21013960500,21,013,9605,2428,2329,43,22,6,9,0,2,17,1786,1725,25,12,6,9,0,0,9,NA,51924,92304,00390,5,3,NA,NA
21013960600,21,013,9606,4874,4482,295,16,13,17,1,3,47,3712,3438,216,11,11,13,1,0,22,NA,51924,92304,04170,5,3,NA,NA
21013960700,21,013,9607,2974,2704,170,29,7,37,1,0,26,2266,2073,128,11,6,28,1,0,19,NA,51924,92304,04170,5,3,NA,NA
21013960800,21,013,9608,3745,3626,22,38,9,23,0,2,25,2781,2703,18,21,8,14,0,0,17,NA,51924,92304,00390,5,3,NA,NA
21013960900,21,013,9609,2167,2068,75,4,4,7,0,0,9,1670,1581,72,3,2,5,0,0,7,NA,61248,91920,00390,5,3,NA,NA
21013961000,21,013,9610,980,968,0,8,2,1,0,0,1,766,756,0,7,1,1,0,0,1,NA,NA,92864,00390,5,3,NA,NA
21015070100,21,015,0701,6751,5944,181,450,20,49,7,9,91,5053,4529,125,303,14,40,6,1,35,NA,27982,91272,00510,4,2,NA,NA
21015070200,21,015,0702,6173,5707,109,210,14,40,2,24,67,4738,4439,75,144,11,31,2,9,27,NA,27982,91272,00510,4,2,NA,NA
21015070301,21,015,070301,5012,4608,101,161,18,51,3,2,68,3636,3349,80,104,16,49,3,2,33,NA,27982,91272,00510,4,2,NA,NA
21015070304,21,015,070304,2769,2620,34,80,4,13,0,3,15,2170,2065,19,59,3,11,0,2,11,NA,27982,91272,00510,4,2,NA,NA
21015070305,21,015,070305,5175,4850,72,68,9,121,0,11,44,3942,3706,57,47,8,93,0,7,24,NA,57030,91272,00510,4,2,NA,NA
21015070306,21,015,070306,9360,8670,259,142,10,177,2,12,88,6537,6102,162,88,8,138,2,4,33,NA,27982,91272,00510,4,2,NA,NA
21015070307,21,015,070307,4521,4259,35,43,7,156,0,5,16,3030,2870,24,25,4,97,0,3,7,NA,27982,91272,00510,4,2,NA,NA
21015070308,21,015,070308,4811,4434,92,96,6,109,2,7,65,3487,3233,69,57,3,83,2,1,39,NA,27982,91272,00510,4,2,NA,NA
21015070309,21,015,070309,4735,4518,24,55,2,100,1,0,35,2996,2872,15,33,2,60,1,0,13,NA,78384,91272,00510,4,2,NA,NA
21015070401,21,015,070401,3464,3330,46,27,2,38,0,0,21,2423,2331,30,16,2,31,0,0,13,NA,NA,91680,00510,4,2,NA,NA
21015070402,21,015,070402,6602,6353,74,79,13,26,0,7,50,4416,4283,38,40,11,20,0,1,23,NA,11170,91680,00510,4,2,NA,NA
21015070501,21,015,070501,9297,8754,173,158,25,79,1,10,97,6488,6138,134,90,13,59,1,3,50,NA,11170,90440,00510,4,2,NA,NA
21015070502,21,015,070502,4263,4190,9,18,17,1,1,3,24,3071,3025,6,7,8,0,1,2,22,NA,11170,90440,00510,4,2,NA,NA
21015070601,21,015,070601,2330,2276,1,15,14,6,0,4,14,1607,1575,0,8,10,4,0,1,9,NA,78384,93592,00510,4,2,NA,NA
21015070603,21,015,070603,8170,7867,56,77,6,110,5,3,46,5887,5692,46,43,4,72,1,1,28,NA,80490,93592,05700,4,2,NA,NA
21015070604,21,015,070604,2558,2491,10,23,9,7,3,0,15,1866,1830,5,14,6,4,2,0,5,NA,80490,93592,05700,4,2,NA,NA
21017030100,21,017,0301,4319,3352,730,181,4,4,0,2,46,3320,2582,572,143,4,4,0,0,15,NA,59196,92680,04710,6,4,NA,NA
21017030200,21,017,0302,5477,4877,431,81,5,11,0,13,59,4010,3617,316,46,4,7,0,0,20,NA,59196,92680,04710,6,4,NA,NA
21017030300,21,017,0303,2707,2523,33,117,3,2,0,7,22,2027,1895,25,82,3,2,0,1,19,NA,59196,92680,00540,6,4,NA,NA
21017030400,21,017,0304,2340,2250,28,49,1,1,1,0,10,1796,1735,23,33,1,0,0,0,4,NA,59196,92680,00540,6,4,NA,NA
21017030500,21,017,0305,2455,2329,61,38,10,0,0,1,16,1814,1730,48,22,6,0,0,0,8,NA,52302,92328,00540,6,4,NA,NA
21017030600,21,017,0306,2062,1954,47,37,1,1,0,1,21,1550,1471,41,25,1,1,0,1,10,NA,56820,92576,00540,6,4,NA,NA
21019030200,21,019,0302,1235,1095,98,8,4,15,0,2,13,1061,950,82,6,3,9,0,2,9,NA,02368,90104,00150,4,2,NA,NA
21019030300,21,019,0303,2505,2309,119,28,4,22,0,5,18,1965,1829,86,18,3,18,0,1,10,NA,02368,90104,00150,4,2,NA,NA
21019030400,21,019,0304,2056,1953,25,24,4,4,0,0,46,1521,1468,15,8,4,4,0,0,22,NA,02368,90104,00150,4,2,NA,NA
21019030500,21,019,0305,4489,4379,63,7,1,14,0,3,22,3542,3468,43,3,1,13,0,1,13,NA,02368,90104,00150,4,2,NA,NA
21019030600,21,019,0306,4169,4042,74,16,3,9,0,3,22,3319,3240,47,10,3,6,0,0,13,NA,02368,90104,00150,4,2,NA,NA
21019030700,21,019,0307,3578,3411,70,15,0,8,0,11,63,2813,2708,48,11,0,7,0,3,36,NA,02368,90104,00150,4,2,NA,NA
21019030800,21,019,0308,3969,3811,58,39,6,8,0,3,44,2932,2850,28,27,5,5,0,1,16,NA,02368,90104,00150,4,2,NA,NA
21019030900,21,019,0309,5772,5663,23,24,4,19,0,0,39,4559,4485,17,15,4,16,0,0,22,NA,82146,90104,01800,4,2,NA,NA
21019031000,21,019,0310,8122,7061,589,358,23,30,0,0,61,6556,5540,584,336,22,24,0,0,50,NA,02368,90112,00620,4,2,NA,NA
21019031100,21,019,0311,7764,7581,73,31,19,17,0,3,40,5860,5766,29,15,17,14,0,0,19,NA,NA,90576,00620,4,2,NA,NA
21019031200,21,019,0312,3374,3345,9,5,3,0,0,0,12,2633,2614,4,4,3,0,0,0,8,NA,13420,90632,00620,4,2,NA,NA
21019031300,21,019,0313,2719,2676,23,3,4,0,0,1,12,2151,2118,20,3,4,0,0,0,6,NA,13420,90632,00620,4,2,NA,NA
21021990100,21,021,9901,5456,4444,868,48,8,34,2,15,37,4523,3670,772,38,1,22,2,2,16,NA,19882,91000,00630,6,4,NA,NA
21021990200,21,021,9902,4436,3940,362,52,6,22,2,5,47,3323,3014,233,37,5,12,1,1,20,NA,19882,91000,01440,6,4,NA,NA
21021990300,21,021,9903,3103,2457,520,43,9,12,1,3,58,2553,2077,408,26,7,11,0,1,23,NA,19882,91000,01440,6,4,NA,NA
21021990400,21,021,9904,3931,3096,633,105,7,9,0,24,57,3070,2503,453,66,5,3,0,12,28,NA,19882,91000,01440,6,4,NA,NA
21021990500,21,021,9905,3045,2733,185,31,3,65,0,5,23,2221,2022,125,20,3,41,0,1,9,NA,19882,91000,00630,6,4,NA,NA
21021990600,21,021,9906,3448,3334,57,17,4,6,0,0,30,2592,2509,49,13,4,4,0,0,13,NA,60258,92744,00630,6,4,NA,NA
21021990700,21,021,9907,4278,4082,44,102,5,7,1,1,36,3139,3008,30,68,5,5,1,0,22,NA,41338,91896,00630,6,4,NA,NA
21023950100,21,023,9501,2560,2499,20,17,4,1,2,4,13,1932,1896,11,13,3,1,1,1,6,NA,02674,90128,00180,4,2,NA,NA
21023950200,21,023,9502,1853,1838,3,4,5,1,0,1,1,1370,1361,0,3,3,1,0,1,1,NA,NA,91304,00660,4,2,NA,NA
21023950300,21,023,9503,3866,3793,25,18,12,3,1,1,13,2862,2807,17,14,10,3,1,0,10,NA,10000,90360,00660,4,2,NA,NA
21025980100,21,025,9801,1349,1311,16,5,4,5,3,0,5,1008,980,8,5,4,5,2,0,4,NA,NA,93440,00690,5,3,NA,NA
21025980200,21,025,9802,2638,2552,26,25,8,5,1,0,21,1936,1896,2,12,5,2,1,0,18,NA,39952,92592,00690,5,3,NA,NA
21025980300,21,025,9803,4461,4378,16,14,1,34,0,2,16,3451,3395,13,7,1,21,0,1,13,NA,39952,91848,00690,5,3,NA,NA
21025980400,21,025,9804,1082,1076,0,3,0,0,0,0,3,823,817,0,3,0,0,0,0,3,NA,NA,92960,00690,5,3,NA,NA
21025980500,21,025,9805,2306,2251,3,39,0,0,0,0,13,1663,1626,1,28,0,0,0,0,8,NA,NA,91592,00690,5,3,NA,NA
21025980600,21,025,9806,2271,2253,0,12,0,3,0,0,3,1637,1621,0,11,0,3,0,0,2,NA,NA,91552,00690,5,3,NA,NA
21025980700,21,025,9807,1993,1976,1,8,1,0,0,0,7,1476,1463,1,6,1,0,0,0,5,NA,NA,90584,00690,5,3,NA,NA
21027960100,21,027,9601,4448,4126,230,35,17,5,2,0,33,3263,3058,145,20,15,4,2,0,19,NA,39664,91824,00720,2,6,NA,NA
21027960200,21,027,9602,5000,4670,239,45,4,7,0,2,33,3822,3580,191,27,4,4,0,0,16,NA,34552,91584,00720,2,6,NA,NA
21027960300,21,027,9603,3128,3042,35,25,0,1,0,3,22,2341,2291,18,13,0,1,0,2,16,NA,15904,90760,01290,2,6,NA,NA
21027960400,21,027,9604,1346,1328,6,0,4,0,0,1,7,1009,996,6,0,3,0,0,0,4,NA,NA,90344,00720,2,6,NA,NA
21027960500,21,027,9605,4726,4621,10,29,12,1,0,0,53,3566,3495,8,17,12,1,0,0,33,NA,NA,90336,00720,2,6,NA,NA
21029020100,21,029,0201,8350,8177,19,59,16,18,0,8,53,6012,5891,12,41,12,13,0,6,37,NA,54228,92440,00750,2,6,NA,NA
21029020200,21,029,0202,5942,5837,11,32,10,15,1,2,34,4332,4265,8,18,6,10,1,2,22,NA,54228,92440,00750,2,6,NA,NA
21029020300,21,029,0203,2935,2906,8,5,6,0,0,2,8,2142,2120,7,5,5,0,0,0,5,NA,54228,92440,00750,2,6,NA,NA
21029020400,21,029,0204,5272,5153,10,30,19,13,4,3,40,3959,3882,10,18,11,10,3,1,24,NA,35545,93160,00750,2,6,NA,NA
21029020500,21,029,0205,4928,4799,31,28,15,18,0,5,32,3513,3429,21,15,10,15,0,4,19,NA,36982,93160,00750,2,6,NA,NA
21029020600,21,029,0206,7097,6923,12,48,31,25,0,3,55,5161,5047,11,25,23,12,0,0,43,NA,36982,93160,00750,2,6,NA,NA
21029020700,21,029,0207,6593,6376,74,44,17,31,0,2,49,4757,4618,50,23,13,24,0,0,29,NA,70086,93160,00750,2,6,NA,NA
21029020800,21,029,0208,5630,5437,41,44,35,17,0,0,56,4099,3971,24,30,28,12,0,0,34,NA,09964,93160,00750,2,6,NA,NA
