GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
40003000304,OK,003,304,389,0,368,1,11,0,0,0,9,300,0,288,1,6,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,6,3,45.77006507592191,60.41214750542299
40005000001,OK,005,1,139,2,113,15,8,0,0,0,1,105,2,91,5,6,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,25.258473125641903,16.451557685724065
40005000002,OK,005,2,1856,18,1481,105,171,2,0,0,79,1435,10,1201,60,111,2,0,0,51,NA,NA,NA,NA,NA,NA,NA,NA,3,2,345.199132717106,224.83795503822893
40005000003,OK,005,3,405,6,302,13,55,0,0,0,29,299,4,238,13,32,0,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,3,2,71.92650918635171,46.84776902887139
40005000004,OK,005,4,709,0,524,11,110,1,0,0,63,492,0,382,6,66,1,0,0,37,NA,NA,NA,NA,NA,NA,NA,NA,3,2,118.35398836015064,77.08729887024992
40005000005,OK,005,5,822,3,462,219,95,12,0,0,31,592,2,358,149,57,7,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,3,2,142.40967705123816,92.75544904712999
40005000006,OK,005,6,444,8,342,0,78,0,0,0,16,354,5,291,0,46,0,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,3,2,85.15713796644985,55.46525162615543
40005000007,OK,005,7,1012,21,773,1,156,0,0,0,61,745,11,595,0,100,0,0,0,39,NA,NA,NA,NA,NA,NA,NA,NA,3,2,179.21488074860207,116.72771881775647
40005000008,OK,005,8,1274,21,1093,11,116,1,0,0,32,919,8,802,6,78,1,0,0,24,NA,NA,NA,NA,NA,NA,NA,NA,3,2,221.07177907109437,143.99030012552777
40005000009,OK,005,9,522,7,414,0,67,1,0,0,33,384,6,310,0,48,1,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,3,2,92.3738445737761,60.165696679219444
40005000010,OK,005,10,1113,9,865,1,110,1,0,0,127,790,5,648,1,63,1,0,0,72,NA,NA,NA,NA,NA,NA,NA,NA,3,2,190.03994065959148,123.7783863973525
40005000011,OK,005,11,1200,16,893,0,134,10,0,0,147,865,7,670,0,85,6,0,0,97,NA,NA,NA,NA,NA,NA,NA,NA,3,2,208.0817071779071,135.52949903001254
40005000012,OK,005,12,1492,25,1070,178,123,0,0,0,96,1272,21,919,178,97,0,0,0,57,NA,NA,NA,NA,NA,NA,NA,NA,3,2,305.98836015063335,199.29887024991444
40005000013,OK,005,13,1710,47,1175,254,172,3,2,0,57,1458,41,1011,240,125,3,2,0,36,NA,NA,NA,NA,NA,NA,NA,NA,3,2,278.7702335687126,163.1439435089625
40005000014,OK,005,14,228,6,143,0,68,0,0,0,11,173,2,121,0,42,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,3,2,33.07767517653449,19.35795763172189
40005000015,OK,005,15,268,2,217,6,36,0,0,0,7,210,2,168,6,27,0,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,3,2,40.152091254752854,23.49809885931559
40005000016,OK,005,16,387,1,349,0,29,0,0,0,8,294,1,272,0,18,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,3,2,70.72372475179733,46.06436152002739
40005000017,OK,005,17,298,4,248,0,31,0,0,0,15,217,2,189,0,17,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,3,2,52.20084445965993,33.99988588382974
40007000011,OK,007,11,349,9,328,1,8,0,0,0,3,275,7,262,1,3,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,6,3,53.64139693356047,132.81516183986372
40007000013,OK,007,13,317,30,285,0,2,0,0,0,0,244,16,227,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,3,34.695517774343124,77.81349819680577
40007000021,OK,007,21,286,8,270,3,3,0,0,0,2,213,4,202,3,2,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,6,3,41.54770017035775,102.87137989778535
40007000023,OK,007,23,1908,157,1691,9,27,1,0,0,23,1428,95,1292,9,17,1,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,6,3,278.5451448040886,689.6729131175468
40007000025,OK,007,25,731,86,634,0,1,2,0,0,8,493,42,445,0,1,2,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,6,3,70.10200927357032,157.22153529108706
40007000031,OK,007,31,541,8,515,0,5,0,0,0,13,432,4,420,0,2,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,6,3,84.26575809199319,208.6405451448041
40007000033,OK,007,33,1725,332,1349,2,22,1,0,0,19,1204,182,993,2,15,1,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,6,3,171.20247295208654,383.96496651210714
40009000110,OK,009,110,2462,151,1465,707,87,15,0,0,37,2203,138,1235,706,78,15,0,0,31,NA,NA,NA,NA,NA,NA,NA,NA,6,3,509.2024799524799,394.86501336501334
40009000111,OK,009,111,1028,42,957,11,6,0,0,0,12,843,30,788,11,4,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,6,3,194.85142560142557,151.09904959904958
40009000112,OK,009,112,1148,49,1058,5,15,2,0,0,19,877,31,822,5,7,2,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,6,3,202.71020196020194,157.19319869319867
40009000115,OK,009,115,174,3,164,0,6,0,0,0,1,144,0,138,0,5,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,6,3,37.48453608247423,25.701030927835053
40009000137,OK,009,137,2047,99,1789,76,50,4,0,0,29,1478,52,1331,48,28,3,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,6,3,341.6256311256311,264.9162459162459
40009000141,OK,009,141,516,24,462,4,2,1,0,0,23,348,14,318,3,1,1,0,0,11,NA,NA,NA,NA,NA,NA,NA,NA,6,3,80.43688743688745,62.37540837540838
40009000230,OK,009,230,798,24,720,9,26,0,0,0,19,579,11,543,4,13,0,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,6,3,133.83033858033858,103.77977427977427
40009000231,OK,009,231,2586,174,2252,55,43,20,1,3,38,1853,105,1634,46,34,13,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,6,3,428.3033115533115,332.1311256311256
40009000235,OK,009,235,1979,142,1571,129,101,0,0,4,32,1380,70,1147,86,55,0,0,2,20,NA,NA,NA,NA,NA,NA,NA,NA,6,3,318.97386397386396,247.35075735075733
40009000242,OK,009,242,637,55,563,0,11,0,1,0,7,493,32,449,0,7,0,1,0,4,NA,NA,NA,NA,NA,NA,NA,NA,6,3,113.9522572022572,88.36516186516187
40009000320,OK,009,320,1073,49,981,1,9,2,0,0,31,794,32,737,0,5,2,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,6,3,206.68556701030926,141.71262886597938
40009000322,OK,009,322,446,15,402,5,12,4,0,0,8,335,10,308,4,5,2,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,6,3,87.20360824742268,59.790592783505154
40009000332,OK,009,332,2919,131,2647,31,56,19,1,0,34,2160,74,2001,16,33,16,1,0,19,NA,NA,NA,NA,NA,NA,NA,NA,6,3,499.26343926343924,387.15770715770714
40009000333,OK,009,333,1556,94,1350,19,49,14,0,0,30,1191,51,1070,11,30,8,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,6,3,275.28831303831305,213.474457974458
40009000343,OK,009,343,354,15,321,6,3,0,0,0,9,279,10,260,1,2,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,6,3,72.62628865979381,49.795747422680414
40009000344,OK,009,344,76,12,58,0,5,0,0,0,1,63,7,52,0,3,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,6,3,14.561850311850312,11.292099792099792
40011000002,OK,011,2,1724,52,1630,6,20,1,0,0,15,1276,33,1210,6,13,1,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,6,3,323.25333333333333,394.70933333333335
40011000007,OK,011,7,1747,54,1400,0,246,0,2,0,45,1283,30,1091,0,139,0,1,0,22,NA,NA,NA,NA,NA,NA,NA,NA,6,3,325.0266666666667,396.8746666666667
40011000009,OK,011,9,458,3,394,2,47,1,0,0,11,337,3,293,2,30,1,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,6,3,67.23347745521927,81.17974058060531
40011000010,OK,011,10,310,5,271,5,19,0,0,0,10,220,3,197,3,13,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,6,3,43.89129092032119,52.99567634342187
40011000011,OK,011,11,1200,149,565,254,175,4,0,0,53,826,86,421,186,113,2,0,0,18,NA,NA,NA,NA,NA,NA,NA,NA,6,3,164.79184681902407,198.97467572575664
40011000012,OK,011,12,1491,245,1052,56,90,2,0,0,46,1063,138,813,37,52,2,0,0,21,NA,NA,NA,NA,NA,NA,NA,NA,6,3,212.07473749227918,256.0654725138975
40011000014,OK,011,14,2636,191,1615,404,122,56,84,0,164,2299,157,1362,385,105,53,84,0,153,NA,NA,NA,NA,NA,NA,NA,NA,6,3,458.66399011735643,553.8048177887586
40011000017,OK,011,17,1844,85,1361,54,291,11,0,0,42,1357,50,1062,38,183,7,0,0,17,NA,NA,NA,NA,NA,NA,NA,NA,6,3,270.72946263125385,326.88696726374303
40011000020,OK,011,20,485,8,458,1,5,0,1,0,12,374,6,356,1,5,0,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,6,3,74.61519456454602,90.09264978381717
40011000022,OK,011,22,81,1,76,0,3,0,0,0,1,66,1,61,0,3,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,6,3,16.720000000000002,20.416
40013000001,OK,013,1,2034,56,1480,2,402,2,1,0,91,1483,38,1123,2,260,2,1,0,57,NA,NA,NA,NA,NA,NA,NA,NA,3,2,319.5133974078928,193.23055919615553
40013000003,OK,013,3,2214,84,1648,128,226,33,0,1,94,1857,64,1422,114,169,27,0,1,60,NA,NA,NA,NA,NA,NA,NA,NA,3,2,400.09196155526433,241.96166448230667
40013000004,OK,013,4,1940,124,1448,21,266,4,0,0,77,1415,92,1117,13,146,4,0,0,43,NA,NA,NA,NA,NA,NA,NA,NA,3,2,304.862749381098,184.37035823503714
