GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,cd_1990,cd_2000,ndv,nrv
2400101-001,MD,001,01-001,949,0,898,48,2,0,0,0,1,681,0,673,5,2,0,0,0,1,NA,NA,90004,00030,7,4,148.6498387205161,123.90346750890397
2400102-001,MD,001,02-001,1214,10,1183,11,3,2,0,1,4,893,5,879,2,3,0,0,0,4,NA,NA,90096,00030,7,4,194.9255594382098,162.47547207848936
2400103-001,MD,001,03-001,1491,8,1445,33,1,0,1,0,3,1103,4,1086,9,1,0,0,0,3,NA,NA,90188,00030,7,4,240.7647167529064,200.6835898125126
2400104-002,MD,001,04-002,1704,6,1477,178,7,3,0,7,26,1166,2,1066,84,6,2,0,0,6,NA,21325,90281,00030,7,4,254.51646394731537,212.14602513271956
2400104-003,MD,001,04-003,2047,14,1926,62,12,2,0,2,29,1530,8,1464,36,8,2,0,0,12,NA,21325,90281,00030,7,4,333.9710032927895,278.3734292050266
2400104-004,MD,001,04-004,1958,10,1907,29,0,0,0,1,11,1582,7,1545,24,0,0,0,0,6,NA,21325,90281,00030,7,4,345.3216517707143,287.8344869296418
2400104-005,MD,001,04-005,1279,5,1221,24,0,6,0,0,23,985,3,951,17,0,2,0,0,12,NA,21325,90281,00030,7,4,215.00747597607688,179.21426651434714
2400104-008,MD,001,04-008,2032,8,1930,70,2,1,0,0,21,1591,7,1538,39,1,1,0,0,5,NA,21325,90281,00030,7,4,347.28618708420134,289.4719776896714
2400105-004,MD,001,05-004,1776,8,1690,66,3,1,0,1,7,1344,3,1296,39,3,1,0,1,1,NA,21325,90372,00030,7,4,293.3706068140582,244.5319534977488
2400105-006,MD,001,05-006,897,5,885,1,2,0,0,0,4,668,4,660,0,2,0,0,0,2,NA,21325,90372,00030,7,4,145.81217660103488,121.53820307775015
2400106-001,MD,001,06-001,2012,15,1815,131,3,11,4,7,26,1619,9,1466,108,3,9,4,3,17,NA,21325,90463,00030,7,4,353.39807472616087,294.56639338754115
2400106-003,MD,001,06-003,970,10,904,35,2,7,0,0,12,781,5,735,28,2,6,0,0,5,NA,21325,90463,00030,7,4,170.4780088703716,142.09780928701028
2400106-005,MD,001,06-005,1541,20,1367,46,5,90,0,1,12,1197,16,1074,37,3,61,0,0,6,NA,21325,90463,00030,7,4,261.28319669377055,217.78627108393252
2400106-006,MD,001,06-006,1972,8,1927,26,0,5,0,0,6,1568,6,1537,15,0,5,0,0,5,NA,20530,90463,00030,7,4,342.2657079497346,285.2872790807069
2400107-001,MD,001,07-001,3715,6,2495,1198,1,8,0,1,6,3223,6,2007,1198,1,5,0,1,5,NA,20530,90555,00030,7,4,703.5219239298434,586.4036355083664
2400107-002,MD,001,07-002,3143,27,3039,25,1,28,0,1,22,2373,16,2310,15,1,18,0,1,12,NA,20530,90555,00030,7,4,517.9824776560715,431.7517303944627
2400108-001,MD,001,08-001,2903,8,2874,7,3,4,0,0,7,2270,7,2247,7,3,2,0,0,4,NA,82750,90647,00030,7,4,495.4994624017203,413.0115583630132
2400109-001,MD,001,09-001,1440,0,1435,2,1,1,1,0,0,1130,0,1127,0,1,1,1,0,0,NA,04625,90740,00030,7,4,246.65832269336738,205.59606209260133
2400110-001,MD,001,10-001,2283,7,2242,11,7,2,1,0,13,1748,5,1731,3,3,2,1,0,3,NA,47875,90832,00030,7,4,381.55641421947445,318.03709428129827
2400111-001,MD,001,11-001,1102,2,1073,16,2,6,0,0,3,907,2,881,16,2,5,0,0,1,NA,30900,90926,00030,7,4,197.98150325918957,165.02267992742424
2400112-001,MD,001,12-001,3493,29,3325,79,0,20,5,8,27,2848,26,2717,63,0,19,5,7,11,NA,30900,91012,00030,7,4,621.6662858678852,518.1748538404677
2400113-001,MD,001,13-001,2617,17,2584,7,0,3,0,0,6,2001,9,1985,3,0,2,0,0,2,NA,46075,91104,00030,7,4,436.781684698609,364.0687789799073
2400114-001,MD,001,14-001,1106,12,1003,76,3,5,0,0,7,919,9,842,60,1,3,0,0,4,NA,21325,91197,00030,7,4,200.60088367717222,167.206000940797
2400116-001,MD,001,16-001,3568,169,2456,906,3,12,1,1,20,3113,167,2010,906,3,11,0,1,15,NA,NA,91380,00030,7,4,679.5109367650024,566.3898595524495
2400118-001,MD,001,18-001,2107,5,2086,3,1,6,0,1,5,1658,3,1647,1,0,2,0,0,5,NA,52475,91595,00030,7,4,361.91106108460457,301.66218668100265
2400120-001,MD,001,20-001,2185,2,2159,8,2,9,1,0,4,1709,2,1691,5,1,7,1,0,2,NA,46075,91747,00030,7,4,373.04342786103086,310.9413009878368
2400121-001,MD,001,21-001,829,1,818,3,1,0,0,0,6,640,1,630,3,1,0,0,0,5,NA,NA,91840,00030,7,4,139.70028895907535,116.44378737988039
2400122-001,MD,001,22-001,3025,15,2777,181,8,9,0,8,27,2401,9,2244,121,6,8,0,2,11,NA,21325,91928,00030,7,4,524.0943652980311,436.8461460923325
2400123-001,MD,001,23-001,3281,33,2985,203,12,1,0,9,38,2519,23,2332,144,6,1,0,2,11,NA,21325,92024,00030,7,4,549.8516060748606,458.315469390498
2400124-001,MD,001,24-001,2006,3,1963,11,0,15,0,0,14,1574,3,1549,8,0,10,0,0,4,NA,30900,92116,00030,7,4,343.5753981587259,286.37893958739335
2400126-001,MD,001,26-001,4888,72,4263,412,13,50,4,0,74,4400,69,3817,400,12,41,3,0,58,NA,30900,92300,00030,7,4,960.4394865936429,800.5510382366776
2400129-001,MD,001,29-001,2302,8,2244,10,1,19,1,1,18,1787,4,1747,10,1,12,0,1,12,NA,46075,92580,00030,7,4,390.06940057791815,325.13288757475976
2400129-002,MD,001,29-002,2233,15,2164,18,1,31,0,0,4,1798,9,1754,9,1,23,0,0,2,NA,46075,92580,00030,7,4,392.47049929440226,327.13426517035145
2400129-003,MD,001,29-003,1642,7,1592,15,0,20,0,0,8,1289,5,1260,7,0,12,0,0,5,NA,46075,92580,00030,7,4,281.3651132316377,234.52506551979036
2400131-001,MD,001,31-001,1570,5,1545,9,1,6,0,0,4,1203,4,1185,7,1,4,0,0,2,NA,NA,92764,00030,7,4,262.5928869027619,218.8779315906189
2400134-001,MD,001,34-001,1650,1,1643,2,0,0,0,0,4,1306,1,1300,2,0,0,0,0,3,NA,21325,92856,00030,7,4,285.0759021571131,237.61810362206842
24001ZZZZZZ,MD,001,ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,21325,90463,00030,7,4,0,0
2400301-001,MD,003,01-001,2186,26,1925,52,9,132,5,2,35,1790,17,1597,46,4,104,4,0,18,NA,47125,90376,00060,4,8,301.3637779356319,294.77635101907
2400301-002,MD,003,01-002,901,1,844,29,3,18,0,0,6,669,1,626,24,3,11,0,0,4,NA,47125,90376,00060,4,8,112.63260750778646,110.17060269930604
2400301-003,MD,003,01-003,2974,82,2528,255,16,79,0,0,14,2299,63,1971,178,15,61,0,0,11,NA,28075,90376,00060,2,7,387.05884104693735,378.5982296049396
2400301-004,MD,003,01-004,2704,35,1769,803,10,49,1,3,34,2122,23,1442,592,9,37,0,3,16,NA,64250,90376,00060,4,7,357.25918255833017,349.4499535544506
2400301-005,MD,003,01-005,3591,102,2447,758,6,173,1,8,96,2594,67,1796,536,5,136,1,2,51,NA,71150,90284,00060,4,7,436.7249385279493,427.178689689088
2400301-006,MD,003,01-006,2344,107,1375,681,10,94,0,2,75,1722,62,1055,498,3,70,0,0,34,NA,71150,90376,00060,4,7,289.9153215671275,283.5781432708595
2400301-007,MD,003,01-007,2373,55,2215,35,12,30,5,3,18,1817,46,1704,19,10,23,2,3,10,NA,64250,90376,00060,4,8,305.9094885525381,299.2226982132124
2400301-008,MD,003,01-008,2963,45,2725,89,6,71,2,0,25,2301,28,2134,55,5,59,2,0,18,NA,28075,90376,00060,4,8,387.3955603518933,378.92758865635756
2400301-009,MD,003,01-009,2625,20,2441,101,6,31,0,5,21,1993,12,1867,71,6,25,0,0,12,NA,28075,90376,00060,2,7,335.5407873886673,328.2062947379925
2400301-010,MD,003,01-010,1743,13,1667,20,3,25,3,0,12,1362,7,1313,12,3,16,3,0,8,NA,47125,90376,00060,4,8,229.3058466750451,224.29351401562758
2400301-011,MD,003,01-011,2440,22,2367,9,1,30,0,0,11,1913,15,1864,8,1,22,0,0,3,NA,47125,90376,00060,4,8,322.0720151904267,315.03193268127427
2400301-012,MD,003,01-012,5654,276,2988,1851,16,309,1,18,195,4039,170,2377,1136,11,228,1,10,106,NA,28075,90376,00060,4,7,680.0046363586689,665.1406043385607
2400301-013,MD,003,01-013,1810,30,1659,86,11,10,1,0,13,1258,18,1173,46,9,7,1,0,4,NA,10475,90376,00060,4,7,211.79644281733238,207.16684334189387
2400301-014,MD,003,01-014,2526,86,2129,211,16,64,0,0,20,1896,65,1618,140,14,49,0,0,10,NA,28075,90376,00060,4,7,319.2099010983007,312.23238074422164
2400301-015,MD,003,01-015,2639,34,2417,132,6,18,3,6,23,2041,21,1898,83,5,14,3,4,13,NA,10475,90376,00060,2,7,343.6220507076116,336.11091197202336
2400301-016,MD,003,01-016,3230,59,2861,152,20,83,0,12,43,2410,35,2182,87,13,63,0,7,23,NA,10475,90376,00060,2,7,405.7467624719961,396.8776569586361
2400301-017,MD,003,01-017,1949,15,1818,75,7,18,0,1,15,1495,13,1404,56,6,10,0,0,6,NA,10475,90376,00060,2,7,251.69768045461998,246.1958909349216
2400301-018,MD,003,01-018,3488,88,2380,868,11,100,0,0,41,2842,54,1990,685,8,81,0,0,24,NA,32650,90376,00060,2,7,478.478132342495,468.0192120649145
2400301-019,MD,003,01-019,5500,271,2286,2551,18,177,9,26,162,3563,162,1667,1518,12,130,7,6,61,NA,71150,90284,00060,4,7,599.8654417791378,586.7531501010874
2400301-020,MD,003,01-020,3351,136,1819,1072,7,211,3,5,98,2551,105,1438,771,7,173,1,2,54,NA,71150,90284,00060,4,7,429.485473471395,420.097470083602
2400301-021,MD,003,01-021,4624,77,4151,241,14,74,8,2,57,3543,48,3218,159,13,61,6,0,38,NA,32650,90376,00060,2,8,596.4982487295777,583.4595595869079
2400301-022,MD,003,01-022,5703,119,3210,2217,9,72,1,5,70,4938,78,2594,2154,9,61,1,3,38,NA,42550,90284,00060,4,8,831.359963936397,813.1874979509316
2400302-001,MD,003,02-001,4994,140,3859,640,42,195,7,10,101,3703,93,2948,429,33,149,4,2,45,NA,71150,90284,00060,4,8,623.4357931260587,609.8082837003443
2400302-002,MD,003,02-002,4282,107,3564,307,14,228,1,1,60,3247,72,2745,207,14,176,1,0,32,NA,73550,90192,00060,2,8,546.6637915960877,534.7144199770504
2400302-003,MD,003,02-003,2725,41,2278,256,5,68,3,16,58,2046,31,1756,172,4,54,1,6,22,NA,73550,90284,00060,2,8,344.46384897000166,336.93430960056827
2400302-004,MD,003,02-004,2608,78,1889,523,4,64,1,7,42,1965,50,1453,379,3,56,1,4,19,NA,71150,90284,00060,2,8,330.8267171192831,323.5952680181411
2400302-005,MD,003,02-005,3593,208,2731,458,3,119,3,5,66,2797,160,2175,320,3,101,2,2,34,NA,32650,90192,00060,2,8,470.90194798098463,460.60863340801046
2400302-006,MD,003,02-006,2249,29,2067,64,8,51,2,3,25,1683,18,1565,41,8,36,2,1,12,NA,32650,90192,00060,2,8,283.34929512048524,277.1556417682094
2400302-007,MD,003,02-007,2872,33,2424,269,16,87,1,8,34,2175,24,1854,197,12,65,1,2,20,NA,32650,90192,00060,2,8,366.1822441396645,358.17796841702636
2400302-008,MD,003,02-008,3255,40,2989,91,12,66,3,1,53,2493,29,2303,67,12,53,3,1,25,NA,32650,90376,00060,2,8,419.7206136276706,410.5460575924813
