GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT.x,DISTRICT.y,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
09001000901,CT,001,00901,3868,223,3255,72,2,201,0,34,81,2856,158,2445,53,2,131,0,23,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,473.75437528534474,854.4964236798053
09001000902,CT,001,00902,4792,169,4327,64,5,184,5,4,34,3421,102,3123,42,3,130,3,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,567.4767919646933,1023.5407091766855
09001000903,CT,001,00903,6233,150,5813,50,3,133,0,25,59,4509,101,4233,45,3,85,0,15,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,747.9546492162532,1349.0631562928018
09001000904,CT,001,00904,3174,127,2842,33,7,113,1,0,51,2356,85,2135,30,5,73,1,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,390.81418353370873,704.8997108507076
09001001501,CT,001,01501,6590,2640,1305,2287,18,84,1,16,239,4592,1681,1179,1484,13,65,1,12,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,780.1483585268784,596.5335675180777
09001001502,CT,001,01502,3046,634,1309,944,12,58,4,7,78,2304,409,1153,624,9,47,2,5,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,391.4333227451933,299.3060408453073
09001001504,CT,001,01504,303,176,3,122,1,1,0,0,0,221,122,3,94,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,37.54633868345821,28.709477008165322
09001001505,CT,001,01505,5021,1223,2431,1103,8,108,3,32,113,3798,794,2070,740,5,87,2,21,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,645.2533679627795,493.3873017059362
09001001506,CT,001,01506,1270,434,317,477,2,1,0,1,38,907,285,278,313,2,1,0,1,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,154.092892243876,117.82577215568303
09001001507,CT,001,01507,4907,1667,1383,1581,25,97,0,20,134,3481,1070,1186,1026,20,67,0,16,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,591.3973074982716,452.20673966254975
09001001508,CT,001,01508,1508,287,770,409,1,8,0,2,31,1383,236,762,349,1,7,0,2,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,234.96192940824753,179.6615687886545
09001001510,CT,001,01510,1538,551,314,535,2,34,0,24,78,1012,329,253,335,1,25,0,20,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,171.93165044189914,131.46602141295614
09001001511,CT,001,01511,5483,1859,1011,1885,12,400,5,51,260,3659,1144,826,1186,8,270,3,38,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,621.6382499673014,475.3302098320223
09001001512,CT,001,01512,4525,1151,1580,1121,23,371,2,87,190,3284,755,1296,772,13,257,2,66,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,557.9283992600758,426.6150339131897
09001001513,CT,001,01513,3324,706,768,1658,6,39,1,31,115,2289,438,650,1075,4,27,1,21,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,388.88492871690426,297.357433808554
09001001514,CT,001,01514,5791,1250,720,3524,33,44,0,28,192,3906,773,603,2357,12,30,0,20,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,663.6018049664605,507.41727237056
09001001515,CT,001,01515,958,244,259,360,6,15,0,27,47,648,151,203,233,4,10,0,18,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,110.09062202208561,84.17982398774267
09001001516,CT,001,01516,6027,1287,2785,1517,11,149,2,67,209,4439,797,2317,1015,8,113,2,52,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,754.1547394383304,576.6577757431941
09001001517,CT,001,01517,5975,1878,1901,1599,12,138,0,95,352,4455,1296,1594,1147,10,102,0,71,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,756.8730264018386,578.7362899157308
09001001518,CT,001,01518,8935,937,6566,918,16,287,1,42,168,7523,662,5835,640,15,220,1,33,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1278.1045516545528,977.2913824996731
09001001519,CT,001,01519,6735,1166,4185,832,3,225,1,73,250,5122,783,3415,557,2,156,1,49,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,870.1916141930903,665.3843494833611
