GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
35001000271,NM,001,271,1000,237,649,13,61,9,0,0,31,849,183,577,11,48,7,0,0,23,NA,02000,90060,00060,019,016,1,3,138.57235275154093,164.8844121850175
35001000272,NM,001,272,665,135,489,7,14,8,0,4,8,545,98,412,7,13,8,0,2,5,NA,02000,90060,00060,019,016,1,3,88.9539838039927,105.84452843443407
35001000273,NM,001,273,1354,341,859,60,15,21,1,2,55,1016,243,673,42,14,14,1,1,28,NA,02000,90060,00060,019,016,1,3,165.82981200891118,197.3175062190551
35001000274,NM,001,274,614,150,394,6,20,21,0,0,23,519,123,352,4,15,15,0,0,10,NA,02000,90060,00060,019,016,1,3,84.71030751242607,100.79506469260785
35001000275,NM,001,275,2955,1229,1054,275,261,72,1,5,58,2347,898,975,194,182,61,1,4,32,NA,02000,90060,00060,019,016,1,3,383.07339447334107,455.8112077717739
35001000278,NM,001,278,874,243,466,71,45,22,3,9,15,731,184,410,63,35,18,3,6,12,NA,02000,90060,00060,019,014,1,3,119.31259112058471,141.96761520288314
35001000281,NM,001,281,1198,527,442,46,128,22,1,0,32,911,361,382,34,96,19,1,0,18,NA,02000,90060,00060,019,016,1,3,148.69188852373827,176.92544110783385
35001000282,NM,001,282,1487,504,840,36,62,32,0,0,13,1279,374,800,26,50,22,0,0,7,NA,02000,90060,00060,019,017,1,3,208.75622988129663,248.3947740690664
35001000283,NM,001,283,873,441,308,32,57,24,2,0,9,661,305,272,19,41,16,2,0,6,NA,02000,90060,00060,019,017,1,3,107.8873087971361,128.37290512873562
35001000284,NM,001,284,892,269,503,34,43,28,4,0,11,706,205,424,28,21,20,3,0,5,NA,02000,90060,00060,019,017,1,3,115.2321331479245,137.11236160497333
35001000285,NM,001,285,1238,517,450,49,111,67,0,0,44,888,336,387,33,65,44,0,0,23,NA,02000,90060,00060,019,017,1,3,144.93786718889086,172.4586077977568
35001000286,NM,001,286,6142,3746,1363,219,446,254,2,10,102,4390,2427,1190,164,331,209,2,8,59,NA,02000,90060,00060,026,017,1,3,716.5284199991339,852.5825317929643
35001000287,NM,001,287,1295,655,403,78,80,48,1,0,30,925,422,347,56,48,32,1,0,19,NA,02000,90060,00060,026,017,1,3,150.97694498842796,179.64438312266333
35001000289,NM,001,289,1023,140,837,7,6,19,0,0,14,820,111,672,5,6,18,0,0,8,NA,02000,90060,00060,020,019,1,3,133.83902150325508,159.2523180114421
35001000290,NM,001,290,496,26,445,2,3,16,0,2,2,448,24,400,2,2,16,0,2,2,NA,02000,90060,00060,020,019,1,3,73.12180687007105,87.00614447454397
35001000291,NM,001,291,1192,414,653,30,24,43,0,6,22,881,294,508,18,16,31,0,0,14,NA,02000,90060,00060,021,019,1,3,143.795338956546,171.09913679034207
35001000292,NM,001,292,1663,523,1015,27,15,47,5,1,30,1375,375,899,22,13,40,5,1,20,NA,02000,90060,00060,021,017,1,3,224.42518849631188,267.0389478850401
35001000293,NM,001,293,2494,788,1251,139,222,40,2,0,52,1939,556,1064,96,157,33,2,0,31,NA,02000,90060,00060,020,017,1,3,316.4803203595264,376.5734690538857
35001000294,NM,001,294,863,79,745,12,8,16,0,2,1,736,59,646,10,5,13,0,2,1,NA,02000,90060,00060,020,019,1,3,120.12868271511675,142.9386659224651
35001000295,NM,001,295,1006,222,682,15,27,37,0,1,22,759,142,545,11,20,29,0,1,11,NA,02000,90060,00060,020,019,1,3,123.88270404996415,147.40549923254213
35001000296,NM,001,296,984,230,685,11,28,16,1,0,13,833,168,619,10,18,8,1,0,9,NA,02000,90060,00060,020,019,1,3,135.96085964903838,161.7770498823552
35001000297,NM,001,297,2109,696,1082,114,88,81,2,0,46,1538,482,836,77,64,55,2,0,22,NA,02000,90060,00060,020,019,1,3,251.02977447805648,298.6952013434121
35001000298,NM,001,298,2345,836,1034,160,87,129,8,11,80,1598,522,782,84,55,101,2,8,44,NA,02000,90060,00060,020,019,1,3,260.822873612441,310.3478099783957
35001000299,NM,001,299,1633,409,1105,21,30,35,0,0,33,1251,262,901,19,23,29,0,0,17,NA,02000,90060,00060,020,019,1,3,204.1861169519172,242.9568900394074
35001000300,NM,001,300,954,276,530,58,35,27,0,0,28,715,196,421,36,24,22,0,0,16,NA,02000,90060,00060,020,019,1,3,116.70109801808216,138.86025290022084
35001000301,NM,001,301,1150,227,760,32,29,70,3,2,27,846,156,576,24,17,53,1,2,17,NA,02000,90060,00060,022,019,1,3,138.0826977948217,164.30178175326833
35001000302,NM,001,302,2381,358,1822,19,13,129,0,6,34,1839,262,1434,14,11,99,0,4,15,NA,02000,90060,00060,022,019,1,3,300.1584884688855,357.1524546622464
