GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
13001000002,GA,001,2,3302,92,1100,2068,0,14,0,2,26,2283,56,830,1374,0,13,0,0,10,NA,06016,90240,00060,170,6,1,1,378.5210401891253,277.4141843971631
1300100001A,GA,001,1A,232,2,229,0,0,0,0,0,1,174,2,171,0,0,0,0,0,1,NA,NA,90078,00060,170,6,1,1,28.849172576832153,21.143262411347518
1300100001B,GA,001,1B,1805,52,1651,92,1,0,0,0,9,1333,31,1236,58,1,0,0,0,7,NA,NA,90078,00060,170,6,1,1,221.01118991331757,161.97683215130024
1300100001C,GA,001,1C,1231,61,1135,34,0,1,0,0,0,895,41,829,24,0,1,0,0,0,NA,06016,90240,00060,170,6,1,1,148.39085894405045,108.75413711583926
1300100001D,GA,001,1D,212,5,191,12,0,0,0,1,3,161,3,152,6,0,0,0,0,0,NA,34260,92706,00060,170,6,1,1,26.693774625689517,19.563593380614655
1300100003A,GA,001,3A,396,5,387,4,0,0,0,0,0,294,5,285,4,0,0,0,0,0,NA,NA,90078,00060,170,6,1,1,48.7451536643026,35.724822695035456
1300100003B,GA,001,3B,592,16,317,251,2,1,0,0,5,447,10,243,189,2,0,0,0,3,NA,74852,92904,00060,170,6,1,1,74.11252955082743,54.316312056737594
1300100003C,GA,001,3C,2161,138,1572,409,16,16,0,0,10,1606,91,1223,264,13,9,0,0,6,NA,06016,90240,00060,170,6,1,1,266.2745468873128,195.1498817966903
1300100004A,GA,001,4A,579,11,513,49,1,3,0,0,2,451,6,409,32,1,1,0,0,2,NA,NA,92904,00060,170,6,1,1,74.77572892040978,54.80236406619386
1300100004B,GA,001,4B,758,56,666,29,0,2,1,0,4,524,34,475,11,0,1,0,0,3,NA,NA,92706,00060,170,6,1,1,86.87911741528762,63.67281323877068
1300100004C,GA,001,4C,671,24,639,2,0,0,0,0,6,487,12,469,2,0,0,0,0,4,NA,NA,92706,00060,170,6,1,1,80.7445232466509,59.17683215130024
1300100004D,GA,001,4D,1372,185,1113,67,1,0,0,0,6,1032,138,855,34,1,0,0,0,4,NA,06016,90240,00060,170,6,1,1,171.10543735224587,125.40141843971632
1300100005A,GA,001,5A,2200,97,1881,194,3,10,0,0,15,1636,59,1442,117,3,8,0,0,7,NA,06016,90240,00060,170,6,1,1,271.24854215918043,198.79527186761229
1300100005B,GA,001,5B,645,13,612,14,4,2,0,0,0,453,8,433,8,2,2,0,0,0,NA,NA,92706,00060,170,6,1,1,75.10732860520095,55.04539007092199
1300100005C,GA,001,5C,637,31,600,1,0,2,0,0,3,469,15,449,1,0,1,0,0,3,NA,NA,92706,00060,170,6,1,1,77.76012608353034,56.98959810874704
130010001A1,GA,001,1A1,372,1,362,7,0,0,0,1,1,263,1,254,7,0,0,0,1,0,NA,NA,90078,00060,170,6,1,1,43.6053585500394,31.957919621749408
130010005B1,GA,001,5B1,254,3,85,165,0,0,0,0,1,182,1,71,109,0,0,0,0,1,NA,34260,92706,00060,170,6,1,1,30.175571315996848,22.115366430260046
13003000001,GA,003,0001,2523,340,2004,149,4,2,0,0,24,1757,183,1455,101,2,1,0,0,15,NA,59808,92334,00090,167,19,1,1,271.78645538577626,208.1486511978872
13003000002,GA,003,0002,1071,136,863,62,5,0,0,0,5,753,67,634,47,4,0,0,0,1,NA,NA,90180,00090,167,19,1,1,116.47990945104698,89.20656479909452
13003000003,GA,003,0003,2210,305,1295,583,0,7,0,3,17,1555,178,937,420,0,5,0,1,14,NA,82972,93378,00090,167,19,1,1,240.53952084512355,184.21807206187512
13003000004,GA,003,0004,1805,509,598,683,14,0,0,0,1,1236,322,461,442,10,0,0,0,1,NA,59808,92334,00090,167,19,1,1,191.1941143180532,146.4267119411432
13005000DOU,GA,005,DOU,6005,224,4386,1323,4,17,0,6,45,4372,150,3357,823,3,15,0,1,23,NA,01612,90072,00150,169,19,1,1,601.1133467471495,562.9939637826961
1300500NEWL,GA,005,NEWL,1792,70,1513,180,6,1,0,0,22,1318,52,1139,109,5,1,0,0,12,NA,01612,92562,00150,169,19,1,1,181.21395036887995,169.72233400402413
1300500WARE,GA,005,WARE,755,20,718,12,0,1,0,0,4,603,15,577,7,0,1,0,0,3,NA,NA,90072,00150,169,19,1,1,82.90744466800805,77.64989939637827
130050TAYLO,GA,005,TAYLO,1036,17,988,16,4,1,0,1,9,767,11,738,12,2,1,0,0,3,NA,NA,90072,00150,169,19,1,1,105.4560697518444,98.76861167002012
130050WARNO,GA,005,WARNO,515,11,463,31,0,8,0,0,2,395,7,365,17,0,5,0,0,1,NA,NA,92562,00150,169,19,1,1,54.309188464118044,50.86519114688129
1300700000A,GA,007,A,327,0,195,128,0,0,0,0,4,232,0,148,82,0,0,0,0,2,NA,NA,92010,00180,161,12,4,2,58.92063492063492,30.94900371496116
1300700000E,GA,007,E,595,21,290,274,5,0,0,0,5,450,12,234,198,3,0,0,0,3,NA,NA,92160,00180,161,12,4,2,114.28571428571428,60.03039513677811
1300700000H,GA,007,H,594,15,197,379,2,0,0,0,1,410,9,156,242,2,0,0,0,1,NA,NA,92010,00180,161,12,4,2,104.12698412698413,54.69436001350895
1300700000M,GA,007,M,521,4,265,250,1,0,1,0,0,385,4,213,166,1,0,1,0,0,NA,NA,92010,00180,161,12,4,2,97.77777777777777,51.35933806146572
1300700000N,GA,007,N,2037,71,942,1007,1,0,0,2,14,1484,39,731,706,1,0,0,0,7,NA,55244,92160,00180,161,12,4,2,376.88888888888886,197.96690307328603
13009000318,GA,009,318,4185,65,3353,650,9,59,0,11,38,3287,49,2699,452,7,51,0,2,27,NA,51492,92016,00210,122,25,5,3,388.0048886474742,340.8316132536665
13009000319,GA,009,319,2364,81,1187,1073,2,11,0,2,8,1788,53,914,806,1,8,0,0,6,NA,51492,92016,00210,122,25,5,3,211.05955001572372,185.39912518939934
13009000322,GA,009,322,2186,9,1774,395,0,2,2,0,4,1600,7,1315,274,0,2,2,0,0,NA,NA,90786,00210,122,25,5,3,188.86760627805256,165.90525744017842
13009001714,GA,009,1714,1794,24,1337,402,4,9,0,0,18,1313,12,1015,271,3,5,0,0,7,NA,51492,90786,00210,122,25,5,3,154.98947940192687,136.1460018868464
1300900321E,GA,009,321E,2942,29,858,1992,11,20,0,0,32,2035,17,697,1282,9,16,0,0,14,NA,51394,92016,00210,122,25,5,3,240.21598673489808,211.0107493067269
1300900321W,GA,009,321W,5760,38,1719,3882,16,29,0,11,65,4172,23,1417,2666,7,18,0,3,38,NA,51394,92016,00210,122,25,5,3,492.472283370022,432.59795877526517
