GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,school,ssd,cd_1990,cd_2000,ndv,nrv
3100100001P,NE,001,1P,1126,12,1107,0,2,0,0,0,5,806,5,796,0,2,0,0,0,3,NA,25160,25195,02780,02770,72420,33,1,2,136,262
3100100001W,NE,001,1W,2129,221,1776,31,5,82,0,1,13,1479,117,1274,21,3,62,0,0,2,NA,21415,21415,18450,02770,71580,33,1,2,271.84490005125576,411.78513582778066
3100100002P,NE,001,2P,306,2,304,0,0,0,0,0,0,228,2,226,0,0,0,0,0,0,NA,40430,50545,30450,02770,72420,33,1,2,35,90
3100100002W,NE,001,2W,2015,118,1776,17,14,69,1,5,15,1467,59,1336,4,8,51,1,1,7,NA,21415,21415,18450,02770,71580,33,1,2,269.63926191696567,408.44407995899536
3100100003P,NE,001,3P,976,9,960,0,2,1,0,0,4,687,6,676,0,2,0,0,0,3,NA,24950,24985,72360,02770,00066,33,1,2,137,204
3100100003W,NE,001,3W,1275,136,1123,6,1,1,0,2,6,1169,81,1074,6,1,1,0,2,4,NA,21415,21415,18450,02770,71580,33,1,2,214.865914915428,325.47452588416195
3100100004P,NE,001,4P,1084,10,1061,5,1,4,1,2,0,779,3,769,1,1,4,1,0,0,NA,21415,22360,33390,02770,77880,33,1,2,97,203
3100100004W,NE,001,4W,746,85,601,2,3,37,0,0,18,574,55,480,2,3,25,0,0,9,NA,21415,21415,NA,NA,71580,33,1,2,105.50302409021015,159.8138390568939
3100100005P,NE,001,5P,1052,9,1038,0,0,1,0,0,4,725,6,717,0,0,0,0,0,2,NA,21415,12805,49590,02770,71580,33,1,2,133.257303946694,201.85545873910814
3100100005W,NE,001,5W,2014,125,1775,43,17,49,1,0,4,1578,88,1388,41,17,40,1,0,3,NA,21415,21415,18450,02770,71580,33,1,2,290.04141465914915,439.34884674525887
3100100006P,NE,001,6P,484,10,468,2,1,1,0,0,2,413,6,401,2,1,1,0,0,2,NA,21415,05210,18450,02770,71580,33,1,2,75.9107124551512,114.98800615069194
3100100006W,NE,001,6W,1255,14,1196,7,2,31,0,0,5,920,9,890,2,1,16,0,0,2,NA,21415,21415,18450,02770,71580,33,1,2,169.09892362890827,256.14761660686827
3100100007P,NE,001,7P,418,8,409,0,0,0,0,0,1,309,5,303,0,0,0,0,0,1,NA,22815,10810,02780,02770,00066,33,1,2,51,111
3100100007W,NE,001,7W,1037,39,968,3,4,16,1,0,6,794,27,749,2,1,9,1,0,5,NA,21415,21415,NA,NA,71580,33,1,2,145.93972321886213,221.06652998462326
3100100008P,NE,001,8P,581,12,563,0,0,3,0,0,3,427,7,418,0,0,1,0,0,1,NA,42355,42390,49590,02770,00066,33,1,2,96,135
3100100008W,NE,001,8W,1127,5,1090,6,4,14,0,0,8,868,2,850,2,2,12,0,0,0,NA,21415,21415,18450,02770,71580,33,1,2,159.54115838031777,241.66970784213223
3100100009P,NE,001,9P,632,6,617,0,1,3,0,0,5,456,5,447,0,1,2,0,0,1,NA,02865,02900,45810,02770,04200,33,1,2,74,114
3100100009W,NE,001,9W,1463,122,1294,5,6,24,0,4,8,1132,87,1013,5,6,16,0,1,4,NA,21415,21415,NA,NA,71580,33,1,2,208.06519733470017,315.1729369554075
3100100010P,NE,001,10P,440,2,435,0,0,0,0,0,3,333,2,330,0,0,0,0,0,1,NA,NA,28385,55680,02770,04200,33,1,2,70,124
3100100010W,NE,001,10W,1516,90,1358,7,9,40,0,0,12,1136,67,1017,6,8,29,0,0,9,NA,21415,21415,NA,NA,71580,33,1,2,208.80041004613017,316.28662224500255
3100100011W,NE,001,11W,895,23,852,0,0,19,0,0,1,677,13,654,0,0,9,0,0,1,NA,21415,21415,18450,02770,71580,33,1,2,124.43475140953356,188.49123526396718
3100100012W,NE,001,12W,868,23,831,0,0,10,0,0,4,667,11,648,0,0,8,0,0,0,NA,21415,21415,18450,02770,71580,33,1,2,122.59671963095848,185.7070220399795
3100100013W,NE,001,13W,1345,40,1279,5,3,14,0,0,4,1005,27,962,3,1,9,0,0,3,NA,21415,21415,33390,02770,71580,33,1,2,184.72219374679653,279.81342901076374
3100100014W,NE,001,14W,1307,91,1159,11,2,35,1,2,6,977,56,882,4,2,27,1,0,5,NA,21415,21415,NA,NA,71580,33,1,2,179.57570476678626,272.01763198359816
3100100015W,NE,001,15W,1125,47,1046,8,1,16,0,1,6,850,23,805,6,1,12,0,1,2,NA,21415,21415,18450,02770,71580,33,1,2,156.23270117888262,236.65812403895436
3100100016W,NE,001,16W,1641,65,1519,16,7,14,0,0,20,1323,40,1242,16,4,10,0,0,11,NA,21415,21415,NA,NA,71580,33,1,2,243.17160430548435,368.3514095335725
3100100017W,NE,001,17W,2294,104,2130,10,14,14,2,0,20,1756,69,1651,7,6,11,0,0,12,NA,21415,21415,18450,02770,71580,33,1,2,322.7583803177858,488.9078421322399
3100300001P,NE,003,1P,658,1,652,0,0,0,0,0,5,486,1,485,0,0,0,0,0,0,NA,37210,18055,07560,NA,74910,40,1,2,13,28
3100300001W,NE,003,1W,335,11,310,1,9,1,0,0,3,265,6,252,0,5,1,0,0,1,NA,48935,48935,NA,NA,00025,40,1,2,0,0
3100300002P,NE,003,2P,262,0,261,0,1,0,0,0,0,194,0,193,0,1,0,0,0,0,NA,42495,42530,08860,NA,74910,40,1,2,9,25
3100300002W,NE,003,2W,742,7,732,0,0,0,0,0,3,603,4,597,0,0,0,0,0,2,NA,33775,33775,NA,NA,74220,40,1,2,105.1632,264.3552
3100300003P,NE,003,3P,842,1,831,1,6,2,0,0,1,564,1,553,1,6,2,0,0,1,NA,06890,15185,08860,NA,75570,40,1,2,30,39
3100300003W,NE,003,3W,904,17,886,0,0,0,0,0,1,647,7,640,0,0,0,0,0,0,NA,33775,33775,NA,NA,74220,40,1,2,112.83679999999998,283.6448
3100300004P,NE,003,4P,969,11,952,0,1,1,0,0,4,665,6,655,0,1,0,0,0,3,NA,09445,09480,08860,NA,05250,40,1,2,15,31
3100300004W,NE,003,4W,390,0,390,0,0,0,0,0,0,286,0,286,0,0,0,0,0,0,NA,14730,28525,NA,NA,70050,40,1,2,87.48837209302326,160.65116279069767
3100300005P,NE,003,5P,519,0,514,0,0,0,0,0,5,400,0,398,0,0,0,0,0,2,NA,33775,33810,08860,NA,74220,40,1,2,17,46
3100300005W,NE,003,5W,345,0,342,0,0,0,0,0,3,273,0,272,0,0,0,0,0,1,NA,14730,28525,NA,NA,70050,40,1,2,83.51162790697674,153.34883720930233
3100300006P,NE,003,6P,524,1,521,1,0,0,0,0,1,342,1,340,1,0,0,0,0,0,NA,14730,14765,41790,NA,70050,40,1,2,13,36
3100300007P,NE,003,7P,632,2,626,1,3,0,0,0,0,439,1,435,0,3,0,0,0,0,NA,35385,35420,48300,NA,74220,40,1,2,61,122
3100300008P,NE,003,8P,330,1,326,0,3,0,0,0,0,238,0,237,0,1,0,0,0,0,NA,48935,07170,48300,NA,00025,40,1,2,23,45
3100500001P,NE,005,1P,444,6,425,0,1,2,1,2,7,338,4,326,0,1,2,1,2,2,NA,02200,90085,32550,03210,74760,47,1,2,54,199
3100700001P,NE,007,1P,819,46,769,1,0,1,0,0,2,583,25,554,1,0,1,0,0,2,NA,21030,91850,49470,NA,00067,49,1,2,125,356
3100900001P,NE,009,1P,175,0,171,0,2,0,0,0,2,126,0,124,0,2,0,0,0,0,NA,20680,92690,63120,78020,76380,43,1,2,25,78
3100900002P,NE,009,2P,230,0,229,0,0,0,0,0,1,168,0,167,0,0,0,0,0,1,NA,06260,90355,00069,NA,76380,43,1,2,29,109
3100900003P,NE,009,3P,178,1,176,0,1,0,0,0,0,136,0,135,0,1,0,0,0,0,NA,13960,90765,NA,NA,76380,43,1,2,38,101
3101100001P,NE,011,1P,731,8,721,0,0,0,0,0,2,509,3,505,0,0,0,0,0,1,NA,38995,92215,16620,NA,75450,41,1,2,130,227
3101100002P,NE,011,2P,237,1,235,0,0,0,0,0,1,150,0,149,0,0,0,0,0,1,NA,NA,92147,48300,NA,75450,41,1,2,68,300
3101100003P,NE,011,3P,362,7,354,0,0,0,0,0,1,252,4,247,0,0,0,0,0,1,NA,40360,90762,00001,NA,00068,41,1,2,63,101
3101100004P,NE,011,4P,916,12,903,0,0,0,1,0,0,638,7,631,0,0,0,0,0,0,NA,00555,92168,16620,NA,02820,41,1,2,37,89
3101100005P,NE,011,5P,946,3,938,0,0,1,0,0,4,698,3,692,0,0,1,0,0,2,NA,00555,93026,16620,NA,02820,41,1,2,233.8626168224299,436.0869158878505
3101100006P,NE,011,6P,1062,10,1048,0,2,1,0,0,1,748,1,745,0,1,0,0,0,1,NA,00555,92987,22710,NA,02820,41,1,2,26,91
3101100007P,NE,011,7P,747,5,741,0,0,0,0,0,1,533,2,531,0,0,0,0,0,0,NA,08220,90465,13560,NA,00068,41,1,2,178.57990654205608,333.0004672897196
3101100008P,NE,011,8P,298,1,297,0,0,0,0,0,0,198,1,197,0,0,0,0,0,0,NA,NA,90310,13560,NA,02820,41,1,2,66.3392523364486,123.70373831775701
3101100009P,NE,011,9P,960,9,944,3,1,0,0,0,3,711,2,705,1,1,0,0,0,2,NA,43055,90145,13560,NA,76980,22,1,2,238.2182242990654,444.2088785046729
3101300001P,NE,013,1P,172,3,165,0,4,0,0,0,0,115,0,115,0,0,0,0,0,0,NA,NA,91690,60990,76800,71730,49,1,2,29,49
3101300002P,NE,013,2P,1326,70,1227,0,9,0,0,0,20,943,37,893,0,5,0,0,0,8,NA,22045,90730,53520,76800,71730,49,1,2,168,321
3101300003P,NE,013,3P,251,7,241,0,1,0,0,0,2,187,3,182,0,0,0,0,0,2,NA,NA,92120,37800,NA,71730,49,1,2,46,83
3101300004P,NE,013,4P,1444,47,1364,1,4,11,0,0,17,1047,24,1005,1,2,9,0,0,6,NA,00905,90327,41040,76800,02910,49,1,2,78.30338664158043,157.09924741298212
3101300005P,NE,013,5P,1419,62,1297,3,30,11,0,1,15,1013,29,949,3,17,9,0,1,5,NA,00905,90327,NA,NA,02910,49,1,2,279.5328861561394,364.4686044345072
3101300006P,NE,013,6P,1089,43,1027,0,13,3,0,0,3,816,26,782,0,4,3,0,0,1,NA,00905,90327,NA,NA,02910,49,1,2,225.17160424818334,293.58971492453884
