GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
28139000106,MS,139,106,419,6,344,68,0,0,0,0,1,308,6,251,50,0,0,0,0,1,NA,24220,90630,03270,4,4,2,4,50.22253521126761,82.10704225352113
28139000201,MS,139,201,1281,10,1151,106,3,1,0,2,8,950,7,866,69,2,1,0,0,5,NA,24220,91368,03270,4,4,2,4,154.90717029449422,253.25224071702945
28139000202,MS,139,202,3025,100,2248,643,6,9,0,4,15,2219,71,1709,419,4,5,0,2,9,NA,62600,91368,04110,4,4,2,4,361.83053777208704,591.5439180537771
28139000301,MS,139,301,1735,54,1258,398,3,3,0,2,17,1298,32,981,273,3,2,0,0,7,NA,07060,92106,04110,4,3,2,4,211.65211267605633,346.0225352112676
28139000302,MS,139,302,620,8,254,354,0,0,0,0,4,459,1,194,263,0,0,0,0,1,NA,NA,92106,04110,4,3,2,4,74.84462227912933,122.36081946222791
28139000303,MS,139,303,454,0,378,73,2,0,0,0,1,344,0,287,54,2,0,0,0,1,NA,NA,92106,04110,4,3,2,4,56.092701664532655,91.70396927016645
28139000304,MS,139,304,211,6,195,10,0,0,0,0,0,156,4,143,9,0,0,0,0,0,NA,NA,92106,04110,4,3,2,4,25.437387964148527,41.58668373879642
28139000305,MS,139,305,589,0,515,67,0,0,0,1,6,440,0,398,39,0,0,0,0,3,NA,62600,92106,04110,4,3,2,4,71.74647887323944,117.29577464788733
28139000306,MS,139,306,230,0,221,8,0,0,0,0,1,176,0,173,2,0,0,0,0,1,NA,NA,92106,04110,4,3,2,4,28.698591549295777,46.91830985915493
28139000401,MS,139,401,383,0,351,31,0,1,0,0,0,296,0,272,23,0,1,0,0,0,NA,NA,92844,04110,4,3,2,4,48.265813060179255,78.90806658130602
28139000402,MS,139,402,392,17,371,0,0,0,0,0,4,292,17,273,0,0,0,0,0,2,NA,NA,92844,04110,4,3,2,4,47.613572343149805,77.84174135723431
28139000403,MS,139,403,832,10,806,13,3,0,0,0,0,613,5,598,7,3,0,0,0,0,NA,20340,92844,04110,4,3,2,4,99.95588988476312,163.41434058898847
28139000404,MS,139,404,422,0,421,0,0,0,0,0,1,331,0,330,0,0,0,0,0,1,NA,NA,92844,04110,4,3,2,4,53.97291933418695,88.23841229193343
28139000405,MS,139,405,2238,125,1631,454,5,4,0,5,14,1660,79,1242,322,5,2,0,4,6,NA,62600,92844,04110,4,4,2,4,270.67989756722153,442.5249679897567
28139000501,MS,139,501,645,4,637,3,0,1,0,0,0,463,2,459,2,0,0,0,0,0,NA,NA,93582,04110,4,4,2,4,75.49686299615877,123.42714468629961
28139000502,MS,139,502,544,2,438,98,0,0,0,0,6,386,2,314,67,0,0,0,0,3,NA,NA,93582,04110,4,4,2,4,62.94122919334187,102.90038412291933
28139000503,MS,139,503,237,6,228,0,0,0,2,0,1,194,6,185,0,0,0,2,0,1,NA,NA,93582,04110,4,4,2,4,31.6336747759283,51.71677336747759
28139000504,MS,139,504,244,0,231,11,0,0,0,0,2,190,0,183,7,0,0,0,0,0,NA,NA,93582,03270,4,4,2,4,30.98143405889885,50.650448143405896
28139000505,MS,139,505,156,0,146,4,6,0,0,0,0,122,0,118,2,2,0,0,0,0,NA,NA,93582,03270,4,4,2,4,19.893341869398206,32.52291933418694
28139000506,MS,139,506,328,3,284,40,0,0,0,0,1,243,2,209,31,0,0,0,0,1,NA,NA,93582,03270,4,4,2,4,39.623623559539055,64.77925736235596
28139000507,MS,139,507,168,0,138,24,0,1,0,0,5,130,0,105,21,0,1,0,0,3,NA,NA,93582,03270,4,4,2,4,21.197823303457106,34.655569782330346
28139000508,MS,139,508,1041,38,826,160,4,0,1,0,12,760,29,620,96,4,0,1,0,10,NA,62600,93582,04110,4,4,2,4,123.9257362355954,202.60179257362358
28139000509,MS,139,509,920,22,610,281,0,0,0,0,7,773,12,541,214,0,0,0,0,6,NA,62600,93582,04110,4,4,2,4,126.0455185659411,206.06734955185658
28141000101,MS,141,101,344,2,340,2,0,0,0,0,0,277,1,274,2,0,0,0,0,0,NA,NA,90639,04260,1,4,2,4,58.6960065199674,67.5004074979625
28141000102,MS,141,102,1950,15,1859,56,3,1,0,1,15,1513,8,1454,40,3,1,0,0,7,NA,35300,90639,04260,1,4,2,4,320.60309698451505,368.69356153219235
28141000103,MS,141,103,1537,19,1439,61,4,2,0,0,12,1244,13,1169,47,4,2,0,0,9,NA,35300,90639,04260,1,5,2,4,263.60228198859005,303.1426242868786
28141000201,MS,141,201,931,8,912,1,4,0,1,0,5,743,4,728,1,4,0,1,0,5,NA,NA,91377,04260,1,4,2,4,157.44091279543602,181.05704971475143
28141000202,MS,141,202,1196,17,1158,7,4,1,0,0,9,864,8,841,6,2,1,0,0,6,NA,09820,91377,04260,1,4,2,4,183.08068459657702,210.54278728606357
28141000203,MS,141,203,1184,8,1160,5,3,2,0,0,6,877,5,861,3,2,1,0,0,5,NA,09820,91377,04260,1,4,2,4,185.8353708231459,213.71067644661775
28141000204,MS,141,204,635,6,622,0,0,0,0,0,7,477,5,467,0,0,0,0,0,5,NA,09820,91377,04260,1,4,2,4,101.07579462102689,116.23716381418092
28141000301,MS,141,301,1879,9,1772,83,5,5,0,0,5,1427,3,1346,64,4,5,0,0,5,NA,35300,92115,04260,1,5,2,4,302.3797881010595,347.7367563162184
28141000302,MS,141,302,1061,3,1024,24,3,1,0,0,6,819,3,790,16,3,1,0,0,6,NA,NA,92115,04260,19,5,2,4,173.54523227383862,199.5770171149144
28141000303,MS,141,303,796,9,750,27,6,0,0,0,4,685,3,647,26,5,0,0,0,4,NA,35300,92115,04260,1,5,2,4,145.15077424612878,166.9233903830481
28141000401,MS,141,401,515,1,510,1,0,0,0,0,3,395,1,391,0,0,0,0,0,3,NA,55000,92853,04260,19,5,2,4,83.7000814995925,96.25509372453138
28141000402,MS,141,402,765,0,713,45,7,0,0,0,0,587,0,544,38,5,0,0,0,0,NA,73720,92853,04260,19,5,2,4,124.38467807660962,143.04237978810107
28141000403,MS,141,403,1434,17,1173,235,1,0,1,1,6,1112,13,906,186,1,0,1,0,5,NA,73720,92853,04260,19,5,2,4,235.63162184189082,270.97636511817444
28141000404,MS,141,404,394,2,385,0,0,0,0,0,7,292,1,287,0,0,0,0,0,4,NA,NA,92853,04260,19,5,2,4,61.87449062754686,71.15566422167889
28141000405,MS,141,405,476,23,449,4,0,0,0,0,0,356,15,339,2,0,0,0,0,0,NA,05100,92853,04260,19,5,2,4,75.4360228198859,86.75142624286879
28141000501,MS,141,501,542,4,514,20,0,0,0,0,4,404,3,383,15,0,0,0,0,3,NA,NA,93591,04260,19,5,2,4,85.60717196414018,98.4482477587612
28141000502,MS,141,502,1327,86,1220,17,0,0,0,2,2,1005,68,922,12,0,0,0,1,2,NA,05100,93591,04260,19,5,2,4,212.95843520782395,244.90220048899755
28141000503,MS,141,503,1148,72,1072,2,0,0,0,0,2,846,60,782,2,0,0,0,0,2,NA,05100,93591,04260,19,5,2,4,179.26650366748166,206.1564792176039
28141000504,MS,141,504,1049,42,995,5,0,0,0,0,7,801,34,759,5,0,0,0,0,3,NA,27940,93591,04260,19,5,2,4,169.7310513447433,195.19070904645477
28143000101,MS,143,101,1285,60,511,686,4,19,2,0,3,952,45,466,414,4,18,2,0,3,NA,NA,90648,04290,9,11,3,1,240.40860215053763,173.4193548387097
28143000102,MS,143,102,867,9,65,786,0,2,1,0,4,545,7,51,481,0,1,1,0,4,NA,52680,90648,04290,9,11,3,1,137.62887413029728,99.27893738140418
28143000201,MS,143,201,478,31,100,337,0,0,0,2,8,304,16,75,207,0,0,0,1,5,NA,NA,91386,04290,9,11,3,1,76.76913345983554,55.3776091081594
28143000202,MS,143,202,1541,31,343,1152,0,11,0,0,4,1045,14,289,732,0,9,0,0,1,NA,74760,91386,04290,9,11,3,1,263.89389626818473,190.36053130929793
28143000301,MS,143,301,310,2,231,71,0,4,0,0,2,251,2,190,53,0,4,0,0,2,NA,74760,92124,04290,9,11,3,1,63.38504111321948,45.72296015180265
28143000302,MS,143,302,1001,29,132,836,0,0,0,0,4,670,19,102,547,0,0,0,0,2,NA,NA,92124,04290,9,11,3,1,169.19512966476913,122.0493358633776
28143000401,MS,143,401,1935,37,603,1288,3,2,0,0,2,1321,26,502,786,3,2,0,0,2,NA,52680,92862,04290,9,11,3,1,333.5921884882986,240.63757115749527
28143000402,MS,143,402,308,11,69,227,0,0,0,0,1,186,6,54,125,0,0,0,0,1,NA,NA,92862,04290,9,11,3,1,46.970588235294116,33.88235294117647
28143000501,MS,143,501,442,9,206,224,1,0,0,1,1,336,4,154,176,1,0,0,0,1,NA,74760,93600,04290,9,11,3,1,84.85009487666034,61.20683111954459
28143000502,MS,143,502,1060,14,222,807,1,0,0,0,16,714,11,187,508,1,0,0,0,7,NA,16460,93600,04290,9,11,3,1,180.30645161290323,130.06451612903226
28145000101,MS,145,101,624,7,609,7,0,0,0,0,1,456,4,446,5,0,0,0,0,1,NA,NA,90657,04350,14,3,2,4,73.48730234786775,144.06133205558217
28145000102,MS,145,102,544,1,516,27,0,0,0,0,0,408,1,391,16,0,0,0,0,0,NA,NA,90657,04350,14,3,2,4,65.75179683756589,128.89698131288932
28145000103,MS,145,103,953,7,822,113,1,1,0,0,9,685,4,593,82,1,1,0,0,4,NA,50280,90657,04350,14,3,2,4,110.3921098865996,216.40792205717938
28145000104,MS,145,104,1010,7,939,56,0,1,0,0,7,751,3,708,38,0,1,0,0,1,NA,50280,90657,04350,14,3,2,4,121.02842996326466,237.25890432838204
28145000105,MS,145,105,1088,13,911,150,2,1,0,0,11,829,10,700,111,2,1,0,0,5,NA,51000,90657,03120,14,3,2,4,133.5986264175052,261.900974285258
28145000106,MS,145,106,943,89,643,185,1,7,0,1,17,682,56,507,106,1,5,0,0,7,NA,51000,90657,03120,14,3,2,4,109.90864079220572,215.46015013576104
28145000107,MS,145,107,428,3,327,93,0,0,0,0,5,291,3,225,62,0,0,0,0,1,NA,51000,90657,03120,14,3,2,4,46.89650215620508,91.93387637757547
28145000201,MS,145,201,710,13,692,5,0,0,0,0,0,540,8,529,3,0,0,0,0,0,NA,NA,91395,04350,14,3,2,4,87.02443699089602,170.5989458552947
28145000202,MS,145,202,840,2,822,11,2,0,0,0,3,606,1,594,9,1,0,0,0,1,NA,NA,91395,04350,14,3,2,4,97.6607570675611,191.44992812649738
28145000203,MS,145,203,335,4,321,10,0,0,0,0,0,249,2,238,9,0,0,0,0,0,NA,NA,91395,04350,14,3,2,4,40.12793483469094,78.66506947771921
28145000204,MS,145,204,798,14,549,234,1,0,0,0,0,606,8,437,160,1,0,0,0,0,NA,51000,91395,03120,14,3,2,4,97.6607570675611,191.44992812649738
28145000205,MS,145,205,607,2,357,244,3,0,0,0,1,427,0,261,164,2,0,0,0,0,NA,51000,91395,04350,14,3,2,4,68.81376776872703,134.89953681520524
28145000206,MS,145,206,1214,12,1032,165,2,0,0,0,3,895,8,777,105,2,0,0,0,3,NA,21340,91395,04350,14,3,2,4,144.23494649417026,282.75195655646064
28145000207,MS,145,207,246,2,244,0,0,0,0,0,0,187,2,185,0,0,0,0,0,0,NA,NA,91395,04350,14,3,2,4,30.136240217217697,59.07778310174094
28145000208,MS,145,208,470,1,394,75,0,0,0,0,0,338,1,282,55,0,0,0,0,0,NA,NA,91395,04350,14,3,2,4,54.470851301709,106.78230314646223
28145000301,MS,145,301,544,3,517,20,0,1,0,0,3,409,2,391,14,0,1,0,0,1,NA,21340,92133,04350,14,3,2,4,65.91295320236384,129.21290528669542
28145000302,MS,145,302,904,22,573,298,0,5,0,1,5,646,13,423,201,0,5,0,0,4,NA,51000,92133,03120,14,3,2,4,104.10701165947933,204.08688707874143
28145000303,MS,145,303,745,6,541,189,1,2,0,3,3,542,4,427,108,1,2,0,0,0,NA,51000,92133,03120,14,3,2,4,87.34674972049193,171.23079380290687
28145000304,MS,145,304,763,4,708,46,0,0,0,0,5,582,4,538,36,0,0,0,0,4,NA,NA,92133,03120,14,3,2,4,93.79300431241016,183.86775275515095
28145000305,MS,145,305,537,25,436,66,0,4,0,0,6,398,14,332,48,0,2,0,0,2,NA,51000,92133,03120,14,3,2,4,64.14023318958634,125.7377415748283
28145000306,MS,145,306,803,2,745,52,1,0,0,0,3,633,2,583,46,1,0,0,0,1,NA,51000,92133,04350,14,3,2,4,102.01197891710588,199.97987541926207
28145000307,MS,145,307,509,19,238,252,0,0,0,0,0,364,15,189,160,0,0,0,0,0,NA,51000,92133,03120,14,3,2,4,58.66091678645584,114.99632646542086
28145000308,MS,145,308,375,8,323,41,0,0,0,0,3,279,5,241,31,0,0,0,0,2,NA,NA,92133,04350,14,3,2,4,44.96262577862961,88.14278869190225
28145000401,MS,145,401,676,32,613,25,4,0,0,0,2,518,29,463,21,3,0,0,0,2,NA,07100,92871,04350,14,3,2,4,83.478996965341,163.64861843156044
28145000402,MS,145,402,669,5,516,144,1,0,0,0,3,499,4,412,82,1,0,0,0,0,NA,51000,92871,03120,14,3,2,4,80.41702603417984,157.64606292924452
28145000403,MS,145,403,909,7,336,559,0,0,0,0,7,654,5,266,379,0,0,0,0,4,NA,51000,92871,03120,14,3,2,4,105.39626257786297,206.61427886919026
28145000404,MS,145,404,690,6,678,3,1,1,0,0,1,544,2,537,3,1,0,0,0,1,NA,51000,92871,04350,14,3,2,4,87.66906245008784,171.8626417505191
28145000405,MS,145,405,471,4,463,0,1,1,1,0,1,355,3,350,0,1,1,0,0,0,NA,NA,92871,04350,14,3,2,4,57.21050950327424,112.15301070116595
28145000406,MS,145,406,680,4,492,175,3,2,0,0,4,500,4,366,127,1,1,0,0,1,NA,67200,92871,04350,14,3,2,4,80.5781823989778,157.96198690305064
28145000407,MS,145,407,494,1,486,4,2,0,0,0,1,381,1,374,4,2,0,0,0,0,NA,NA,92871,04350,14,3,2,4,61.400574988021084,120.36703402012458
28145000408,MS,145,408,272,0,272,0,0,0,0,0,0,203,0,203,0,0,0,0,0,0,NA,NA,92871,04350,14,3,2,4,32.714742053984985,64.13256668263855
28145000501,MS,145,501,333,11,139,183,0,0,0,0,0,241,6,110,125,0,0,0,0,0,NA,51000,93609,03120,14,3,2,4,38.838683916307296,76.1376776872704
28145000502,MS,145,502,546,25,270,241,4,5,0,0,1,392,20,211,157,1,2,0,0,1,NA,51000,93609,03120,14,3,2,4,63.17329500079859,123.84219773199169
28145000503,MS,145,503,601,25,543,30,0,0,0,0,3,436,14,403,18,0,0,0,0,1,NA,51000,93609,03120,14,3,2,4,70.26417505190864,137.74285257946016
28145000504,MS,145,504,981,7,943,26,0,5,0,0,0,714,5,684,24,0,1,0,0,0,NA,NA,93609,03120,14,3,2,4,115.06564446574029,225.56971729755628
28145000505,MS,145,505,413,7,401,5,0,0,0,0,0,302,4,296,2,0,0,0,0,0,NA,NA,93609,03120,14,3,2,4,48.66922216898259,95.40904008944258
28145000506,MS,145,506,387,0,373,5,1,1,0,0,7,291,0,281,4,1,1,0,0,4,NA,NA,93609,04350,14,3,2,4,46.89650215620508,91.93387637757547
28145000507,MS,145,507,774,8,735,28,0,0,0,0,3,600,6,572,20,0,0,0,0,2,NA,51000,93609,03120,14,3,2,4,96.69381887877336,189.55438428366074
28145000508,MS,145,508,476,5,450,17,1,1,0,0,2,350,4,330,13,0,1,0,0,2,NA,NA,93609,04350,14,3,2,4,56.404727679284456,110.57339083213544
28147000101,MS,147,101,414,8,303,98,1,0,1,0,3,304,4,234,63,0,0,0,0,3,NA,NA,90666,04440,99,40,5,2,65.7410854141712,87.7294757209988
28147000102,MS,147,102,1180,18,348,808,0,0,0,0,6,787,12,274,495,0,0,0,0,6,NA,NA,90666,04440,99,40,5,2,170.19155993734452,227.11545194876993
28147000103,MS,147,103,1217,14,952,247,0,0,0,0,4,893,14,745,132,0,0,0,0,2,NA,75160,90666,04440,99,40,5,2,193.1144384041279,257.705334930434
28147000104,MS,147,104,401,4,295,91,3,1,1,0,6,285,2,216,57,3,1,1,0,5,NA,NA,90666,04440,99,40,5,2,61.6322675757855,82.24638348843638
28147000201,MS,147,201,95,0,94,1,0,0,0,0,0,73,0,72,1,0,0,0,0,0,NA,NA,92142,04440,99,40,5,2,15.786510642218742,21.066617525108267
28147000202,MS,147,202,996,19,441,517,3,9,0,2,5,721,14,348,346,3,6,0,0,4,NA,75160,92142,04440,99,40,5,2,155.91882428821523,208.06892103565835
