GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,cd_1990,cd_2000,ndv,nrv
12001001902,12,001,001902,3443,1434,1787,155,9,10,0,3,45,2644,1272,1235,107,5,9,0,0,16,NA,NA,NA,NA,NA,10,3,404.948298154778,332.6252492572565
12001002000,12,001,0020,5677,4425,1069,92,20,8,0,8,55,4252,3405,728,61,16,6,0,5,31,NA,NA,NA,NA,NA,10,3,651.2254779705431,534.917760908417
12001002100,12,001,0021,2862,2252,501,50,10,10,0,3,36,2293,1821,400,35,6,6,0,1,24,NA,NA,NA,NA,NA,10,15,351.19003315768,288.46811518414864
12001002201,12,001,002201,2891,2324,407,102,11,15,0,1,31,2183,1800,275,67,8,11,0,1,21,NA,NA,NA,NA,NA,10,15,334.34271364292,274.62969709855935
12001002202,12,001,002202,4439,3662,556,119,10,50,0,4,38,3335,2802,382,80,9,38,0,2,22,NA,NA,NA,NA,NA,10,15,510.7800961974979,419.5556755949131
12001002203,12,001,002203,6414,4454,1199,378,19,196,1,18,149,4945,3637,784,265,16,154,1,7,81,NA,NA,NA,NA,NA,10,15,757.3635909135314,622.0997948476298
12001002204,12,001,002204,6238,5213,266,403,7,260,2,5,82,4678,3964,192,267,7,198,2,2,46,NA,NA,NA,NA,NA,10,15,716.4705517277048,588.5101800398811
12001002205,12,001,002205,7020,6234,156,300,3,246,1,6,74,5099,4578,111,184,2,178,1,2,43,NA,NA,NA,NA,NA,10,15,780.9498382341956,641.473580167455
12001002206,12,001,002206,6365,3135,2408,455,19,92,0,22,234,4702,2687,1464,319,16,82,0,10,124,NA,NA,NA,NA,NA,10,15,720.1463305309251,591.5294712585552
12001002207,12,001,002207,3208,2631,154,204,3,168,0,3,45,2357,1962,104,140,3,128,0,1,19,NA,NA,NA,NA,NA,10,15,360.99210996626766,296.5195584339461
12001002208,12,001,002208,2045,1779,77,87,3,75,0,0,24,1476,1297,50,59,3,53,0,0,14,NA,NA,NA,NA,NA,10,15,226.0603963980531,185.68640994845333
12001002209,12,001,002209,5069,3935,811,174,14,78,0,11,46,3646,2925,512,111,11,53,0,7,27,NA,NA,NA,NA,NA,10,15,558.4120631892287,458.6806576368976
12001002210,12,001,002210,3609,2750,713,93,4,11,4,2,32,2593,2020,484,63,3,8,1,1,13,NA,NA,NA,NA,NA,10,15,397.1372681979347,326.2092554175741
12003040101,12,003,040101,4814,4512,128,95,9,34,0,3,33,3510,3284,93,74,8,28,0,1,22,NA,NA,NA,NA,NA,11,4,322.9260888420792,568.6543584660183
12003040102,12,003,040102,6757,5496,1059,87,27,39,4,0,45,4901,4097,666,62,19,31,3,0,23,NA,NA,NA,NA,NA,11,4,450.90050182764384,794.0099745988476
12003040201,12,003,040201,6422,4569,1568,174,34,10,2,1,64,4770,3273,1261,152,30,7,2,1,44,NA,NA,NA,NA,NA,11,4,438.8482745802615,772.7866922743325
12003040202,12,003,040202,4266,3812,328,63,12,5,1,1,44,2960,2664,214,37,11,5,1,0,28,NA,NA,NA,NA,NA,11,4,272.3251347500155,479.5489746608017
12005000200,12,005,0002,7829,7490,33,70,97,31,1,4,103,5739,5505,21,46,70,21,1,2,73,NA,NA,NA,NA,NA,6,2,335.4990184661454,765.9001497255032
12005000300,12,005,0003,6988,6172,431,156,68,32,7,3,119,5274,4602,404,105,55,26,4,0,78,NA,NA,NA,NA,NA,7,2,580.830247212797,1067.9019146873486
12005000400,12,005,0004,7134,6741,62,84,94,25,7,6,115,5238,4980,40,48,67,23,4,2,74,NA,NA,NA,NA,NA,7,2,576.8655356277266,1060.6124818225883
12005000500,12,005,0005,3751,3146,278,184,44,36,4,4,55,2914,2436,216,163,28,32,3,0,36,NA,NA,NA,NA,NA,7,2,320.921376635967,590.039093553078
12005000600,12,005,0006,1017,956,13,18,5,7,4,0,14,904,858,10,15,5,7,2,0,7,NA,NA,NA,NA,NA,7,2,52.84737980369323,120.6436200299451
12005000700,12,005,0007,2757,1958,383,228,11,84,1,3,89,1712,1227,253,132,7,58,1,2,32,NA,NA,NA,NA,NA,7,2,100.08264847779071,228.47552819830312
12005000801,12,005,000801,7017,5372,1000,205,49,191,5,18,177,5094,4037,639,126,43,162,4,4,79,NA,NA,NA,NA,NA,7,2,561.0066892874455,1031.4547503635483
12005000802,12,005,000802,8695,6464,1272,328,69,325,8,18,211,6376,4935,799,224,46,265,8,2,97,NA,NA,NA,NA,NA,7,2,702.1944740668929,1291.0395540475038
12005000900,12,005,0009,4583,3715,489,116,28,122,3,11,99,3572,3008,308,84,21,95,3,4,49,NA,NA,NA,NA,NA,7,2,393.38749394086284,723.2737275811925
12005001000,12,005,0010,2431,1510,733,39,26,75,4,0,44,1783,1162,509,32,19,41,2,0,18,NA,NA,NA,NA,NA,7,2,196.36335433834222,361.02941105186625
12005001100,12,005,0011,5087,3176,1266,146,43,263,7,9,177,3551,2349,803,94,31,196,5,2,71,NA,NA,NA,NA,NA,7,2,391.07474551623847,719.0215584100823
12005001200,12,005,0012,2815,2193,406,65,19,74,3,4,51,2005,1650,224,38,15,52,2,3,21,NA,NA,NA,NA,NA,7,2,220.81240911294233,405.9809137178866
12005001300,12,005,0013,8366,7385,530,143,49,136,9,9,105,6139,5502,344,104,40,94,6,1,48,NA,NA,NA,NA,NA,7,2,676.0934561318468,1243.0507876878332
12005001401,12,005,001401,7678,6884,320,137,51,135,9,15,127,5737,5218,206,97,41,96,7,3,69,NA,NA,NA,NA,NA,7,2,631.8208434318952,1161.6521206980126
12005001402,12,005,001402,5572,4669,652,79,35,73,2,6,56,4246,3605,482,49,22,53,2,4,29,NA,NA,NA,NA,NA,7,2,467.6157052835676,859.7481095492001
12005001501,12,005,001501,3651,3294,141,84,22,55,5,1,49,2698,2454,105,51,16,41,2,0,29,NA,NA,NA,NA,NA,7,2,297.1331071255453,546.3024963645177
12005001502,12,005,001502,5677,4991,322,135,28,102,2,4,93,4475,3985,216,106,19,82,2,1,64,NA,NA,NA,NA,NA,7,2,492.83567619970916,906.1170019389239
12005001600,12,005,0016,3760,1001,2600,63,10,43,0,0,43,2789,810,1882,44,5,29,0,0,19,NA,NA,NA,NA,NA,7,2,307.1550169655841,564.7285627726612
12005001700,12,005,0017,3067,1066,1797,48,17,82,0,1,56,2140,824,1203,21,11,52,0,0,29,NA,NA,NA,NA,NA,7,2,235.68007755695587,433.31628696073676
12005001800,12,005,0018,1680,1249,273,25,12,76,1,3,41,1236,973,163,17,11,50,1,2,19,NA,NA,NA,NA,NA,7,2,136.12176442074647,250.270528356762
12005001900,12,005,0019,4506,4194,104,78,30,38,0,3,59,3608,3387,72,52,26,33,0,0,38,NA,NA,NA,NA,NA,7,2,397.35220552593313,730.5631604459525
12005002000,12,005,0020,1960,1590,248,67,9,22,2,1,21,1700,1409,195,56,9,12,2,0,17,NA,NA,NA,NA,NA,7,2,187.22249151720797,344.2232186136694
12005002200,12,005,0022,4098,2639,1173,150,32,31,8,0,65,3118,2182,737,103,24,26,7,0,39,NA,NA,NA,NA,NA,7,2,343.388075618032,631.3458797867185
12005002300,12,005,0023,3953,3494,229,120,25,30,2,4,49,3137,2816,154,88,21,22,2,2,32,NA,NA,NA,NA,NA,7,2,345.4805622879302,635.1930804653417
12005002400,12,005,0024,4395,3591,430,173,25,84,2,6,84,3291,2798,239,115,22,62,2,3,50,NA,NA,NA,NA,NA,6,2,362.440717401842,666.3756543868153
12005002500,12,005,0025,3031,2851,41,44,11,53,0,0,31,2399,2267,26,35,8,44,0,0,19,NA,NA,NA,NA,NA,6,2,264.20397479398935,485.75970673776055
12005002601,12,005,002601,1555,1386,58,58,4,23,1,1,24,1222,1106,45,34,4,22,1,0,10,NA,NA,NA,NA,NA,6,2,71.43749792047913,163.08241557145234
12005002602,12,005,002602,13393,12428,139,334,103,185,10,17,177,10707,10007,110,250,72,146,8,6,108,NA,NA,NA,NA,NA,6,2,625.925769422725,1428.9062385626353
12005002700,12,005,0027,11771,11103,103,214,80,101,4,13,153,9771,9270,66,167,70,84,2,10,102,NA,NA,NA,NA,NA,6,2,571.2076859091666,1303.992047912161
12007000100,12,007,0001,5324,3456,1632,105,13,53,3,5,57,3852,2668,1042,57,11,41,3,2,28,NA,NA,NA,NA,NA,11,15,463.83656632126895,615.5482001669695
12007000200,12,007,0002,7742,5876,1598,136,17,46,6,13,50,6112,4577,1332,101,16,39,2,11,34,NA,NA,NA,NA,NA,11,15,735.9732848794382,976.6953788734469
