GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT.x,DISTRICT.y,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
44001001001,RI,001,01001,1455,17,1390,10,0,15,0,0,23,1055,13,1019,4,0,12,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,286.33717078018884,472.80147424217324
44001001002,RI,001,01002,2934,37,2710,73,4,89,0,1,20,2167,29,2001,62,3,56,0,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,588.1446910717244,971.1476726851085
44001001003,RI,001,01003,2180,10,2092,1,3,66,0,2,6,1498,8,1444,1,2,40,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,406.57164154381314,671.3332781182706
44001001004,RI,001,01004,2393,22,2326,7,0,29,0,0,9,1761,14,1720,3,0,19,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,477.9523770084479,789.1975318866987
44001001005,RI,001,01005,2060,27,1974,9,7,25,0,0,18,1563,16,1515,6,2,14,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,424.2132681795594,700.4632267682624
44001001006,RI,001,01006,2020,28,1926,7,0,32,0,0,27,1378,16,1324,4,0,20,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,374.0024846778201,617.5549113798244
44001001007,RI,001,01007,1703,12,1663,0,0,16,0,5,7,1185,6,1161,0,0,13,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,321.6204240516813,531.0613715421567
44001001008,RI,001,01008,2074,24,2011,4,3,24,0,3,5,1467,16,1429,2,2,16,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,398.15794268676495,657.4405333775054
44001002001,RI,001,02001,1663,24,1602,1,4,5,0,2,25,1413,15,1369,1,4,5,0,2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,303.00913115661314,323.2618705035971
44001002002,RI,001,02002,1802,32,1755,1,0,6,0,0,8,1436,27,1398,1,0,6,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,307.9413392363033,328.52374100719425
44001002003,RI,001,02003,1661,9,1636,5,0,7,0,0,4,1383,5,1370,3,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,296.57581627006084,316.3985611510791
44001002004,RI,001,02004,2594,23,2514,12,3,23,0,4,15,2082,15,2028,6,3,19,0,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,446.4720531267294,476.3136690647482
44001002005,RI,001,02005,2324,10,2262,19,3,13,0,0,17,1773,5,1728,17,3,10,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,380.20890979524074,405.62158273381294
44001002006,RI,001,02006,3071,50,2917,28,6,22,1,4,43,2409,28,2309,15,5,19,1,3,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,516.5951853901494,551.1237410071942
44001002007,RI,001,02007,3436,58,3304,15,6,17,0,1,35,2723,40,2627,13,4,12,0,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,583.9305478693968,622.9597122302158
44001002008,RI,001,02008,1856,14,1807,8,0,6,8,2,11,1414,10,1380,4,0,5,4,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,303.2235749861649,323.49064748201437
44001002009,RI,001,02009,1421,13,1366,5,2,11,0,0,24,1027,6,991,4,2,8,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,220.2338129496403,234.9539568345324
44001002010,RI,001,02010,2641,56,2465,38,8,37,1,2,34,2410,50,2245,38,8,37,1,2,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,516.8096292197012,551.3525179856115
44001034001,RI,001,34001,1641,20,1542,23,3,10,0,3,40,1258,13,1213,10,0,8,0,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,309.48551538288797,340.27868852459017
44001034002,RI,001,34002,1016,13,966,12,1,1,0,2,21,791,6,760,7,1,0,0,2,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,194.59701324949472,213.9590163934426
44001034003,RI,001,34003,1030,7,982,8,4,9,2,3,15,812,6,783,5,4,8,2,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,199.76330563664945,219.63934426229508
44001034004,RI,001,34004,1426,9,1381,12,1,6,0,0,17,1119,4,1092,5,1,4,0,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,275.28958005838757,302.68032786885243
44001034005,RI,001,34005,2556,16,2504,9,5,7,1,0,14,1940,8,1907,5,5,5,1,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,477.2670110038177,524.7540983606558
44001034006,RI,001,34006,878,3,839,6,3,13,0,1,13,724,2,694,5,3,10,0,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,178.11408039523917,195.8360655737705
44001034007,RI,001,34007,1583,19,1519,11,4,9,1,0,20,1196,14,1151,7,3,9,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,294.2326521446216,323.5081967213115
44001034008,RI,001,34008,678,14,663,1,0,0,0,0,0,577,12,564,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,141.9500336851561,156.0737704918033
44001034009,RI,001,34009,552,5,535,6,2,2,0,1,1,489,5,473,5,2,2,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,120.30080844374578,132.27049180327867
44003006001,RI,003,06001,1471,13,1438,4,1,7,1,0,7,1046,7,1026,2,1,6,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,212.14612919814869,302.8885636298904
44003006002,RI,003,06002,2056,18,1995,7,2,15,0,0,19,1533,10,1492,5,2,14,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,310.9177973812255,443.9083824518375
44003006003,RI,003,06003,1625,21,1567,11,2,8,0,0,16,1313,13,1274,7,1,6,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,266.29815261679653,380.20333082796
44003006004,RI,003,06004,849,6,832,2,2,1,0,0,6,604,2,593,2,2,1,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,122.50120653506863,174.89932354919102
44003006005,RI,003,06005,2345,11,2285,9,5,24,0,0,11,1643,7,1610,6,3,14,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,333.22761976344003,475.7609082637763
44003006006,RI,003,06006,1729,31,1644,13,5,12,1,3,20,1254,20,1210,6,2,6,0,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,254.33197515724515,363.1187942561019
44003006007,RI,003,06007,1512,29,1444,15,6,3,0,0,15,1086,16,1049,6,5,3,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,220.25879188259032,314.4713002887773
44003006008,RI,003,06008,2334,35,2257,5,2,6,2,5,22,1784,17,1741,4,2,5,1,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,361.8247557260968,516.5900549863524
44003006009,RI,003,06009,1676,24,1622,4,0,11,0,0,15,1302,18,1265,3,0,10,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,264.0671703785751,377.0180782467661
44003006010,RI,003,06010,1996,27,1928,13,0,8,1,0,19,1595,12,1563,8,0,6,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,323.4924245421101,461.8616242731121
44003006011,RI,003,06011,947,9,929,3,1,1,0,1,3,721,6,707,3,1,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,146.2307448870604,208.77882827643498
44003006012,RI,003,06012,1966,37,1885,11,2,9,0,0,22,1468,22,1417,8,1,8,0,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,297.73472051900785,425.08643538114643
44003006013,RI,003,06013,1473,18,1430,0,1,8,0,2,14,1077,7,1055,0,1,7,0,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,218.43344277859094,311.8651845405277
44003006014,RI,003,06014,1362,9,1328,0,1,13,0,0,11,1082,8,1057,0,1,10,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,219.44752561414614,313.3130266228886
44003006015,RI,003,06015,1579,4,1528,6,1,17,0,4,19,1214,3,1180,5,1,12,0,2,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,246.21931247280352,351.53605759721506
44003006016,RI,003,06016,2032,30,1965,0,3,26,0,1,7,1550,22,1504,0,3,17,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,314.3656790221132,448.8310455318644
44003006017,RI,003,06017,1883,15,1825,13,1,4,2,1,22,1359,8,1327,6,1,4,2,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,275.6277147039044,393.52347798567985
44003006018,RI,003,06018,2026,37,1951,2,0,9,1,1,25,1629,27,1579,2,0,7,1,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,330.3881878238854,471.70695043316584
44003006019,RI,003,06019,2807,11,2752,4,2,4,0,4,30,2019,9,1981,2,2,3,0,3,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,409.48664899719137,584.6386328573124
