GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,school,cd_1990,cd_2000,ndv,nrv
30001000100,30,001,0001,1517,1413,0,71,19,2,0,2,10,1136,1073,0,38,17,2,0,0,6,NA,43525,90273,28500,03090,16710,1,1,247.09881878421206,400.92192451743017
30001000200,30,001,0002,3201,3025,2,83,36,9,1,7,38,2324,2207,2,56,28,6,1,2,22,NA,11397,90924,08910,03090,26730,1,1,505.508498991645,820.1959089599538
30001000300,30,001,0003,4484,4249,10,92,73,6,1,4,49,3482,3336,4,55,45,6,1,2,33,NA,20800,90924,08910,03090,NA,1,1,757.392682224143,1228.882166522616
30003000100,30,003,0001,4358,2838,4,223,1104,20,1,2,166,3042,2181,2,123,624,18,0,2,92,0845,34225,91617,13310,13340,14760,1,1,1034.8108639547745,629.1859407644095
30003000400,30,003,0004,145,134,0,4,6,1,0,0,0,113,106,0,3,3,1,0,0,0,0845,NA,93549,03660,13340,NA,1,1,38.43971979845152,23.37212731965098
30003940300,30,003,9403,1542,105,0,46,1361,0,0,0,30,865,97,0,27,729,0,0,0,12,2490,11200,92436,13310,00095,NA,1,1,294.250952439474,178.91053213715128
30003940500,30,003,9405,1516,490,0,98,896,1,0,0,31,968,364,0,52,534,1,0,0,17,0845,59950,90756,13310,13340,04800,1,1,329.2889271230183,200.21432960550572
30003940600,30,003,9406,2805,437,0,34,2286,4,0,0,44,1721,323,0,17,1357,4,0,0,20,0845,18250,90756,13310,13340,NA,1,1,585.4403342755315,355.9595674081357
30003940700,30,003,9407,2305,453,0,60,1750,2,0,0,40,1428,365,0,29,1005,2,0,0,27,0845,44275,90756,17010,17040,NA,1,1,485.7692024087501,295.3575027651469
30005000100,30,005,0001,1475,1024,2,17,384,2,0,2,44,1058,785,0,6,239,1,0,2,25,4345,34375,91638,13395,13400,17580,1,1,363.64548919949175,290.15459551037696
30005000200,30,005,0002,2733,2529,6,22,130,3,0,3,40,2036,1902,4,13,92,2,0,1,22,1150,14575,90588,06260,06270,13660,1,1,699.7941550190598,558.3693350275307
30005940100,30,005,9401,1448,56,2,20,1352,1,2,0,15,851,51,2,8,781,1,2,0,6,1150,27850,91176,13395,13400,13660,1,1,292.497458703939,233.38521812791188
30005940200,30,005,9402,1353,61,0,11,1278,0,0,0,3,777,57,0,5,712,0,0,0,3,1150,35275,91176,04050,13400,13660,1,1,267.06289707750955,213.09085133418046
30007000100,30,007,0001,2007,1923,2,40,29,0,0,0,13,1519,1471,1,21,18,0,0,0,8,NA,74575,93570,NA,NA,04980,1,1,339.92256097560977,456.6262195121951
30007000200,30,007,0002,2378,2291,10,18,21,5,3,1,29,1761,1702,3,16,15,2,3,1,19,NA,74500,93591,26160,26190,04980,1,1,394.07743902439023,529.3737804878049
30009000100,30,009,0001,2230,2143,10,30,13,10,0,0,24,1658,1608,6,17,11,9,0,0,7,NA,39700,91827,15200,15260,22710,1,1,515.2841989254719,503.8638930982229
30009000200,30,009,0002,1854,1757,0,69,10,3,0,0,15,1358,1310,0,29,4,1,0,0,14,NA,09475,91323,11610,11650,04800,1,1,422.0482160077146,412.6943105110897
30009000300,30,009,0003,2282,2169,11,43,22,12,0,1,24,1818,1745,7,25,19,4,0,0,18,NA,61525,92772,22080,22110,NA,1,1,565.0100564816091,552.4876704780273
30009000400,30,009,0004,1914,1888,0,10,10,2,0,0,4,1455,1440,0,4,6,1,0,0,4,NA,61525,92793,22080,22110,22710,1,1,452.19451715112274,442.17247554759604
30009000500,30,009,0005,1272,1231,1,17,3,3,0,1,16,970,948,0,9,1,2,0,1,9,0845,04900,90504,09600,11650,04800,1,1,301.46301143408186,294.7816503650641
30011000300,30,011,0003,1360,1339,1,8,5,2,0,0,5,999,984,0,3,5,2,0,0,5,4345,23650,92121,09670,05610,02730,1,1,320,636
30013000100,30,013,0001,2414,2180,46,32,66,29,5,3,53,1770,1631,35,20,38,21,1,0,24,NA,32800,91533,13040,13050,NA,1,1,518.5389856169569,450.08528892253344
30013000200,30,013,0002,3946,3659,25,58,85,21,5,0,93,2887,2709,17,36,61,14,5,0,45,NA,32800,91533,13040,13050,NA,1,1,845.775170325511,734.1221633442678
30013000300,30,013,0003,3693,3233,44,111,193,39,5,0,68,2695,2388,31,66,146,26,2,0,36,NA,32800,91533,13040,13050,NA,1,1,789.5268735806208,685.2993523425015
30013000400,30,013,0004,2043,1740,18,79,128,19,0,0,59,1546,1342,15,50,87,15,0,0,37,NA,32800,91533,13040,13050,NA,1,1,452.91597274791826,393.1253427538061
30013000500,30,013,0005,2333,1951,24,76,193,29,3,3,54,1816,1565,21,52,120,20,3,3,32,NA,32800,91533,13040,13050,NA,1,1,532.0151400454201,461.78242072503997
30013000600,30,013,0006,721,590,7,18,90,3,1,0,12,647,550,7,13,65,3,1,0,8,NA,32800,91533,13040,13050,NA,1,1,189.54504163512493,164.52270165699386
30013000700,30,013,0007,2088,1524,33,87,323,10,4,5,102,1508,1152,28,47,211,10,2,2,56,NA,32800,91533,13040,13050,NA,1,1,441.78349735049204,383.46249474303977
30013000800,30,013,0008,1899,1513,24,84,179,26,2,3,68,1443,1189,18,56,115,22,2,2,39,NA,32800,91533,13040,13050,NA,1,1,422.74110522331563,366.93393893515014
30013000900,30,013,0009,3208,2635,37,102,311,30,2,3,88,2343,2003,23,58,192,26,2,2,37,NA,32800,91533,13040,13050,NA,1,1,686.4049962149887,595.7908655059299
30013001000,30,013,0010,3306,3148,20,36,38,21,2,0,41,2517,2421,16,24,20,13,2,0,21,NA,32800,91533,13040,13050,NA,1,1,737.3800151400454,640.0365379762806
30013001100,30,013,0011,4489,4056,64,120,110,50,6,4,79,3262,2994,50,70,61,43,4,2,38,NA,32800,91533,13040,13050,NA,1,1,955.6351249053747,829.4792160820926
30013001200,30,013,0012,4544,3611,289,356,22,101,7,11,147,2870,2275,204,224,18,75,7,7,60,NA,47275,91533,13040,13050,NA,1,1,840.7948523845571,729.7993102868197
30013001600,30,013,0016,4541,3836,27,132,349,30,0,1,166,3306,2921,17,67,198,23,0,1,79,NA,32800,91533,13040,13050,NA,1,1,968.5253595760788,840.6677769366642
30013001700,30,013,0017,2268,2087,2,28,90,11,0,0,50,1693,1583,1,21,59,10,0,0,19,NA,32800,91533,13040,13050,NA,1,1,495.9810749432248,430.5053074270334
30013001800,30,013,0018,3660,3431,16,47,82,31,2,0,51,2696,2548,13,30,53,22,1,0,29,NA,32800,91533,13040,13050,NA,1,1,789.8198334595004,685.553637816469
30013001900,30,013,0019,4302,4040,18,69,73,27,2,2,71,3154,2990,14,40,50,25,1,0,34,NA,32800,91533,13040,13050,NA,1,1,923.9954579863739,802.0163848935991
30013002100,30,013,0021,4313,3710,52,132,260,50,5,0,104,3340,2974,43,79,157,45,5,0,37,NA,32800,91533,13040,13050,NA,1,1,978.4859954579864,849.3134830515603
