GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
08001007800,08,001,0078,8378,1535,1244,5182,78,176,8,6,149,5760,1244,853,3386,59,132,5,4,77,NA,NA,NA,NA,NA,NA,NA,4,7,872.7392449517121,705.5399473222125
08001007900,08,001,0079,6617,1312,1010,4048,55,58,6,9,119,4436,1051,632,2613,33,47,5,6,49,NA,NA,NA,NA,NA,NA,NA,4,7,672.1304323968393,543.3637510974539
08001008000,08,001,0080,6183,1817,1152,2716,31,279,20,3,165,4209,1477,725,1648,25,224,13,1,96,NA,NA,NA,NA,NA,NA,NA,4,7,637.7360211808605,515.5586177568042
08001008100,08,001,0081,1050,522,145,290,10,27,18,6,32,674,359,87,184,5,23,9,0,7,NA,NA,NA,NA,NA,NA,NA,4,7,102.12261303775242,82.55797300263389
08001008200,08,001,0082,5393,2395,823,1731,35,276,21,6,106,3861,1916,519,1117,23,219,13,4,50,NA,NA,NA,NA,NA,NA,NA,4,7,585.0080251316945,472.93224593942057
08001008308,08,001,008308,4972,2282,1044,1315,38,111,5,16,161,3409,1867,558,801,22,88,1,2,70,NA,NA,NA,NA,NA,NA,NA,4,7,516.5222371597893,417.56695840649695
08001008309,08,001,008309,3052,1783,364,684,33,50,10,8,120,2056,1330,210,383,24,41,6,7,55,NA,NA,NA,NA,NA,NA,NA,4,7,311.51942493415277,251.83856453028972
08001008353,08,001,008353,4612,2994,464,870,29,96,3,6,150,3140,2185,292,500,26,75,3,4,55,NA,NA,NA,NA,NA,NA,NA,2,7,475.76410228270413,384.6172629499561
08001008385,08,001,008385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,7,0,0
08001008401,08,001,008401,3261,3008,19,155,17,16,5,2,39,2244,2089,9,95,12,12,3,2,22,NA,NA,NA,NA,NA,NA,NA,2,7,340.00466417910445,274.86660447761193
08001008402,08,001,008402,2389,2222,10,99,14,4,1,10,29,1674,1580,4,51,6,2,1,5,25,NA,NA,NA,NA,NA,NA,NA,2,7,253.6398430640913,205.047547190518
