GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
51003000301,VA,003,301,4626,48,4346,105,4,78,0,7,38,3190,32,3002,81,4,55,0,3,13,NA,NA,NA,NA,NA,NA,NA,NA,8,5,535.4002808988764,614.8244382022472
51003000304,VA,003,304,1775,13,1667,30,0,52,0,0,13,1392,10,1315,21,0,36,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,6,5,233.6292134831461,268.28702757916244
51003000399,VA,003,399,4848,204,4221,313,12,72,0,7,19,3690,149,3221,251,9,47,0,3,10,NA,NA,NA,NA,NA,NA,NA,NA,6,5,619.318820224719,711.1919050051073
51003000401,VA,003,401,2296,29,2095,144,10,6,0,0,12,1696,16,1545,119,7,5,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,6,5,215.09634660229923,240.83852227631633
51003000402,VA,003,402,3160,36,2823,252,6,15,1,3,24,2422,23,2171,196,6,13,1,2,10,NA,NA,NA,NA,NA,NA,NA,NA,6,5,307.1717874238023,343.9333142412961
51003000403,VA,003,403,2133,35,1403,663,3,3,0,3,23,1595,20,1066,490,3,3,0,1,12,NA,NA,NA,NA,NA,NA,NA,NA,6,5,202.2869533199689,226.49613386245548
51003000404,VA,003,404,526,22,402,95,1,0,1,0,5,411,10,326,71,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,6,5,52.125352861760014,58.36358057521581
51003000405,VA,003,405,6111,307,4667,917,7,106,1,10,96,4660,217,3609,694,7,85,1,2,45,NA,NA,NA,NA,NA,NA,NA,NA,6,5,591.0076504520722,661.7379208771428
51003000501,VA,003,501,3888,53,3238,540,0,25,0,13,19,3015,28,2542,410,0,19,0,6,10,NA,NA,NA,NA,NA,NA,NA,NA,6,5,382.37941332896946,428.1415947305977
51003000502,VA,003,502,1461,11,1353,87,1,6,0,0,3,1061,6,979,68,1,5,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,8,5,134.5620423024997,150.6660802683795
51003000503,VA,003,503,8309,141,7243,540,10,277,0,11,87,5632,89,4965,346,10,184,0,3,35,NA,NA,NA,NA,NA,NA,NA,NA,8,5,714.2822075849937,799.7656588798429
51003000504,VA,003,504,5246,96,4400,572,9,100,0,1,68,3951,63,3402,370,7,78,0,1,30,NA,NA,NA,NA,NA,NA,NA,NA,6,5,501.0882461236346,561.0571942887534
51003000601,VA,003,601,7433,163,6628,471,10,62,0,15,84,5514,95,4950,376,8,44,0,6,35,NA,NA,NA,NA,NA,NA,NA,NA,8,5,675.2405703306704,910.54322985135
51003000602,VA,003,602,1813,21,1747,23,0,10,0,3,9,1366,16,1317,21,0,7,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,8,5,167.27940135504093,225.57164526241277
51003000603,VA,003,603,4179,48,3964,110,6,19,0,11,21,3009,29,2860,83,5,15,0,8,9,NA,NA,NA,NA,NA,NA,NA,NA,8,5,368.4800283142886,496.88512488623724
51005000101,VA,005,101,1959,4,1932,6,2,3,0,2,10,1500,3,1480,3,2,2,0,2,8,NA,NA,NA,NA,NA,NA,NA,NA,7,9,277.90064647839404,300.357264375638
51005000103,VA,005,103,727,1,713,10,1,0,0,2,0,599,0,588,10,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,7,9,110.97499149370535,119.94266757400476
51005000201,VA,005,201,1009,5,938,55,5,1,0,5,0,760,1,726,27,3,1,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,7,6,100.07186858316221,115.87268993839837
51005000202,VA,005,202,1456,10,1311,119,3,2,0,0,11,1091,6,1007,71,3,1,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,7,6,143.65580082135523,166.338295687885
51005000301,VA,005,301,925,2,911,1,4,0,1,0,6,709,2,700,0,1,0,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,7,6,93.35651950718686,108.097022587269
51005000302,VA,005,302,1764,10,1721,12,3,14,0,0,4,1336,5,1306,10,1,10,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,7,6,175.91581108829567,203.69199178644763
51005000401,VA,005,401,1741,6,1680,35,4,9,0,0,7,1331,4,1283,27,4,8,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,7,9,246.59050697516162,266.5170125893161
51005000402,VA,005,402,724,1,707,5,1,0,1,0,9,589,1,573,4,1,0,1,0,9,NA,NA,NA,NA,NA,NA,NA,NA,7,9,109.12232051718271,117.94028581150052
51005000501,VA,005,501,594,0,564,29,0,0,0,0,1,486,0,463,22,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,7,9,117.96116504854369,90.83009708737865
51005000502,VA,005,502,2027,8,1951,42,4,1,0,2,19,1574,6,1524,30,4,0,0,1,9,NA,NA,NA,NA,NA,NA,NA,NA,7,9,382.0388349514563,294.16990291262135
51007000101,VA,007,101,2532,24,1690,796,8,7,0,1,6,1859,16,1234,597,4,3,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,5,4,319.77158970743744,429.85689108212904
51007000201,VA,007,201,1926,20,1520,367,0,0,2,1,16,1454,15,1141,288,0,0,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,5,4,250.10645047585476,336.2086711314769
51007000301,VA,007,301,2192,25,1681,464,4,5,0,0,13,1608,17,1250,327,2,3,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,5,4,276.5964046528022,371.81811772999646
51007000401,VA,007,401,2519,9,1961,515,11,7,0,0,16,1899,6,1506,365,8,5,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,5,4,326.65209728586535,439.1060979908354
51007000501,VA,007,501,2231,13,1155,1041,9,0,0,3,10,1691,9,895,770,9,0,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,5,4,290.8734578780402,391.01022206556223
51009000101,VA,009,101,2330,26,1286,960,22,2,0,0,34,1726,18,963,706,17,2,0,0,20,NA,NA,NA,NA,NA,NA,NA,NA,7,6,266.523025237627,371.88765978367746
51009000102,VA,009,102,2543,27,1906,559,26,8,0,4,13,1860,22,1415,391,19,4,0,1,8,NA,NA,NA,NA,NA,NA,NA,NA,7,6,287.21484759095375,400.75958702064895
51009000103,VA,009,103,1919,24,1544,286,17,6,0,6,36,1353,18,1108,198,10,3,0,1,15,NA,NA,NA,NA,NA,NA,NA,NA,7,6,208.92563913470994,291.5202802359882
