GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
4900100MV15,UT,001,MV15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,2,0,0
4900100MV16,UT,001,MV16,310,13,295,0,0,1,1,0,0,186,8,177,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,2,42.75112669003505,54.812719078617924
4900100MV17,UT,001,MV17,531,36,491,0,0,0,0,0,4,330,17,311,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,1,2,75.84877315973961,97.24837255883826
4900100MV18,UT,001,MV18,8,5,3,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,2,0.9193790686029043,1.1787681522283424
4900100MV28,UT,001,MV28,22,1,21,0,0,0,0,0,0,15,1,14,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,2,3.4476715072608912,4.420380570856285
490030000CC,UT,003,CC,23,0,23,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,3,2.0068450528935906,5.931037007211099
490030000GC,UT,003,GC,126,13,111,0,0,2,0,0,0,83,7,74,0,0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,3,11.1045426260112,32.81840477323475
4900300BC01,UT,003,BC01,1360,90,1202,0,25,18,0,1,24,882,50,789,0,19,15,0,1,8,NA,NA,NA,NA,NA,NA,NA,1,3,118.00248911014312,348.7449760240126
4900300BC02,UT,003,BC02,1124,56,1033,0,15,9,4,0,7,711,38,651,0,10,8,2,0,2,NA,NA,NA,NA,NA,NA,NA,1,3,95.1244555071562,281.13115414180606
4900300BC03,UT,003,BC03,1412,114,1252,0,20,14,1,0,11,943,65,845,0,14,13,0,0,6,NA,NA,NA,NA,NA,NA,NA,1,3,126.1636589919104,372.8645265200044
4900300BC04,UT,003,BC04,1174,126,976,6,34,6,0,0,26,788,75,673,1,19,6,0,0,14,NA,NA,NA,NA,NA,NA,NA,1,3,105.42626011200996,311.57714411215636
4900300BC05,UT,003,BC05,1131,122,978,3,6,2,1,0,19,803,76,708,1,6,2,1,0,9,NA,NA,NA,NA,NA,NA,NA,1,3,107.43310516490354,317.50818111936746
4900300BC06,UT,003,BC06,994,89,873,0,13,9,0,4,6,592,38,535,0,9,8,0,1,1,NA,NA,NA,NA,NA,NA,NA,1,3,79.20348475420037,234.07826055126466
4900300BC07,UT,003,BC07,1438,114,1271,1,27,9,0,1,15,927,65,826,0,19,7,0,1,9,NA,NA,NA,NA,NA,NA,NA,1,3,124.0230242688239,366.5380870456459
4900300BC08,UT,003,BC08,1636,182,1382,6,26,20,2,0,18,1102,105,953,3,15,14,2,0,10,NA,NA,NA,NA,NA,NA,NA,1,3,147.43621655258244,435.733518796442
4900300BC09,UT,003,BC09,1482,46,1397,9,15,4,0,0,11,962,27,920,1,7,3,0,0,4,NA,NA,NA,NA,NA,NA,NA,1,3,128.7056627255756,380.3771733958051
4900300BC10,UT,003,BC10,800,47,744,0,2,6,0,0,1,519,22,493,0,1,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,3,69.43683883011823,205.21388044950402
4900300BC11,UT,003,BC11,1042,22,989,2,3,11,9,0,6,694,14,663,0,2,8,4,0,3,NA,NA,NA,NA,NA,NA,NA,1,3,92.8500311138768,274.4093122003002
