GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
50001ADDISO,VT,001,ADDISO,35974,397,34612,184,90,254,8,17,412,27025,288,26081,129,67,196,7,13,244,NA,44275,44350,05490,05520,06270,A-1,ADD,1,1,1677,1334
50003BENNIN,VT,003,BENNIN,36994,344,35916,149,69,226,4,34,252,28236,227,27528,103,52,164,2,14,146,NA,04750,04825,02130,05810,01830,BR1,BEN,1,1,137,243
50005CALEDO,VT,005,CALEDO,29702,201,28812,82,160,110,2,32,303,22193,126,21620,50,118,63,0,20,196,NA,62125,62200,07650,08243,03450,CA3,CAL,1,1,315,564
50007BURL-1,VT,007,BURL-1,5029,72,4615,92,13,149,3,7,78,4597,65,4250,72,10,130,3,5,62,NA,10675,10675,NA,NA,02820,C73,CHI,1,1,1559.4896799557712,909.0081086061797
50007BURL-2,VT,007,BURL-2,5630,70,5043,134,52,152,2,23,154,4981,52,4586,85,44,114,1,16,83,NA,10675,10675,NA,NA,02820,C74,CHI,1,1,1689.7581239633885,984.9400454573376
50007BURL-3,VT,007,BURL-3,5758,83,4988,150,38,292,2,16,189,4841,61,4299,108,32,205,2,14,120,NA,10675,10675,NA,NA,02820,C72,CHI,1,1,1642.2644204189446,957.2565268136864
50007BURL-4,VT,007,BURL-4,5514,57,5203,51,23,104,0,5,71,4148,36,3958,30,18,73,0,0,33,NA,10675,10675,NA,NA,02820,C76,CHI,1,1,1407.170587873948,820.2231095276123
50007BURL-5,VT,007,BURL-5,5701,85,5258,93,24,99,0,18,124,4595,54,4305,62,17,70,0,14,73,NA,10675,10675,NA,NA,02820,C71,CHI,1,1,1558.811198476565,908.6126297684134
50007BURL-6,VT,007,BURL-6,5961,114,5568,67,8,121,1,9,73,5360,96,5046,50,5,99,1,7,56,NA,10675,10675,NA,NA,02820,C77,CHI,1,1,1818.3303642729898,1059.8832852140795
50007BURL-7,VT,007,BURL-7,5296,65,4895,86,12,112,0,4,122,4036,43,3797,47,9,76,0,3,61,NA,10675,10675,NA,NA,02820,C75,CHI,1,1,1369.175625038393,798.0762946126912
50007ZZZZZZ,VT,007,ZZZZZZ,107682,1015,102852,610,210,1872,20,124,979,79500,667,76366,389,155,1307,15,66,535,NA,66175,14875,00006,03030,03240,C-3,CHI,1,1,1061,1095
500090ESSEX,VT,009,ESSEX,6459,32,6218,11,41,17,0,4,136,4806,16,4642,8,32,12,0,3,93,NA,35725,08725,02610,09600,99997,EC2,E-O,1,1,396,455
500110STA-1,VT,011,STA-1,1217,3,1172,2,8,5,0,13,14,899,3,872,2,5,2,0,7,8,NA,61675,61675,07560,NA,NA,F31,FRA,1,1,241.99596136962248,216.7387181738367
500110STA-2,VT,011,STA-2,1444,11,1390,1,17,5,0,0,20,1105,7,1067,1,12,3,0,0,15,NA,61675,61675,07560,NA,NA,F31,FRA,1,1,297.44776119402985,266.4029850746269
500110STA-3,VT,011,STA-3,1218,19,1116,14,33,2,0,8,26,868,11,806,11,22,2,0,2,14,NA,61675,61675,07560,NA,NA,F31,FRA,1,1,233.65127304653203,209.2649692712906
500110STA-4,VT,011,STA-4,1002,6,976,3,7,2,0,0,8,763,3,750,0,5,1,0,0,4,NA,61675,61675,07560,NA,NA,F31,FRA,1,1,205.38700614574188,183.95065847234417
500110STA-5,VT,011,STA-5,1655,15,1580,4,9,8,1,3,35,1238,8,1188,2,6,6,0,3,25,NA,61675,61675,07560,NA,NA,F31,FRA,1,1,333.24916593503076,298.46777875329235
500110STA-6,VT,011,STA-6,1114,15,1047,6,17,5,0,0,24,822,8,775,3,13,3,0,0,20,NA,61675,61675,07560,NA,NA,F31,FRA,1,1,221.268832309043,198.1748902546093
50011ZZZZZZ,VT,011,ZZZZZZ,37767,201,36153,104,589,91,9,24,596,26963,123,25906,65,399,55,9,12,394,NA,71650,71725,07980,05620,03780,F-2,FRA,1,1,395,259
50013GRAISL,VT,013,GRAISL,6901,29,6698,9,60,15,3,0,87,5189,22,5053,7,39,8,2,0,58,NA,00625,00700,01770,05620,05610,GI1,CGI,1,1,114,181
50015LAMOIL,VT,015,LAMOIL,23233,180,22481,72,98,86,2,14,300,17588,118,17091,34,75,59,2,10,199,NA,46825,46675,02910,05060,05790,L22,LAM,1,1,388,474
50017ORANGE,VT,017,ORANGE,28226,165,27533,64,71,94,10,25,264,20997,100,20558,40,58,61,5,17,158,NA,07225,58075,06720,02400,08242,OG2,ORA,1,1,130,95
50019ORLEAN,VT,019,ORLEAN,26277,190,25398,88,170,75,4,7,345,19669,106,19102,44,129,49,3,4,232,NA,48850,17350,03480,09600,03390,OLC,E-O,1,1,153,203
500210RUT-1,VT,021,RUT-1,3458,32,3368,7,6,24,0,1,20,2664,15,2607,5,4,19,0,0,14,NA,61225,61225,07080,NA,07050,R61,RUT,1,1,708.7797801540418,734.079114633964
500210RUT-2,VT,021,RUT-2,3345,28,3275,16,6,6,3,0,11,2617,15,2577,6,4,4,3,0,8,NA,61225,61225,07080,NA,07050,R62,RUT,1,1,696.2750317804532,721.1280191430495
500210RUT-4,VT,021,RUT-4,3706,22,3609,8,3,25,0,1,38,2847,12,2784,6,3,20,0,0,22,NA,61225,61225,07080,NA,07050,R64,RUT,1,1,757.468481268227,784.5057204815673
50021RUT-3A,VT,021,RUT-3A,3735,34,3607,21,13,12,0,0,48,2873,24,2776,20,9,11,0,0,33,NA,61225,61225,07080,NA,07050,R63,RUT,1,1,764.3860016451058,791.670156285052
50021RUT-3B,VT,021,RUT-3B,3048,40,2937,19,7,7,6,0,32,2372,32,2280,17,6,5,4,0,28,NA,61225,61225,07080,NA,07050,R63,RUT,1,1,631.0907051521723,653.6169894563674
50021ZZZZZZ,VT,021,ZZZZZZ,46108,286,45117,123,98,167,6,23,288,35288,185,34629,79,68,122,6,13,186,NA,25450,11950,00001,03900,06600,R-1,RUT,1,1,558,520
50023BARRE1,VT,023,BARRE1,2874,43,2770,11,7,23,0,0,20,2291,36,2215,7,7,15,0,0,11,NA,03175,03175,02010,00002,NA,W41,WAS,1,1,711.5479262033568,613.3485920377306
50023BARRE2,VT,023,BARRE2,3221,42,3108,7,19,8,0,3,34,2590,35,2498,7,18,6,0,0,26,NA,03175,03175,02010,00002,NA,W42,WAS,1,1,804.4125398807047,693.3971424608128
50023BARRE3,VT,023,BARRE3,3196,71,3053,27,6,17,1,3,18,2328,52,2237,12,6,9,0,1,11,NA,03175,03175,02010,00002,NA,W42,WAS,1,1,723.0395339159384,623.2542655014564
50023MPR-D1,VT,023,MPR-D1,2545,50,2418,13,5,26,0,11,22,1951,34,1872,8,3,13,0,9,12,NA,46000,46000,05550,08237,05700,W5,WAS,1,1,727.9620553359683,608.2801581027668
50023MPR-D2,VT,023,MPR-D2,2801,34,2666,26,5,24,1,8,37,2190,25,2106,15,5,17,1,1,20,NA,46000,46000,03690,08237,05700,W5,WAS,1,1,817.1383399209486,682.7952569169961
50023MPR-D3,VT,023,MPR-D3,2689,29,2583,11,9,16,0,0,41,2184,23,2105,6,6,13,0,0,31,NA,46000,46000,02220,08237,05700,W5,WAS,1,1,814.899604743083,680.9245849802372
50023ZZZZZZ,VT,023,ZZZZZZ,40713,463,39180,166,107,213,5,36,543,30869,330,29815,110,84,159,3,22,346,NA,76900,50275,00008,04580,06120,W2,WAS,1,1,389,293
50025WINDHA,VT,025,WINDHA,44216,493,42452,210,92,342,14,47,566,33804,305,32638,148,73,261,11,22,346,NA,07975,60250,06930,02520,09240,X-4,WDM,1,1,426,360
50027WINDSO,VT,027,WINDSO,57418,468,55764,180,123,354,13,37,479,44017,305,42979,113,99,227,11,14,269,NA,69475,32275,08245,09510,04590,YOG,WSR,1,1,841,920
