GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
32003001010,NV,003,1010,1009,29,946,0,8,10,4,0,12,774,21,726,0,5,10,4,0,8,NA,NA,NA,NA,NA,NA,NA,1,3,63.04275899784667,48.862767884608814
32003001011,NV,003,1011,1335,48,1241,16,8,6,0,0,16,1103,35,1036,8,6,5,0,0,13,NA,NA,NA,NA,NA,NA,NA,1,3,89.84000410158252,69.63260074512083
32003001012,NV,003,1012,1288,160,1073,9,2,18,3,0,23,887,92,759,4,2,16,2,0,12,NA,NA,NA,NA,NA,NA,NA,1,2,72.2466760091602,55.996479474997436
32003001013,NV,003,1013,1074,498,529,5,11,7,0,3,21,690,279,387,4,8,5,0,1,6,NA,NA,NA,NA,NA,NA,NA,1,2,56.20090918412687,43.559831835116384
32003001014,NV,003,1014,2342,950,1278,20,23,42,2,2,25,1560,534,954,13,14,26,2,2,15,NA,NA,NA,NA,NA,NA,NA,1,2,127.06292511193902,98.48309806200226
32003001015,NV,003,1015,2304,563,1658,7,20,35,2,4,15,1759,336,1367,7,14,22,2,2,9,NA,NA,NA,NA,NA,NA,NA,1,2,143.2715931230133,111.04600608401408
32003001016,NV,003,1016,54,12,41,0,0,1,0,0,0,46,11,34,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,3,3.7467272789417914,2.9039887890077587
32003001017,NV,003,1017,1052,264,735,7,0,19,6,0,21,604,137,439,2,0,15,3,0,8,NA,NA,NA,NA,NA,NA,NA,1,3,49.19615818436613,38.13063540349318
32003001018,NV,003,1018,3489,337,3028,24,27,6,19,6,42,2526,192,2259,17,20,6,8,2,22,NA,NA,NA,NA,NA,NA,NA,1,3,205.74419796971662,159.46686263116518
32003001019,NV,003,1019,713,82,617,3,6,1,1,0,3,465,48,406,3,3,1,1,0,3,NA,NA,NA,NA,NA,NA,NA,1,3,37.874525754520285,29.35553884540452
32003001020,NV,003,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,3,0,0
32003001021,NV,003,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,3,0,0
