GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,cd_1990,cd_2000,ndv,nrv
05001000001,AR,001,0001,460,2,350,97,0,2,0,0,9,309,2,249,51,0,2,0,0,5,NA,NA,NA,NA,NA,1,1,69.82847141190199,60.2535978218592
05001000002,AR,001,0002,134,1,118,15,0,0,0,0,0,104,0,96,8,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,20,38
05001000003,AR,001,0003,1026,0,803,205,3,0,0,1,14,778,0,611,155,2,0,0,0,10,NA,NA,NA,NA,NA,1,1,157,111
05001000004,AR,001,0004,235,1,226,4,1,0,0,0,3,182,1,174,3,1,0,0,0,3,NA,NA,NA,NA,NA,1,1,25.829694323144103,16.689956331877728
05001000005,AR,001,0005,266,0,253,3,3,5,0,0,2,195,0,187,2,3,2,0,0,1,NA,NA,NA,NA,NA,1,1,44.06651108518086,38.0241151302995
05001000006,AR,001,0006,257,2,251,4,0,0,0,0,0,198,2,194,2,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,15.57303370786517,16.46292134831461
05001000007,AR,001,0007,150,0,140,9,0,0,0,0,1,116,0,108,7,0,0,0,0,1,NA,NA,NA,NA,NA,1,1,44,41
05001000008,AR,001,0008,242,1,216,15,0,0,0,0,10,192,0,175,10,0,0,0,0,7,NA,NA,NA,NA,NA,1,1,61,63
05001000009,AR,001,0009,156,9,138,8,0,1,0,0,0,133,5,121,6,0,1,0,0,0,NA,NA,NA,NA,NA,1,1,45,44
05001000010,AR,001,0010,1356,8,1315,17,0,1,0,0,15,1051,6,1024,9,0,1,0,0,11,NA,NA,NA,NA,NA,1,1,206.48164031090863,184.2278209595283
05001000011,AR,001,0011,417,1,379,35,0,0,0,0,2,334,1,302,29,0,0,0,0,2,NA,NA,NA,NA,NA,1,1,54.145719489981786,35.28597449908926
05001000012,AR,001,0012,54,0,54,0,0,0,0,0,0,44,0,44,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,10,6
05001000013,AR,001,0013,213,8,200,3,0,0,0,0,2,172,7,161,3,0,0,0,0,1,NA,NA,NA,NA,NA,1,1,43,56
05001000014,AR,001,0014,38,8,30,0,0,0,0,0,0,29,5,24,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,10.071317829457364,7.148837209302325
05001000015,AR,001,0015,250,4,234,12,0,0,0,0,0,196,4,187,5,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,38,59
05001000016,AR,001,0016,80,5,70,5,0,0,0,0,0,61,3,55,3,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,21,17
05001000017,AR,001,0017,312,0,299,11,2,0,0,0,0,262,0,254,7,1,0,0,0,0,NA,NA,NA,NA,NA,1,1,60,71
05001000018,AR,001,0018,477,0,52,423,0,0,0,0,2,343,0,46,295,0,0,0,0,2,NA,NA,NA,NA,NA,1,1,67.38649155722327,60.12382739212007
05001000019,AR,001,0019,623,11,504,99,0,7,0,0,2,471,8,393,63,0,5,0,0,2,NA,NA,NA,NA,NA,1,1,92.53363709461271,82.56070758509783
05001000020,AR,001,0020,545,0,497,31,5,1,0,0,11,416,0,382,21,5,1,0,0,7,NA,NA,NA,NA,NA,1,1,81.72822299651568,72.9198606271777
05001000021,AR,001,0021,539,0,539,0,0,0,0,0,0,419,0,419,0,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,82.31760922004824,73.44572500670061
05001000022,AR,001,0022,836,6,192,628,0,7,1,0,2,577,6,141,420,0,7,1,0,2,NA,NA,NA,NA,NA,1,1,130.39167639050953,112.51238169324516
05001000023,AR,001,0023,825,7,165,651,0,0,0,0,2,574,4,136,432,0,0,0,0,2,NA,NA,NA,NA,NA,1,1,129.71373006612214,111.92739530662519
05001000024,AR,001,0024,921,4,378,527,2,3,0,1,6,685,1,309,366,2,3,0,1,3,NA,NA,NA,NA,NA,1,1,154.79774406845587,133.5718916115649
05001000025,AR,001,0025,1079,15,415,642,3,0,0,0,4,729,12,312,400,3,0,0,0,2,NA,NA,NA,NA,NA,1,1,164.74095682613768,142.1516919486581
05001000026,AR,001,0026,1129,4,939,168,7,1,0,0,10,864,3,739,109,3,1,0,0,9,NA,NA,NA,NA,NA,1,1,195.2485414235706,168.47607934655775
05001000027,AR,001,0027,915,9,724,159,1,15,0,0,7,670,9,549,96,1,12,0,0,3,NA,NA,NA,NA,NA,1,1,151.40801244651885,130.64695967846492
05001000028,AR,001,0028,952,3,728,201,1,10,0,0,9,696,3,553,125,1,8,0,0,6,NA,NA,NA,NA,NA,1,1,157.2835472578763,135.7168416958382
05001000029,AR,001,0029,959,17,725,212,0,4,0,0,1,708,15,563,126,0,3,0,0,1,NA,NA,NA,NA,NA,1,1,159.9953325554259,138.05678724231817
05001000030,AR,001,0030,999,1,918,63,7,5,0,0,5,774,1,724,34,7,3,0,0,5,NA,NA,NA,NA,NA,1,1,174.91015169194864,150.926487747958
05001000031,AR,001,0031,1130,13,1012,89,1,12,0,0,3,932,9,845,65,1,9,0,0,3,NA,NA,NA,NA,NA,1,1,210.6153247763516,181.7357707766109
05001000032,AR,001,0032,297,4,109,176,0,0,0,0,8,194,2,79,112,0,0,0,0,1,NA,NA,NA,NA,NA,1,1,27.532751091703055,17.790393013100434
05001000033,AR,001,0033,110,0,99,10,0,0,0,0,1,82,0,75,6,0,0,0,0,1,NA,NA,NA,NA,NA,1,1,11.637554585152838,7.5196506550218345
05001000034,AR,001,0034,284,2,281,0,1,0,0,0,0,219,2,216,0,1,0,0,0,0,NA,NA,NA,NA,NA,1,1,76.05581395348837,53.986046511627904
05001000035,AR,001,0035,281,0,276,5,0,0,0,0,0,219,0,217,2,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,76.05581395348837,53.986046511627904
05001000036,AR,001,0036,254,1,155,98,0,0,0,0,0,178,1,112,65,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,61.81705426356589,43.87906976744186
05001000037,AR,001,0037,319,0,313,6,0,0,0,0,0,247,0,245,2,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,19.426966292134832,20.53707865168539
05001000038,AR,001,0038,261,2,254,2,3,0,0,0,0,215,2,208,2,3,0,0,0,0,NA,NA,NA,NA,NA,1,1,34.854280510018214,22.714025500910747
05001000039,AR,001,0039,722,7,595,118,0,0,0,0,2,525,5,457,63,0,0,0,0,0,NA,NA,NA,NA,NA,1,1,103.14258911819887,92.02626641651032
05001000040,AR,001,0040,646,1,570,72,1,0,0,0,2,506,0,443,60,1,0,0,0,2,NA,NA,NA,NA,NA,1,1,99.40980970249262,88.69579201286518
05003000001,AR,003,0001,989,23,907,50,3,0,0,0,6,731,12,676,38,2,0,0,0,3,NA,NA,NA,NA,NA,4,4,101,118
05003000002,AR,003,0002,159,4,96,56,0,0,0,0,3,120,4,79,35,0,0,0,0,2,NA,NA,NA,NA,NA,4,4,30.436187399030693,20.549273021001614
05003000003,AR,003,0003,676,45,571,57,1,0,0,0,2,499,27,421,48,1,0,0,0,2,NA,NA,NA,NA,NA,4,4,126.5638126009693,85.45072697899839
05003000004,AR,003,0004,229,29,179,18,1,0,0,0,2,168,19,135,11,1,0,0,0,2,NA,NA,NA,NA,NA,4,4,30,30
05003000005,AR,003,0005,111,18,77,15,0,0,0,0,1,78,11,57,9,0,0,0,0,1,NA,NA,NA,NA,NA,4,4,15,22
05003000006,AR,003,0006,526,10,138,377,0,0,0,0,1,356,6,104,246,0,0,0,0,0,NA,NA,NA,NA,NA,4,4,117.44329896907216,37.618556701030926
05003000007,AR,003,0007,45,11,27,7,0,0,0,0,0,32,8,18,6,0,0,0,0,0,NA,NA,NA,NA,NA,4,4,10.556701030927835,3.381443298969072
05003000008,AR,003,0008,552,15,303,231,1,0,0,0,2,401,10,222,166,1,0,0,0,2,NA,NA,NA,NA,NA,4,4,141.52941176470588,64.2576064908722
05003000009,AR,003,0009,129,9,66,47,0,0,0,0,7,92,6,49,33,0,0,0,0,4,NA,NA,NA,NA,NA,4,4,32.470588235294116,14.742393509127789
05003000010,AR,003,0010,377,10,111,247,1,0,0,0,8,266,4,101,155,1,0,0,0,5,NA,NA,NA,NA,NA,4,4,100.33333333333333,54.44444444444444
05003000011,AR,003,0011,61,18,22,21,0,0,0,0,0,39,4,19,16,0,0,0,0,0,NA,NA,NA,NA,NA,4,4,14.710526315789473,7.982456140350877
05003000012,AR,003,0012,786,5,190,586,0,0,0,0,5,575,4,166,400,0,0,0,0,5,NA,NA,NA,NA,NA,4,4,294.7887323943662,123.09859154929578
05003000013,AR,003,0013,161,12,99,49,0,0,0,0,1,135,12,78,44,0,0,0,0,1,NA,NA,NA,NA,NA,4,4,69.21126760563381,28.901408450704224
05003000014,AR,003,0014,321,28,283,7,0,0,0,0,3,233,17,209,5,0,0,0,0,2,NA,NA,NA,NA,NA,4,4,11,10
05003000015,AR,003,0015,48,5,39,4,0,0,0,0,0,37,4,31,2,0,0,0,0,0,NA,NA,NA,NA,NA,4,4,13.956140350877192,7.573099415204678
05003000016,AR,003,0016,335,0,319,13,2,1,0,0,0,262,0,252,7,2,1,0,0,0,NA,NA,NA,NA,NA,4,4,55.42191464821223,49.19677047289504
05003000017,AR,003,0017,1240,125,330,773,1,0,0,0,11,836,72,259,498,1,0,0,0,6,NA,NA,NA,NA,NA,4,4,176.84244521337948,156.97900807381777
05003000018,AR,003,0018,914,59,721,126,0,1,1,0,6,701,38,559,97,0,1,0,0,6,NA,NA,NA,NA,NA,4,4,148.28535178777392,131.62952710495964
05003000019,AR,003,0019,885,15,750,115,0,1,1,0,3,654,9,572,70,0,1,1,0,1,NA,NA,NA,NA,NA,4,4,138.34325259515572,122.80415224913496
05003000020,AR,003,0020,1424,125,1182,98,1,1,0,0,17,1048,78,892,66,1,1,0,0,10,NA,NA,NA,NA,NA,4,4,221.68765859284892,196.78708189158016
05003000021,AR,003,0021,494,7,452,29,1,0,0,0,5,376,6,346,20,1,0,0,0,3,NA,NA,NA,NA,NA,4,4,96.41326265460971,76.63818729861761
05003000022,AR,003,0022,944,1,847,88,4,0,1,0,3,691,1,628,57,3,0,1,0,1,NA,NA,NA,NA,NA,4,4,177.18501195301943,140.8430516578318
05003000023,AR,003,0023,1820,50,1152,613,0,0,0,0,5,1362,37,878,443,0,0,0,0,4,NA,NA,NA,NA,NA,4,4,349.2416588712192,277.60960399126907
05003000024,AR,003,0024,1841,26,474,1318,1,0,0,1,21,1275,17,366,879,0,0,0,1,12,NA,NA,NA,NA,NA,4,4,326.9332709697536,259.8768319301528
05003000025,AR,003,0025,2053,21,1108,906,2,8,0,2,6,1460,13,867,565,2,7,0,1,5,NA,NA,NA,NA,NA,4,4,374.3706475418356,297.58445068080243
05003000026,AR,003,0026,2203,20,2021,137,1,19,1,0,4,1749,11,1628,97,1,10,0,0,2,NA,NA,NA,NA,NA,4,4,448.4755222949798,356.48986591830374
05003000027,AR,003,0027,1508,12,1328,153,7,0,2,0,6,1105,9,982,100,7,0,2,0,5,NA,NA,NA,NA,NA,4,4,283.3421681737865,225.22658767279907
05003000028,AR,003,0028,1266,38,1092,119,2,8,0,0,7,936,24,827,72,2,7,0,0,4,NA,NA,NA,NA,NA,4,4,240.00748362956034,190.7801683816651
05003000029,AR,003,0029,954,27,802,121,1,0,0,0,3,667,20,571,74,1,0,0,0,1,NA,NA,NA,NA,NA,4,4,171.03097391123583,135.95125246855835
05003000030,AR,003,0030,1158,8,1016,125,4,0,1,0,4,834,4,735,89,3,0,1,0,2,NA,NA,NA,NA,NA,4,4,176.41937716262976,156.60346020761247
05005000001,AR,005,0001,1541,19,1501,1,7,2,0,0,11,1198,15,1165,1,6,2,0,0,9,NA,NA,NA,NA,NA,3,1,106,187
05005000002,AR,005,0002,1708,17,1661,1,4,7,0,0,18,1515,8,1486,1,4,6,0,0,10,NA,NA,NA,NA,NA,3,1,243.2083716651334,363.0703771849126
05005000003,AR,005,0003,763,10,746,0,3,4,0,0,0,659,6,646,0,3,4,0,0,0,NA,NA,NA,NA,NA,3,1,105.7916283348666,157.92962281508738
05005000004,AR,005,0004,1518,14,1475,0,5,7,0,1,16,1183,12,1147,0,5,7,0,1,11,NA,NA,NA,NA,NA,3,1,75,137
05005000005,AR,005,0005,761,4,734,0,3,6,1,0,13,627,4,607,0,3,3,1,0,9,NA,NA,NA,NA,NA,3,1,115.18152779665624,154.81113225499524
05005000006,AR,005,0006,898,5,882,0,1,0,1,0,9,728,5,713,0,1,0,1,0,8,NA,NA,NA,NA,NA,3,1,97.64790419161677,142.6938123752495
05005000007,AR,005,0007,683,1,670,0,2,4,0,1,5,543,1,530,0,2,4,0,1,5,NA,NA,NA,NA,NA,3,1,72.83353293413174,106.43233532934133
05005000008,AR,005,0008,1450,10,1417,0,3,6,0,0,14,1234,7,1206,0,3,6,0,0,12,NA,NA,NA,NA,NA,3,1,165.5185628742515,241.8738522954092
05005000009,AR,005,0009,1805,21,1758,1,11,1,0,0,13,1400,10,1375,0,7,1,0,0,7,NA,NA,NA,NA,NA,3,1,125,239
05005000010,AR,005,0010,2055,25,1982,0,21,10,1,0,16,1633,14,1586,0,14,9,0,0,10,NA,NA,NA,NA,NA,3,1,299.9863395405736,403.2002854424358
05005000011,AR,005,0011,2806,17,2740,4,7,10,0,0,28,2350,14,2302,2,4,7,0,0,21,NA,NA,NA,NA,NA,3,1,431.7011009922523,580.2331113225499
05005000012,AR,005,0012,809,5,792,0,5,2,0,0,5,677,4,663,0,3,2,0,0,5,NA,NA,NA,NA,NA,3,1,124.36665760500203,167.15651760228354
05005000013,AR,005,0013,1418,38,1352,0,3,11,1,0,13,1086,19,1051,0,3,7,1,0,5,NA,NA,NA,NA,NA,3,1,199.50101943727066,268.1417697431018
05005000014,AR,005,0014,323,0,313,2,2,2,0,0,4,271,0,264,1,1,2,0,0,3,NA,NA,NA,NA,NA,3,1,49.783403561234195,66.91198858230257
05005000015,AR,005,0015,654,8,632,0,7,1,1,0,5,526,4,511,0,4,1,1,0,5,NA,NA,NA,NA,NA,3,1,96.62756558379775,129.87345385347288
05005000016,AR,005,0016,213,2,206,0,1,2,0,0,2,154,2,148,0,1,2,0,0,1,NA,NA,NA,NA,NA,3,1,28.290199809705044,38.02378686964796
05005000017,AR,005,0017,3354,30,3277,2,13,9,1,2,20,2777,19,2718,2,11,9,0,2,16,NA,NA,NA,NA,NA,3,1,510.1421095555254,685.662702188392
05005000018,AR,005,0018,282,0,278,0,3,0,0,0,1,251,0,249,0,1,0,0,0,1,NA,NA,NA,NA,NA,3,1,36.234003091190104,46.39814528593508
05005000019,AR,005,0019,1139,9,1099,4,7,6,0,0,14,958,5,929,2,5,5,0,0,12,NA,NA,NA,NA,NA,3,1,138.29551777434312,177.08933539412675
05005000020,AR,005,0020,484,2,464,1,7,2,0,1,7,404,2,386,1,7,2,0,0,6,NA,NA,NA,NA,NA,3,1,58.3208655332303,74.68068006182381
05005000021,AR,005,0021,910,14,873,0,8,2,0,0,13,732,9,704,0,8,2,0,0,9,NA,NA,NA,NA,NA,3,1,115.95357590966123,150.16562107904642
05005000022,AR,005,0022,1706,20,1657,3,7,5,1,0,13,1248,10,1218,1,5,3,0,0,11,NA,NA,NA,NA,NA,3,1,197.69134253450437,256.02007528230865
05005000023,AR,005,0023,827,13,796,0,8,0,0,0,10,608,7,590,0,5,0,0,0,6,NA,NA,NA,NA,NA,3,1,96.3111668757842,124.72772898368883
05005000024,AR,005,0024,437,7,413,0,6,1,0,0,10,359,5,343,0,4,1,0,0,6,NA,NA,NA,NA,NA,3,1,51.82472952086553,66.36228748068007
05005000025,AR,005,0025,1128,6,1096,0,3,9,0,0,14,874,4,851,0,3,6,0,0,10,NA,NA,NA,NA,NA,3,1,110,170
05005000026,AR,005,0026,394,1,383,0,2,1,0,0,7,318,1,310,0,2,1,0,0,4,NA,NA,NA,NA,NA,3,1,23,20
05005000027,AR,005,0027,184,1,177,1,4,0,0,0,1,140,0,136,1,2,0,0,0,1,NA,NA,NA,NA,NA,3,1,36,30
05005000028,AR,005,0028,226,2,223,0,0,1,0,0,0,176,1,174,0,0,1,0,0,0,NA,NA,NA,NA,NA,3,1,27,46
05005000029,AR,005,0029,1985,22,1930,1,7,8,0,0,17,1706,15,1670,1,6,5,0,0,9,NA,NA,NA,NA,NA,3,1,313.39662906075847,421.22454804947665
05005000030,AR,005,0030,712,8,692,0,5,2,0,0,5,600,8,584,0,3,2,0,0,3,NA,NA,NA,NA,NA,3,1,95.04391468005018,123.08657465495608
05005000031,AR,005,0031,322,0,319,0,2,0,0,0,1,244,0,242,0,2,0,0,0,0,NA,NA,NA,NA,NA,3,1,35.223493044822256,45.10417310664606
05005000032,AR,005,0032,1106,8,1077,8,6,1,0,0,6,849,7,830,3,4,1,0,0,4,NA,NA,NA,NA,NA,3,1,122.56043276661515,156.9403400309119
05005000033,AR,005,0033,379,7,365,0,1,1,0,0,5,305,5,294,0,1,1,0,0,4,NA,NA,NA,NA,NA,3,1,56.02929183090934,75.30685061845861
05005000034,AR,005,0034,240,0,235,0,2,0,0,0,3,170,0,165,0,2,0,0,0,3,NA,NA,NA,NA,NA,3,1,24.54095826893354,31.425038639876355
05005000035,AR,005,0035,2615,34,2526,13,11,6,1,0,24,2127,17,2075,3,9,4,1,0,18,NA,NA,NA,NA,NA,3,1,390.73542204703006,525.1726926736442
05005000036,AR,005,0036,551,5,541,0,2,1,0,0,2,475,5,466,0,1,1,0,0,2,NA,NA,NA,NA,NA,3,1,87.25873317928503,117.28116079923882
05007000001,AR,007,0001,594,18,561,0,8,2,0,0,5,413,7,399,0,3,2,0,0,2,NA,NA,NA,NA,NA,3,3,43.891816700449105,62.11168077580382
05007000002,AR,007,0002,851,20,779,0,27,1,0,0,24,591,11,553,0,14,1,0,0,12,NA,NA,NA,NA,NA,3,3,45,70
05007000003,AR,007,0003,666,11,609,0,29,2,0,1,14,452,8,418,0,17,2,0,0,7,NA,NA,NA,NA,NA,3,3,33,70
05007000004,AR,007,0004,427,17,378,0,19,0,0,0,13,294,11,262,0,16,0,0,0,5,NA,NA,NA,NA,NA,3,3,52,71
05007000005,AR,007,0005,742,24,679,0,11,18,0,0,10,530,17,492,0,5,11,0,0,5,NA,NA,NA,NA,NA,3,3,56.326060172489164,79.7074838043003
05007000006,AR,007,0006,3196,194,2922,2,34,1,0,0,43,2239,113,2079,2,21,1,0,0,23,NA,NA,NA,NA,NA,3,3,237.95103533245896,336.72652120344975
05007000007,AR,007,0007,423,26,386,0,3,1,3,0,4,315,11,299,0,2,1,0,0,2,NA,NA,NA,NA,NA,3,3,33.47680934780016,47.373315845952064
05007000008,AR,007,0008,463,4,414,0,31,1,0,0,13,311,3,287,0,13,1,0,0,7,NA,NA,NA,NA,NA,3,3,30,33
05007000009,AR,007,0009,1868,45,1776,9,11,11,0,0,16,1381,31,1314,6,10,8,0,0,12,NA,NA,NA,NA,NA,3,3,146.7665832041652,207.6906323278089
05007000010,AR,007,0010,1072,24,994,1,39,0,0,0,14,798,19,750,1,18,0,0,0,10,NA,NA,NA,NA,NA,3,3,84.80791701442709,120.01240014307858
05007000011,AR,007,0011,1550,24,1449,1,42,1,0,0,33,1106,10,1042,1,29,1,0,0,23,NA,NA,NA,NA,NA,3,3,92.95047523761882,158.79039519759883
05007000012,AR,007,0012,1314,217,990,0,71,6,0,0,30,893,150,678,0,39,4,0,0,22,NA,NA,NA,NA,NA,3,3,75.0495247623812,128.2096048024012
05007000013,AR,007,0013,743,11,715,0,12,0,0,0,5,554,4,538,0,7,0,0,0,5,NA,NA,NA,NA,NA,3,3,48.809258926969314,74.85411806926251
05007000014,AR,007,0014,4866,41,4752,7,33,8,0,0,25,4458,24,4383,5,21,7,0,0,18,NA,NA,NA,NA,NA,3,3,392.76475865781447,602.3459537053651
05007000015,AR,007,0015,2993,130,2788,4,30,6,2,0,33,2374,84,2236,4,22,6,2,0,20,NA,NA,NA,NA,NA,3,3,252.29823933865902,357.02937085171493
05007000016,AR,007,0016,1565,21,1519,0,11,3,0,0,11,1216,13,1183,0,9,1,0,0,10,NA,NA,NA,NA,NA,3,3,129.23111164103176,182.8760383132626
05007000017,AR,007,0017,2027,281,1699,2,27,5,0,3,10,1457,165,1256,1,18,4,0,3,10,NA,NA,NA,NA,NA,3,3,154.84352768172968,219.12038472238783
05007000019,AR,007,0019,1272,186,1041,0,15,10,2,8,10,944,103,802,0,13,10,2,5,9,NA,NA,NA,NA,NA,3,3,100.32415245816938,141.96955605898017
05007000020,AR,007,0020,695,73,603,0,5,5,0,0,9,521,41,467,0,4,4,0,0,5,NA,NA,NA,NA,NA,3,3,55.36957990540916,78.35396049441596
05007000021,AR,007,0021,4140,460,3397,16,35,186,3,4,39,2769,260,2330,12,24,122,3,1,17,NA,NA,NA,NA,NA,3,3,294.27709550494814,416.4340050077501
05007000022,AR,007,0022,3195,648,2406,12,23,72,1,0,33,2226,386,1745,8,18,53,1,0,15,NA,NA,NA,NA,NA,3,3,236.5694527244545,334.7714319780613
05007000023,AR,007,0023,1160,176,953,5,6,10,0,0,10,894,102,767,4,6,8,0,0,7,NA,NA,NA,NA,NA,3,3,95.0103731966138,134.44998211517824
05007000024,AR,007,0024,1622,96,1477,2,9,10,9,3,16,1258,62,1164,2,4,9,5,1,11,NA,NA,NA,NA,NA,3,3,133.69468622073845,189.19248042605622
05007000025,AR,007,0025,3621,244,3261,16,43,31,0,0,26,2537,133,2325,10,32,23,0,0,14,NA,NA,NA,NA,NA,3,3,269.62115973133024,381.54318190850915
05007000026,AR,007,0026,3125,501,2530,7,14,30,1,2,40,2217,297,1858,7,12,21,1,2,19,NA,NA,NA,NA,NA,3,3,235.6129724573745,333.41790866817695
05007000027,AR,007,0027,1722,29,1650,14,6,14,0,0,9,1178,18,1132,9,3,11,0,0,5,NA,NA,NA,NA,NA,3,3,125.19263940224951,177.16116211597313
05007000028,AR,007,0028,312,18,273,2,3,10,0,0,6,219,6,205,0,1,5,0,0,2,NA,NA,NA,NA,NA,3,3,23.274353165613448,32.93573387385239
05007000029,AR,007,0029,441,3,422,0,1,5,0,0,10,304,3,290,0,1,3,0,0,7,NA,NA,NA,NA,NA,3,3,32.30777791025794,45.71900957831565
05007000030,AR,007,0030,5174,1939,3090,15,46,32,4,1,47,3451,1143,2209,11,29,25,4,0,30,NA,NA,NA,NA,NA,3,3,366.75704463256625,519.0009936012082
05007000031,AR,007,0031,406,9,376,0,10,1,0,0,10,289,5,269,0,7,0,0,0,8,NA,NA,NA,NA,NA,3,3,26,44
05007000032,AR,007,0032,675,3,634,2,26,0,0,0,10,475,2,454,1,11,0,0,0,7,NA,NA,NA,NA,NA,3,3,40.08078994614004,76.75044883303411
05007000033,AR,007,0033,2296,37,2198,2,37,1,0,0,21,1773,22,1712,1,25,1,0,0,12,NA,NA,NA,NA,NA,3,3,142.38117732558138,236.44295058139534
05007000034,AR,007,0034,438,6,421,0,5,3,0,0,3,308,4,296,0,3,3,0,0,2,NA,NA,NA,NA,NA,3,3,24.734011627906977,41.07412790697675
05007000035,AR,007,0035,1399,44,1312,0,19,1,2,0,21,992,22,939,0,13,1,2,0,15,NA,NA,NA,NA,NA,3,3,73.72693110647182,108.51941544885177
05007000036,AR,007,0036,2104,87,1957,3,20,4,0,1,32,1375,42,1298,2,12,4,0,0,17,NA,NA,NA,NA,NA,3,3,102.1920668058455,150.41753653444675
05007000037,AR,007,0037,1813,96,1599,0,66,3,0,0,49,1286,57,1158,0,40,2,0,0,29,NA,NA,NA,NA,NA,3,3,119.93546099290779,198.37234042553192
05007000038,AR,007,0038,2165,121,1904,4,73,3,0,3,57,1534,61,1389,2,41,3,0,3,35,NA,NA,NA,NA,NA,3,3,143.06453900709218,236.62765957446805
05007000039,AR,007,0039,1333,60,1212,0,35,1,0,0,25,964,31,888,0,27,1,0,0,17,NA,NA,NA,NA,NA,3,3,94.9677933991425,168.11606341609334
05007000040,AR,007,0040,1463,65,1296,1,61,2,1,0,37,1036,33,939,1,39,2,1,0,21,NA,NA,NA,NA,NA,3,3,102.06082361152657,180.67244989530363
05007000041,AR,007,0041,2254,330,1786,22,53,26,7,2,28,1864,250,1517,20,33,24,7,1,12,NA,NA,NA,NA,NA,3,3,183.6306710539436,325.07089440622195
05007000042,AR,007,0042,2807,421,2192,5,107,20,0,1,61,2003,267,1609,2,76,16,0,1,32,NA,NA,NA,NA,NA,3,3,197.32415993618505,349.31169608136406
05007000043,AR,007,0043,2499,376,1913,5,122,9,1,0,73,1762,230,1395,1,86,5,1,0,44,NA,NA,NA,NA,NA,3,3,173.58221158639944,307.28268022734073
05007000044,AR,007,0044,2359,246,1944,0,99,24,1,0,45,1752,140,1506,0,59,16,0,0,31,NA,NA,NA,NA,NA,3,3,172.5970685013461,305.53873766078374
05007000045,AR,007,0045,385,1,367,0,13,0,0,0,4,278,1,268,0,7,0,0,0,2,NA,NA,NA,NA,NA,3,3,42.57657657657658,53.22072072072073
05007000046,AR,007,0046,224,0,206,0,13,4,0,0,1,166,0,157,0,7,1,0,0,1,NA,NA,NA,NA,NA,3,3,25.423423423423426,31.77927927927928
05007000047,AR,007,0047,245,0,236,0,6,0,0,0,3,182,0,174,0,5,0,0,0,3,NA,NA,NA,NA,NA,3,3,19.342156512062317,27.37124915543897
05007000048,AR,007,0048,548,16,509,0,9,0,0,0,14,389,10,365,0,7,0,0,0,7,NA,NA,NA,NA,NA,3,3,38,49
05007000049,AR,007,0049,888,26,809,1,22,3,0,1,26,636,16,595,1,12,3,0,0,9,NA,NA,NA,NA,NA,3,3,72.15126050420169,104.21848739495799
05007000050,AR,007,0050,2129,23,2039,3,26,6,1,0,31,1449,13,1390,0,18,6,1,0,21,NA,NA,NA,NA,NA,3,3,153.99332299988077,217.91725289137952
05007000051,AR,007,0051,2346,24,2282,1,23,4,3,0,9,1714,13,1673,0,16,3,3,0,6,NA,NA,NA,NA,NA,3,3,182.15635308612534,257.77099479352967
05007000052,AR,007,0052,1727,8,1692,1,11,5,0,0,10,1499,8,1472,1,5,5,0,0,8,NA,NA,NA,NA,NA,3,3,159.30710226143634,225.43682683518142
05007000053,AR,007,0053,1880,27,1810,1,13,7,0,0,22,1530,13,1486,1,10,7,0,0,13,NA,NA,NA,NA,NA,3,3,162.60164540360083,230.09896268033864
05007000054,AR,007,0054,589,12,564,3,5,1,0,0,4,440,9,423,2,3,1,0,0,2,NA,NA,NA,NA,NA,3,3,46.76125750168912,66.17225070545686
05007000055,AR,007,0055,615,10,570,12,3,17,0,2,1,436,4,410,5,3,12,0,2,0,NA,NA,NA,NA,NA,3,3,46.336155160764676,65.57068478995271
05007000056,AR,007,0056,3949,188,3534,40,62,76,3,0,46,2682,116,2428,26,36,51,2,0,23,NA,NA,NA,NA,NA,3,3,285.0311195898414,403.34994634553476
05007000057,AR,007,0057,3166,64,2989,13,31,40,0,0,29,2106,40,1995,8,17,29,0,0,17,NA,NA,NA,NA,NA,3,3,223.8163824967211,316.7244545129367
05007000058,AR,007,0058,3021,258,2548,39,61,47,2,1,65,2225,171,1895,38,40,39,2,1,39,NA,NA,NA,NA,NA,3,3,236.4631771392234,334.62104049918526
05007000059,AR,007,0059,2355,170,1971,36,17,140,2,3,16,1687,108,1437,24,12,91,1,3,11,NA,NA,NA,NA,NA,3,3,179.28691228488532,253.71042486387663
05007000060,AR,007,0060,756,52,668,0,22,1,0,0,13,548,22,500,0,14,1,0,0,11,NA,NA,NA,NA,NA,3,3,44.00726744186046,73.07994186046511
