GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,school,cd_1990,cd_2000,ndv,nrv
06073013309,06,073,013309,6471,2124,315,2750,17,1006,58,8,193,4620,1682,206,1809,13,788,35,7,80,NA,13392,92780,08610,38640,NA,50,51,746.9731430798495,1323.6433968739639
06073013310,06,073,013310,2212,685,165,665,5,586,11,8,87,1528,509,110,430,5,419,8,6,41,NA,13392,92780,08610,38640,NA,50,51,247.05085771125758,437.7764308275794
06073013311,06,073,013311,7849,2633,418,2199,13,2262,30,3,291,5215,1890,270,1357,10,1539,24,0,125,NA,13392,92780,08610,38640,NA,50,51,843.174229688618,1494.112622228944
06073013312,06,073,013312,2705,811,118,1527,10,152,22,1,64,1828,618,72,947,9,130,22,0,30,NA,13392,92780,08610,38640,NA,50,51,295.55560726189714,523.7273007544602
06073013313,06,073,013313,1355,298,87,587,1,315,21,3,43,925,238,51,355,1,238,17,2,23,NA,13392,92780,08610,38640,NA,50,51,149.55631111447204,265.01518227454903
06073013401,06,073,013401,4058,2169,68,1504,11,182,13,7,104,3132,1830,54,1022,7,151,11,6,51,NA,13392,92780,08610,38640,NA,50,51,506.3895853086772,897.3270820366353
06073013409,06,073,013409,5477,2263,191,2118,9,702,45,6,143,4058,1808,140,1416,7,567,34,4,82,NA,13392,92780,08610,38640,NA,50,51,656.1075789216513,1162.6287672109406
06073013410,06,073,013410,3492,1984,134,1028,10,251,10,2,73,2616,1583,88,694,9,196,8,2,36,NA,40326,92780,08610,38640,34320,50,51,422.9614160815771,749.4915857624003
06073013411,06,073,013411,5218,2571,106,1559,11,813,20,4,134,3869,2002,84,1056,11,639,16,1,60,NA,07414,92780,08610,38640,NA,50,51,625.5495867047484,1108.4797191570058
06073013412,06,073,013412,5112,1987,105,1949,8,907,9,16,131,3740,1574,78,1328,5,673,9,11,62,NA,13392,92780,08610,38640,NA,50,51,604.6925443979733,1071.5208450884468
06073013413,06,073,013413,8339,2074,380,2995,17,2536,40,25,272,5629,1522,266,1889,12,1787,31,11,111,NA,13392,92780,08610,38640,NA,50,51,910.1107840685005,1612.7248227280395
06073013414,06,073,013414,6623,2232,272,2466,5,1340,44,8,256,4592,1721,175,1589,3,956,37,4,107,NA,13392,92780,08610,38640,NA,50,51,742.4460331217898,1315.6213156807883
06073013415,06,073,013415,1639,719,59,592,6,210,9,3,41,1181,551,46,392,4,160,6,3,19,NA,13392,92780,08610,38640,NA,50,51,190.94703073101778,338.3599246121539
06073013416,06,073,013416,4133,1974,176,1272,16,529,14,5,147,2977,1559,122,805,14,397,10,3,67,NA,13392,92780,08610,38640,NA,50,51,481.3287980408467,852.9191325744134
06073013417,06,073,013417,2296,830,99,787,5,512,7,1,55,1526,546,70,507,5,363,7,1,27,NA,13392,92780,08610,38640,NA,50,51,246.72749271425332,437.2034250280669
06073013418,06,073,013418,6037,2090,231,2416,19,1079,24,17,161,4280,1630,165,1599,10,758,22,13,83,NA,13392,92780,08610,38640,NA,50,51,692.0010935891246,1226.2324109568324
06073013419,06,073,013419,2260,836,117,850,3,354,7,3,90,1527,614,72,535,3,249,7,3,44,NA,13392,92780,08610,38640,NA,50,51,246.88917521275542,437.4899279278231
06073013503,06,073,013503,5799,3568,656,1174,26,150,29,8,188,4158,2782,415,700,19,123,21,5,93,NA,73696,92780,20250,16230,NA,52,52,672.2758287718646,1191.2790571865676
06073013504,06,073,013504,2914,1712,303,466,15,277,4,13,124,2077,1304,191,285,9,211,4,6,67,NA,73696,92780,20250,16230,NA,52,52,335.814549388928,595.0665227937712
06073013505,06,073,013505,4950,3302,423,725,20,206,34,24,216,3687,2561,288,490,17,176,29,16,110,NA,73696,92780,20250,16230,NA,52,52,596.1233719773604,1056.3361914013647
06073013506,06,073,013506,2368,1487,59,576,20,88,13,14,111,1787,1208,46,367,13,67,9,9,68,NA,73696,92780,06810,16230,NA,52,52,288.92662482330974,511.9806818644531
06073013601,06,073,013601,5316,3901,298,743,20,128,22,14,190,4063,3129,196,487,17,99,16,9,110,NA,11691,92780,20250,16230,NA,52,52,656.915991414162,1164.061281709722
06073013604,06,073,013604,6350,4744,274,751,25,230,18,28,280,4427,3378,180,490,18,179,12,18,152,NA,59550,92780,06810,16230,NA,52,52,715.7684208689379,1268.348337221004
06073013605,06,073,013605,5433,4482,110,524,24,127,8,13,145,4150,3484,85,357,18,103,8,8,87,NA,11691,92780,06810,16230,NA,52,52,670.9823687838474,1188.9870339885172
06073013606,06,073,013606,6231,4301,330,822,20,426,14,13,305,4484,3159,227,536,15,339,12,7,189,NA,59550,92780,06810,16230,NA,52,52,724.9843232835594,1284.6790025071111
06073013701,06,073,013701,2208,1822,55,188,14,65,1,10,53,1759,1487,42,125,11,55,1,6,32,NA,11691,92780,20250,16230,NA,52,52,284.39951486525007,503.9586006712776
06073013702,06,073,013702,5151,2525,836,1301,29,241,12,5,202,3462,1869,496,777,16,199,10,1,94,NA,73696,92780,20250,16230,NA,52,52,559.7448098143807,991.8730389562041
06073013801,06,073,013801,4953,3056,428,1048,18,157,22,22,202,3583,2386,295,624,16,127,16,13,106,NA,73696,92780,20250,16230,NA,52,52,579.3083921331387,1026.5398898267126
06073013802,06,073,013802,3093,1281,335,1042,21,195,22,1,196,2031,972,210,587,19,138,16,0,89,NA,73696,92780,20250,16230,NA,52,52,328.3771544578299,581.8873894049827
06073013903,06,073,013903,4123,1845,455,1151,11,470,19,18,154,2970,1497,296,704,9,370,14,11,69,NA,40326,92780,20250,16230,NA,52,52,480.1970205513318,850.9136122761196
06073013905,06,073,013905,3110,1527,413,759,17,207,24,12,151,2184,1168,283,462,10,158,15,8,80,NA,40326,92780,20250,16230,NA,52,52,353.1145767286561,625.722333067692
06073013906,06,073,013906,4588,2144,701,1126,28,343,55,13,178,3166,1634,434,673,24,263,36,8,94,NA,40326,92780,20250,16230,NA,52,52,511.8867902577496,907.0681806283483
06073013907,06,073,013907,3905,953,818,1577,8,286,51,20,192,2465,743,473,889,6,218,32,11,93,NA,40326,92780,20250,16230,NA,52,53,398.5473588077552,706.2296478992037
06073013908,06,073,013908,3275,1099,272,1384,25,311,37,1,146,2211,844,176,843,20,228,30,0,70,NA,40326,92780,20250,16230,NA,52,53,357.4800041882137,633.4579113611113
06073013909,06,073,013909,4315,1408,478,1863,27,335,38,6,160,2890,1054,267,1182,24,261,30,3,69,NA,40326,92780,20250,16230,NA,52,53,467.26242067116124,827.9933802956181
06073014001,06,073,014001,4632,2523,385,1200,28,269,18,17,192,3390,2004,263,780,21,207,14,8,93,NA,41124,92780,21330,16230,NA,52,53,548.1036699222273,971.2448301737528
06073014002,06,073,014002,4234,1839,458,1260,27,377,29,18,226,2940,1469,280,752,19,277,22,7,114,NA,41124,92780,21330,16230,34320,52,52,475.34654559626784,842.3185252834315
06073014101,06,073,014101,3438,1862,268,1019,40,111,6,7,125,2546,1503,181,668,35,88,6,3,62,NA,41124,92780,21330,16230,34320,52,53,411.64364118642783,729.4363827794615
