GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
25009000369,MA,009,369,2819,263,2411,52,0,44,0,4,45,2199,139,1951,42,0,31,0,3,33,NA,29405,29405,NA,NA,05970,26,8,7,4,487.50681242440146,390.045598740215
25009000370,MA,009,370,3069,137,2809,49,4,37,0,1,32,2461,87,2287,34,3,25,0,1,24,NA,29405,29405,NA,NA,05970,26,8,7,4,545.5908437364493,436.51760732135926
25009000371,MA,009,371,3869,52,3711,12,4,44,0,3,43,2859,27,2765,10,4,33,0,1,19,NA,29405,29405,NA,NA,05970,26,8,7,4,633.8253645845219,507.11249058584565
25009000372,MA,009,372,2943,275,2563,35,2,26,2,9,31,2130,139,1920,25,2,22,1,4,17,NA,29405,29405,NA,NA,05970,26,8,7,4,472.2098728803889,377.80678731998995
25009000373,MA,009,373,2365,59,2240,34,3,9,0,4,16,1808,29,1741,19,3,7,0,0,9,NA,29405,29405,NA,NA,05970,26,8,7,4,400.82415500833014,320.6923340256065
25009000374,MA,009,374,2929,135,2682,50,8,36,0,4,14,2236,88,2072,33,5,27,0,2,9,NA,29405,29405,NA,NA,05970,26,8,7,4,495.70951913640823,396.60843964671244
25009000375,MA,009,375,2113,69,1944,24,1,25,0,22,28,1647,53,1508,24,1,25,0,21,15,NA,29405,29405,NA,NA,05970,26,8,7,4,365.13129607230076,292.1351073784148
25009000376,MA,009,376,2767,170,2457,40,0,80,0,4,16,2112,113,1896,33,0,56,0,3,11,NA,29405,29405,02880,07410,05970,25,8,7,4,468.21936691238557,374.6140539060182
25009000377,MA,009,377,3139,33,3035,32,4,22,0,4,9,2248,20,2182,26,4,11,0,1,4,NA,29405,29405,02880,07410,05970,25,8,7,4,498.3698564484104,398.7369285893603
25009000378,MA,009,378,3128,49,3018,10,2,27,0,2,20,2405,26,2340,9,2,16,0,0,12,NA,32275,32310,NA,NA,06480,27,9,7,5,605.4579084183164,654.7505498900221
25009000379,MA,009,379,3070,16,2994,7,1,20,0,0,32,2400,14,2359,5,0,9,0,0,13,NA,32275,32310,NA,NA,06480,27,9,7,5,604.1991601679664,653.3893221355729
25009000380,MA,009,380,3532,43,3411,13,2,27,0,7,29,2653,30,2579,6,1,20,0,3,14,NA,32275,32310,11670,07410,06480,27,9,7,5,667.8918216356728,722.2674465106978
25009000381,MA,009,381,3257,27,3168,13,3,30,1,2,13,2544,21,2485,9,1,21,1,1,5,NA,32275,32310,11670,07410,06480,27,9,7,5,640.4511097780444,692.5926814637073
25009000382,MA,009,382,3290,1523,1601,77,5,38,0,9,37,2373,958,1316,44,3,31,0,5,16,NA,34550,34550,NA,NA,06660,37,10,6,4,752.9860476501306,470.1564335835509
25009000383,MA,009,383,2603,2129,378,37,5,28,0,6,20,1652,1340,254,19,1,19,0,5,14,NA,34550,34550,NA,NA,06660,39,10,6,4,524.2026762402088,327.30654373368145
25009000384,MA,009,384,3066,1212,1625,91,7,61,1,10,59,2259,768,1322,66,6,44,1,8,44,NA,34550,34550,NA,NA,06660,37,10,6,4,716.8122552219321,447.5699045365535
25009000385,MA,009,385,3193,1867,1087,123,6,57,0,10,43,2043,1085,827,67,2,37,0,6,19,NA,34550,34550,NA,NA,06660,37,10,6,4,648.2724379895561,404.7743758159269
25009000386,MA,009,386,2785,1567,1128,22,12,18,0,11,27,2163,1038,1062,17,6,17,0,3,20,NA,34550,34550,NA,NA,06660,39,10,6,4,686.3501142297649,428.5496695496083
25009000387,MA,009,387,2949,2447,405,56,16,1,0,3,21,1845,1487,298,38,8,1,0,1,12,NA,34550,34550,NA,NA,06660,39,10,6,4,585.4442721932115,365.5451411553525
25009000388,MA,009,388,3172,2370,677,64,8,13,8,5,27,2103,1495,535,39,2,11,8,3,10,NA,34550,34550,NA,NA,06660,39,10,6,4,667.3112761096606,416.66202268276766
25009000389,MA,009,389,3712,2717,803,74,3,63,0,11,41,2737,1871,712,57,2,55,0,8,32,NA,34550,34550,NA,NA,06660,39,10,6,4,868.4883322454308,542.274824575718
25009000390,MA,009,390,2468,2154,242,23,6,7,1,9,26,1584,1332,203,19,1,4,0,7,18,NA,34550,34550,NA,NA,06660,39,10,6,4,502.6253263707572,313.8338772845953
25009000391,MA,009,391,2598,2167,324,17,8,55,1,4,22,1589,1325,200,13,7,31,1,2,10,NA,34550,34550,NA,NA,06660,39,10,6,4,504.2118962140993,314.82451452349875
25009000392,MA,009,392,2750,2396,269,28,7,23,0,2,25,1745,1474,218,15,3,22,0,1,12,NA,34550,34550,NA,NA,06660,39,10,6,4,553.7128753263707,345.7323963772846
25009000393,MA,009,393,2702,2064,538,37,22,1,4,2,34,1753,1270,411,28,15,1,4,1,23,NA,34550,34550,NA,NA,06660,39,10,6,4,556.2513870757181,347.31741595953
25009000394,MA,009,394,3408,2132,1106,56,18,72,1,9,14,2223,1252,878,32,7,38,1,3,12,NA,34550,34550,NA,NA,06660,40,10,6,4,705.3889523498694,440.4373164164491
25009000395,MA,009,395,3191,1197,1789,63,3,82,0,7,50,2267,722,1417,44,0,51,0,3,30,NA,34550,34550,NA,NA,06660,40,10,6,4,719.3507669712794,449.154924118799
25009000396,MA,009,396,3136,2370,599,53,10,47,1,9,47,1998,1482,418,31,8,30,1,6,22,NA,34550,34550,NA,NA,06660,39,10,6,4,633.9933093994778,395.8586406657964
25009000397,MA,009,397,2900,2354,399,68,14,25,0,5,35,1854,1472,305,43,7,12,0,3,12,NA,34550,34550,NA,NA,06660,39,10,6,4,588.3000979112271,367.3282881853786
25009000398,MA,009,398,2851,1014,1657,44,3,97,1,5,30,2021,539,1355,35,1,71,1,3,16,NA,34550,34550,NA,NA,06660,40,10,6,4,641.2915306788511,400.41557196475196
25009000399,MA,009,399,2988,645,2155,44,4,95,0,2,43,2276,425,1726,30,0,66,0,0,29,NA,34550,34550,NA,NA,06660,37,10,6,4,722.206592689295,450.9380711488251
25009000400,MA,009,400,3400,1268,1838,78,2,169,0,1,44,2436,821,1424,51,2,112,0,0,26,NA,34550,34550,NA,NA,06660,37,10,6,4,772.9768276762402,482.6384627937337
25009000401,MA,009,401,3193,1535,1383,80,6,149,0,23,17,2217,938,1109,51,3,101,0,6,9,NA,34550,34550,NA,NA,06660,40,10,6,4,703.485068537859,439.24855172976504
25009000402,MA,009,402,2809,581,1944,49,4,183,0,3,45,2233,352,1677,36,2,135,0,1,30,NA,34550,34550,NA,NA,06660,37,10,6,4,708.5620920365536,442.4185908942559
25009000403,MA,009,403,3119,2015,771,70,15,192,0,4,52,1971,1153,598,51,6,131,0,3,29,NA,34550,34550,NA,NA,06660,37,10,6,4,625.4258322454308,390.509199575718
25009000404,MA,009,404,2796,1796,687,78,18,173,0,6,38,1757,1014,556,46,8,106,0,2,25,NA,34550,34550,NA,NA,06660,39,10,6,4,557.5206429503917,348.10992575065274
25009000405,MA,009,405,2964,1499,1164,80,2,183,0,1,35,1925,887,888,44,1,93,0,1,11,NA,34550,34550,NA,NA,06660,37,10,6,4,610.8293896866841,381.39533697780683
25009000406,MA,009,406,3075,33,2964,26,4,19,2,2,25,2430,24,2350,22,3,11,2,0,18,NA,37490,37490,NA,NA,07110,32,6,7,5,514.4998896328453,346.00367890515787
25009000407,MA,009,407,2809,46,2664,38,2,25,2,1,31,2223,31,2131,24,1,19,2,0,15,NA,37490,37490,NA,NA,07110,32,6,7,5,470.67212125671404,316.5292914428666
25009000408,MA,009,408,3024,106,2753,107,2,33,2,2,19,2314,70,2144,66,1,20,2,1,10,NA,37490,37490,NA,NA,07110,32,6,7,5,489.93940107424027,329.48663085865644
25009000409,MA,009,409,2994,192,2491,148,5,86,1,1,70,2415,137,2056,106,5,67,0,1,43,NA,37490,37490,NA,NA,07110,33,6,7,5,511.323964388198,343.8678537267309
25009000410,MA,009,410,2785,73,2598,46,0,44,0,1,23,2181,54,2057,32,0,27,0,0,11,NA,37490,37490,NA,NA,07110,33,6,7,5,461.77953057170186,310.5489809432713
25009000411,MA,009,411,2838,198,2340,143,8,54,0,9,86,2173,125,1860,92,6,38,0,8,44,NA,37490,37490,NA,NA,07110,33,6,7,5,460.0857037745567,309.4098741814436
25009000412,MA,009,412,2843,449,1829,265,11,173,1,11,104,1968,247,1385,169,10,101,1,6,49,NA,37490,37490,NA,NA,07110,33,6,7,5,416.6813920977117,280.2202634096093
25009000413,MA,009,413,3281,854,1617,375,6,336,0,13,80,2234,491,1243,244,5,199,0,7,45,NA,37490,37490,NA,NA,07110,33,6,7,5,473.0011331027886,318.09556324037965
25009000414,MA,009,414,2966,141,2571,116,2,55,0,6,75,2267,70,2037,75,0,38,0,5,42,NA,37490,37490,NA,NA,07110,33,6,7,5,479.9881686410124,322.79437863291884
25009000415,MA,009,415,2844,652,1667,197,14,183,0,9,122,2003,390,1311,122,10,104,0,6,60,NA,37490,37490,NA,NA,07110,33,6,7,5,424.09188433522183,285.2038554926054
25009000416,MA,009,416,3133,543,1994,282,4,240,1,16,53,2319,314,1629,188,3,145,1,7,32,NA,37490,37490,NA,NA,07110,33,6,7,5,490.998042822456,330.19857258479874
25009000417,MA,009,417,3175,359,2273,285,9,122,3,23,101,2447,228,1894,174,6,76,2,6,61,NA,37490,37490,NA,NA,07110,31,6,7,5,518.0992715767787,348.4242807740417
