GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
39003011600,39,003,0116,2672,2565,62,20,2,0,0,3,20,2052,1979,51,8,1,0,0,3,10,NA,43554,61742,04578,1,12,7,12,464,715
39003011800,39,003,0118,2333,2148,102,22,0,19,1,1,40,1759,1635,75,15,0,16,1,0,17,NA,43554,71955,04579,1,12,7,12,315.8199785688772,831.4358852244314
39003011900,39,003,0119,3372,3194,77,45,4,14,0,8,30,2557,2440,54,28,4,10,0,3,18,NA,27944,71955,04579,1,12,7,12,459.09703536135254,1208.6307893796882
39003012000,39,003,0120,2278,2041,123,20,2,72,1,0,19,1741,1576,90,13,2,47,1,0,12,NA,27944,71955,04579,1,12,7,12,312.58816525776876,822.9277294916061
39003012100,39,003,0121,3285,3072,117,45,0,24,0,2,25,2342,2222,65,27,0,19,0,2,7,NA,27944,71955,04579,1,12,7,12,420.4948208120014,1107.0055959042743
39003012200,39,003,0122,3265,2407,630,65,13,44,0,21,85,2270,1818,338,37,8,34,0,6,29,NA,43554,43554,04577,1,12,7,12,421.28714988240324,543.6656586945234
39003012300,39,003,0123,4179,3567,424,73,15,3,1,7,89,2983,2675,227,41,10,3,1,0,26,NA,43554,43554,04422,1,12,7,12,553.6121445370965,714.4293655884419
39003012400,39,003,0124,2738,2237,366,47,3,16,0,8,61,1922,1650,208,31,3,10,0,3,17,NA,43554,43554,04422,1,12,7,12,356.70215950395556,460.31955771404137
39003012500,39,003,0125,962,607,279,32,7,1,0,7,29,645,441,164,22,7,1,0,1,9,NA,43554,43554,04422,1,12,7,12,119.70493906350225,154.47768716210024
39003012600,39,003,0126,2049,1748,221,43,3,8,0,1,25,1595,1399,141,30,3,5,0,1,16,NA,43554,43554,04422,1,12,7,12,296.01453923455205,382.00296282720916
39003012700,39,003,0127,2033,1233,668,49,8,14,0,11,50,1344,908,380,23,8,10,0,3,12,NA,43554,43554,04422,1,12,7,12,249.43168697883257,321.88838999358563
39003012800,39,003,0128,1648,937,598,47,7,21,0,12,26,1277,791,418,32,5,14,0,0,17,NA,43554,43554,04422,1,12,7,12,236.9972204404533,305.84187055194116
39003012900,39,003,0129,2021,1458,419,56,9,5,0,15,59,1319,1003,256,30,7,5,0,4,14,NA,43554,43554,04422,1,12,7,12,244.7919606585418,315.90088273924067
39003013000,39,003,0130,4294,3376,726,82,4,11,0,9,86,3410,2827,475,58,4,10,0,4,32,NA,43554,43554,04422,1,12,7,12,632.8586700876631,816.695989492654
39003013100,39,003,0131,2435,2162,184,30,1,12,0,10,36,1851,1686,123,12,1,11,0,3,15,NA,43554,43554,04422,1,12,7,12,343.52533675432966,443.3150371117016
39003013200,39,003,0132,1868,1389,428,14,0,11,0,2,24,1330,1029,276,10,0,8,0,0,7,NA,43554,43554,04422,1,12,7,12,246.83344023946975,318.53538593115246
39003013300,39,003,0133,1446,741,594,38,12,4,0,6,51,1027,546,427,23,11,4,0,1,15,NA,43554,43554,04422,1,12,7,12,190.59995723754542,245.9667980084914
39003013400,39,003,0134,3081,1850,1023,79,20,15,0,11,83,2123,1397,623,49,15,12,0,3,24,NA,43554,43554,04422,1,12,7,12,394.00555911909345,508.4591160389749
39003013600,39,003,0136,1545,886,552,40,5,5,1,3,53,972,632,299,22,3,3,1,1,11,NA,43554,43554,04422,1,12,7,12,180.3925593329057,232.79428204893247
39003013700,39,003,0137,1404,443,878,37,4,1,0,15,26,913,334,546,17,2,1,0,2,11,NA,43554,43554,04422,1,12,7,12,169.44280521701944,218.66376492867832
39003013800,39,003,0138,2763,979,1671,37,7,0,0,8,61,1935,684,1198,17,3,0,0,3,30,NA,43554,43554,04578,1,12,7,12,359.11481719050676,463.43306148630074
39003013900,39,003,0139,3477,3397,14,29,2,9,1,1,24,2508,2470,3,15,1,6,1,0,12,NA,21602,47656,04388,1,12,7,12,402.6886446886447,884.9963369963369
39003014000,39,003,0140,3296,3245,5,24,4,4,0,6,8,2406,2377,2,16,2,3,0,2,4,NA,21602,47656,04388,1,12,7,12,386.31135531135527,849.003663003663
