GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
34001005101,NJ,001,5101,1182,45,1068,28,0,30,0,0,11,890,30,808,22,0,24,0,0,6,NA,00100,00100,00660,06060,00960,2,2,2,12,118.67682300581993,316.4207463197535
34001005102,NJ,001,5102,1199,27,1110,16,2,30,0,1,13,978,23,909,14,2,21,0,0,9,NA,00100,00100,00660,06060,NA,2,2,2,12,130.41116056145157,347.7072920232797
34001005103,NJ,001,5103,1157,44,1021,27,2,41,0,1,21,872,25,784,14,2,30,0,0,17,NA,00100,00100,00660,06060,NA,2,2,2,12,116.27661759671345,310.0212256076686
34001005201,NJ,001,5201,967,39,821,47,1,57,0,0,2,753,23,643,41,1,43,0,0,2,NA,00100,00100,00660,NA,13200,2,2,2,12,100.40859294762069,267.71328312221846
34001005202,NJ,001,5202,1664,113,871,277,2,365,0,0,36,1241,70,694,188,2,263,0,0,24,NA,00100,00100,00660,06060,04560,2,2,2,12,165.4808284833961,441.21140020540906
34001005203,NJ,001,5203,1469,20,1360,34,1,46,0,0,8,1108,16,1032,24,1,30,0,0,5,NA,00100,00100,00660,06060,NA,2,2,2,12,147.74597740499829,393.92605272167066
34001010101,NJ,001,10101,652,43,168,384,2,45,0,2,8,547,32,156,313,2,35,0,2,7,NA,02080,02080,02340,NA,00960,2,2,2,12,89.21846246066237,82.36559268694741
34001010102,NJ,001,10102,2281,492,423,1188,4,109,1,5,59,1781,348,399,892,4,92,1,5,40,NA,02080,02080,02340,NA,00960,2,2,2,12,290.49009441031023,268.17755132624006
34001010103,NJ,001,10103,2245,491,259,1266,1,187,0,0,41,1537,303,235,807,1,157,0,0,34,NA,02080,02080,NA,NA,00960,2,2,2,12,250.6924621609471,231.43677506368948
34001010104,NJ,001,10104,1639,210,291,1015,4,91,1,0,27,1244,138,277,742,3,68,1,0,15,NA,02080,02080,NA,NA,00960,2,2,2,12,202.90268245167093,187.31772815824968
34001010201,NJ,001,10201,1472,271,542,501,10,116,0,0,32,1329,226,536,425,9,102,0,0,31,NA,02080,02080,NA,NA,00960,2,2,2,12,216.7666117188671,200.1167690693841
34001010202,NJ,001,10202,1222,148,29,1008,3,6,0,0,28,712,86,27,574,3,5,0,0,17,NA,02080,02080,NA,NA,00960,2,2,2,12,116.13079574404317,107.21078974973776
34001010203,NJ,001,10203,743,33,47,651,2,3,0,0,7,519,18,40,452,2,3,0,0,4,NA,02080,02080,02340,NA,00960,2,2,2,12,84.65152105499776,78.14943803386782
34001010204,NJ,001,10204,1231,145,8,1054,0,1,0,1,22,759,80,6,658,0,0,0,1,14,NA,02080,02080,NA,NA,00960,2,2,2,12,123.79673310355163,114.2879064888356
34001010205,NJ,001,10205,2069,401,40,1562,7,7,0,7,45,1140,235,36,830,3,7,0,3,26,NA,02080,02080,NA,NA,00960,2,2,2,12,185.93975723063093,171.65772516109698
