GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,DISTRICT,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
180030000P2,IN,003,P2,3473,47,3383,18,6,7,0,2,10,2613,34,2548,13,6,5,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,4,2,583.0617969101544,800.7138143092844
180030000P3,IN,003,P3,3754,44,3407,160,11,81,1,4,46,2795,29,2571,110,6,56,1,1,21,NA,NA,NA,NA,NA,NA,NA,NA,4,2,374.33035714285717,832.9121700310559
180030000P5,IN,003,P5,2908,61,2530,87,4,162,1,6,57,2076,28,1856,56,2,108,1,2,23,NA,NA,NA,NA,NA,NA,NA,NA,4,2,253.60819770946355,420.2054249547921
180030000P6,IN,003,P6,1358,61,1200,59,7,16,0,5,10,1088,41,978,48,6,8,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,4,2,275.23287263343343,292.94280538944446
180030000P7,IN,003,P7,2500,48,2303,83,2,33,0,1,30,1707,23,1589,57,1,20,0,1,16,NA,NA,NA,NA,NA,NA,NA,NA,4,2,228.61607142857142,508.687325310559
180030000P8,IN,003,P8,4801,90,4453,143,18,38,0,0,59,3465,49,3259,98,10,30,0,0,19,NA,NA,NA,NA,NA,NA,NA,NA,4,2,464.06249999999994,1032.5726902173913
180030000P9,IN,003,P9,6643,147,5945,371,16,60,0,8,96,5081,90,4636,250,10,49,0,0,46,NA,NA,NA,NA,NA,NA,NA,NA,4,2,680.4910714285714,1514.1419448757765
18003000P10,IN,003,P10,2732,93,2542,43,5,7,2,12,28,2140,65,2009,33,5,7,2,5,14,NA,NA,NA,NA,NA,NA,NA,NA,4,2,541.3587752164958,576.192650306444
18003000P11,IN,003,P11,1827,89,1657,18,7,17,0,2,37,1355,56,1251,13,6,13,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,4,2,302.3531323433828,415.21898905054746
18003000P12,IN,003,P12,517,8,464,28,7,3,0,3,4,378,5,341,23,3,3,0,2,1,NA,NA,NA,NA,NA,NA,NA,NA,4,7,84.34648267586621,115.83230838458077
18003000P13,IN,003,P13,2881,32,2795,16,7,19,0,1,11,2049,23,1994,8,5,13,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,4,2,157.18892248925673,431.9434187490052
18003000P14,IN,003,P14,2777,345,964,1365,3,17,0,7,76,1833,232,758,796,3,15,0,2,27,NA,NA,NA,NA,NA,NA,NA,NA,4,2,463.69655839805466,493.53323738865043
18003000P15,IN,003,P15,3779,33,3674,2,13,20,0,7,30,2573,16,2513,2,9,14,0,3,16,NA,NA,NA,NA,NA,NA,NA,NA,4,2,183.81245453222755,573.150443765459
18003000P16,IN,003,P16,552,23,508,10,4,0,0,1,6,423,12,398,7,3,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,4,2,107.00689809185877,113.89228555122702
18003000P19,IN,003,P19,2874,80,2582,87,3,77,0,6,39,2331,57,2111,69,3,65,0,3,23,NA,NA,NA,NA,NA,NA,NA,NA,4,2,284.75949367088606,471.82025316455696
18003000P20,IN,003,P20,778,20,743,2,1,4,0,0,8,579,16,552,2,1,3,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,4,2,104.3351284175642,209.8695111847556
18003000P21,IN,003,P21,3778,39,3683,13,8,3,0,4,28,2780,21,2725,11,6,3,0,2,12,NA,NA,NA,NA,NA,NA,NA,NA,4,2,348.8104216660953,367.8711004456634
18003001701,IN,003,01701,1476,36,1319,53,4,54,0,0,10,1020,21,928,31,3,32,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,4,2,63.20295350229495,196.52963480343246
18003001702,IN,003,01702,1751,35,1605,23,4,74,0,0,10,1186,23,1094,17,4,43,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,4,2,73.48892436639393,228.51386948712832
18003001703,IN,003,01703,2264,42,2062,48,5,70,0,3,34,1557,31,1427,28,4,46,0,2,19,NA,NA,NA,NA,NA,NA,NA,NA,4,2,96.47744961085613,299.9967072440631
18003001704,IN,003,01704,1082,12,1044,5,1,8,1,1,10,935,9,907,5,1,4,1,0,8,NA,NA,NA,NA,NA,NA,NA,NA,4,2,57.93604071043704,180.15216523647973
