GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,COUNTYFP,COUSUBFP,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
42001000310,PA,001,310,2528,47,2449,3,1,9,1,2,16,1869,21,1827,2,1,5,0,0,13,NA,NA,NA,NA,NA,NA,NA,19,19,220,331
42001000320,PA,001,320,1063,2,1044,2,3,1,0,2,9,797,1,781,2,3,1,0,2,7,NA,NA,NA,NA,NA,NA,NA,19,19,102,143
42001000330,PA,001,330,2799,34,2699,15,1,14,0,5,31,2007,22,1947,9,1,7,0,2,19,NA,NA,NA,NA,NA,NA,NA,19,19,298.06234676007006,378.2017513134851
42001000340,PA,001,340,1148,16,1115,7,2,3,0,0,5,848,9,831,2,2,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,19,19,125.93765323992996,159.7982486865149
42001000350,PA,001,350,1527,29,1480,4,5,1,1,1,6,1179,16,1149,4,4,1,1,0,4,NA,NA,NA,NA,NA,NA,NA,19,19,269.0827751196172,153.43923444976076
42001000360,PA,001,360,1164,15,1128,9,1,4,0,0,7,911,7,894,4,1,2,0,0,3,NA,NA,NA,NA,NA,NA,NA,19,19,207.91722488038278,118.56076555023922
42001000370,PA,001,370,2974,273,2637,26,5,1,1,11,20,2194,156,2002,14,3,1,0,6,12,NA,NA,NA,NA,NA,NA,NA,19,19,233,514
42001000380,PA,001,380,1566,32,1505,8,8,6,0,2,5,1189,20,1150,7,5,5,0,0,2,NA,NA,NA,NA,NA,NA,NA,19,19,134.86108751062022,203.55437553101103
42001000385,PA,001,385,1666,32,1580,34,2,9,0,4,5,1165,8,1138,11,1,3,0,1,3,NA,NA,NA,NA,NA,NA,NA,19,19,132.13891248937978,199.44562446898894
42001000390,PA,001,390,2298,23,2248,6,4,8,0,0,9,1717,15,1681,6,4,7,0,0,4,NA,NA,NA,NA,NA,NA,NA,19,19,205.99752628324057,232.01267779839208
42001000400,PA,001,400,2122,52,2047,11,0,9,0,0,3,1517,29,1475,6,0,6,0,0,1,NA,NA,NA,NA,NA,NA,NA,19,19,182.00247371675943,204.98732220160792
42001000410,PA,001,410,1696,152,1500,23,4,3,0,3,11,1245,90,1138,11,2,3,0,0,1,NA,NA,NA,NA,NA,NA,NA,19,19,205,251
42001000425,PA,001,425,2437,182,2221,6,1,18,3,0,6,1751,94,1637,4,1,9,2,0,4,NA,NA,NA,NA,NA,NA,NA,19,19,159.6555735930736,166.28814935064935
42001000427,PA,001,427,2439,57,2336,17,5,5,1,0,18,1945,28,1882,12,4,5,1,0,13,NA,NA,NA,NA,NA,NA,NA,19,19,177.34442640692643,184.71185064935068
42001000430,PA,001,430,3033,35,2958,7,8,1,1,0,23,2123,17,2085,4,2,1,1,0,13,NA,NA,NA,NA,NA,NA,NA,19,19,218.09214922049,264.1929287305123
42001000435,PA,001,435,2073,26,2022,2,4,8,0,0,11,1469,12,1440,2,4,7,0,0,4,NA,NA,NA,NA,NA,NA,NA,19,19,150.90785077951003,182.80707126948775
42001000440,PA,001,440,2317,69,2177,32,2,18,0,4,15,1855,38,1767,27,2,13,0,0,8,NA,NA,NA,NA,NA,NA,NA,19,19,289.0226628895184,397.2747875354108
42001000450,PA,001,450,2222,35,2120,26,4,15,0,1,21,1675,24,1604,19,4,8,0,1,15,NA,NA,NA,NA,NA,NA,NA,19,19,260.9773371104816,358.7252124645892
42001000460,PA,001,460,2273,115,2097,29,8,8,0,0,16,1634,75,1524,19,3,5,0,0,8,NA,NA,NA,NA,NA,NA,NA,19,19,149,241
42001000480,PA,001,480,2989,25,2919,2,7,20,0,1,15,2176,13,2138,2,5,9,0,0,9,NA,NA,NA,NA,NA,NA,NA,19,19,228,316
42001000490,PA,001,490,574,141,422,2,0,7,0,0,2,408,86,316,2,0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,19,19,62,96
42003000010,PA,003,10,1039,10,983,32,0,11,0,0,3,841,4,804,25,0,6,0,0,2,NA,NA,NA,NA,NA,NA,NA,14,4,217,215
42003000021,PA,003,21,1104,9,1068,5,0,16,0,0,6,893,7,869,3,0,12,0,0,2,NA,NA,NA,NA,NA,NA,NA,18,4,240.15308233347125,253.0844021514274
42003000031,PA,003,31,818,12,792,1,0,6,0,1,6,683,7,667,1,0,3,0,1,4,NA,NA,NA,NA,NA,NA,NA,18,4,183.678113363674,193.56847331402565
42003000050,PA,003,50,1038,9,1018,2,1,5,0,1,2,841,5,826,2,1,4,0,1,2,NA,NA,NA,NA,NA,NA,NA,18,4,226.1688043028548,238.34712453454696
42003000061,PA,003,61,1478,3,1343,92,2,14,1,1,22,1154,3,1060,63,1,12,1,1,13,NA,NA,NA,NA,NA,NA,NA,14,14,323.8550657742903,259.4036464343411
42003000081,PA,003,81,851,10,796,34,0,1,0,0,10,665,6,632,22,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,14,14,186.62358642972535,149.48303715670434
42003000091,PA,003,91,648,3,620,9,1,1,0,2,12,589,3,569,9,1,1,0,0,6,NA,NA,NA,NA,NA,NA,NA,14,14,165.29517655204248,132.39926148165245
42003000101,PA,003,101,928,7,819,87,1,1,0,2,11,717,5,640,66,1,1,0,1,3,NA,NA,NA,NA,NA,NA,NA,14,4,201.21670897761365,161.17193630279252
