GEOID,state,county,tract,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,DISTRICT.x,DISTRICT.y,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
04003001300,04,003,0013,4876,3645,204,716,75,51,1,17,167,3526,2766,135,426,51,47,1,11,89,NA,82155,93182,07920,06030,08600,8,8,2,8,430.3657844990548,515.4310018903592
04003001400,04,003,0014,8428,4819,1652,1240,64,220,36,27,370,5790,3495,1103,764,47,177,21,9,174,NA,66820,93182,NA,NA,03150,8,8,2,8,706.6982110747384,846.3827285720873
04003001500,04,003,0015,7627,4391,659,1915,64,229,40,14,315,5524,3446,476,1168,42,201,27,7,157,NA,66820,93182,NA,NA,01460,8,8,2,8,674.2315920512702,807.49882428881
04003001600,04,003,0016,7693,5131,642,1238,60,309,24,16,273,5867,4132,455,816,44,264,19,8,129,NA,66820,93182,NA,NA,01460,8,8,2,8,716.0964428973213,857.638595601457
04003001700,04,003,0017,9709,6606,718,1662,49,298,50,18,308,7248,5241,513,1015,34,257,30,7,151,NA,66820,93182,NA,NA,01460,8,8,2,8,884.6543409101388,1059.5133016736595
04003001800,04,003,0018,5619,4413,277,499,22,245,29,10,124,4495,3665,203,314,21,198,22,4,68,NA,66820,93182,NA,NA,01460,9,9,2,8,548.6370395131172,657.0795103508691
04003001900,04,003,0019,4878,3793,235,466,17,213,16,19,119,3642,2953,158,278,15,173,11,11,43,NA,66845,90306,NA,NA,01460,9,9,2,8,444.5241597122966,532.387892480059
04003002000,04,003,0020,6939,5170,86,1327,86,55,24,9,182,4960,3923,54,776,40,48,12,8,99,NA,66845,90306,NA,NA,05880,9,9,2,8,605.392595324819,725.053252800959
04003002100,04,003,0021,3541,2843,47,461,49,22,9,23,87,2641,2221,36,268,32,19,6,14,45,NA,66845,90306,07920,06030,05880,9,9,2,8,322.3471460187192,386.0616210982526
04005000100,04,005,0001,3705,3087,28,325,195,18,6,6,40,2597,2243,17,201,99,14,2,4,17,NA,23620,90714,NA,NA,02860,2,2,3,1,430.1442789070511,389.7301405392364
04005000200,04,005,0002,3417,2701,41,371,204,44,3,4,49,2754,2221,33,288,149,33,3,4,23,NA,23620,90714,NA,NA,02860,2,2,3,1,456.1483804813318,413.29103082212436
04005000300,04,005,0003,6763,2852,123,2388,1153,58,8,5,176,4523,2201,78,1466,643,48,6,4,77,NA,23620,90714,NA,NA,02860,2,2,3,1,749.1500090475903,678.7637372579769
04005000400,04,005,0004,5416,3481,111,1004,604,64,8,8,136,3779,2582,75,646,364,44,6,4,58,NA,23620,90714,NA,NA,02860,2,2,3,1,625.920381205139,567.1121298027625
04005000500,04,005,0005,3826,2250,42,862,578,17,3,1,73,2585,1627,21,502,387,14,3,0,31,NA,23620,90714,NA,NA,02860,2,2,3,1,428.1567042644309,387.92930816092644
04005000600,04,005,0006,5258,4435,36,328,279,76,0,13,91,4012,3465,31,213,185,59,0,7,52,NA,23620,90714,NA,NA,02860,2,2,3,1,664.5124555160143,602.0782918149466
04005000700,04,005,0007,3315,2786,17,296,114,46,5,9,42,2450,2095,15,203,78,38,3,3,15,NA,23620,90714,NA,NA,02860,2,2,3,1,405.7964895349538,367.66994390493994
04005000800,04,005,0008,2998,1653,218,785,289,11,2,12,28,2506,1548,174,552,185,11,2,10,24,NA,23620,90714,NA,NA,02860,2,2,3,1,415.0718378671814,376.0738283370529
04005000900,04,005,0009,2984,2193,60,360,261,36,6,6,62,2333,1811,36,244,162,32,4,4,40,NA,23620,90714,NA,NA,02860,2,2,3,1,386.41763676940707,350.11182821641836
04005001000,04,005,0010,4495,3463,66,270,523,96,2,8,67,3896,3195,53,185,314,84,2,5,58,NA,23620,90714,NA,NA,02860,2,2,3,1,645.2992339706858,584.6702454912842
04005001100,04,005,0011,8669,6022,106,1429,781,159,18,25,129,6785,4947,92,945,563,132,16,19,71,NA,23620,90714,NA,NA,02860,2,2,3,1,1123.8078291814948,1018.2206405693951
04005001200,04,005,0012,3015,2444,23,330,135,34,0,3,46,2544,2103,22,250,110,29,0,3,27,NA,23620,90714,NA,NA,02860,2,2,3,1,421.3658242354786,381.77646420170095
04005001300,04,005,0013,8960,6864,53,788,1008,32,1,13,201,6206,4941,38,464,635,24,1,8,95,2430,23620,90714,NA,NA,02860,2,2,6,1,1027.9073526750708,931.3304783159418
04005001400,04,005,0014,4744,4058,14,379,215,20,6,4,48,3475,3071,11,219,139,13,4,0,18,2430,36475,90714,02370,05070,02860,2,2,6,1,575.5684902587611,521.4910428855782
04005001500,04,005,0015,3640,3113,9,204,246,14,3,0,51,2935,2599,8,155,128,11,3,0,31,2430,48170,90714,02370,05070,02860,2,2,3,1,486.1276313408529,440.4535858616322
04005001600,04,005,0016,3283,2983,14,207,16,26,2,1,34,2955,2718,13,158,14,22,2,1,27,NA,65350,90714,02370,05070,02860,2,2,6,1,489.4402557452199,443.45497315881533
04005001700,04,005,0017,3080,1914,84,946,48,45,1,4,38,2190,1456,61,600,31,27,1,1,13,NA,83160,93876,NA,NA,09310,2,2,6,1,362.7323722781833,328.6519090415586
04005001800,04,005,0018,553,312,1,144,79,2,0,3,12,366,238,1,69,47,2,0,3,6,NA,NA,93876,NA,NA,09310,2,2,6,1,60.62102659991556,54.92538753845226
04005001900,04,005,0019,5295,3727,44,588,818,26,8,3,81,4014,2962,37,406,529,24,3,2,51,1440,53350,93876,02370,05070,09310,2,2,6,1,664.843717956451,602.378430544665
04005002000,04,005,0020,1874,1582,13,32,210,7,0,0,30,1355,1191,4,25,119,6,0,0,10,1720,25720,91836,NA,NA,03080,3,3,6,1,224.43030339586224,203.3439893841607
04005002100,04,005,0021,6809,4450,27,320,1795,45,13,0,159,4631,3307,20,193,1012,39,9,0,51,2430,51810,93519,NA,NA,05820,3,3,6,1,767.038180831172,694.9712286627662
04005940400,04,005,9404,2,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1545,NA,91683,04410,05170,99997,3,3,6,2,0.331262440436697,0.30013872971831834
04005941100,04,005,9411,87,0,0,4,82,0,0,0,1,60,0,0,1,58,0,0,0,1,1505,74470,91581,NA,NA,08680,3,3,6,2,9.93787321310091,9.00416189154955
04005941200,04,005,9412,916,13,0,7,884,0,0,0,12,596,9,0,3,581,0,0,0,3,1505,47330,93519,NA,NA,08680,3,3,3,2,98.71620725013572,89.44134145605888
04005942200,04,005,9422,8254,94,6,42,8067,1,1,0,43,4570,64,4,18,4472,0,1,0,11,2430,36640,93519,NA,NA,05820,3,3,3,1,756.9346763978527,685.8169974063575
04005944500,04,005,9445,7639,69,1,130,7383,1,1,0,54,4550,60,1,53,4417,1,1,0,17,2430,40630,93519,NA,NA,08680,3,3,3,1,753.6220519934858,682.8156101091743
04005944600,04,005,9446,7323,421,13,188,6590,18,3,0,90,4226,344,11,98,3726,13,2,0,32,2430,76010,93519,NA,NA,08680,3,3,3,1,699.9575366427408,634.1931358948067
04007000100,04,007,0001,2983,2855,4,66,16,9,0,2,31,2519,2434,2,47,8,5,0,2,21,NA,55700,92570,NA,NA,06510,2,2,3,1,446.99227467811164,441.3573676680973
04007000200,04,007,0002,2394,2258,2,94,9,3,4,2,22,1840,1748,1,61,9,3,2,2,14,NA,55700,92570,NA,NA,06070,4,4,3,1,326.5048770971518,322.3888672129016
04007000300,04,007,0003,7429,6801,21,430,65,34,3,3,72,5867,5440,13,295,47,28,1,3,40,NA,53700,92570,NA,NA,06070,4,4,3,1,1041.0891923527115,1027.9649369228769
04007000400,04,007,0004,4145,3898,0,160,24,13,2,3,45,3466,3293,0,107,17,11,2,3,33,NA,53700,92570,NA,NA,06070,4,4,3,1,615.0358174014826,607.2825074782156
04007000500,04,007,0005,4893,4331,10,312,169,30,3,2,36,3788,3451,7,182,107,21,2,1,17,4235,53700,92570,NA,NA,06070,4,4,3,1,672.1741708934842,663.7005592404734
04007000600,04,007,0006,1497,1397,0,60,7,3,0,0,30,1184,1117,0,38,5,2,0,0,22,1140,85330,93417,NA,NA,09540,4,4,3,1,210.09879047990637,207.4502275978671
04007000700,04,007,0007,1043,987,0,31,13,1,0,0,11,927,881,0,26,9,1,0,0,10,1140,74610,93417,NA,NA,05760,4,4,3,1,164.49457666796724,162.4209129925868
04007000800,04,007,0008,1528,1019,5,473,18,1,0,7,5,1248,870,3,351,12,0,0,7,5,NA,46350,91495,NA,NA,05030,4,4,3,1,221.4554818571986,218.663753413968
04007000900,04,007,0009,3154,1617,30,1428,39,3,0,1,36,2228,1187,17,975,24,3,0,1,21,NA,13960,91495,NA,NA,05030,4,4,3,1,395.35481857198596,390.3708674730134
04007001000,04,007,0010,5116,3589,9,1398,45,13,8,9,45,3677,2735,6,866,29,12,4,4,21,3355,28030,91495,NA,NA,05030,4,4,3,1,652.477409285993,644.2521004031734
04007001100,04,007,0011,4250,2588,26,1468,91,38,1,0,38,3110,1996,16,971,69,31,1,0,26,NA,28030,91495,NA,NA,03500,4,4,3,1,551.8642216152946,544.9072701261542
04007001200,04,007,0012,5042,3421,52,1324,148,49,2,2,44,3827,2697,49,886,122,41,1,2,29,3355,28030,91495,NA,NA,03500,4,4,3,1,679.0946547015217,670.5338015346599
04007001300,04,007,0013,1563,380,6,1145,12,1,1,5,13,1077,286,5,766,5,1,0,4,10,3355,32020,93927,NA,NA,03730,7,7,3,1,191.11182208349592,188.70261412407336
04007940200,04,007,9402,1514,37,0,14,1458,1,0,0,4,882,33,0,8,838,1,0,0,2,1140,10040,92856,NA,NA,99997,4,4,3,1,156.50940304330862,154.53640265314084
04007940400,04,007,9404,4784,213,9,143,4298,12,0,0,109,2805,162,9,67,2490,10,0,0,67,3355,62910,92856,NA,NA,06960,4,4,3,1,497.7424892703863,491.4678111587983
04009940500,04,009,9405,4601,45,1,132,4396,1,0,0,26,2496,32,1,59,2395,0,0,0,9,3355,54190,93111,NA,NA,03200,4,4,3,1,332.8426447975397,451.39518195797024
04009991100,04,009,9911,3884,3006,10,745,65,7,2,4,45,2569,2076,7,412,43,7,1,3,20,3355,55560,92652,NA,NA,06440,4,4,2,1,342.57722535451904,464.59704425081156
04009991200,04,009,9912,6248,4761,47,1276,76,31,5,2,50,4309,3372,34,792,58,23,3,1,26,NA,73420,92907,NA,NA,08410,8,8,2,1,574.6069536989578,779.2715701349736
04009991300,04,009,9913,3704,1996,43,1528,27,56,0,4,50,2654,1543,27,999,17,39,0,3,26,NA,62000,92907,NA,NA,07240,8,8,2,1,353.91201093456345,479.96907568768154
04009991400,04,009,9914,4273,2450,56,1682,25,22,1,4,33,2981,1841,39,1049,15,20,1,2,14,NA,62000,92907,NA,NA,07240,8,8,2,1,397.51759781308726,539.1061848624637
04009991500,04,009,9915,3783,2530,12,1166,19,3,2,0,51,2630,1804,9,770,15,1,2,0,29,NA,62000,92907,NA,NA,07240,8,8,2,1,350.7116008884333,475.62873739962413
04009991600,04,009,9916,2344,1155,243,725,150,49,0,11,11,2175,1031,243,683,148,49,0,11,10,3355,71650,90357,01110,01140,01260,8,8,2,1,290.03716043054845,393.3431573552025
04009991700,04,009,9917,4652,2545,190,1800,61,13,0,3,40,3598,2016,179,1311,54,12,0,2,24,3355,62000,92907,NA,NA,07860,8,8,2,1,479.79480608235093,650.6890483512728
04011990100,04,011,9901,2180,735,10,1385,27,0,0,5,18,1574,570,7,961,20,0,0,5,11,3355,14380,90663,NA,NA,02110,4,4,3,1,449.1362467866324,354.453470437018
04011990200,04,011,9902,3383,1804,17,1437,71,11,0,4,39,2161,1229,11,857,40,7,0,1,16,NA,14380,90663,NA,NA,05320,8,8,3,1,616.6349614395887,486.64164524421597
04011990300,04,011,9903,2984,2065,7,859,19,1,1,4,28,2100,1510,3,544,16,1,0,1,25,NA,20750,91020,NA,NA,02600,8,8,3,1,599.2287917737789,472.90488431876605
04012020100,04,012,0201,2666,1945,5,598,59,6,4,8,41,2158,1734,1,330,54,6,2,4,27,0735,62700,92480,09120,01160,05980,5,5,6,4,210.02905631267677,284.66289534584723
04012020200,04,012,0202,3313,2863,19,299,60,27,0,4,41,2786,2492,14,180,43,22,0,3,32,0735,53210,92480,05730,05170,05980,5,5,6,4,271.1496528670609,367.50269992285934
04012020500,04,012,0205,4730,4343,25,251,46,10,3,0,52,4409,4137,18,158,37,10,3,0,46,0735,58010,92480,06780,01160,05980,5,5,6,4,429.10941115968114,581.5934687580354
04012020600,04,012,0206,1540,1008,15,467,29,1,1,1,18,1107,768,11,289,24,1,1,1,12,0735,13470,92480,06780,01160,05980,5,5,6,4,107.73965029570584,146.02494214451016
04012940200,04,012,9402,3140,1427,59,935,619,25,0,2,73,2110,1075,42,555,377,20,0,2,39,0735,53070,92480,NA,NA,05980,5,5,6,4,205.35741835947545,278.33119053741325
04012940300,04,012,9403,4326,987,26,1870,1342,9,1,3,88,2986,843,20,1183,882,9,1,1,47,0735,07025,92480,06780,01160,05980,5,5,6,4,290.6148110053998,393.88480329133455
04013010100,04,013,0101,4120,3970,8,84,24,16,1,0,17,3684,3578,6,55,20,13,1,0,11,3340,65000,93468,NA,NA,99997,28,28,3,7,325.7090920109476,555.7618942796057
04013020201,04,013,020201,824,22,4,89,693,1,0,1,14,473,19,4,45,397,1,0,1,6,1220,25300,93060,NA,NA,99997,7,7,3,7,41.81878407198106,71.35596525359757
04013020202,04,013,020202,6403,1124,23,1081,2920,6,3,683,563,4078,1103,16,542,1703,5,3,427,279,3340,46000,93060,08310,08340,04970,7,7,3,7,360.543343436657,615.2000556113551
04013030302,04,013,030302,4499,3505,106,704,44,31,7,6,96,3161,2577,60,405,25,28,5,2,59,NA,55000,92601,09060,03450,07750,19,19,1,5,279.46971765651614,476.86301515142065
04013030303,04,013,030303,5533,3779,141,1267,105,63,12,4,162,3984,2859,100,790,76,57,4,4,94,NA,55000,92601,09060,03450,07750,19,19,1,5,352.2326337056502,601.0193775271306
04013030304,04,013,030304,6523,5543,139,557,73,110,9,10,82,5009,4360,108,350,50,84,6,8,43,NA,55000,92601,09060,03450,05930,18,18,1,5,442.8547344958839,755.6491119561739
04013030307,04,013,030307,2977,2334,25,484,22,60,4,3,45,2105,1708,19,284,16,42,4,3,29,NA,55000,92601,NA,NA,07750,19,19,1,5,186.10685089116305,317.556674120133
04013030308,04,013,030308,2881,2529,55,172,13,75,4,5,28,2386,2136,41,122,6,57,3,2,19,NA,55000,92601,NA,NA,05930,24,24,1,5,210.9505682785345,359.94785009531466
04013030309,04,013,030309,4899,4226,78,426,14,70,5,5,75,3487,3070,53,244,9,56,3,5,47,NA,55000,92601,09060,03450,07750,19,19,6,2,308.2919662980929,526.042813613731
04013030310,04,013,030310,3085,2284,129,468,68,32,14,2,88,2225,1726,82,292,45,27,9,2,42,NA,55000,92601,09060,03450,05930,24,24,1,5,196.71626756904408,335.6596674191429
04013030311,04,013,030311,3517,3293,41,121,4,27,1,0,30,3253,3104,31,74,3,21,1,0,19,NA,70320,92601,NA,NA,99997,19,19,6,2,287.6036037762249,490.7419766806616
04013030312,04,013,030312,5191,4989,39,105,6,20,5,4,23,5032,4860,35,86,6,16,5,4,20,NA,70320,92601,NA,NA,99997,19,19,6,2,444.8882060258112,759.1188523384842
04013030313,04,013,030313,2821,2761,7,35,0,8,1,1,8,2816,2759,7,32,0,8,1,1,8,NA,70320,92601,NA,NA,99997,19,19,6,2,248.96764470760814,424.816909416767
04013030314,04,013,030314,4256,3309,136,477,65,170,7,7,85,3308,2650,101,309,45,137,4,4,58,NA,55000,92601,NA,NA,05930,24,24,1,5,292.46625308692035,499.03918194270784
