GEOID,state,county,county_subdivision,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,cd_1990,cd_2000,ndv,nrv
3301566180,33,015,66180,5182,5087,7,32,4,24,0,1,27,4031,3965,4,24,2,17,0,1,18,1,2,1075,1583
3301566660,33,015,66660,28112,26446,143,552,48,639,17,21,246,21001,19881,101,344,28,470,10,16,151,2,1,3319,6915
3301567620,33,015,67620,5143,5049,11,29,6,8,1,6,33,3527,3467,8,15,5,6,1,5,20,1,2,360,831
3301568260,33,015,68260,7934,7685,27,68,19,43,0,20,72,6310,6132,22,44,17,30,0,18,47,1,2,982,1729
3301571140,33,015,71140,844,824,5,3,0,1,4,0,7,634,620,4,3,0,1,2,0,4,1,2,187,242
3301574340,33,015,74340,6355,6194,10,41,3,53,0,4,50,4507,4407,9,28,3,37,0,3,20,1,2,589,1254
3301585780,33,015,85780,10709,10295,33,106,7,167,13,16,72,7580,7326,24,60,5,118,11,11,25,2,1,892,2470
3301703460,33,017,03460,7475,7289,18,69,10,31,0,5,53,5418,5296,15,44,6,25,0,2,30,1,2,868,1221
3301718820,33,017,18820,26884,25217,289,306,45,620,15,32,360,21282,20118,200,208,39,488,10,11,208,1,2,4369,5326
3301719700,33,017,19700,12664,11868,84,157,14,389,11,22,119,11144,10489,70,134,12,319,7,12,101,1,2,1804,1697
3301726020,33,017,26020,5774,5626,2,58,24,7,0,2,55,4151,4064,2,30,15,7,0,0,33,1,2,571,1040
3301741460,33,017,41460,4145,3946,22,49,9,65,4,12,38,2866,2752,17,23,5,47,2,5,15,1,2,601,668
3301744820,33,017,44820,1509,1453,6,7,4,19,0,4,16,1057,1026,4,3,2,12,0,1,9,1,2,246,353
3301747700,33,017,47700,1440,1415,2,5,3,8,0,0,7,1026,1008,2,3,0,7,0,0,6,1,2,127,170
3301748660,33,017,48660,3910,3815,8,16,12,10,0,2,47,2853,2789,5,12,10,8,0,1,28,1,2,393,688
3301751220,33,017,51220,2220,2174,4,9,4,12,0,3,14,1615,1588,3,2,4,2,0,3,13,1,2,185,437
3301765140,33,017,65140,28461,27501,140,255,54,242,9,14,246,21266,20654,88,137,45,182,6,6,148,1,2,3352,5085
3301765540,33,017,65540,2648,2579,15,16,2,14,0,0,22,1982,1939,12,14,1,7,0,0,9,1,2,480,504
3301769940,33,017,69940,11477,10929,63,185,22,109,0,17,152,8463,8126,45,105,17,77,0,9,84,1,2,1866,1943
3301773860,33,017,73860,3626,3552,5,23,4,9,0,0,33,2538,2493,4,14,2,6,0,0,19,1,2,389,620
3301900260,33,019,00260,836,802,7,9,7,2,0,0,9,621,601,2,4,4,2,0,0,8,2,1,143,197
3301911380,33,019,11380,4749,4657,12,28,12,7,0,0,33,3576,3518,8,17,10,6,0,0,17,2,1,676,967
3301912900,33,019,12900,13151,12798,41,66,42,81,4,5,114,10085,9832,29,46,37,59,2,4,76,2,1,2183,2644
3301915060,33,019,15060,1661,1620,5,8,5,2,2,0,19,1231,1212,3,2,4,2,2,0,6,2,1,312,409
3301916340,33,019,16340,661,643,0,4,3,1,0,2,8,511,499,0,2,3,0,0,0,7,2,1,65,138
3301930500,33,019,30500,741,719,0,3,12,1,0,0,6,562,548,0,1,6,1,0,0,6,2,1,119,163
3301931220,33,019,31220,2167,2120,6,12,2,9,0,1,17,1735,1705,4,9,1,6,0,1,9,2,1,161,441
3301940900,33,019,40900,586,583,0,1,0,0,0,1,1,461,459,0,0,0,0,0,1,1,2,1,75,151
3301941700,33,019,41700,971,943,0,2,1,1,1,0,23,735,712,0,1,1,1,1,0,19,2,1,120,235
3301952580,33,019,52580,6269,6113,9,35,13,22,0,3,74,4610,4517,9,20,11,14,0,1,38,2,1,721,1336
3301962340,33,019,62340,2241,2192,6,8,9,9,1,5,11,1672,1637,4,6,4,8,1,3,9,2,1,419,423
3301972740,33,019,72740,945,930,0,7,3,2,0,0,3,723,717,0,4,1,1,0,0,0,2,1,113,217
3301975060,33,019,75060,3055,2980,6,14,6,11,1,10,27,2359,2315,5,9,3,8,0,2,17,2,1,405,1083
3301977940,33,019,77940,1530,1511,1,11,0,2,0,0,5,1224,1211,0,7,0,2,0,0,4,2,1,163,236
3301978980,33,019,78980,895,871,0,13,0,0,0,0,11,699,683,0,8,0,0,0,0,8,2,1,102,246
