GEOID,state,county,county_subdivision,pop,pop_white,pop_black,pop_hisp,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_white,vap_black,vap_hisp,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,cd_1990,cd_2000,ndv,nrv
3300573700,33,005,73700,928,896,3,5,12,4,0,1,7,741,718,1,3,9,4,0,1,5,2,1,127,170
3300574900,33,005,74900,746,732,1,3,7,2,0,0,1,557,547,0,3,5,1,0,0,1,2,1,111,148
3300575300,33,005,75300,673,651,0,10,4,2,0,0,6,529,516,0,6,0,2,0,0,5,2,1,123,186
3300575700,33,005,75700,6800,6654,11,38,16,36,1,4,40,5096,5013,7,15,12,23,1,0,25,2,1,887,1245
3300577380,33,005,77380,1962,1920,1,27,5,3,0,0,6,1423,1396,1,15,4,3,0,0,4,2,1,313,358
3300578420,33,005,78420,3594,3516,5,17,9,6,0,3,38,2693,2650,5,7,5,5,0,2,19,2,1,610,892
3300582660,33,005,82660,1747,1703,4,16,4,14,0,0,6,1399,1360,4,16,4,10,0,0,5,2,1,271,360
3300585540,33,005,85540,4144,4018,13,34,18,13,0,1,47,3087,3005,11,17,12,12,0,0,30,2,1,493,607
3300702420,33,007,02420,12,11,0,1,0,0,0,0,0,11,11,0,0,0,0,0,0,0,2,1,0,0
3300704100,33,007,04100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
3300704260,33,007,04260,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,2,1,0,0
3300705140,33,007,05140,10331,10105,19,68,24,38,0,1,76,8130,7990,8,43,17,30,0,0,42,2,1,2133,2802
3300708420,33,007,08420,10,10,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,2,1,0,0
3300710100,33,007,10100,663,654,0,4,0,5,0,0,0,524,517,0,2,0,5,0,0,0,2,1,76,236
3300711220,33,007,11220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
3300713220,33,007,13220,294,281,0,5,0,0,0,0,8,227,217,0,3,0,0,0,0,7,2,1,19,87
3300713780,33,007,13780,2321,2281,0,9,6,7,0,0,18,1805,1770,0,7,6,7,0,0,15,2,1,141,684
3300713940,33,007,13940,750,731,1,5,2,2,0,0,9,564,552,0,2,2,2,0,0,6,2,1,32,85
3300716100,33,007,16100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
3300716660,33,007,16660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
3300716820,33,007,16820,927,884,4,18,5,2,0,0,14,701,675,0,9,5,2,0,0,10,2,1,77,204
3300718340,33,007,18340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
3300718420,33,007,18420,75,74,0,1,0,0,0,0,0,68,68,0,0,0,0,0,0,0,2,1,3,30
3300719300,33,007,19300,309,305,0,0,0,1,0,0,3,234,231,0,0,0,1,0,0,2,2,1,37,101
3300725140,33,007,25140,298,294,0,3,0,0,0,0,1,249,245,0,3,0,0,0,0,1,2,1,26,118
3300725180,33,007,25180,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0
3300730260,33,007,30260,2895,2815,1,9,6,35,0,1,28,2256,2205,0,8,6,18,0,1,18,2,1,551,833
3300731780,33,007,31780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
3300732420,33,007,32420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
3300738820,33,007,38820,1006,988,0,1,1,1,1,0,14,785,768,0,1,1,0,1,0,14,2,1,98,321
3300739940,33,007,39940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
3300740420,33,007,40420,3280,3198,2,21,9,7,0,6,37,2452,2395,2,13,8,5,0,5,24,2,1,331,1000
3300743620,33,007,43620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
3300746020,33,007,46020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
3300747860,33,007,47860,1331,1317,1,0,4,1,0,3,5,988,977,1,0,4,1,0,1,4,2,1,150,331
3300748260,33,007,48260,22,22,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,2,1,0,0
3300756100,33,007,56100,2438,2387,0,13,6,8,0,0,24,1799,1772,0,4,5,5,0,0,13,2,1,304,676
3300757860,33,007,57860,5,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,2,1,0,0
