GEOID,state,county,vtd,pop,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,ai_an_nh,place,mcd,school,shd,ssd,cd_1990,cd_2000,ndv,nrv
16001001001,ID,001,001001,1601,45,1479,10,4,34,2,5,22,1392,36,1295,10,4,29,2,2,14,NA,08830,90345,00360,19,19,2,2,242.43761480466074,267.5680328992461
16001001002,ID,001,001002,1709,123,1420,8,23,98,3,1,33,1343,83,1154,6,18,68,3,0,11,NA,08830,90345,00360,17,17,1,2,233.90353209961162,258.1493305917295
16001001003,ID,001,001003,1554,37,1446,17,9,19,0,1,25,1247,29,1166,10,8,18,0,0,16,NA,08830,90345,00360,13,13,2,2,217.18369659584192,239.6963628055746
16001001004,ID,001,001004,1530,92,1334,18,26,37,3,3,17,1294,69,1142,17,20,32,2,2,10,NA,08830,90345,00360,13,13,2,2,225.3694493945625,248.73062828421294
16001001005,ID,001,001005,1585,79,1366,31,27,17,7,1,57,1374,63,1197,29,23,15,7,1,39,NA,08830,90345,00360,19,19,2,2,239.3026456477039,264.108101439342
16001001006,ID,001,001006,1297,24,1225,2,1,29,0,3,13,955,18,910,1,0,22,0,0,4,NA,08830,90345,00360,19,19,2,2,166.32753027187573,183.56858578935345
16001001007,ID,001,001007,1576,76,1388,16,12,45,1,4,34,1392,64,1226,15,10,41,1,3,32,NA,08830,90345,00360,19,19,2,2,242.43761480466074,267.5680328992461
16001001008,ID,001,001008,1822,144,1573,16,14,50,2,2,21,1501,94,1324,13,9,43,2,2,14,NA,08830,90345,00360,16,16,1,2,261.4215946995659,288.51984007310944
16001001009,ID,001,001009,2158,68,1991,22,4,37,7,2,27,1517,37,1419,15,4,26,6,2,8,NA,08830,90345,00360,13,13,2,2,264.2082339501942,291.59533470413527
16001001010,ID,001,001010,1319,61,1210,10,3,10,4,0,21,989,26,931,7,3,7,2,0,13,NA,08830,90345,00360,17,17,2,2,172.24913867946083,190.1040118802833
16001001011,ID,001,001011,1161,58,1036,13,7,21,0,4,22,1048,54,936,10,7,20,0,4,17,NA,08830,90345,00360,19,19,2,2,182.52487091615262,201.444898332191
16001001012,ID,001,001012,2119,52,1990,4,21,27,2,1,22,1575,29,1494,2,12,19,1,1,17,NA,08830,90345,00360,18,18,1,1,274.3098012337217,302.7440027416038
16001001013,ID,001,001013,1534,129,1312,22,10,9,1,0,51,1155,76,1018,19,9,7,1,0,25,NA,08830,90345,00360,17,17,2,2,201.16052090472925,222.01226867717614
16001001014,ID,001,001014,3010,234,2532,36,41,50,16,2,99,2168,132,1891,19,20,41,12,0,53,NA,08830,90345,00360,17,17,2,2,377.5896184601325,416.72952250399817
16001001015,ID,001,001015,2926,134,2611,13,19,74,5,7,63,2100,83,1900,11,15,55,3,2,31,NA,08830,90345,00360,15,15,1,1,365.7464016449623,403.65867032213845
16001001016,ID,001,001016,4448,185,3941,30,26,200,0,4,62,3186,115,2863,14,19,140,0,3,32,NA,08830,90345,00360,15,15,1,1,554.889540781357,612.4078684030158
16001001017,ID,001,001017,2467,196,2036,33,30,127,4,3,38,1794,125,1510,24,18,93,3,3,18,NA,08830,90345,00360,17,17,1,1,312.4519259766963,344.8398355037697
16001001018,ID,001,001018,1716,41,1627,3,8,10,0,0,27,1357,32,1291,2,8,9,0,0,15,NA,08830,90345,00360,19,19,2,2,236.34184144391136,260.8403883938771
16001001019,ID,001,001019,1261,66,1155,6,7,8,5,4,10,1068,48,991,4,6,8,3,1,7,NA,08830,90345,00360,19,19,2,2,186.00816997943798,205.28926662097328
16001001020,ID,001,001020,3449,197,3027,28,48,47,6,4,92,2595,122,2330,15,33,41,5,2,47,NA,08830,90345,00360,16,16,1,2,451.95805346127486,498.80678546949963
16001001021,ID,001,001021,1407,57,1282,4,11,14,4,5,30,1212,43,1118,4,11,9,2,4,21,NA,08830,90345,00360,19,19,2,2,211.08792323509255,232.96871830020564
16001001022,ID,001,001022,1361,28,1293,5,5,9,0,0,21,1080,20,1028,4,5,5,0,0,18,NA,08830,90345,00360,19,19,2,2,188.0981494174092,207.59588759424264
16001001023,ID,001,001023,1296,53,1178,3,7,25,4,4,22,1078,37,988,3,4,24,3,2,17,NA,08830,90345,00360,16,16,2,2,187.74981951108063,207.2114507653644
16001001024,ID,001,001024,1875,57,1760,7,9,10,1,1,30,1481,41,1401,5,6,6,1,1,20,NA,08830,90345,00360,19,19,1,2,257.93829563628054,284.67547178432716
16001001025,ID,001,001025,1933,60,1816,4,1,24,2,1,25,1495,38,1423,4,1,17,2,0,10,NA,08830,90345,00360,19,19,2,2,260.3766049805803,287.36652958647477
16001001026,ID,001,001026,2001,106,1711,35,11,88,9,1,40,1774,90,1530,28,10,76,8,1,31,NA,08830,90345,00360,13,13,2,2,308.968626913411,340.99546721498746
16001001027,ID,001,001027,2804,79,2557,34,14,53,4,8,55,1985,47,1833,23,9,41,2,4,26,NA,08830,90345,00360,13,13,2,2,345.7174320310715,381.5535526616404
16001001028,ID,001,001028,1084,80,966,3,7,3,0,0,25,861,45,791,3,6,2,0,0,14,NA,08830,90345,00360,19,19,1,2,149.95602467443456,165.50005483207678
16001001029,ID,001,001029,1785,51,1681,4,10,14,2,1,22,1253,27,1194,2,8,6,2,1,13,NA,52120,90345,02100,14,14,1,1,218.22868631482748,240.84967329220927
16001001030,ID,001,001030,1249,54,1163,3,3,13,0,0,13,902,37,840,2,3,11,0,0,9,NA,08830,90345,00360,19,19,2,2,157.09678775416953,173.38100982408042
16001001031,ID,001,001031,1831,30,1758,7,5,7,4,5,15,1468,22,1418,4,3,5,2,3,11,NA,08830,90345,00360,19,19,2,2,255.67415124514508,282.1766323966187
16001001032,ID,001,001032,2552,156,2170,28,27,38,16,4,113,1977,102,1713,20,22,34,11,2,73,NA,08830,90345,00360,16,16,1,2,344.3241124057574,380.0158053461275
16001001033,ID,001,001033,1507,112,1319,12,12,15,4,0,33,1162,67,1040,10,9,14,4,0,18,NA,08830,90345,00360,13,13,2,2,202.37967557687915,223.35779757824994
16001001034,ID,001,001034,1820,72,1631,21,24,20,5,1,46,1311,34,1212,12,14,11,2,0,26,NA,08830,90345,00360,19,19,1,2,228.33025359835506,251.99834132967788
16001001035,ID,001,001035,1851,107,1636,8,10,48,0,1,41,1475,72,1326,8,9,37,0,0,23,NA,08830,90345,00360,13,13,2,2,256.893305917295,283.5221612976925
16001001036,ID,001,001036,1922,81,1701,7,18,73,0,5,37,1388,50,1251,5,13,48,0,4,17,NA,08830,90345,00360,17,17,1,1,241.74095499200365,266.79915924148963
16001001037,ID,001,001037,1383,74,1231,20,7,22,4,0,25,1120,56,1007,15,5,19,3,0,15,NA,08830,90345,00360,13,13,2,2,195.0647475439799,215.2846241718072
